[4.22439933e-01 3.08782905e-01 4.81854485e-08],[ 0.43530625  0.32062483 -0.0072224 ],[ 0.44892243  0.32468331 -0.01053425],[ 0.45954749  0.32622397 -0.01342145],[ 0.46718869  0.31986123 -0.01656   ],[ 0.45533758  0.29445636 -0.00754614],[ 0.4637028   0.27996415 -0.01305372],[ 0.46762776  0.27604344 -0.01759053],[ 0.46948943  0.27657887 -0.02064176],[ 0.44863543  0.28714454 -0.00733493],[ 0.45309901  0.27168465 -0.01307597],[ 0.45581344  0.27482226 -0.01740229],[ 0.45703965  0.28334156 -0.02044026],[ 0.43949044  0.28340212 -0.00797724],[ 0.44194916  0.27025321 -0.01433092],[ 0.44525442  0.27454758 -0.01804191],[ 0.44794878  0.28375599 -0.02035168],[ 0.4298135   0.28255376 -0.00921023],[ 0.42936072  0.27187213 -0.01536001],[ 0.43184122  0.27446821 -0.018243  ],[ 0.43449083  0.28177628 -0.01998614]
[4.22131836e-01 3.28065932e-01 8.79422473e-08],[ 0.43591556  0.32913715 -0.00571868],[ 0.44945735  0.32737255 -0.00951771],[ 0.46069962  0.32748926 -0.01349224],[ 0.4683226   0.32060575 -0.01777725],[ 0.45270151  0.29661801 -0.00681029],[ 0.46141163  0.28032532 -0.0137371 ],[ 0.46684507  0.27587608 -0.01923018],[ 0.47066405  0.27633643 -0.02263572],[ 0.44552729  0.29042727 -0.00780314],[ 0.45205191  0.27246317 -0.01490667],[ 0.45723912  0.27427804 -0.02028532],[ 0.46010175  0.28236121 -0.02367598],[ 0.43647772  0.2874943  -0.00953276],[ 0.44159773  0.27068597 -0.01622539],[ 0.44647664  0.27355948 -0.01992699],[ 0.44917375  0.28211388 -0.02191683],[ 0.42608726  0.28692156 -0.01180634],[ 0.42840487  0.27300465 -0.01781453],[ 0.43302363  0.27427822 -0.02078162],[ 0.43664008  0.28057072 -0.02235672]
[4.25489545e-01 3.26734722e-01 8.56649152e-08],[ 0.4386048   0.32806581 -0.00578744],[ 0.4527885   0.32755506 -0.01001419],[ 0.46351177  0.32765469 -0.01439037],[ 0.47031915  0.32172379 -0.01899967],[ 0.45728299  0.2947464  -0.00575464],[ 0.46403122  0.27835223 -0.01186498],[ 0.4678371   0.27440178 -0.01713625],[ 0.47054422  0.27546033 -0.02027628],[ 0.44936273  0.28858972 -0.0060095 ],[ 0.45466533  0.27141616 -0.01212486],[ 0.45878005  0.27396655 -0.01752804],[ 0.4606832   0.28236386 -0.02073491],[ 0.43994316  0.28579664 -0.00686507],[ 0.44418442  0.27013355 -0.01208088],[ 0.44828662  0.27404562 -0.01548483],[ 0.44985166  0.28322628 -0.01712761],[ 0.42952269  0.28558889 -0.0082455 ],[ 0.43220776  0.27287075 -0.01260522],[ 0.43571907  0.27462125 -0.01456504],[ 0.43777162  0.28099492 -0.01522461]
[4.28078830e-01 3.27225149e-01 8.85688607e-08],[ 0.44051617  0.32786393 -0.00627182],[ 0.4542374   0.32677415 -0.01056465],[ 0.46478066  0.32728216 -0.01507264],[ 0.47173566  0.32224843 -0.01971213],[ 0.45821494  0.29325083 -0.00477213],[ 0.46484348  0.27637881 -0.01083804],[ 0.46908048  0.2727553  -0.01621695],[ 0.47227052  0.27413198 -0.01945058],[ 0.45069194  0.28803295 -0.00496192],[ 0.45609707  0.27082142 -0.01161849],[ 0.46060446  0.27438608 -0.0175132 ],[ 0.46235994  0.28384048 -0.02085778],[ 0.4418475   0.28582132 -0.0059182 ],[ 0.44670004  0.26968712 -0.01150894],[ 0.45057869  0.27347139 -0.01541542],[ 0.45135862  0.28269738 -0.01723903],[ 0.43183306  0.28574505 -0.00748694],[ 0.43482187  0.27277538 -0.01206531],[ 0.43843153  0.27417323 -0.01451197],[ 0.44011617  0.28037265 -0.0154927 ]
[4.28661942e-01 3.27295005e-01 8.28868494e-08],[ 0.44138426  0.32805887 -0.00666015],[ 0.45532891  0.32737043 -0.01117173],[ 0.46623752  0.3278271  -0.0157807 ],[ 0.47335219  0.32256669 -0.02045315],[ 0.4597989   0.29510224 -0.0052219 ],[ 0.46625549  0.2789852  -0.01141617],[ 0.46985966  0.27564299 -0.01695413],[ 0.47237456  0.27700266 -0.02032596],[ 0.45199966  0.28926468 -0.00518759],[ 0.45732704  0.27183679 -0.01188006],[ 0.4613736   0.27462703 -0.01792269],[ 0.4629482   0.28378224 -0.02142048],[ 0.44279832  0.28653255 -0.00592703],[ 0.44747639  0.27066413 -0.01158298],[ 0.45127371  0.27381474 -0.01565293],[ 0.45216849  0.28314015 -0.0175963 ],[ 0.43246788  0.28617954 -0.00728227],[ 0.43580404  0.27377617 -0.01195148],[ 0.4394896   0.27442563 -0.01456297],[ 0.44149315  0.28033984 -0.01566713]
[4.28802550e-01 3.27732921e-01 8.43584687e-08],[ 0.44168097  0.32894981 -0.00625211],[ 0.45564285  0.32795972 -0.01049823],[ 0.46652138  0.32840297 -0.01484518],[ 0.47389686  0.32336175 -0.01931194],[ 0.46036491  0.29581821 -0.00501561],[ 0.46726218  0.28005236 -0.01108979],[ 0.47102141  0.27612433 -0.01647533],[ 0.47359058  0.27691597 -0.01975433],[ 0.45248267  0.29009086 -0.00512067],[ 0.4585512   0.27342618 -0.01161952],[ 0.46265534  0.27632725 -0.01743932],[ 0.46432436  0.28493139 -0.02079353],[ 0.44316885  0.28758121 -0.00595715],[ 0.44845939  0.27182424 -0.0115924 ],[ 0.45215765  0.27512318 -0.01539935],[ 0.45311132  0.28374413 -0.01716818],[ 0.43278679  0.28748444 -0.00735705],[ 0.43638769  0.27518475 -0.0120657 ],[ 0.43990758  0.27564746 -0.01448281],[ 0.44169033  0.28066865 -0.01543966]
[4.30065721e-01 3.28397751e-01 8.35159710e-08],[ 0.44287106  0.32954797 -0.00641924],[ 0.45644906  0.32917774 -0.0108589 ],[ 0.46696395  0.32992947 -0.01537809],[ 0.47421136  0.32441285 -0.02008403],[ 0.46054897  0.29683685 -0.00555207],[ 0.46780464  0.28182781 -0.01175259],[ 0.47194058  0.27729538 -0.01727754],[ 0.4750233   0.27683872 -0.02074651],[ 0.4530144   0.29095477 -0.00573633],[ 0.45895478  0.27437112 -0.01256871],[ 0.46291167  0.27728471 -0.0185998 ],[ 0.46450999  0.28548047 -0.02210345],[ 0.4439818   0.28828847 -0.00662928],[ 0.44886357  0.27211335 -0.01254515],[ 0.45250177  0.27561975 -0.01648454],[ 0.45343551  0.28449184 -0.01833896],[ 0.43392336  0.28806186 -0.00810272],[ 0.43698564  0.2754693  -0.01303569],[ 0.44062611  0.27598223 -0.01564354],[ 0.44265223  0.28122109 -0.01676585]
[4.30646777e-01 3.28385800e-01 8.38001952e-08],[ 0.44317082  0.32980111 -0.00678584],[ 0.45683506  0.32910603 -0.01116183],[ 0.46739432  0.32940432 -0.01554111],[ 0.47459355  0.32416347 -0.02005318],[ 0.46123117  0.29648384 -0.00520428],[ 0.46850634  0.28229716 -0.01113139],[ 0.47235942  0.2782183  -0.01646096],[ 0.47506028  0.27808169 -0.01979445],[ 0.45354688  0.29048318 -0.00503474],[ 0.45919746  0.2748532  -0.01152357],[ 0.46294433  0.27819416 -0.01717708],[ 0.46434361  0.28675514 -0.02041962],[ 0.44443384  0.28771025 -0.00565346],[ 0.44913071  0.27285463 -0.0112932 ],[ 0.4526684   0.27643463 -0.01492786],[ 0.45353213  0.285074   -0.01660251],[ 0.43423992  0.28736237 -0.0068964 ],[ 0.43722647  0.27516678 -0.01163232],[ 0.44063362  0.27592838 -0.01398776],[ 0.44238409  0.28117353 -0.01490257]
[4.28139865e-01 3.31015676e-01 8.35972500e-08],[ 0.44085374  0.33229196 -0.0061524 ],[ 0.4551799   0.33078012 -0.01038122],[ 0.46650591  0.33123317 -0.01470499],[ 0.47444353  0.32677466 -0.01920604],[ 0.45889121  0.29948276 -0.0052682 ],[ 0.46587333  0.28412411 -0.01130653],[ 0.47063473  0.28042635 -0.01658267],[ 0.47452983  0.28124133 -0.01987454],[ 0.45162618  0.29400465 -0.00546861],[ 0.45789367  0.27752432 -0.01205759],[ 0.46266982  0.28016615 -0.01776137],[ 0.46476871  0.28871939 -0.02107871],[ 0.44286054  0.29144475 -0.00638248],[ 0.44815016  0.27577147 -0.01204632],[ 0.45263848  0.27889723 -0.01578365],[ 0.45404115  0.28757298 -0.01755097],[ 0.43272734  0.29102018 -0.00785535],[ 0.43595555  0.27828306 -0.01268698],[ 0.44012323  0.27855515 -0.01521846],[ 0.44243598  0.28345707 -0.01629402]
[4.27161157e-01 3.34107101e-01 1.11057616e-07],[ 0.44008437  0.33554927 -0.00703619],[ 0.45427185  0.33440715 -0.01211758],[ 0.46533236  0.33512881 -0.01714282],[ 0.47292164  0.33043256 -0.02251735],[ 0.45750418  0.3013458  -0.00888616],[ 0.46541342  0.28528881 -0.01638108],[ 0.47139695  0.28182855 -0.02239069],[ 0.47651213  0.28340062 -0.02604308],[ 0.4495849   0.29624879 -0.0091667 ],[ 0.45610464  0.27908418 -0.01677722],[ 0.46161887  0.2818709  -0.02262512],[ 0.46472287  0.29098311 -0.02612001],[ 0.44029859  0.29486495 -0.01012819],[ 0.44552818  0.27826583 -0.01663211],[ 0.45039138  0.281297   -0.02033605],[ 0.45266747  0.29052433 -0.02214519],[ 0.42987037  0.29585287 -0.01168384],[ 0.43270448  0.28219736 -0.0172041 ],[ 0.43742239  0.28232658 -0.01978492],[ 0.44064069  0.28771454 -0.02089588]
[4.25212294e-01 3.37815642e-01 8.53822471e-08],[ 0.43829003  0.33892527 -0.00746657],[ 0.4517619   0.33789298 -0.01263656],[ 0.46276611  0.33863688 -0.01780032],[ 0.47080618  0.33455855 -0.02313259],[ 0.45629013  0.30409014 -0.00722639],[ 0.46250835  0.28811464 -0.01434122],[ 0.46717429  0.28493547 -0.02035924],[ 0.47125229  0.28622952 -0.02409609],[ 0.44867721  0.29852477 -0.00725042],[ 0.45391041  0.28195351 -0.01515149],[ 0.45850316  0.28518805 -0.02167211],[ 0.46075407  0.29444203 -0.02543868],[ 0.43945307  0.29662481 -0.00809822],[ 0.44358656  0.28070098 -0.01504106],[ 0.44807684  0.28412792 -0.01978399],[ 0.44975206  0.29408389 -0.02202341],[ 0.428884    0.29702452 -0.00957374],[ 0.43083924  0.28330618 -0.01552218],[ 0.43526477  0.28376889 -0.01894796],[ 0.43823066  0.29007217 -0.02051333]
[4.20290828e-01 3.42209220e-01 8.00340914e-08],[ 0.43344519  0.34340465 -0.00667138],[ 0.44816667  0.34180537 -0.01093755],[ 0.45992023  0.34173417 -0.01520636],[ 0.46749419  0.33602309 -0.01970384],[ 0.45271203  0.30883867 -0.00563217],[ 0.45936325  0.29330543 -0.01175984],[ 0.46415299  0.28854647 -0.01727385],[ 0.46818683  0.28771278 -0.02082487],[ 0.44476187  0.30276477 -0.00573121],[ 0.4502289   0.2852785  -0.01243234],[ 0.45478261  0.28755414 -0.01833068],[ 0.45694989  0.29563236 -0.02184675],[ 0.43528447  0.30030972 -0.00661185],[ 0.4400093   0.28371626 -0.01273312],[ 0.44410205  0.28673926 -0.01686266],[ 0.44539681  0.29565209 -0.0188466 ],[ 0.4246203   0.30044794 -0.00806855],[ 0.42708045  0.28651324 -0.01345763],[ 0.43118271  0.28691524 -0.01633658],[ 0.43375313  0.29256985 -0.01759968]
[4.16831464e-01 3.45120519e-01 8.53552677e-08],[ 0.43004268  0.34574434 -0.00688493],[ 0.44474435  0.34367418 -0.0113145 ],[ 0.45612475  0.34266743 -0.01570165],[ 0.46363565  0.33663273 -0.02027796],[ 0.448838    0.31070662 -0.00685846],[ 0.45548829  0.29438347 -0.01355217],[ 0.45986879  0.28999016 -0.01914174],[ 0.46325004  0.29070997 -0.02254997],[ 0.44068304  0.30451721 -0.00698928],[ 0.44677714  0.2870304  -0.01387173],[ 0.45106429  0.2888945  -0.01957679],[ 0.45287237  0.2975035  -0.0229424 ],[ 0.43095711  0.30221593 -0.00788698],[ 0.43581444  0.28571171 -0.01402212],[ 0.43993777  0.28867316 -0.01778522],[ 0.44151068  0.29836729 -0.0195923 ],[ 0.41980165  0.30260879 -0.00939023],[ 0.42195144  0.28829622 -0.01471708],[ 0.42624986  0.28830549 -0.01732429],[ 0.42923671  0.29439515 -0.01840299]
[4.11538124e-01 3.49552125e-01 8.44210462e-08],[ 0.42513382  0.35047328 -0.00750539],[ 0.43954623  0.34841093 -0.012252  ],[ 0.45098042  0.3479116  -0.01693803],[ 0.45847523  0.34225023 -0.02171711],[ 0.4438709   0.31391528 -0.00677416],[ 0.45034283  0.29826844 -0.01351878],[ 0.45442295  0.29356933 -0.01921271],[ 0.45833749  0.29294461 -0.02283912],[ 0.43529326  0.30768904 -0.00682217],[ 0.44118071  0.29082373 -0.01441033],[ 0.44522142  0.29321036 -0.02052627],[ 0.44759643  0.30164757 -0.02401801],[ 0.42517558  0.30531478 -0.00774597],[ 0.43015969  0.28963384 -0.01445013],[ 0.43421382  0.29302686 -0.0187147 ],[ 0.43619353  0.30284998 -0.02066681],[ 0.4138343   0.30586797 -0.00934631],[ 0.4158951   0.29192439 -0.01493656],[ 0.42014089  0.29089805 -0.01806054],[ 0.42354926  0.29584736 -0.01950994]
[4.06315118e-01 3.55974734e-01 8.15546741e-08],[ 0.41924068  0.35669464 -0.00733786],[ 0.43325946  0.35493195 -0.01208665],[ 0.44429505  0.35420224 -0.01677784],[ 0.45186475  0.34834155 -0.02165597],[ 0.4381412   0.31971028 -0.00688938],[ 0.44485712  0.30377394 -0.01334869],[ 0.44895741  0.29821882 -0.01889883],[ 0.45259824  0.29682705 -0.02243146],[ 0.4297432   0.31359553 -0.0069801 ],[ 0.4353075   0.29632172 -0.01394599],[ 0.43947977  0.29788122 -0.01980374],[ 0.4418698   0.30604509 -0.02328753],[ 0.41976351  0.31167993 -0.0078889 ],[ 0.42394552  0.29505911 -0.01396355],[ 0.42801276  0.29754087 -0.01806245],[ 0.43018556  0.30703807 -0.02012693],[ 0.40832186  0.31263706 -0.009474  ],[ 0.40947777  0.29821351 -0.01461653],[ 0.41378298  0.29775405 -0.01746736],[ 0.41737553  0.30378428 -0.01880954]
[3.99341196e-01 3.60772073e-01 1.01822458e-07],[ 0.41293377  0.36150247 -0.0090667 ],[ 0.42695081  0.35960618 -0.01492425],[ 0.43797532  0.35935417 -0.02052435],[ 0.44553593  0.35369021 -0.02635316],[ 0.43029463  0.3236787  -0.00944662],[ 0.4371962   0.30717656 -0.01750476],[ 0.44178534  0.30262345 -0.0240787 ],[ 0.44615111  0.30258393 -0.02823347],[ 0.42115983  0.31823495 -0.00926429],[ 0.42741519  0.30109495 -0.01815929],[ 0.43212286  0.30376494 -0.02512388],[ 0.43522012  0.31298628 -0.02921665],[ 0.41065133  0.3168067  -0.01008818],[ 0.41584024  0.30073738 -0.01793246],[ 0.42048141  0.30358061 -0.02306657],[ 0.4230651  0.3133505 -0.0256277],[ 0.39898732  0.31841412 -0.01167226],[ 0.401142    0.30477437 -0.01833086],[ 0.40548757  0.30399802 -0.02216596],[ 0.40896049  0.30894929 -0.02414327]
[3.92604262e-01 3.65826011e-01 1.01341222e-07],[ 0.40593469  0.36664867 -0.00963564],[ 0.42006496  0.36445546 -0.01589057],[ 0.43095475  0.3636533  -0.0217843 ],[ 0.43848544  0.3576569  -0.02785825],[ 0.42293748  0.32795703 -0.01025629],[ 0.42979068  0.31141984 -0.01879029],[ 0.43467814  0.30757532 -0.02578604],[ 0.43905932  0.30804488 -0.03021995],[ 0.41375649  0.32252392 -0.00991022],[ 0.42039356  0.30483049 -0.01946214],[ 0.42546615  0.3084982  -0.02699064],[ 0.4282878   0.31807837 -0.03135144],[ 0.403245    0.32104295 -0.01054907],[ 0.40879226  0.30392325 -0.01892549],[ 0.41364834  0.30783454 -0.02425061],[ 0.41584697  0.31795278 -0.02680665],[ 0.39158314  0.32272124 -0.0119536 ],[ 0.39432013  0.30897439 -0.01900229],[ 0.39845625  0.30770299 -0.02304083],[ 0.4010669   0.31158933 -0.02510605]
[3.83893251e-01 3.68074000e-01 9.82033441e-08],[ 0.39734364  0.36953709 -0.00856942],[ 0.41269988  0.36767447 -0.01376391],[ 0.42471769  0.36722496 -0.01878631],[ 0.43266925  0.36153528 -0.02392665],[ 0.41667905  0.33090052 -0.00676422],[ 0.42363191  0.31409061 -0.01362414],[ 0.42850471  0.30956125 -0.01958416],[ 0.4332619   0.30915299 -0.02344404],[ 0.40827119  0.32530928 -0.00632377],[ 0.41419098  0.30762491 -0.01434824],[ 0.41899502  0.31099609 -0.02123913],[ 0.42173988  0.32040107 -0.02521037],[ 0.39811707  0.32333064 -0.00683764],[ 0.40290734  0.30620572 -0.01419468],[ 0.40724966  0.31006068 -0.01913164],[ 0.40897441  0.32041749 -0.02138709],[ 0.38652977  0.32390434 -0.0080588 ],[ 0.38902307  0.30977726 -0.01444016],[ 0.39274064  0.31001195 -0.0179488 ],[ 0.39475328  0.3159807  -0.01948366]
[3.79704595e-01 3.72668058e-01 1.13319857e-07],[ 0.3937043   0.37326372 -0.00878657],[ 0.40919891  0.37105691 -0.01441034],[ 0.42181239  0.37101629 -0.01988591],[ 0.42989033  0.36552897 -0.02555021],[ 0.41294101  0.3353391  -0.0086135 ],[ 0.42108274  0.31822902 -0.01653164],[ 0.42703128  0.31266508 -0.02307483],[ 0.43275306  0.3116751  -0.02733424],[ 0.40385577  0.32921004 -0.00859107],[ 0.41067666  0.31155646 -0.01817817],[ 0.4156267   0.31500462 -0.02555656],[ 0.41843814  0.32459304 -0.0296839 ],[ 0.39313826  0.32682195 -0.0095366 ],[ 0.39852265  0.31039536 -0.0181149 ],[ 0.40289462  0.314107   -0.02356195],[ 0.40470597  0.32420433 -0.02604705],[ 0.3812114   0.32740572 -0.01119396],[ 0.38377252  0.31370142 -0.01844257],[ 0.38781375  0.31302342 -0.02266192],[ 0.39049324  0.31762278 -0.02474561]
