


[ 4.54077154e-01  4.70698357e-01 -4.31393410e-08],[0.44948274 0.49346209 0.00086191],[0.45324397 0.50998527 0.00156913],[0.46008933 0.51515317 0.00163831],[0.46585959 0.51131535 0.00174713],[0.46875185 0.51462978 0.00428914],[0.46677288 0.51978046 0.00323156],[0.46216723 0.51511097 0.00066238],[ 0.45931336  0.50924009 -0.00105699],[0.47490531 0.50761908 0.00309431],[0.47171369 0.51147854 0.00343117],[0.4669967  0.50815988 0.00149061],[ 4.64253247e-01  5.03257096e-01 -1.03008169e-04],[0.47848764 0.49839431 0.00174719],[0.47532094 0.50274533 0.00237774],[0.47058091 0.50078619 0.00192445],[0.46770138 0.4968116  0.00135213],[4.80077684e-01 4.89156067e-01 3.60250619e-04],[0.47805062 0.49294844 0.00169906],[0.47418681 0.49173167 0.00326993],[0.47162402 0.48865086 0.00445342]
[4.55702305e-01 4.70901668e-01 2.18046008e-08],[ 0.45410374  0.48880383 -0.00300248],[ 0.4580029   0.50615716 -0.00468982],[ 0.46391836  0.51646113 -0.00600911],[ 0.47023812  0.51941329 -0.00712501],[ 0.47033545  0.49959952 -0.00399613],[ 0.47066125  0.51018602 -0.00791919],[ 0.46848592  0.51156664 -0.01094326],[ 0.46722355  0.50967932 -0.01252179],[ 0.47435215  0.49259642 -0.00361423],[ 0.47576609  0.50270557 -0.00637525],[ 0.47308257  0.50521421 -0.00790002],[ 0.47065496  0.50345457 -0.00892558],[ 0.47653699  0.48561305 -0.00356939],[ 0.47903392  0.49536461 -0.00601377],[ 0.47628859  0.49779049 -0.00573422],[ 0.47376573  0.49646002 -0.00527218],[ 0.47691286  0.47946477 -0.00373448],[ 0.48014313  0.48664623 -0.00528277],[ 0.47894874  0.48874369 -0.00456109],[ 0.4774808   0.4878442  -0.00370292]



[4.71570879e-01 4.70965892e-01 2.89009900e-08],[ 0.47149485  0.48919839 -0.00375875],[ 0.47675404  0.50628674 -0.00567344],[ 0.48393998  0.51555973 -0.00691726],[ 0.49065465  0.51701522 -0.00763308],[ 0.49358982  0.4949894  -0.00493683],[ 0.49621472  0.50930989 -0.00817269],[ 0.4918454   0.51413149 -0.01054692],[ 0.48764294  0.51501793 -0.01170438],[ 0.49758151  0.48874891 -0.00385958],[ 0.49980715  0.50363237 -0.00656825],[ 0.49497515  0.50953054 -0.00843892],[ 0.48993558  0.51047677 -0.009552  ],[ 0.4991577   0.48397985 -0.00297598],[ 0.50121415  0.49870357 -0.00492558],[ 0.49656701  0.50456405 -0.00547131],[ 0.49186701  0.50575268 -0.00567913],[ 0.49900523  0.4801974  -0.00234086],[ 0.50065267  0.49105853 -0.00333478],[ 0.49780667  0.49688375 -0.00309808],[ 0.49416429  0.49885169 -0.00266262]
[4.73219961e-01 4.66443300e-01 6.42536264e-08],[ 0.47436884  0.46919379 -0.00933596],[ 0.47782433  0.47380027 -0.01423098],[ 0.48334435  0.4739908  -0.01759338],[ 0.48784882  0.47127399 -0.02046509],[ 0.48004726  0.4915916  -0.01015053],[ 0.4863016   0.50374836 -0.01429972],[ 0.4917689   0.50670022 -0.0172834 ],[ 0.49582288  0.50621462 -0.01906981],[ 0.48471308  0.48861501 -0.00689271],[ 0.49167573  0.50115591 -0.01042379],[ 0.49752331  0.50437486 -0.01242494],[ 0.50097746  0.50401074 -0.0137398 ],[ 0.48927847  0.48514825 -0.00436738],[ 0.49659184  0.49584115 -0.00692684],[ 0.50055385  0.49914637 -0.00747801],[ 0.50266951  0.49990144 -0.00762388],[ 0.49378991  0.48056352 -0.00270856],[ 0.49963725  0.48827067 -0.00409235],[ 0.50267971  0.49174869 -0.00418264],[ 0.50389987  0.49321258 -0.00412095]
[ 4.77722406e-01  4.60921407e-01 -2.22379235e-08],[ 0.48030239  0.45873901 -0.0085551 ],[ 0.48474789  0.46010825 -0.01361299],[ 0.4900246   0.46233004 -0.01734803],[ 0.4945868   0.46331492 -0.02060406],[ 0.4837887   0.48105124 -0.01109007],[ 0.49391523  0.48843381 -0.01675965],[ 0.50048238  0.48548627 -0.02048103],[ 0.5033505   0.48105592 -0.02237343],[ 0.4861626   0.48369476 -0.00851673],[ 0.49739605  0.49036714 -0.01376747],[ 0.50356114  0.48629579 -0.01624634],[ 0.50615329  0.48055068 -0.01729585],[ 0.48890468  0.48418367 -0.00664308],[ 0.49965525  0.48957193 -0.01085532],[ 0.50526571  0.4852657  -0.0122318 ],[ 0.50783992  0.48005813 -0.01248254],[ 0.49145457  0.48318854 -0.00540164],[ 0.49995047  0.48687208 -0.00877782],[ 0.50498277  0.48436475 -0.01001598],[ 0.50763369  0.48090065 -0.01024495]
[ 4.86164093e-01  4.58690643e-01 -6.06310095e-08],[ 0.48285565  0.4557696  -0.007442  ],[ 0.48131016  0.45386747 -0.0131792 ],[ 0.48157313  0.44979331 -0.0179064 ],[ 0.48298806  0.44575503 -0.02318634],[ 0.48699433  0.47050941 -0.01289179],[ 0.49411473  0.46476156 -0.01873741],[ 0.49832132  0.45710146 -0.02289912],[ 0.50043517  0.44989371 -0.02516658],[ 0.49301478  0.47295085 -0.01110864],[ 0.50018209  0.46650633 -0.01561926],[ 0.50299388  0.45730427 -0.01811654],[ 0.50389951  0.44890907 -0.01973185],[ 0.49787354  0.47278136 -0.00950554],[ 0.5043335   0.46673718 -0.01324783],[ 0.50564772  0.45765314 -0.01447282],[ 0.50535142  0.4502067  -0.01498328],[ 0.50110447  0.47101721 -0.0083925 ],[ 0.50603932  0.46586922 -0.01100259],[ 0.50699615  0.45848829 -0.01099355],[ 0.50675046  0.45209739 -0.01062832]


