[4.61941481e-01 2.62004465e-01 4.63852494e-08],[ 0.47923923  0.25198495 -0.00171927],[ 0.49059463  0.24748585 -0.00479908],[ 0.49728885  0.24954502 -0.0087214 ],[ 0.49956432  0.25339389 -0.01247367],[ 0.48525903  0.22413611 -0.00286248],[ 0.49501929  0.23649319 -0.00898468],[ 0.49950722  0.24974707 -0.01444571],[ 0.50117075  0.26184535 -0.01761931],[ 0.47690681  0.22966254 -0.00483856],[ 0.48349103  0.2447855  -0.00936048],[ 0.48589078  0.25330892 -0.01250257],[ 0.4858163   0.2600297  -0.01491574],[ 0.46942285  0.23892112 -0.0072456 ],[ 0.47669032  0.25176734 -0.01135479],[ 0.47932479  0.25775343 -0.01253444],[ 0.47945839  0.26262131 -0.01287222],[ 0.46404797  0.24916022 -0.01000554],[ 0.47016889  0.25919443 -0.01207105],[ 0.4736138   0.26346499 -0.01168025],[ 0.47486314  0.2669163  -0.01094362]
[4.69390899e-01 2.58758128e-01 2.06451434e-09],[ 0.48199606  0.2548601  -0.00163896],[ 0.4911021   0.25135648 -0.00518113],[ 0.49616963  0.25249836 -0.00941074],[ 0.49768296  0.25561559 -0.01385247],[ 0.49124607  0.22568288 -0.00424097],[ 0.497076    0.24099979 -0.01058539],[ 0.49784577  0.25286561 -0.01594646],[ 0.49763983  0.26018393 -0.01919938],[ 0.48368284  0.22584318 -0.00639962],[ 0.48823678  0.2447902  -0.01115941],[ 0.4870511   0.25258633 -0.01441119],[ 0.48485577  0.25482741 -0.01683856],[ 0.47559029  0.22976331 -0.00885171],[ 0.48041487  0.24601096 -0.01340199],[ 0.4801572   0.25296506 -0.01460821],[ 0.47899628  0.25487265 -0.01500696],[ 0.46800616  0.2356583  -0.01149362],[ 0.47306135  0.24649449 -0.01432601],[ 0.47473523  0.25388646 -0.01376965],[ 0.47526771  0.25769231 -0.01284155]
[4.66707319e-01 2.76734501e-01 7.40364303e-09],[ 0.47914851  0.27117714 -0.00239834],[ 0.4885309   0.26500025 -0.00538032],[ 0.4925161   0.26102805 -0.0091008 ],[ 0.49316123  0.25771123 -0.01263381],[ 4.91401404e-01  2.33258054e-01 -2.44199648e-04],[ 0.49582297  0.23337479 -0.00565455],[ 0.4967556   0.24464294 -0.01076726],[ 0.49584243  0.25429136 -0.0135882 ],[ 0.48414686  0.23079412 -0.00171673],[ 0.48712942  0.23020267 -0.00633182],[ 0.48825237  0.24326554 -0.00995864],[ 0.4870792   0.25389174 -0.01164939],[ 0.47629133  0.23255514 -0.00379118],[ 0.47833219  0.23059894 -0.00813725],[ 0.47982696  0.24282864 -0.00876443],[ 0.47898072  0.2523478  -0.00801568],[ 0.4684737   0.23782924 -0.00617302],[ 0.47041434  0.23725192 -0.0090434 ],[ 0.47239575  0.24612622 -0.0082036 ],[ 0.47252789  0.2532064  -0.00651776],[4.78513747e-01 2.39054605e-01 3.18023474e-08],[ 0.48707187  0.23779768 -0.00370455],[ 0.49315092  0.24054249 -0.00857906],[ 0.4961642   0.24824351 -0.01369816],[ 0.49716923  0.25668284 -0.01955864],[ 0.48881105  0.22454268 -0.01039555],[ 0.49142164  0.2373745  -0.01748857],[ 0.49297681  0.24682195 -0.02272561],[ 0.49362475  0.2533088  -0.02610726],[ 0.48015231  0.22640924 -0.01231192],[ 0.48190886  0.23693332 -0.01833601],[ 0.48283738  0.24565171 -0.02135539],[ 0.48282781  0.25066149 -0.02377797],[ 0.47214806  0.23088314 -0.01438824],[ 0.4730731   0.23856688 -0.02087522],[ 0.47408834  0.24668111 -0.022042  ],[ 0.47479063  0.25127327 -0.02244289],[ 0.46606523  0.23730604 -0.01665669],[ 0.46573156  0.24483299 -0.0213791 ],[ 0.46726048  0.25106001 -0.02135612],[ 0.46842629  0.25483996 -0.02115232]
[ 4.80628818e-01  2.43236661e-01 -9.83704673e-09],[ 0.48751545  0.24183333 -0.00485371],[ 0.49385086  0.24056    -0.00887621],[ 0.49621427  0.24552874 -0.01288987],[ 0.49544799  0.25195783 -0.01719751],[ 0.49010983  0.22650224 -0.00797761],[ 0.49247786  0.23185818 -0.01476045],[ 0.49300086  0.24247205 -0.0193783 ],[ 0.49314982  0.25078058 -0.02192984],[ 0.48137674  0.22715582 -0.00852022],[ 0.48080638  0.22682378 -0.01439238],[ 0.48129672  0.23707128 -0.01688137],[ 0.48128459  0.24434648 -0.01824762],[ 0.47340399  0.2304493  -0.009633  ],[ 0.4721238   0.22874185 -0.01557694],[ 0.47307786  0.23807888 -0.01631178],[ 0.47373003  0.24463068 -0.01597722],[ 0.4674668   0.23588121 -0.01102476],[ 0.46583956  0.23674317 -0.0153532 ],[ 0.46731696  0.24263617 -0.01549601],[ 0.46857184  0.24674833 -0.01514515]
[4.63650554e-01 2.80878544e-01 2.48757264e-08],[ 0.47860861  0.27229568 -0.00073537],[ 0.48762774  0.26034337 -0.00192307],[ 0.49060604  0.24884179 -0.00410592],[ 0.48918584  0.23875958 -0.00620222],[0.48991331 0.24289514 0.0022023 ],[ 0.49434212  0.23157573 -0.00290726],[ 0.49455428  0.23875448 -0.00742726],[ 0.49290243  0.24827763 -0.00946263],[0.48331362 0.23998278 0.00051051],[ 0.48670343  0.2261218  -0.00429233],[ 0.48676455  0.23551847 -0.00789917],[ 0.4848837   0.24664785 -0.00916544],[ 0.4756043   0.23910902 -0.00178025],[ 0.47864252  0.22465998 -0.00609293],[ 0.47904304  0.23399326 -0.00673778],[ 0.4774594   0.24427745 -0.00569864],[ 0.46728677  0.24054565 -0.00416929],[ 0.47000521  0.22955459 -0.00703798],[ 0.47120219  0.23544227 -0.00635002],[ 0.47070307  0.24319915 -0.0046459 ],[ 4.80437458e-01  2.45720744e-01 -9.71008962e-09],[ 0.48642138  0.24569242 -0.00593808],[ 0.492015    0.24485952 -0.01063372],[ 0.49424458  0.24794495 -0.01484624],[ 0.49303421  0.25047278 -0.01910156],[ 0.49037233  0.22731447 -0.01000959],[ 0.4940742   0.23176588 -0.01743534],[ 0.49476475  0.24233201 -0.02251959],[ 0.49441624  0.25229758 -0.02513879],[ 0.48225453  0.22662735 -0.00993816],[ 0.48139963  0.22433884 -0.01579644],[ 0.4821927   0.23337635 -0.01848044],[ 0.48254779  0.24084662 -0.01988057],[ 0.47450483  0.2291536  -0.01044933],[ 0.47290856  0.22745621 -0.01602988],[ 0.47416732  0.23507534 -0.01708459],[ 0.47477418  0.24083334 -0.01701777],[ 0.46832308  0.23413488 -0.01129858],[ 0.46689174  0.23455571 -0.01530265],[ 0.46813709  0.23989119 -0.01546035],[ 0.46902937  0.24397857 -0.01507965]
[ 4.68813062e-01  2.75935560e-01 -8.05382339e-09],[ 0.47893059  0.26865083 -0.00389195],[ 0.48501283  0.25679615 -0.00715575],[ 0.48665035  0.24298039 -0.01054956],[ 0.48558265  0.23134375 -0.01343987],[ 0.49051714  0.24276502 -0.00307582],[ 0.49484625  0.22864163 -0.00966238],[ 0.49391475  0.23500663 -0.01418508],[ 0.49167314  0.24386211 -0.01609984],[ 0.48439401  0.24005364 -0.00344759],[ 0.48648748  0.22343948 -0.00935376],[ 0.4852199   0.23217586 -0.01207925],[ 0.48346093  0.24167489 -0.01272399],[ 0.47705007  0.23876052 -0.00466394],[ 0.47871783  0.22384664 -0.01020884],[ 0.47765315  0.23221456 -0.01003079],[ 0.47611648  0.24042557 -0.00841317],[ 0.46943244  0.23886348 -0.00611251],[ 0.4705162   0.22745542 -0.00942693],[ 0.4700509   0.23288743 -0.00834254],[ 0.46894673  0.23874953 -0.00646089]



[4.45828706e-01 2.73270965e-01 9.80678863e-08],[ 0.44955149  0.25084257 -0.00334999],[ 0.45545572  0.2350387  -0.00711165],[ 0.46162656  0.2260778  -0.01066213],[ 0.46838272  0.22013372 -0.01449825],[ 0.46147811  0.23900343 -0.00999177],[ 0.47151256  0.23026434 -0.01660931],[ 0.47764906  0.22542587 -0.0211675 ],[ 0.48283491  0.22194105 -0.02434125],[ 0.46351659  0.2491561  -0.01189278],[ 0.47518447  0.24506648 -0.01875148],[ 0.48153651  0.24130867 -0.02313278],[ 0.48637289  0.23775521 -0.02645376],[ 0.46397799  0.25951108 -0.01394091],[ 0.47423035  0.25831187 -0.02048714],[ 0.48041442  0.25443208 -0.02344266],[ 0.48513424  0.25040624 -0.02552013],[ 0.46250343  0.27007931 -0.01603742],[ 0.4705826   0.26807323 -0.02132123],[ 0.47626388  0.26447272 -0.02330765],[ 0.48048401  0.26078585 -0.02483158]
