
[4.97676581e-01 7.36435115e-01 3.05152312e-08],[ 0.49233374  0.74311727 -0.00706789],[ 0.48797181  0.75516808 -0.00935659],[ 0.48497894  0.7659483  -0.00985559],[ 0.48404631  0.77547026 -0.00922911],[ 0.49198774  0.76968652 -0.00857224],[ 0.48961666  0.79046255 -0.00990069],[ 0.483814    0.79365075 -0.00966937],[ 0.48040795  0.79124367 -0.00847051],[ 0.49288267  0.77131331 -0.00383935],[ 0.48911393  0.79137707 -0.0037143 ],[ 0.48293701  0.79287481 -0.00316136],[ 0.48001283  0.78866786 -0.00244917],[4.92487788e-01 7.71380246e-01 7.01086887e-04],[0.4886463  0.78760642 0.00111877],[4.83660042e-01 7.88891494e-01 6.15899742e-04],[4.81272042e-01 7.86341548e-01 4.14881913e-04],[0.4908438  0.77039158 0.00491922],[0.48776257 0.78365093 0.00620785],[0.48356315 0.78681004 0.00671579],[0.48141313 0.78583115 0.00716671]
[3.45435619e-01 5.94755769e-01 1.25179270e-07],[ 0.34862271  0.58100355 -0.00621754],[ 0.35117054  0.56123883 -0.00986369],[ 0.35333854  0.54359102 -0.01179985],[ 0.35403973  0.53196293 -0.01330883],[ 0.34192353  0.55689567 -0.01459026],[ 0.34195068  0.5241316  -0.0197445 ],[ 0.34307367  0.50579369 -0.02152164],[ 0.34459022  0.49275506 -0.02202775],[ 0.34378359  0.55734974 -0.01308285],[ 0.34650731  0.52577001 -0.01896139],[ 0.34952271  0.50713557 -0.0211947 ],[ 0.35261849  0.49441916 -0.02184697],[ 0.346883    0.55757219 -0.01135329],[ 0.35126182  0.52776295 -0.01669347],[ 0.35411921  0.50853419 -0.01872073],[ 0.35677817  0.49447486 -0.01903449],[ 0.35046574  0.55783278 -0.00958712],[ 0.35059556  0.53414667 -0.01373598],[ 0.35091525  0.5187279  -0.01465286],[ 0.35170731  0.5068686  -0.01431129],[5.00825226e-01 7.40043044e-01 7.27928224e-08],[ 0.4893958   0.74800485 -0.00523049],[ 0.48392126  0.76382059 -0.00493641],[ 0.48048413  0.77561951 -0.00303823],[ 4.78455424e-01  7.84352183e-01 -1.27420630e-04],[ 0.4952493   0.7779786  -0.00284287],[ 0.48855549  0.79361582 -0.00127177],[4.81971920e-01 7.94805825e-01 4.42475750e-04],[0.47795385 0.79271233 0.00204777],[0.49949759 0.7780301  0.00142256],[0.49114203 0.79137892 0.00360293],[0.48408741 0.79074675 0.00455396],[0.47936261 0.78722191 0.00515269],[0.50104207 0.77581084 0.00549296],[0.49299654 0.78605622 0.00761298],[0.48637182 0.78562057 0.00719815],[0.48198456 0.78271407 0.00659159],[0.50047237 0.77279502 0.00918212],[0.49433658 0.78153455 0.01070461],[0.48901239 0.78233987 0.01065695],[0.48525518 0.78029346 0.01067676]
[3.46328259e-01 5.78046203e-01 1.59900154e-07],[ 0.36179999  0.56739932 -0.00724166],[ 0.37004009  0.54653662 -0.01192757],[ 0.37196106  0.5261386  -0.0144093 ],[ 0.37120196  0.51264167 -0.01644913],[ 0.35808966  0.55570942 -0.02104604],[ 0.36144894  0.52326983 -0.02654435],[ 0.3642447   0.50778377 -0.02697414],[ 0.36586711  0.4960539  -0.02644108],[ 0.34612793  0.55330664 -0.01872075],[ 0.34827077  0.51873678 -0.02420278],[ 0.35111788  0.50080329 -0.02420397],[ 0.35314372  0.48919189 -0.02399816],[ 0.3370097   0.54847497 -0.01594067],[ 0.33986163  0.51738334 -0.02019193],[ 0.34395179  0.50060004 -0.02068515],[ 0.34671339  0.48970863 -0.02080337],[ 0.33102456  0.54190367 -0.01332365],[ 0.33218637  0.51645279 -0.01656553],[ 0.33451891  0.5017851  -0.01761931],[ 0.33660781  0.49107361 -0.01820566],[5.00980377e-01 7.39444852e-01 6.87619703e-08],[ 0.48908138  0.74697363 -0.00455745],[ 0.4835968   0.76308447 -0.00447285],[ 0.48046568  0.77582955 -0.00309879],[ 0.47904351  0.78534913 -0.00101667],[ 0.49503183  0.77875823 -0.00220788],[ 0.48905367  0.79407835 -0.00096128],[4.82425094e-01 7.95514405e-01 1.40990078e-05],[0.47784039 0.7933324  0.00098444],[0.50000018 0.77846378 0.00136697],[0.49210954 0.79100931 0.00354557],[0.48477444 0.79107881 0.00411585],[0.47967112 0.7880125  0.00433393],[0.50259852 0.77581763 0.00480525],[0.49446955 0.78578579 0.0070041 ],[0.48783442 0.78590596 0.00682081],[0.4833667  0.78327578 0.00629747],[0.50304675 0.77228332 0.00787983],[0.49654105 0.78092241 0.00941015],[0.49111706 0.78248388 0.00970318],[0.48730081 0.78090024 0.01000044]
[3.49940181e-01 5.71384668e-01 1.55428125e-07],[ 0.34922534  0.55730993 -0.00690326],[ 0.34818012  0.53688377 -0.0116333 ],[ 0.34957874  0.51884335 -0.01426625],[ 0.35300601  0.50702983 -0.01642656],[ 0.33840781  0.54246104 -0.01931249],[ 0.33711252  0.51218057 -0.02558646],[ 0.33921364  0.49601033 -0.02764764],[ 0.34204271  0.48331884 -0.02836437],[ 0.3442311   0.54650623 -0.01782714],[ 0.34742361  0.51724488 -0.02478581],[ 0.35119614  0.4992753  -0.02693731],[ 0.35446852  0.48593169 -0.02793021],[ 0.35162014  0.54922587 -0.01596568],[ 0.35751387  0.5226661  -0.0221172 ],[ 0.36193743  0.50507152 -0.02385268],[ 0.36486822  0.49168965 -0.02409576],[ 0.35888153  0.54923421 -0.0141232 ],[ 0.36395034  0.52654284 -0.01861216],[ 0.36711717  0.51198959 -0.01959437],[ 0.36887181  0.5001964  -0.01963473],[5.00968814e-01 7.38217533e-01 5.89658420e-08],[ 0.48997062  0.74629366 -0.00382015],[ 0.48413688  0.761989   -0.00365259],[ 0.48056287  0.7749095  -0.00248843],[ 4.78738219e-01  7.84924567e-01 -6.42456580e-04],[ 0.49514011  0.7779566  -0.0008966 ],[4.89506274e-01 7.92552769e-01 8.87029528e-05],[4.83807564e-01 7.94796050e-01 6.41787425e-04],[0.47970009 0.79368317 0.00125779],[0.50014597 0.77725136 0.00193367],[0.49262142 0.78926939 0.00378667],[0.48599938 0.78993559 0.00412208],[0.48111057 0.78818285 0.00413564],[0.50284213 0.77436739 0.00455017],[0.49510232 0.78410268 0.00615226],[0.48894551 0.78450704 0.00603171],[0.48457369 0.7828539  0.0056212 ],[0.50347471 0.77082682 0.00683786],[0.49714673 0.77941298 0.00793657],[0.49191397 0.7810958  0.00836735],[0.48813266 0.78007203 0.0088081 ]
[3.54018360e-01 5.67213476e-01 1.73701011e-07],[ 0.34355098  0.55507416 -0.00485167],[ 0.33682597  0.53494734 -0.00937148],[ 0.33767647  0.51622778 -0.01238386],[ 0.34130555  0.5029664  -0.01511423],[ 0.33751446  0.54043001 -0.01819808],[ 0.33684298  0.50869346 -0.02432138],[ 0.33998081  0.49146438 -0.02648152],[ 0.34292629  0.47856221 -0.02724741],[ 0.34890947  0.54419982 -0.01833424],[ 0.35110304  0.51286089 -0.02416598],[ 0.35377043  0.49502647 -0.02554365],[ 0.35572174  0.48263088 -0.02620872],[ 0.36090922  0.54718107 -0.01788158],[ 0.36513376  0.51884663 -0.02257595],[ 0.36734101  0.50207263 -0.02300479],[ 0.36821935  0.49025923 -0.02288937],[ 0.37174436  0.54822576 -0.01740973],[ 0.37462333  0.52573103 -0.02096022],[ 0.37612355  0.51302689 -0.02071661],[ 0.376937    0.50367677 -0.02001136],[5.01426578e-01 7.39090741e-01 5.18961834e-08],[ 0.48903844  0.74665338 -0.00438516],[ 0.48322076  0.76250684 -0.00435195],[ 0.47959569  0.7759521  -0.00319645],[ 0.47830513  0.78577298 -0.00130909],[ 0.49509728  0.77839088 -0.00214916],[ 0.48804739  0.79329562 -0.00155573],[ 0.48145446  0.79430801 -0.00107273],[ 4.77088183e-01  7.91730046e-01 -4.73419321e-04],[0.50003445 0.77779377 0.00097374],[0.4913131  0.78968257 0.00228014],[0.48432937 0.78845316 0.00248991],[0.48000821 0.78449607 0.00250886],[0.50244176 0.77468252 0.00391344],[0.49350709 0.7840327  0.00483347],[0.48685756 0.78340596 0.00442938],[0.48261988 0.7800976  0.00397994],[0.50272715 0.77092081 0.00654783],[0.49545196 0.77937871 0.00675598],[0.48982108 0.77997208 0.00671013],[0.48595729 0.77745146 0.00697233]
[3.55867147e-01 5.66593409e-01 1.65050139e-07],[ 0.34446797  0.55533332 -0.00739062],[ 0.33734021  0.53445578 -0.01263756],[ 0.33819678  0.51520318 -0.01594535],[ 0.3429617   0.50256068 -0.01902209],[ 0.34089518  0.54008096 -0.02056273],[ 0.33938986  0.50992632 -0.02736508],[ 0.3416217   0.49233717 -0.03002922],[ 0.3438873   0.47834849 -0.03133646],[ 0.35270664  0.54181397 -0.01963239],[ 0.35459882  0.51306415 -0.02671809],[ 0.35668182  0.49555176 -0.028919  ],[ 0.35839215  0.48267397 -0.03015645],[ 0.36508885  0.54348445 -0.01829765],[ 0.36895046  0.51683122 -0.02428982],[ 0.37061769  0.49968046 -0.0255955 ],[ 0.37129289  0.48685843 -0.02589181],[ 0.37579536  0.54331398 -0.01713273],[ 0.37903583  0.52020872 -0.02168328],[ 0.37995455  0.50530088 -0.02247105],[ 0.38051963  0.49350703 -0.02254966],[4.99984205e-01 7.39229381e-01 5.37732205e-08],[ 0.48892808  0.74646056 -0.00540239],[ 0.48352525  0.76179582 -0.00552789],[ 0.48003703  0.77490485 -0.00429439],[ 0.47827271  0.78467482 -0.00220519],[ 0.49468955  0.77791798 -0.00253176],[ 0.48748296  0.79329002 -0.00171087],[ 0.48068759  0.79408175 -0.00090196],[4.76200044e-01 7.90875912e-01 7.23341436e-05],[0.49924976 0.77724546 0.00139322],[0.49031591 0.78920972 0.00300472],[0.48317426 0.78722829 0.00336079],[0.47885981 0.78261745 0.00353852],[0.50118923 0.77407348 0.00503741],[0.49227622 0.78316325 0.00621074],[0.48574647 0.78156048 0.00560329],[0.48189461 0.77742535 0.00506252],[0.50117296 0.77043456 0.00830775],[0.49431691 0.77873772 0.00876124],[0.48885018 0.77852601 0.00856099],[0.48539752 0.77507561 0.00871405]
[3.54988426e-01 5.65958619e-01 1.56501443e-07],[ 0.35833865  0.5568924  -0.00807466],[ 0.35932153  0.53676349 -0.01332741],[ 0.35981822  0.51792473 -0.01608246],[ 0.36030924  0.50607795 -0.01847858],[ 0.35699132  0.54280007 -0.02146594],[ 0.35611841  0.50798774 -0.02668481],[ 0.35729492  0.49080223 -0.02741525],[ 0.35854754  0.47760987 -0.02722372],[ 0.35559797  0.54415417 -0.01903298],[ 0.35754007  0.51078475 -0.0244385 ],[ 0.35864043  0.49315962 -0.02527408],[ 0.35976139  0.48090169 -0.02555284],[ 0.35470563  0.54366779 -0.0160711 ],[ 0.35748857  0.51255065 -0.02051678],[ 0.35914811  0.49731243 -0.0213759 ],[ 0.35994908  0.48820493 -0.0215193 ],[ 0.35375053  0.54054296 -0.01325755],[ 0.35424966  0.51618987 -0.01667387],[ 0.35529646  0.50475919 -0.0172729 ],[ 0.35548639  0.49800092 -0.01734106],[5.00892699e-01 7.38788426e-01 5.12954443e-08],[ 0.48920044  0.74579817 -0.00380714],[ 0.483367    0.76094598 -0.00379538],[ 0.47954661  0.77380931 -0.00284952],[ 0.47742629  0.78368467 -0.00117397],[ 0.49448019  0.77681196 -0.00180803],[ 0.48827738  0.79212654 -0.00138344],[ 0.48172376  0.79388452 -0.00091296],[ 4.77205217e-01  7.91584969e-01 -2.55916675e-04],[0.49955928 0.77619582 0.00084512],[0.49188811 0.78935516 0.00224148],[0.48500898 0.78921962 0.00273371],[0.48057765 0.78609943 0.00285921],[0.50212538 0.77311766 0.00329452],[0.49415168 0.78392768 0.00450245],[0.48782358 0.7838428  0.0046193 ],[0.48387402 0.78101444 0.00440274],[0.50265586 0.76912427 0.0054378 ],[0.49628147 0.77888697 0.0061635 ],[0.49088553 0.78020656 0.00663102],[0.48735482 0.77802908 0.00710984]
[3.53876233e-01 5.63175142e-01 1.52396836e-07],[ 0.36559761  0.55405307 -0.00800178],[ 0.37058875  0.5362795  -0.01298904],[ 0.37130648  0.51878566 -0.01545381],[ 0.37034541  0.50732309 -0.01754373],[ 0.35976863  0.5416916  -0.02092644],[ 0.35907257  0.50825542 -0.02604943],[ 0.35989326  0.49089509 -0.02665721],[ 0.36103943  0.47795188 -0.02640065],[ 0.35144028  0.54095727 -0.01813947],[ 0.35432512  0.50966257 -0.02326535],[ 0.35759693  0.4925563  -0.02400957],[ 0.36098105  0.48062894 -0.0243468 ],[ 0.34501728  0.53829777 -0.0148806 ],[ 0.34949151  0.51107943 -0.018744  ],[ 0.35524333  0.49526504 -0.01963895],[ 0.3597388   0.48504716 -0.02006316],[ 0.34033015  0.53356898 -0.01181621],[ 0.34168145  0.51051396 -0.01476109],[ 0.34450445  0.49762675 -0.01572909],[ 0.34658173  0.48861751 -0.01626058],[5.00535786e-01 7.38226712e-01 5.68422855e-08],[ 0.48887065  0.74515831 -0.00424067],[ 0.48293185  0.76077133 -0.00447686],[ 0.47913325  0.77413154 -0.00363768],[ 0.47703516  0.78444129 -0.00206579],[ 0.49453893  0.77627313 -0.00303197],[ 0.48826173  0.79211599 -0.00288999],[ 0.48137811  0.79358852 -0.00236617],[ 0.47650129  0.79122984 -0.00161209],[ 4.99758989e-01  7.75983572e-01 -1.06702944e-04],[0.49164554 0.78875446 0.00093265],[0.48443606 0.78793883 0.00143185],[0.47970593 0.78436172 0.00166885],[0.50248265 0.77317923 0.00266958],[0.4940165  0.78320754 0.00369559],[0.48756513 0.78250444 0.00389708],[0.48350003 0.77929312 0.00380781],[0.50311714 0.76937968 0.00511619],[0.49633014 0.77815747 0.00573457],[0.49079797 0.77904397 0.00620434],[0.48722625 0.77671003 0.00676231]
[3.53242695e-01 5.66273510e-01 1.71145871e-07],[ 0.36766109  0.56014961 -0.00904041],[ 0.37592083  0.54200649 -0.01466287],[ 0.37786645  0.52338797 -0.01762954],[ 0.37658733  0.51073903 -0.02027681],[ 0.36180392  0.54987085 -0.02410012],[ 0.3662625   0.52096719 -0.03133766],[ 0.37037894  0.50440902 -0.03331549],[ 0.37366065  0.49151435 -0.03382003],[ 0.3507992   0.54614949 -0.02112103],[ 0.35406503  0.51732403 -0.02782272],[ 0.35789609  0.49942869 -0.02895801],[ 0.36135054  0.48656732 -0.02950839],[ 0.34323472  0.54109246 -0.0177113 ],[ 0.34548709  0.51435149 -0.02276935],[ 0.34977025  0.49832851 -0.02410409],[ 0.35322681  0.48757756 -0.02473741],[ 0.33899397  0.53507882 -0.01461647],[ 0.33996725  0.51314473 -0.01850827],[ 0.34254101  0.49997705 -0.02017524],[ 0.34524354  0.4903228  -0.02112043],[5.01474023e-01 7.37064362e-01 4.90888183e-08],[ 0.48961651  0.74347091 -0.00385075],[ 0.48336512  0.75866944 -0.00421889],[ 0.48007858  0.77135652 -0.00376877],[ 0.4786073   0.78084302 -0.00266061],[ 0.4947769   0.77574116 -0.0031064 ],[ 0.48833984  0.79103208 -0.00397475],[ 0.48171479  0.79260731 -0.00421422],[ 0.47731164  0.78963721 -0.00392865],[ 0.49999714  0.77550232 -0.00096855],[ 0.49195689  0.78837705 -0.0009645 ],[ 0.48496604  0.78811568 -0.00094165],[ 0.48066178  0.78468335 -0.00095309],[0.50283664 0.77263719 0.00096615],[0.4947893  0.78341323 0.00097276],[0.48842308 0.78317118 0.00111601],[0.48444808 0.780204   0.00115176],[0.5038051  0.76859105 0.00259604],[0.49722958 0.778184   0.00249104],[0.49184689 0.77927768 0.00302522],[0.48838836 0.77699721 0.00371648]
[3.55897665e-01 5.70695400e-01 1.68314486e-07],[ 0.36970621  0.56473845 -0.00877614],[ 0.37770519  0.54808986 -0.01480917],[ 0.38028756  0.53092241 -0.01829887],[ 0.38150716  0.51780742 -0.02157758],[ 0.36440042  0.5581193  -0.02538309],[ 0.3703317   0.53066063 -0.03296392],[ 0.37492371  0.51455075 -0.03499776],[ 0.37851384  0.50146395 -0.0354862 ],[ 0.35318342  0.55488473 -0.02258949],[ 0.35766953  0.52684319 -0.02959624],[ 0.36213258  0.50895858 -0.03065226],[ 0.36604866  0.49609452 -0.03126854],[ 0.34533361  0.54937214 -0.01928374],[ 0.34807137  0.523215   -0.0245923 ],[ 0.35249627  0.50730717 -0.02601426],[ 0.35591707  0.49675497 -0.02674012],[ 0.34081221  0.54225445 -0.01623867],[ 0.34188992  0.51966369 -0.02006232],[ 0.34490752  0.50591475 -0.02178363],[ 0.34816149  0.496142   -0.02290169],[5.01019657e-01 7.36345232e-01 5.28155120e-08],[ 0.48861346  0.74352646 -0.0041087 ],[ 0.48260152  0.75923413 -0.00428077],[ 0.47922683  0.77253079 -0.00341138],[ 0.47685152  0.78268981 -0.00175136],[ 0.49433744  0.77411878 -0.00256871],[ 0.48770863  0.78986663 -0.0025595 ],[ 0.48114941  0.7916407  -0.00220475],[ 0.47665173  0.78929502 -0.00156157],[4.99703616e-01 7.74688303e-01 2.40695095e-04],[0.49129656 0.7877993  0.00117202],[0.4844079  0.78719276 0.00159298],[0.48011634 0.78409946 0.00181127],[0.50236118 0.77287722 0.00285553],[0.49375769 0.78380859 0.0037247 ],[0.48748112 0.78327864 0.00388486],[0.48358494 0.78059268 0.00377804],[0.50284505 0.77029616 0.0051489 ],[0.49606502 0.77987206 0.00544675],[0.4906747  0.78057426 0.00581622],[0.48720858 0.77843332 0.00636506]
[3.57294708e-01 5.77845931e-01 1.56210405e-07],[ 0.37044564  0.57123774 -0.00842362],[ 0.37833151  0.55371481 -0.01429166],[ 0.38190824  0.53545725 -0.01765163],[ 0.38388783  0.5216893  -0.02070373],[ 0.36721411  0.56646103 -0.02396778],[ 0.37207246  0.54051554 -0.03165341],[ 0.37671229  0.52361852 -0.03407234],[ 0.37986448  0.5100894  -0.03473156],[ 0.35838005  0.56565881 -0.02143549],[ 0.3634139   0.53793645 -0.02797446],[ 0.36818269  0.51968873 -0.02869476],[ 0.3722671   0.50616491 -0.02900557],[ 0.35128909  0.56138426 -0.0184533 ],[ 0.35369894  0.53687304 -0.02328147],[ 0.35800672  0.52086627 -0.02334886],[ 0.3612535   0.51013517 -0.02297657],[ 0.34568405  0.55449444 -0.01579608],[ 0.34563652  0.533234   -0.01890413],[ 0.34799969  0.52044332 -0.01908167],[ 0.35053071  0.51145595 -0.01893827],[5.01271546e-01 7.35166430e-01 4.75814375e-08],[ 0.48897848  0.7419911  -0.00397262],[ 0.48245886  0.75822335 -0.00387008],[ 0.47923726  0.77113813 -0.00278464],[ 0.47818825  0.7807014  -0.00095152],[ 0.49406531  0.77314663 -0.002389  ],[ 0.48815957  0.7889719  -0.00264108],[ 0.48154208  0.79081738 -0.00239644],[ 0.47710326  0.78817594 -0.00173093],[4.99285668e-01 7.73680687e-01 2.45249539e-04],[4.91306484e-01 7.86812901e-01 6.55272452e-04],[4.84228581e-01 7.86065221e-01 7.37934315e-04],[0.47990197 0.78258926 0.00088987],[0.50198889 0.77198392 0.00267921],[0.49362737 0.78266096 0.00298331],[0.48711395 0.78198063 0.00282683],[0.4831931  0.77905697 0.00271274],[0.50280809 0.76938879 0.00481792],[0.4959906  0.77872884 0.00481516],[0.49030671 0.77957934 0.00501762],[0.48681778 0.77757442 0.00551276]
