[3.23791444e-01 5.60714662e-01 7.84660870e-08],[ 0.33586571  0.5449661  -0.00379281],[ 0.34151584  0.52329093 -0.00711842],[ 0.34190068  0.50269067 -0.00946978],[ 0.3414157   0.4887121  -0.01199604],[ 0.33920065  0.53474045 -0.01380028],[ 0.338918    0.51058787 -0.01872406],[ 0.33858919  0.49791658 -0.02017976],[ 0.33808589  0.4871878  -0.02092591],[ 0.32888043  0.53890431 -0.01447032],[ 0.32839888  0.51464492 -0.02107411],[ 0.32908672  0.49895692 -0.0235409 ],[ 0.32963142  0.48636782 -0.0251046 ],[ 0.31840223  0.53956538 -0.0149101 ],[ 0.31731462  0.51515096 -0.02154679],[ 0.31948587  0.49857101 -0.02413856],[ 0.32119042  0.48581553 -0.02525102],[ 0.30826852  0.53620201 -0.01505988],[ 0.30617049  0.51392412 -0.02043634],[ 0.30687517  0.49783778 -0.02299291],[ 0.3081286   0.48410332 -0.02452997],[4.75517124e-01 7.06933498e-01 9.64045768e-08],[ 0.46642673  0.72230721 -0.00468568],[ 0.46178108  0.73978448 -0.00447209],[ 0.45849073  0.75434023 -0.00327064],[ 0.45567662  0.7658788  -0.00106618],[0.47439128 0.75110519 0.00407149],[0.46805722 0.76793075 0.00775809],[0.46220326 0.76996869 0.0093325 ],[0.4581286  0.76872838 0.01025183],[0.47820139 0.74944967 0.00813073],[0.4714838  0.76389426 0.01255308],[0.4654451  0.76626867 0.01317418],[0.46055049 0.76622969 0.01308207],[0.4792836  0.74659282 0.01163495],[0.47274554 0.75898492 0.01596531],[0.46720636 0.76149768 0.0166736 ],[0.46262124 0.76197737 0.01639996],[0.47810534 0.74347061 0.01453434],[0.4730303  0.75453234 0.01812198],[0.46811903 0.75788736 0.01950399],[0.46396133 0.7585308  0.0203153 ]
[3.27598512e-01 5.27694046e-01 5.35514602e-08],[ 0.32430953  0.51735437 -0.00591226],[ 0.32613713  0.50632405 -0.01044547],[ 0.33227614  0.49270964 -0.01380058],[ 0.33933207  0.48351038 -0.01733248],[ 0.3144325   0.53430766 -0.01761614],[ 0.30959311  0.51156509 -0.02398985],[ 0.31158954  0.49580801 -0.02661292],[ 0.31452531  0.48308006 -0.02820788],[ 0.31943879  0.53906363 -0.01797889],[ 0.31897801  0.51477146 -0.02591252],[ 0.32217634  0.49676389 -0.02899417],[ 0.32493895  0.48202166 -0.03125669],[ 0.32574579  0.53751332 -0.01808639],[ 0.32683721  0.51437432 -0.02657814],[ 0.33124846  0.49630845 -0.02912633],[ 0.33409566  0.48148012 -0.03005553],[ 0.33159816  0.53104371 -0.0181434 ],[ 0.33273521  0.51074678 -0.02397929],[ 0.33497116  0.49484748 -0.02552895],[ 0.33690694  0.48040995 -0.02670898],[4.76087183e-01 7.10142672e-01 6.52253007e-08],[ 0.46640936  0.72194403 -0.0041229 ],[ 0.46187708  0.73990387 -0.00392776],[ 0.45905635  0.75439894 -0.00275786],[ 4.56335366e-01  7.65292168e-01 -5.82996814e-04],[4.74598199e-01 7.50917494e-01 5.44449082e-04],[0.46776289 0.76860875 0.0018312 ],[0.46152636 0.77072203 0.00250154],[0.45744026 0.76856917 0.00321395],[0.47810301 0.75080097 0.00377956],[0.47057462 0.76713187 0.00577703],[0.46403369 0.76872927 0.006023  ],[0.45950803 0.76780027 0.00600324],[0.4785167  0.74931991 0.006639  ],[0.47132447 0.76396346 0.00849773],[0.46534383 0.76596123 0.00841444],[0.46107304 0.7655341  0.00801294],[0.47683817 0.74786246 0.00912279],[0.47116858 0.76080078 0.01045823],[0.46566013 0.76428419 0.01082412],[0.46140924 0.76490295 0.01117562]
[3.34779322e-01 5.23512959e-01 4.01911002e-08],[ 0.32751635  0.51802111 -0.0062537 ],[ 0.32209802  0.51018578 -0.01406474],[ 0.31894112  0.50039637 -0.02186647],[ 0.31758705  0.49125466 -0.03014878],[ 0.31272715  0.53272378 -0.01551908],[ 0.31237775  0.50974607 -0.02759388],[ 0.31481943  0.49190283 -0.03614929],[ 0.3165876   0.47872311 -0.04105859],[ 0.31922418  0.53728223 -0.01776982],[ 0.32026395  0.51185119 -0.02841145],[ 0.32133141  0.49314889 -0.03276386],[ 0.32143205  0.47984028 -0.03517357],[ 0.32799885  0.53671175 -0.02049332],[ 0.3302488   0.51265705 -0.03047291],[ 0.32984075  0.49404871 -0.03089307],[ 0.32925308  0.48075643 -0.02982091],[ 0.33723196  0.53277332 -0.02370444],[ 0.34039775  0.51381028 -0.03021389],[ 0.33959308  0.49936667 -0.02938259],[ 0.33848953  0.48863375 -0.02774598],[4.76121843e-01 7.10653007e-01 8.08938196e-08],[ 0.46728081  0.72231263 -0.00488346],[ 0.46249714  0.73914832 -0.00491943],[ 0.45913258  0.75336295 -0.00384965],[ 0.45617741  0.76474714 -0.00190882],[0.47496605 0.75037712 0.00211695],[0.46909976 0.76628977 0.00424546],[0.46316132 0.76920927 0.00470697],[0.45895332 0.76871902 0.00491693],[0.47782171 0.74957067 0.00574415],[0.47172621 0.76402402 0.00843089],[0.46576944 0.76746053 0.00812145],[0.46106428 0.76848006 0.00743464],[0.47828519 0.74778402 0.00885582],[0.47239938 0.7609939  0.01137648],[0.46708727 0.76452339 0.01122091],[0.46271539 0.76624548 0.01056896],[0.4767985  0.74598277 0.01145694],[0.47220847 0.75811762 0.01348178],[0.46749499 0.7625789  0.01410271],[0.46352252 0.76459247 0.0144286 ]
[3.21524054e-01 5.30141115e-01 4.73396753e-08],[ 0.33220625  0.52583641 -0.01121673],[ 0.33783621  0.5197987  -0.02237618],[ 0.33748224  0.50960958 -0.03214375],[ 0.33668211  0.49977607 -0.04230073],[ 0.33003116  0.53122663 -0.02980911],[ 0.33225012  0.51058537 -0.04395885],[ 0.33325362  0.49455404 -0.05228504],[ 0.33361477  0.48060381 -0.05700556],[ 0.32048333  0.53311372 -0.02986327],[ 0.32337302  0.50769788 -0.04310126],[ 0.32505417  0.48931035 -0.04768283],[ 0.32599577  0.47515044 -0.05043949],[ 0.31299895  0.53070104 -0.03002676],[ 0.31628215  0.50694782 -0.04207635],[ 0.31835374  0.48982954 -0.04424625],[ 0.32100675  0.47673866 -0.04457642],[ 0.30775344  0.52573299 -0.0308852 ],[ 0.31039211  0.50588489 -0.03909228],[ 0.31277511  0.49188268 -0.04050036],[ 0.31529653  0.4805882  -0.04082004],[4.76661086e-01 7.12671459e-01 9.35342328e-08],[ 0.46750012  0.72348839 -0.00544174],[ 0.46276841  0.74049103 -0.00522741],[ 0.45927072  0.75382936 -0.00360767],[ 0.45653373  0.76494664 -0.00116747],[0.47484758 0.75158715 0.00179766],[0.46963134 0.76681948 0.00565412],[0.46439812 0.76943386 0.00746254],[0.46064171 0.76873666 0.00849036],[0.47824392 0.75031096 0.00634968],[0.47218335 0.76375687 0.01082555],[0.46641356 0.76649094 0.01148574],[0.46169376 0.76677245 0.01134861],[0.47918025 0.74792331 0.01048672],[0.47314647 0.76001173 0.01472539],[0.46787059 0.76230204 0.01493163],[0.46360105 0.76322734 0.01424824],[0.47815603 0.74550647 0.01407939],[0.47344384 0.7565676  0.01744108],[0.4688375 0.7599479 0.0183279],[0.46508908 0.76112741 0.01862724]
[ 3.27568024e-01  5.14683306e-01 -7.16137691e-08],[ 0.32905358  0.5145539  -0.00534615],[ 0.32814351  0.51075023 -0.01133847],[ 0.32651561  0.50378186 -0.01708181],[ 0.32531163  0.4979611  -0.02312975],[ 0.32228145  0.52943265 -0.01285998],[ 0.31948531  0.51031327 -0.02228795],[ 0.32012284  0.49359164 -0.02893756],[ 0.32113606  0.48038206 -0.03233463],[ 0.32062963  0.53086901 -0.01347292],[ 0.31819129  0.50595069 -0.0218947 ],[ 0.32048211  0.48823532 -0.02496177],[ 0.32236066  0.47552851 -0.02604992],[ 0.32037604  0.52881306 -0.01438933],[ 0.31885564  0.5034827  -0.02246558],[ 0.31983283  0.4884454  -0.02267886],[ 0.32107469  0.47750551 -0.02108607],[ 0.32049856  0.52480543 -0.01565751],[ 0.31857327  0.50467688 -0.02138848],[ 0.31893909  0.49298477 -0.02065524],[ 0.31963894  0.48455885 -0.01863356],[4.76280004e-01 7.15825915e-01 5.64646392e-08],[ 0.46833757  0.72333217 -0.00569645],[ 0.46264184  0.73897278 -0.00670981],[ 0.45929188  0.75339282 -0.00644361],[ 0.45700407  0.76417106 -0.00530688],[ 0.47439983  0.74708664 -0.00300082],[ 0.47067124  0.76231778 -0.0027736 ],[ 0.46683031  0.76613355 -0.00238689],[ 0.46387395  0.76717663 -0.00204072],[4.77066100e-01 7.48213887e-01 3.13708297e-04],[4.72214013e-01 7.62189150e-01 7.23086821e-04],[0.46743837 0.76536995 0.00083373],[4.63629603e-01 7.66278684e-01 7.53191940e-04],[0.47735885 0.74805737 0.0031913 ],[0.47188944 0.76132661 0.00301678],[0.46719289 0.76362348 0.00306976],[0.46344241 0.7640664  0.00307175],[0.47613311 0.74776453 0.00565194],[0.47148368 0.75926703 0.00528404],[0.46730426 0.76259774 0.00533063],[0.46384588 0.76387697 0.00555732]
[4.75876033e-01 7.18453646e-01 8.02230034e-08],[ 0.46685958  0.72527921 -0.00406621],[ 0.46227905  0.74056882 -0.00382684],[ 0.45977134  0.75339317 -0.00250529],[ 4.57648486e-01  7.63148427e-01 -3.52050556e-04],[ 4.74449128e-01  7.48871624e-01 -2.01795527e-04],[0.46989703 0.7639119  0.00081903],[0.46484172 0.76799667 0.00148367],[0.46077117 0.76823193 0.00218069],[0.47791642 0.74916095 0.00290151],[0.4726688  0.7627641  0.00409405],[0.46694899 0.76686132 0.00413099],[0.46180713 0.76816392 0.00415605],[0.47882718 0.74866182 0.0056943 ],[0.47312492 0.76140678 0.00678959],[0.46767902 0.76498008 0.00653522],[0.46298367 0.76638091 0.00629776],[0.4780044  0.74823409 0.00815462],[0.47323868 0.75962335 0.00899071],[0.4682315  0.76391429 0.00908757],[0.46369001 0.76542407 0.0093492 ]
[3.23207289e-01 5.50781250e-01 1.31135053e-07],[ 0.33763567  0.54038036 -0.00521077],[ 0.34480602  0.52228153 -0.00879079],[ 0.34645593  0.50323099 -0.01103866],[ 0.34750229  0.48875409 -0.01340329],[ 0.33915108  0.53702354 -0.01501515],[ 0.34373614  0.51257682 -0.02021459],[ 0.34611356  0.49715993 -0.02166295],[ 0.34689319  0.48438513 -0.02220728],[ 0.32734418  0.53639841 -0.01434319],[ 0.3325116   0.51091981 -0.02025508],[ 0.33607012  0.49347255 -0.0219191 ],[ 0.33815774  0.48031813 -0.02308929],[ 0.31578338  0.53208482 -0.01355064],[ 0.31941456  0.50680375 -0.01938784],[ 0.32441956  0.48870537 -0.021694  ],[ 0.32758728  0.47568816 -0.02284343],[ 0.30533698  0.52483809 -0.01266702],[ 0.30581552  0.50196767 -0.01765102],[ 0.30913776  0.48698381 -0.02010439],[ 0.3124449   0.47542116 -0.02166987],[4.77282882e-01 7.18216777e-01 6.21841423e-08],[ 0.46877316  0.72290832 -0.00511901],[ 0.46329001  0.73733747 -0.00565066],[ 0.460152    0.75043201 -0.00491518],[ 0.4584479   0.76058561 -0.00338873],[ 0.47472265  0.7465108  -0.00271588],[ 0.47027081  0.76164699 -0.00270598],[ 0.46563458  0.76640856 -0.00247219],[ 0.4618338   0.76739955 -0.00209996],[4.77475792e-01 7.47667611e-01 5.12529106e-04],[4.72212434e-01 7.61453629e-01 4.93076048e-04],[4.66885835e-01 7.65658557e-01 2.10996572e-04],[4.62222338e-01 7.66996622e-01 6.24114546e-05],[0.4778083  0.74802166 0.00340083],[0.47255498 0.76124322 0.00312218],[0.4675723  0.76487386 0.0026545 ],[0.46327096 0.76635975 0.00242616],[0.47674951 0.74840224 0.00591871],[0.47215015 0.75989187 0.00557493],[0.46773735 0.76424968 0.00521194],[0.46380764 0.76617265 0.00519318]
[3.27851504e-01 5.22855043e-01 8.79626612e-08],[ 0.32307273  0.51277769 -0.00648261],[ 0.322411    0.5021978  -0.01181462],[ 0.32531488  0.49109229 -0.01568553],[ 0.32933256  0.48374239 -0.01966759],[ 0.31354383  0.52865309 -0.02073955],[ 0.3138209   0.50206172 -0.02746166],[ 0.31652778  0.48504487 -0.02972815],[ 0.3191548   0.47186959 -0.03098103],[ 0.31911188  0.53445649 -0.02076035],[ 0.32177144  0.5083189  -0.02854125],[ 0.32623628  0.4899891  -0.03078942],[ 0.32969847  0.47586232 -0.03249184],[ 0.32563272  0.53466851 -0.02043317],[ 0.32942718  0.51069963 -0.02814938],[ 0.33513033  0.49233297 -0.03008826],[ 0.33868486  0.478003   -0.03083061],[ 0.33198148  0.52929968 -0.02009277],[ 0.33490828  0.50917971 -0.02587216],[ 0.33861312  0.49333212 -0.02754573],[ 0.34139591  0.47934037 -0.02877517],[4.76756096e-01 7.16957510e-01 8.19125106e-08],[ 0.46759358  0.72303778 -0.00462538],[ 0.46279022  0.73835319 -0.00464402],[ 0.46036205  0.75103468 -0.00354205],[ 0.45893514  0.7613737  -0.00172954],[ 0.4748511   0.74620205 -0.00113119],[ 4.71351773e-01  7.60300815e-01 -6.29484653e-04],[ 4.66978163e-01  7.65888095e-01 -3.03736946e-04],[4.63142961e-01 7.68044591e-01 1.39398238e-04],[0.47818327 0.74633372 0.00193081],[0.47407153 0.75940156 0.00239978],[0.46898332 0.76506996 0.00229268],[0.46392551 0.76767987 0.00234948],[0.47910425 0.74581701 0.0046172 ],[0.4743264  0.75843126 0.00508307],[0.46956316 0.76346946 0.00510623],[0.46513626 0.76656312 0.00525187],[0.47831193 0.74518782 0.00688866],[0.47411013 0.75665265 0.00751341],[0.46986547 0.76215184 0.00787683],[0.46586981 0.76515067 0.0083509 ]
[3.28250229e-01 5.21172106e-01 1.78085884e-08],[ 0.33410668  0.51834655 -0.01074422],[ 0.33660597  0.51510042 -0.01987233],[ 0.33592737  0.50807935 -0.02734815],[ 0.33478415  0.50078583 -0.03481365],[ 0.32722554  0.53160799 -0.0222623 ],[ 0.33240905  0.51312643 -0.03336885],[ 0.33364469  0.4975445  -0.04018344],[ 0.33174366  0.48535299 -0.04418475],[ 0.32199574  0.53153455 -0.02121233],[ 0.32666111  0.50992167 -0.03231887],[ 0.32809722  0.49111059 -0.03623393],[ 0.32721415  0.47727066 -0.03801493],[ 0.31786758  0.52758765 -0.02048739],[ 0.32163656  0.50681311 -0.03099614],[ 0.32165194  0.49051353 -0.03247133],[ 0.32149106  0.47885007 -0.03186092],[ 0.31513137  0.52152061 -0.02040373],[ 0.31650841  0.50526357 -0.02770429],[ 0.31690189  0.4928073  -0.02852028],[ 0.31666335  0.48368981 -0.02788396],[4.76595253e-01 7.18486309e-01 7.96581645e-08],[ 0.46685731  0.72354746 -0.0055249 ],[ 0.4618367   0.73805124 -0.00616392],[ 0.459261    0.7508862  -0.00542686],[ 0.45804799  0.76122981 -0.00394848],[ 0.47464538  0.74708521 -0.00316989],[ 0.47031683  0.76166523 -0.00309084],[ 0.46567443  0.76604772 -0.00282372],[ 0.46200317  0.76661068 -0.00236119],[4.78434473e-01 7.47649491e-01 3.80920013e-04],[4.72728580e-01 7.60649443e-01 6.35686796e-04],[4.67093617e-01 7.64522314e-01 5.35730447e-04],[4.62385029e-01 7.64907718e-01 5.57295163e-04],[0.47965401 0.74717063 0.00359466],[0.47366247 0.75943494 0.00368713],[0.46856856 0.76269138 0.0034334 ],[0.46444082 0.76332349 0.00337152],[0.47906703 0.7467407  0.00639939],[0.47389379 0.75732869 0.00635927],[0.46954703 0.76123947 0.00622493],[0.465855   0.76240647 0.00641504]
[4.76771176e-01 7.18993843e-01 8.08028346e-08],[ 0.46734345  0.72411025 -0.00544445],[ 0.4623833   0.737674   -0.00652159],[ 0.45996255  0.75018096 -0.00635377],[ 0.45840934  0.76052719 -0.00546075],[ 0.47453132  0.74612683 -0.00377844],[ 0.4702301   0.76179874 -0.0048301 ],[ 0.46494195  0.76678473 -0.00532033],[ 0.46048805  0.76755083 -0.00520316],[ 4.78175730e-01  7.47218072e-01 -6.26727880e-04],[ 0.47266397  0.76155013 -0.00134198],[ 0.46663639  0.76579404 -0.00194722],[ 0.46137917  0.76633966 -0.00217298],[0.47920835 0.74748373 0.00217118],[0.47328478 0.76072371 0.00163389],[0.46776128 0.76453382 0.00104407],[0.46293992 0.76549029 0.00078687],[0.47849    0.74758893 0.00455183],[0.47340167 0.75877237 0.00401689],[0.46847755 0.76302207 0.00363919],[0.46407107 0.76430243 0.00369345]
[3.26372176e-01 5.41076541e-01 1.34009056e-07],[ 0.34065878  0.5287165  -0.00562498],[ 0.34751248  0.50590706 -0.01031705],[ 0.34890068  0.48328555 -0.01349377],[ 0.35060582  0.46668616 -0.01657926],[ 0.34181011  0.52109689 -0.01859269],[ 0.34499601  0.49261996 -0.02488414],[ 0.34615865  0.47804913 -0.0260414 ],[ 0.34660089  0.46691179 -0.02614552],[ 0.33002406  0.52217752 -0.01808006],[ 0.33348539  0.48875651 -0.02485584],[ 0.33539972  0.46977448 -0.02577394],[ 0.33693922  0.45619944 -0.0263087 ],[ 0.31881607  0.51955569 -0.01727726],[ 0.32159248  0.4860051  -0.02400821],[ 0.32476965  0.46646279 -0.02579407],[ 0.32695332  0.45340145 -0.02647151],[ 0.30846664  0.51439118 -0.01632932],[ 0.30838609  0.48661733 -0.02201841],[ 0.31194305  0.47143322 -0.0241844 ],[ 0.31571227  0.46085358 -0.02541935],[4.75807935e-01 7.19415963e-01 7.58490515e-08],[ 0.46718618  0.72522599 -0.00467126],[ 0.46248573  0.73914081 -0.00547273],[ 0.45997247  0.75150853 -0.00526309],[ 0.45838371  0.76146001 -0.00438867],[ 0.47478896  0.74726892 -0.00265928],[ 0.47003043  0.7611841  -0.00353281],[ 0.46494821  0.76603413 -0.00402373],[ 0.46084687  0.76725775 -0.0040516 ],[ 4.78182048e-01  7.48129487e-01 -1.38107775e-04],[ 4.72867310e-01  7.61140823e-01 -7.58715556e-04],[ 0.46726659  0.76560324 -0.0012157 ],[ 0.46233565  0.76697069 -0.0014044 ],[0.47924346 0.7481702  0.00202164],[0.47394511 0.76072991 0.00137507],[0.4686968  0.76486611 0.0011757 ],[0.46414065 0.76654351 0.0012113 ],[0.47862369 0.74800116 0.00378761],[0.47416979 0.75896233 0.00319632],[0.46961096 0.76373851 0.00315548],[0.46553001 0.76588953 0.00344962]
[3.26813072e-01 5.31071961e-01 1.27626507e-07],[ 0.32577613  0.51480949 -0.00626049],[ 0.32707226  0.49284348 -0.01101885],[ 0.32975852  0.47409689 -0.0140339 ],[ 0.33400819  0.46268183 -0.01689734],[ 0.32027763  0.50667143 -0.02036658],[ 0.32252735  0.47458568 -0.02731593],[ 0.32590345  0.45702571 -0.02936199],[ 0.32907978  0.44261464 -0.03009899],[ 0.32445911  0.51290959 -0.01999269],[ 0.3285653   0.48299935 -0.02853113],[ 0.33302099  0.46175617 -0.03160192],[ 0.3369506   0.4437966  -0.03319094],[ 0.32958278  0.51517797 -0.01912431],[ 0.33689564  0.48683798 -0.02710328],[ 0.34275365  0.46555912 -0.03024615],[ 0.3464627   0.44799417 -0.03123364],[ 0.3346754   0.51266581 -0.01805205],[ 0.34038258  0.48801228 -0.02409662],[ 0.34485677  0.47014678 -0.02624879],[ 0.34834534  0.45424539 -0.02709079],[4.75612313e-01 7.19965577e-01 7.67900517e-08],[ 0.46708441  0.72523886 -0.00528901],[ 0.46231857  0.73969322 -0.00649277],[ 0.45982826  0.75264007 -0.00640225],[ 0.45795125  0.76211768 -0.00568868],[ 0.47444862  0.74516565 -0.00533137],[ 0.47095078  0.75973326 -0.00639083],[ 0.46717867  0.76611984 -0.00651893],[ 0.46387482  0.76891959 -0.00630325],[ 0.4782061   0.74625087 -0.0024388 ],[ 0.47364989  0.75985879 -0.00343316],[ 0.46855772  0.76521564 -0.00347142],[ 0.46373808  0.7675212  -0.00330665],[4.79470611e-01 7.46765912e-01 2.16468456e-04],[ 0.47450903  0.75960612 -0.00079182],[ 4.69705969e-01  7.63936579e-01 -7.28492276e-04],[ 4.65344012e-01  7.66011417e-01 -4.54531779e-04],[0.47909537 0.74697161 0.00249216],[0.47462341 0.7576642  0.00160103],[0.47031799 0.76238674 0.00153611],[0.46643391 0.7647391  0.00184669]
[3.29605252e-01 5.19868135e-01 2.17739284e-07],[ 0.3213551   0.5080694  -0.00872427],[ 0.3158994   0.48959193 -0.01665616],[ 0.3180427   0.47449821 -0.02202317],[ 0.3237735   0.46450752 -0.02738235],[ 0.31402382  0.50195664 -0.02879057],[ 0.31367901  0.47322997 -0.03812585],[ 0.31770131  0.45551136 -0.04174577],[ 0.32223326  0.44177565 -0.04347835],[ 0.32347012  0.50565362 -0.02776936],[ 0.3289091   0.47617641 -0.03803845],[ 0.33351558  0.45548549 -0.04105468],[ 0.33703631  0.44015297 -0.04279546],[ 0.33365899  0.50681001 -0.02608667],[ 0.34037724  0.47731799 -0.03440757],[ 0.34479919  0.45759231 -0.03658714],[ 0.34754056  0.44332394 -0.03734874],[ 0.34256476  0.50485212 -0.02446998],[ 0.34788656  0.48002791 -0.03032967],[ 0.35092497  0.46427596 -0.0319684 ],[ 0.35317612  0.45193776 -0.03282567],[4.74774778e-01 7.20099926e-01 7.31581054e-08],[ 0.46688697  0.72495264 -0.00588975],[ 0.46164575  0.73935038 -0.0074961 ],[ 0.45924452  0.75218123 -0.00759821],[ 0.45812756  0.76216638 -0.00709277],[ 0.47316754  0.74300623 -0.00735512],[ 0.47152385  0.7581839  -0.00921216],[ 0.46799552  0.76577908 -0.00956736],[ 0.46460977  0.76963872 -0.00938275],[ 0.47557616  0.74404269 -0.0043147 ],[ 0.47245699  0.75852501 -0.00600036],[ 0.46781293  0.76533937 -0.0062175 ],[ 0.46315721  0.76864684 -0.00617679],[ 0.47593868  0.74494672 -0.00150361],[ 0.47210613  0.75831139 -0.00326776],[ 0.46766257  0.7643528  -0.00352072],[ 0.46334246  0.76767391 -0.00334482],[0.47532776 0.7456913  0.00095043],[ 4.72061783e-01  7.57156014e-01 -4.86756879e-04],[ 0.46842954  0.76296085 -0.00085655],[ 0.46493924  0.7663849  -0.0007727 ]
[3.25796574e-01 5.13020277e-01 2.08456171e-07],[ 0.33865985  0.50359911 -0.01052081],[ 0.34207436  0.48549312 -0.018076  ],[ 0.33855277  0.4701975  -0.0226875 ],[ 0.33377448  0.46128565 -0.02715725],[ 0.33605063  0.50034356 -0.02813825],[ 0.3394565   0.47447687 -0.03772587],[ 0.34324953  0.45820475 -0.04145236],[ 0.34616172  0.44423336 -0.04303271],[ 0.3248013   0.50033134 -0.02514867],[ 0.32927313  0.47080624 -0.03361053],[ 0.3325932   0.45234025 -0.03467963],[ 0.3354691   0.43795881 -0.0353513 ],[ 0.31528842  0.49789828 -0.02188081],[ 0.31712845  0.46861628 -0.02882611],[ 0.32077542  0.45037186 -0.02957059],[ 0.32410389  0.43792295 -0.02979045],[ 0.30745149  0.49402148 -0.01898774],[ 0.30747625  0.47058964 -0.02381268],[ 0.30968457  0.45666429 -0.02485027],[ 0.3119916   0.44693857 -0.0255477 ],[4.73194957e-01 7.19647229e-01 5.94048295e-08],[ 0.46911564  0.72451079 -0.00591162],[ 0.46495628  0.73875427 -0.00736772],[ 0.46214658  0.7508474  -0.00717173],[ 0.46088526  0.75984836 -0.00634701],[ 0.4732711   0.74300605 -0.00756823],[ 0.47204015  0.7571947  -0.00893492],[ 0.46992978  0.76467139 -0.00901687],[ 0.46796545  0.76919645 -0.00875976],[ 0.47311983  0.74422914 -0.00436555],[ 0.47049719  0.7573666  -0.0057054 ],[ 0.46743247  0.76339912 -0.00559004],[ 0.46449888  0.76701444 -0.00528697],[ 0.47182095  0.74497157 -0.00134806],[ 0.46916831  0.7571618  -0.0026818 ],[ 0.46654668  0.76297104 -0.00234112],[ 0.46409747  0.76709491 -0.00178171],[0.4702464  0.74548537 0.00129629],[4.68215436e-01 7.56150365e-01 3.92916962e-04],[4.66290385e-01 7.61408448e-01 5.80287131e-04],[0.46440956 0.76517433 0.00101979]
[3.21808904e-01 5.10026693e-01 2.05558777e-07],[ 0.3335571   0.50159514 -0.00646685],[ 0.3377431   0.48543739 -0.01215792],[ 0.33695075  0.47011206 -0.01589786],[ 0.33623415  0.45864284 -0.01983904],[ 0.33362299  0.49629498 -0.02281718],[ 0.33849031  0.47010109 -0.03070925],[ 0.34108829  0.45279017 -0.0332563 ],[ 0.3425808   0.43923867 -0.0340674 ],[ 0.3228251   0.49637237 -0.0218998 ],[ 0.32863182  0.46715006 -0.02934717],[ 0.33186385  0.44691724 -0.03116846],[ 0.33407274  0.43142593 -0.03214702],[ 0.3131904   0.49429217 -0.02036764],[ 0.31659475  0.46645984 -0.02661922],[ 0.31886706  0.44818056 -0.02876443],[ 0.32028165  0.4345845  -0.0298624 ],[ 0.30554888  0.49061757 -0.01874596],[ 0.30778307  0.46823159 -0.02360476],[ 0.31006736  0.45521653 -0.02544873],[ 0.31179798  0.44534141 -0.02651718],[4.74986911e-01 7.22164273e-01 7.52573754e-08],[ 0.46737203  0.72605199 -0.00541008],[ 0.462695    0.74047667 -0.00621197],[ 0.46032828  0.75262988 -0.00554407],[ 0.45884719  0.76186192 -0.00422438],[ 0.47379866  0.74528134 -0.00510157],[ 0.47187087  0.75863153 -0.00545283],[ 0.46942437  0.76556164 -0.00508307],[ 0.46719277  0.76951194 -0.00461735],[ 0.47657886  0.746373   -0.00185525],[ 0.47353682  0.75851673 -0.00222045],[ 0.4697701   0.76438427 -0.00195831],[ 0.46593779  0.76756847 -0.00165041],[0.47727445 0.74700916 0.00115417],[4.73582476e-01 7.58586407e-01 7.16124079e-04],[0.47001863 0.76354349 0.00103201],[0.46650666 0.76683158 0.00145085],[0.47677538 0.74748522 0.00377278],[0.47326827 0.75763768 0.00344707],[0.47020504 0.76280773 0.00356922],[0.46720636 0.76628822 0.00390887]
[3.13904226e-01 5.05045295e-01 2.25189126e-07],[ 0.32815382  0.50191778 -0.00742669],[ 0.33657661  0.48823565 -0.01319859],[ 0.3382003   0.47351071 -0.01681507],[ 0.33804864  0.46273804 -0.02048347],[ 0.32806826  0.4952372  -0.02229814],[ 0.33836165  0.47241086 -0.0299671 ],[ 0.34507623  0.45570299 -0.03264966],[ 0.35009363  0.4435086  -0.03340343],[ 0.31713191  0.49102268 -0.02053222],[ 0.32779512  0.46578601 -0.02725591],[ 0.33478275  0.44750291 -0.02861863],[ 0.34016213  0.43485183 -0.02920121],[ 0.30817908  0.48531148 -0.01825816],[ 0.31688493  0.46092126 -0.02352505],[ 0.32287666  0.44505396 -0.02482018],[ 0.32716545  0.43480614 -0.02530687],[ 0.30174085  0.47881076 -0.01608786],[ 0.30829731  0.45932809 -0.02015563],[ 0.31264609  0.44841036 -0.0212484 ],[ 0.31572467  0.44084695 -0.02158404],[4.75899130e-01 7.22547352e-01 8.28358893e-08],[ 0.46756175  0.72674757 -0.00553789],[ 0.46264687  0.74080259 -0.00675133],[ 0.46017483  0.75298607 -0.00673032],[ 0.45849422  0.76248109 -0.0061514 ],[ 0.47469148  0.74440718 -0.00446658],[ 0.47319093  0.75751901 -0.00560546],[ 0.47027433  0.76494086 -0.00604141],[ 0.46760714  0.76925439 -0.00611706],[ 0.47746441  0.74538499 -0.00172381],[ 0.47384995  0.75776279 -0.00289718],[ 0.46958175  0.76460379 -0.00348032],[ 0.46527088  0.76842904 -0.00373291],[4.78210539e-01 7.46339023e-01 6.40969898e-04],[ 4.74061280e-01  7.58015156e-01 -4.56490990e-04],[ 4.70147848e-01  7.64201283e-01 -6.76274067e-04],[ 4.66313541e-01  7.68290102e-01 -5.62772271e-04],[0.47785261 0.74725819 0.00254529],[0.4743489  0.75769591 0.00163257],[0.47128204 0.76378202 0.00140917],[0.46820787 0.76785207 0.00154377]
