[ 5.41830838e-01  6.33867681e-01 -3.75707394e-08],[ 0.55558062  0.6442911  -0.00288374],[ 0.56381947  0.66142666 -0.00305064],[ 0.56836259  0.67677772 -0.00244925],[ 0.57201374  0.68730718 -0.00128089],[ 0.55068505  0.67685634 -0.00196851],[ 0.55378419  0.69657069 -0.00163917],[ 0.55539179  0.70475411 -0.00131113],[ 0.55653512  0.71065521 -0.00092555],[ 5.42374849e-01  6.77464068e-01 -1.22964499e-04],[0.54496026 0.69732493 0.00103932],[0.54828274 0.70515019 0.00188556],[0.55057329 0.70955902 0.00231994],[0.53655106 0.6754964  0.00160065],[0.53935844 0.69114447 0.00256629],[0.54374182 0.69550633 0.0033903 ],[0.5465436  0.69673347 0.00388941],[0.53285253 0.67234415 0.00310222],[0.53548145 0.68383807 0.00460484],[0.53949958 0.68764061 0.00619511],[0.54247671 0.68811232 0.00737213]
[5.39277136e-01 6.37227833e-01 1.19636772e-08],[ 0.55187291  0.6489926  -0.00238494],[ 0.55791634  0.66612875 -0.00211568],[ 0.56057948  0.68005627 -0.00118546],[5.63567460e-01 6.88845098e-01 2.17290828e-04],[ 0.54700994  0.67834896 -0.00079736],[ 5.50189435e-01  6.96351707e-01 -4.11295769e-04],[ 5.52176356e-01  7.04927862e-01 -2.13433188e-04],[5.53649068e-01 7.11534858e-01 7.13109548e-05],[0.53960097 0.67815667 0.00074118],[0.54295826 0.69561738 0.00166765],[0.54675901 0.70340133 0.00222583],[0.54953331 0.70881432 0.0025901 ],[0.53496116 0.67589414 0.00209219],[0.53805292 0.69087201 0.00285454],[0.54266685 0.69709367 0.00366918],[0.54580122 0.70039117 0.00430627],[0.53243637 0.67278248 0.00323241],[0.53474915 0.68537194 0.00457741],[0.5383876  0.69037926 0.00623495],[0.54123503 0.69228011 0.00758689]
[5.42184114e-01 6.39240444e-01 2.58559787e-08],[ 0.55529332  0.64924037 -0.00359019],[ 0.56150001  0.665268   -0.00370718],[ 0.56409162  0.67891598 -0.0027471 ],[ 0.56660187  0.6890009  -0.00118579],[ 0.54733652  0.67979819 -0.00099509],[5.49142361e-01 6.97320163e-01 1.30591361e-04],[5.50910950e-01 7.06302345e-01 6.57579105e-04],[0.55275148 0.71285331 0.0011706 ],[0.53995216 0.67877394 0.00152966],[0.54154772 0.69586015 0.00357901],[0.54467583 0.70433229 0.00450605],[0.54711431 0.70981348 0.00502406],[0.53540301 0.67605907 0.00378553],[0.53721386 0.69114578 0.00553308],[0.54086131 0.69843131 0.00618528],[0.54379398 0.70284414 0.0065669 ],[0.53285885 0.6727984  0.00575188],[0.53402174 0.68523681 0.00764571],[0.53688002 0.69099599 0.00908713],[0.53948522 0.69395328 0.01021912]
[5.42561412e-01 6.39148593e-01 1.17659074e-08],[ 0.55613166  0.64907932 -0.00265053],[ 0.56232131  0.66544753 -0.00266801],[ 0.56486946  0.67930454 -0.00211263],[ 0.56772143  0.68910307 -0.00108559],[5.48857331e-01 6.78984761e-01 8.12287617e-05],[5.49713671e-01 6.95806682e-01 1.79042341e-04],[ 5.50853848e-01  7.04972625e-01 -1.80972856e-04],[ 5.52047610e-01  7.11681783e-01 -2.53931852e-04],[0.54103392 0.67818338 0.00143194],[0.5419479  0.69484437 0.00272555],[0.54446846 0.70352501 0.00316074],[0.54629582 0.70960593 0.00331475],[0.53557247 0.6755951  0.00240953],[0.53644645 0.69068646 0.00327232],[0.53989512 0.69794571 0.00376716],[0.54253292 0.70226103 0.00407713],[0.53199697 0.67220598 0.00310535],[0.53278297 0.68427998 0.00415731],[0.5354144  0.68961424 0.00543947],[0.53772664 0.69233036 0.00649081]
[5.42136014e-01 6.42660081e-01 6.47771881e-09],[ 0.55594689  0.6515038  -0.00114568],[ 0.5636735   0.66744077 -0.00142492],[ 0.56735975  0.68069798 -0.00129457],[ 0.57063246  0.68959725 -0.00073814],[ 0.55052441  0.68106097 -0.00296028],[ 0.55159593  0.70164829 -0.00362994],[ 0.55236661  0.7086587  -0.00345649],[ 0.55266511  0.70995408 -0.00269578],[ 0.54171795  0.68040991 -0.00236454],[ 0.54226559  0.70078403 -0.00193574],[ 0.5455603   0.70606714 -0.00081669],[5.47960401e-01 7.06284046e-01 3.22924810e-04],[ 0.53540248  0.6773833  -0.00164326],[ 0.53644413  0.69323367 -0.00097544],[5.40900886e-01 6.95070148e-01 5.09896257e-04],[0.54368669 0.69328207 0.00177321],[ 0.53088892  0.67314559 -0.00091347],[5.33353984e-01 6.84215903e-01 2.80220236e-04],[0.53693908 0.68588072 0.00244346],[0.53944331 0.68439794 0.00437045]
[5.42883575e-01 6.42265499e-01 6.27616403e-09],[ 0.55652213  0.65068442 -0.00119617],[ 0.56509238  0.66475224 -0.00182265],[ 0.5698716   0.67709261 -0.00224784],[ 0.57347572  0.68598789 -0.00227306],[ 0.5540278   0.68089968 -0.00244193],[ 0.55459827  0.70055366 -0.00320645],[ 0.55538225  0.70790511 -0.00330726],[ 0.55596876  0.70996827 -0.0028355 ],[ 0.54502881  0.68142426 -0.00227299],[ 0.54567969  0.70157623 -0.00152006],[ 5.48133135e-01  7.07433939e-01 -6.14953169e-04],[5.50003290e-01 7.07553148e-01 1.92935142e-04],[ 0.53784299  0.67876846 -0.00206691],[ 0.5381493   0.6931895  -0.00102059],[5.41379452e-01 6.93976998e-01 1.81660231e-04],[0.54383683 0.69078654 0.00101741],[ 0.53228724  0.67432225 -0.00197853],[ 0.53367245  0.68180317 -0.00076424],[0.53638273 0.68188995 0.00096392],[0.53838813 0.67919016 0.00248694]
[5.45375049e-01 6.39450669e-01 7.83899967e-09],[ 0.55954993  0.64696169 -0.00086416],[ 0.56771851  0.6606428  -0.00084716],[ 0.57145566  0.67236251 -0.00090539],[ 5.74489653e-01  6.80242777e-01 -6.37300604e-04],[5.57877362e-01 6.79225326e-01 5.19053545e-04],[5.58879137e-01 6.95135713e-01 2.89892254e-04],[ 5.59045196e-01  7.02812135e-01 -8.45962859e-05],[ 5.59145093e-01  7.07102716e-01 -9.28687805e-05],[5.48688948e-01 6.80741608e-01 4.14063252e-04],[0.54928869 0.69693977 0.00162528],[0.55098963 0.70394307 0.0022762 ],[0.55214792 0.70663756 0.00265694],[5.41023791e-01 6.79086566e-01 8.00615817e-05],[0.54124546 0.69217199 0.00081077],[0.54386091 0.69369638 0.00168848],[0.54567462 0.69174182 0.0023559 ],[ 5.34766316e-01  6.75375879e-01 -4.25165141e-04],[5.36022127e-01 6.82758749e-01 4.26177168e-04],[0.53849095 0.68342143 0.00189642],[0.54011863 0.68162429 0.00323238]
[5.49409091e-01 6.38576627e-01 2.47696921e-08],[ 0.5629257   0.64440793 -0.00158048],[ 0.57198268  0.65607756 -0.00236982],[ 0.57759672  0.66697198 -0.00302449],[ 0.58154702  0.67434263 -0.00341088],[ 0.56376868  0.67495412 -0.00162907],[ 0.56624812  0.69147068 -0.00241018],[ 0.56674522  0.69979548 -0.0028207 ],[ 0.56671232  0.70462769 -0.00277456],[ 0.55529994  0.67727232 -0.00138849],[ 5.57398021e-01  6.94678903e-01 -5.73039521e-04],[5.59585869e-01 7.01193273e-01 2.20367845e-04],[0.56068385 0.70313525 0.00079688],[ 0.54785836  0.6763491  -0.00129554],[ 0.5486145   0.68940061 -0.0006956 ],[5.51553607e-01 6.89750612e-01 2.32789273e-04],[0.5533095  0.68647671 0.00095639],[ 0.54153085  0.67326498 -0.00140882],[ 0.54240966  0.68024683 -0.00072762],[5.44444978e-01 6.79542184e-01 6.37071847e-04],[0.54552376 0.67639178 0.00195908]
[5.48534393e-01 6.37541115e-01 6.69613565e-09],[ 0.56409454  0.64102906 -0.00304635],[ 0.57445604  0.65374696 -0.0030436 ],[ 0.58093452  0.66450495 -0.00232574],[ 0.58688933  0.67167997 -0.00116531],[0.56577742 0.67418051 0.00152917],[0.57178748 0.68785518 0.00356506],[0.57494181 0.6944629  0.00411463],[0.57740986 0.69908023 0.00434843],[0.55826098 0.67632347 0.00350398],[0.56446344 0.69013262 0.00646907],[0.56907707 0.69593823 0.00734105],[0.57248229 0.69947112 0.00760663],[0.55293787 0.67547709 0.00509952],[0.5591284  0.68760186 0.00729056],[0.56352478 0.69311994 0.00787712],[0.56707197 0.69657463 0.00798973],[0.54928845 0.67316931 0.00639121],[0.55519146 0.68341172 0.00806983],[0.55926996 0.68837434 0.00929353],[0.56306541 0.6912623  0.01013411]
[5.42626917e-01 6.43248141e-01 1.72092047e-08],[ 0.55809277  0.64646417 -0.00403071],[ 0.56846803  0.65919375 -0.00432686],[ 0.57592964  0.66989887 -0.00359006],[ 0.58247292  0.67718208 -0.00224974],[5.58996916e-01 6.78315878e-01 6.89880762e-05],[0.56545323 0.69319987 0.0015905 ],[0.56897008 0.70003188 0.00210475],[0.57180709 0.70470929 0.00247195],[0.55215871 0.68093503 0.00257615],[0.55895835 0.69580656 0.00506104],[0.56406188 0.70231318 0.00581299],[0.56800729 0.70568657 0.0060926 ],[0.5479269  0.68062937 0.00467205],[0.554874   0.69356406 0.00633533],[0.5597614  0.69958866 0.00661632],[0.56376159 0.70336318 0.00668852],[0.5459041  0.67919374 0.00645766],[0.55223107 0.69024354 0.0077052 ],[0.55655783 0.69558346 0.00865942],[0.56075299 0.69875491 0.0094092 ]
[5.32147348e-01 6.49121821e-01 8.26194313e-09],[ 0.5477547   0.6514892  -0.00344466],[ 0.55810094  0.66303855 -0.0038525 ],[ 0.56509554  0.67342383 -0.00330231],[ 0.57123536  0.68105376 -0.00207745],[ 0.54937583  0.68425786 -0.00074011],[5.55619478e-01 6.99597061e-01 6.08457951e-04],[0.55900609 0.70679057 0.00149757],[0.56161863 0.71129906 0.00239462],[0.54177302 0.68757808 0.00169087],[0.54811782 0.70362782 0.00414723],[0.55339855 0.70957124 0.0056036 ],[0.55734539 0.71244335 0.00668579],[0.53642052 0.68760192 0.00385275],[0.54274273 0.70102912 0.00575851],[0.54818219 0.70672566 0.0065593 ],[0.55231875 0.70958817 0.00715561],[0.53310978 0.68619198 0.00576247],[0.53900784 0.69712937 0.0075784 ],[0.54364115 0.70191497 0.0090694 ],[0.54775256 0.70401114 0.01033406]
