[3.07384282e-01 5.41909635e-01 5.91552087e-08],[0.318813   0.55365193 0.00268912],[0.33239192 0.55921477 0.00283259],[0.34300843 0.56060082 0.00217464],[0.35065567 0.56009811 0.00099873],[ 0.33712655  0.56200618 -0.00173043],[ 0.35260493  0.56472558 -0.00443858],[ 0.36258927  0.56546062 -0.00614241],[ 0.37005496  0.56520772 -0.00712868],[ 0.33721852  0.55401433 -0.00508439],[ 0.35511097  0.55421776 -0.00711262],[ 0.36567318  0.55328816 -0.00826147],[ 0.37375033  0.55253989 -0.00905794],[ 0.33634964  0.54323846 -0.00811539],[ 0.3535957   0.54208666 -0.00994387],[ 0.36363935  0.54062092 -0.01053902],[ 0.37148193  0.54019958 -0.01107215],[ 0.33435857  0.5300923  -0.01078807],[ 0.34659845  0.52683616 -0.01276529],[ 0.35447377  0.52513117 -0.01285011],[ 0.36119628  0.52430934 -0.01266338]
[3.10278684e-01 5.42968512e-01 4.28853468e-08],[0.32221401 0.55438709 0.0024528 ],[0.33582899 0.55916923 0.0018474 ],[0.34669662 0.55885947 0.00065841],[ 0.35422346  0.55638427 -0.00127226],[ 0.33757791  0.5621199  -0.00542227],[ 0.35462233  0.56326938 -0.00886433],[ 0.36466891  0.56286383 -0.01074059],[ 0.37282404  0.56194526 -0.01192439],[ 0.33614409  0.55331051 -0.00916752],[ 0.35498071  0.55375493 -0.01221782],[ 0.36629963  0.552163   -0.01390216],[ 0.37541881  0.55069149 -0.01525489],[ 0.33378571  0.54200268 -0.01233931],[ 0.35232973  0.54107893 -0.01519348],[ 0.36399791  0.53925121 -0.01696846],[ 0.37357351  0.53842938 -0.0184183 ],[ 0.33117425  0.52865911 -0.01499959],[ 0.34471908  0.5246104  -0.01826786],[ 0.35378453  0.52206594 -0.01949629],[ 0.36174083  0.52060747 -0.02023433]
[3.12718242e-01 5.41169882e-01 4.86719216e-08],[0.32422021 0.55255598 0.00168025],[0.33850297 0.55754614 0.00074964],[ 3.49991262e-01  5.55752873e-01 -5.06495417e-04],[ 0.35763174  0.5513646  -0.00246028],[ 0.33953118  0.56126428 -0.00618805],[ 0.35643208  0.5609284  -0.0095243 ],[ 0.36642826  0.55966806 -0.01121179],[ 0.37447095  0.55834818 -0.01232142],[ 0.33790922  0.55224675 -0.00949369],[ 0.35692698  0.55147338 -0.01258051],[ 0.36816603  0.5494734  -0.01421853],[ 0.37700367  0.54780793 -0.01554909],[ 0.3356553   0.54043043 -0.01224436],[ 0.35472232  0.53819418 -0.01539994],[ 0.366162    0.53562522 -0.01729882],[ 0.37515828  0.53425187 -0.01872918],[ 0.33336601  0.52653813 -0.01447806],[ 0.3474043   0.52170712 -0.01794797],[ 0.35613826  0.51924425 -0.01936224],[ 0.36362651  0.51786524 -0.02022394]
[3.15209866e-01 5.40748358e-01 4.12519796e-08],[0.32679921 0.5524779  0.00215151],[0.34031591 0.55636382 0.00126556],[ 3.51251036e-01  5.53858459e-01 -9.38134690e-05],[ 0.35855231  0.54974276 -0.00222298],[ 0.3412239   0.55929571 -0.00580271],[ 0.35832381  0.55865616 -0.00933668],[ 0.36838433  0.55689138 -0.0113166 ],[ 0.37646422  0.55479902 -0.01262578],[ 0.3395049   0.54995757 -0.00939349],[ 0.35850811  0.54914713 -0.01257745],[ 0.36972693  0.54683059 -0.01444044],[ 0.37836459  0.54477227 -0.01594962],[ 0.33711499  0.5380246  -0.01239663],[ 0.35611707  0.53609258 -0.01560962],[ 0.36737752  0.53376079 -0.01753474],[ 0.37604928  0.53245372 -0.01900894],[ 0.33460116  0.52431327 -0.01483114],[ 0.34839594  0.51963592 -0.01843769],[ 0.35705364  0.51708436 -0.01974657],[ 0.36440098  0.51547319 -0.02049335]
[3.15895706e-01 5.39735138e-01 5.37465503e-08],[0.32723212 0.55065018 0.00152931],[3.40786308e-01 5.54865718e-01 4.38332558e-04],[ 0.35172829  0.55274385 -0.00095571],[ 0.35893697  0.54783672 -0.00307862],[ 0.34203124  0.55730277 -0.00656493],[ 0.35881397  0.55606669 -0.01019626],[ 0.36878115  0.55469012 -0.01201922],[ 0.37672722  0.55334467 -0.01313557],[ 0.34034842  0.5483039  -0.00981135],[ 0.35962594  0.54661679 -0.01303461],[ 0.37115604  0.54485822 -0.01468512],[ 0.3801764   0.54355103 -0.01599009],[ 0.33794528  0.53639108 -0.0125139 ],[ 0.35675296  0.53289682 -0.01577709],[ 0.36826444  0.53045547 -0.01763268],[ 0.37734452  0.52950406 -0.01900106],[ 0.33538595  0.52240157 -0.01471236],[ 0.34914124  0.51696825 -0.01828212],[ 0.35784036  0.51428634 -0.01962995],[ 0.3654184   0.51280171 -0.02041671]
[3.17794055e-01 5.38564682e-01 4.96075927e-08],[0.32891658 0.54906982 0.00148346],[3.43073010e-01 5.52330852e-01 3.31307150e-04],[ 0.35455084  0.54963541 -0.00113004],[ 0.36199024  0.54471207 -0.00337998],[ 0.3442885   0.55552649 -0.00700886],[ 0.36087787  0.5536865  -0.01080953],[ 0.37061602  0.55147803 -0.01277563],[ 0.37833369  0.54918891 -0.01404402],[ 0.34232891  0.5465979  -0.01039159],[ 0.36174315  0.54357713 -0.0137765 ],[ 0.37302873  0.54106843 -0.01555727],[ 0.3816573   0.53912824 -0.01699992],[ 0.33927637  0.53479713 -0.01320778],[ 0.35857216  0.53059679 -0.01684214],[ 0.36994886  0.52737486 -0.01891941],[ 0.37875134  0.525567   -0.02041966],[ 0.33585858  0.52097011 -0.01547824],[ 0.34990883  0.51517504 -0.01961919],[ 0.35859674  0.51193804 -0.02127863],[ 0.36602721  0.50995582 -0.02223152]
[3.18780243e-01 5.37155449e-01 5.19251273e-08],[0.32979968 0.54766262 0.00162563],[0.3437258  0.55077654 0.0005916 ],[ 0.35471585  0.54814941 -0.00072362],[ 0.3620463   0.54324108 -0.00279541],[ 0.34512684  0.55321085 -0.00696999],[ 0.36234352  0.55086786 -0.0105079 ],[ 0.37214419  0.54860008 -0.01216357],[ 0.37974539  0.54625338 -0.01319132],[ 0.34332213  0.54381877 -0.01033206],[ 0.3628957   0.54156184 -0.01353325],[ 0.37396923  0.53937858 -0.015068  ],[ 0.38235599  0.53756148 -0.01626061],[ 0.34053671  0.53180331 -0.01311152],[ 0.35990208  0.52835685 -0.01641954],[ 0.3713294   0.5256412  -0.01821778],[ 0.38020098  0.52437735 -0.01953257],[ 0.3374593   0.51810408 -0.01533594],[ 0.35158807  0.51218617 -0.0190966 ],[ 0.36018854  0.50912786 -0.02039309],[ 0.36755544  0.50741243 -0.0210833 ]
[3.19987535e-01 5.36971450e-01 5.62412765e-08],[0.33171228 0.54728711 0.00124066],[3.45891923e-01 5.50452232e-01 1.30622182e-04],[ 0.35727635  0.54793698 -0.00119378],[ 0.36534986  0.54336578 -0.00324433],[ 0.34684747  0.55259007 -0.00737423],[ 0.36349288  0.5497067  -0.01114699],[ 0.37309524  0.54731768 -0.01297202],[ 0.38070574  0.54507428 -0.01410062],[ 0.34512419  0.54308552 -0.01062168],[ 0.36447051  0.53954196 -0.01400452],[ 0.37584123  0.53699708 -0.01571738],[ 0.3845948   0.53507143 -0.01706962],[ 0.34214893  0.531012   -0.01330677],[ 0.36117229  0.52607924 -0.01685984],[ 0.37271142  0.52257556 -0.01882244],[ 0.38174212  0.52065802 -0.02025191],[ 0.33861306  0.51715493 -0.01546832],[ 0.35246921  0.51054841 -0.01945809],[ 0.3611339   0.50702924 -0.02091407],[ 0.36859339  0.50493819 -0.02171246]
[3.23005021e-01 5.35404205e-01 6.10102830e-08],[0.33503741 0.54520512 0.00125264],[3.49456847e-01 5.47906399e-01 1.27846346e-04],[ 0.36087015  0.54432434 -0.00118961],[ 0.36851564  0.53887194 -0.00322132],[ 0.35077602  0.55037528 -0.00738608],[ 0.36743593  0.54685569 -0.01106817],[ 0.37717411  0.54412347 -0.01284461],[ 0.38489887  0.54137021 -0.01391415],[ 0.34865272  0.54110169 -0.0105201 ],[ 0.36774269  0.53680533 -0.01380082],[ 0.37922394  0.53369522 -0.01538685],[ 0.3881582   0.53118497 -0.01668647],[ 0.34545773  0.52916765 -0.01310921],[ 0.36430585  0.52348286 -0.01649605],[ 0.37591982  0.51960021 -0.01845521],[ 0.38488606  0.51732779 -0.0198782 ],[ 0.34184861  0.5151791  -0.01518243],[ 0.35599455  0.5078606  -0.01896117],[ 0.36498791  0.50369453 -0.02050107],[ 0.37258571  0.50101554 -0.02137964]
[3.26641053e-01 5.35043478e-01 6.24793586e-08],[0.33877796 0.54387403 0.00200184],[0.35346892 0.5451442  0.00120757],[3.64274859e-01 5.39849758e-01 1.28441261e-05],[ 0.37050956  0.53256065 -0.00190891],[ 0.3559905   0.54815614 -0.00572831],[ 0.37256753  0.54377174 -0.00893188],[ 0.38210145  0.54067504 -0.01047811],[ 0.38956779  0.53772849 -0.01142858],[ 0.35364044  0.538903   -0.00915724],[ 0.37288809  0.53366721 -0.01207588],[ 0.38425511  0.53005016 -0.01359047],[ 0.39301294  0.52703297 -0.01479255],[ 0.35017595  0.52698934 -0.01204518],[ 0.36962757  0.52060628 -0.01535096],[ 0.38128188  0.51636136 -0.01758454],[ 0.39011425  0.51357281 -0.01911135],[ 0.34630081  0.51332402 -0.01433244],[ 0.36101505  0.50595498 -0.01807883],[ 0.36971405  0.50165743 -0.01967395],[ 0.37694556  0.4985953  -0.02056432]
