

[ 2.94031620e-01  6.72607362e-01 -4.59991512e-08],[ 0.28814745  0.68595898 -0.00895838],[ 0.28062075  0.7053116  -0.01044632],[ 0.27502126  0.72157931 -0.01078798],[ 0.27103043  0.73333752 -0.00983612],[0.27752751 0.72055697 0.00075438],[ 0.27986765  0.73635292 -0.00438309],[ 0.28266948  0.73037577 -0.00751731],[ 0.28232384  0.72408491 -0.00825294],[0.28450343 0.71838969 0.00473316],[ 2.89508879e-01  7.29686379e-01 -5.61939960e-04],[ 0.29113498  0.71998459 -0.00301725],[ 0.29019019  0.71427113 -0.00284077],[0.29111123 0.71444118 0.00701206],[0.29578248 0.72207284 0.00121757],[2.96538562e-01 7.12736189e-01 6.94084098e-04],[0.29527918 0.70786649 0.00235197],[0.29674008 0.71014374 0.00859595],[0.30090308 0.71683246 0.00514831],[0.30129346 0.70922232 0.0055479 ],[0.29981172 0.70416951 0.00747164],[ 4.81944203e-01  6.98518932e-01 -6.89429092e-09],[ 0.47211492  0.70750356 -0.00266477],[ 0.4664523   0.72218049 -0.00262922],[ 0.46519047  0.7344346  -0.00220157],[ 0.46579501  0.74292123 -0.00097189],[4.73822743e-01 7.37162292e-01 1.52061912e-04],[ 4.68629509e-01  7.50520349e-01 -5.97526494e-04],[ 0.46540755  0.74792981 -0.00147451],[ 0.46451825  0.74293226 -0.00175246],[0.47876388 0.7370162  0.00158982],[0.47280586 0.74876988 0.00196086],[0.46934539 0.74524581 0.00135145],[4.68606770e-01 7.39694655e-01 7.34031317e-04],[0.48194423 0.73444819 0.00265728],[0.47598374 0.74490613 0.00334095],[0.47303808 0.74169308 0.00340133],[0.47255427 0.73689234 0.00316771],[0.48364386 0.73089254 0.00344045],[0.47886837 0.73974413 0.00459516],[0.47606257 0.73827821 0.00549   ],[0.47541928 0.73444015 0.0060331 ]
[ 2.92638212e-01  6.69869125e-01 -8.01474709e-09],[ 0.28764549  0.68422544 -0.00782884],[ 0.28087652  0.70177966 -0.00932032],[ 0.27406204  0.71686864 -0.01011597],[ 0.26893821  0.72892886 -0.00998775],[0.27684385 0.71725637 0.00278022],[ 0.27596062  0.73404729 -0.00082392],[ 0.27661872  0.73400569 -0.0037566 ],[ 0.27668804  0.72920477 -0.00475303],[0.2843439  0.71537584 0.0060004 ],[0.2863709  0.72886574 0.00258769],[2.86804855e-01 7.20272362e-01 2.32422894e-06],[ 2.86157757e-01  7.12975264e-01 -2.84007692e-04],[0.29103634 0.71141934 0.00767075],[0.29339001 0.7202158  0.00365793],[0.29332069 0.71100402 0.00296549],[0.29227933 0.70520425 0.00400681],[0.29698741 0.70635831 0.00861837],[0.2988593  0.71317643 0.0063696 ],[0.29827225 0.70620316 0.00695611],[0.29702225 0.70108944 0.00859451],[4.84008729e-01 6.98416114e-01 1.98626484e-08],[ 0.47175664  0.70766801 -0.00180727],[ 0.4647482   0.72254252 -0.0012211 ],[ 4.62372452e-01  7.34350145e-01 -4.35929571e-04],[0.46331191 0.74196339 0.00096642],[0.47588941 0.73903877 0.00148165],[0.47077337 0.7508288  0.00139942],[4.65847731e-01 7.48169541e-01 7.21443910e-04],[4.63198841e-01 7.43374646e-01 4.00769000e-04],[0.48203772 0.73805296 0.00253833],[0.47485393 0.74651873 0.00359186],[0.4700371 0.7426039 0.0030536],[0.4685027  0.73780394 0.00237743],[0.4861106  0.73401868 0.00335571],[0.47925246 0.74115407 0.00442354],[0.47480914 0.73811072 0.00468735],[0.47317314 0.7338351  0.00450524],[0.48865059 0.72899479 0.00393132],[0.48317292 0.73591787 0.00497843],[0.47969693 0.7338438  0.00614404],[0.47841668 0.72973359 0.00700838]
[ 2.90320724e-01  6.70461357e-01 -8.00740008e-09],[ 0.2828331   0.68372804 -0.00898821],[ 0.2758342   0.70124787 -0.01168149],[ 0.27018875  0.71660823 -0.01345326],[ 0.26564407  0.72860003 -0.01434274],[ 0.27421826  0.71954823 -0.00122232],[ 0.27477565  0.73446393 -0.00697372],[ 0.27468094  0.73079765 -0.01122483],[ 0.27296612  0.72417653 -0.01302432],[0.28250268 0.71796048 0.00204703],[ 0.28496709  0.7293818  -0.00351647],[ 0.28517178  0.71929622 -0.00654752],[ 0.2842378   0.71078771 -0.00699496],[0.2899597  0.71410102 0.00378741],[ 0.29280207  0.7200799  -0.00218735],[ 0.29227948  0.71010071 -0.00267971],[ 0.29090324  0.70283061 -0.00114189],[0.29636586 0.70876759 0.00474301],[0.29852527 0.71357185 0.00075663],[0.29762733 0.70554364 0.00117231],[0.29615507 0.69976395 0.00304568],[4.82556850e-01 6.98131204e-01 3.20561107e-08],[ 0.47081539  0.70752937 -0.00125518],[ 0.46477282  0.72145718 -0.0007249 ],[ 4.61688936e-01  7.32852101e-01 -1.26097832e-04],[0.46146894 0.74165803 0.00103389],[0.47561854 0.738226   0.00205801],[0.47102708 0.7507869  0.0024433 ],[0.46591386 0.74948645 0.00204898],[0.4627319  0.74519157 0.00191495],[0.48161373 0.73653024 0.00295565],[0.47469383 0.74549508 0.00440426],[0.46893001 0.74263269 0.00403505],[0.46605673 0.73797137 0.00342088],[0.48579311 0.73206282 0.00369365],[0.47862846 0.73930889 0.00525054],[0.47340617 0.73733348 0.00576782],[0.47081003 0.73312598 0.00565162],[0.48811969 0.72664118 0.00420729],[0.48230729 0.73357517 0.00558048],[0.47802725 0.73274714 0.00692393],[0.4758769  0.72919852 0.00789132]
[2.88339764e-01 6.69107974e-01 4.47107595e-09],[ 0.28049847  0.6815837  -0.00832197],[ 0.27321604  0.69772446 -0.01111723],[ 0.26744553  0.71196401 -0.01334302],[ 0.26289564  0.72346735 -0.0150106 ],[ 0.27164182  0.71835953 -0.00118224],[ 0.27054247  0.73215729 -0.00688128],[ 0.26805484  0.73255962 -0.01157617],[ 0.26467198  0.72893912 -0.01404806],[0.27933985 0.71715927 0.00124647],[ 0.28193802  0.72732955 -0.00491413],[ 0.28232577  0.71758801 -0.00845371],[ 0.28108349  0.70889342 -0.00929411],[0.28684139 0.71357852 0.00225106],[ 0.28981858  0.71977836 -0.0041027 ],[ 0.28982309  0.70996857 -0.00467439],[ 0.28837961  0.70231032 -0.00324455],[0.29371965 0.7080062  0.00244965],[ 0.29627109  0.71232736 -0.00213107],[ 0.29546469  0.70455074 -0.00193779],[ 2.93665469e-01  6.98707938e-01 -2.35506071e-04],[4.82308358e-01 6.98096097e-01 9.93649341e-09],[ 0.46988785  0.7079519  -0.00111838],[ 4.63776290e-01  7.22926140e-01 -3.78967758e-04],[4.62231189e-01 7.34797478e-01 4.07427142e-04],[0.46324524 0.74206924 0.00171556],[0.47445297 0.73965979 0.00157469],[0.46981755 0.75111157 0.00166219],[0.46576393 0.74937552 0.00108354],[4.63536948e-01 7.45236337e-01 7.33286666e-04],[0.48085105 0.73797631 0.0022024 ],[0.47447962 0.74594057 0.00333768],[0.47028196 0.74253583 0.00302956],[0.46903384 0.73783469 0.00244802],[0.4851692  0.73324025 0.00269085],[0.47895831 0.740215   0.00369529],[0.47503355 0.73739707 0.00431415],[0.47375467 0.73295361 0.00435323],[0.4878203  0.72756189 0.00299636],[0.48259571 0.73440379 0.0039661 ],[0.47939888 0.73269087 0.00535512],[0.4783296  0.72885406 0.00637142]
[2.85889804e-01 6.68593943e-01 8.35604919e-10],[ 0.27708963  0.68029422 -0.00667388],[ 0.26947191  0.69603777 -0.00918539],[ 0.26443112  0.70965749 -0.01142483],[ 0.26003513  0.71980274 -0.01307613],[ 0.27083603  0.71865565 -0.00111287],[ 0.26791194  0.73025161 -0.00677339],[ 0.26451737  0.73073143 -0.01083531],[ 0.26108909  0.72973961 -0.0130601 ],[2.78506637e-01 7.17899024e-01 1.78214337e-04],[ 0.28017852  0.72358191 -0.00602004],[ 0.27959645  0.71176642 -0.00847086],[ 0.2783775   0.70598477 -0.00878288],[2.85977334e-01 7.14086771e-01 1.94200620e-04],[ 0.28807637  0.7161932  -0.00646728],[ 0.28696367  0.70480561 -0.00595546],[ 0.28558499  0.69996214 -0.0040026 ],[ 2.92840689e-01  7.08062768e-01 -4.51294851e-04],[ 0.29438952  0.70961201 -0.00499611],[ 0.29268113  0.70047325 -0.00404451],[ 0.29100826  0.69623321 -0.00196603],[4.82496291e-01 6.98676586e-01 1.38360505e-08],[ 0.46974966  0.70781589 -0.00087025],[ 4.63273704e-01  7.21793413e-01 -1.50004053e-04],[4.60743129e-01 7.32979894e-01 5.02743525e-04],[0.4599489  0.74126291 0.00170905],[0.47387823 0.73852199 0.00212221],[0.46926656 0.75120145 0.00192016],[0.46420395 0.74950683 0.00127073],[0.46171573 0.74429679 0.00116894],[0.48001647 0.73786116 0.00284814],[0.47321978 0.74624485 0.00419377],[0.4680396  0.74257821 0.0040213 ],[0.46627358 0.73744947 0.00359242],[0.48429871 0.73437876 0.00336586],[0.47753656 0.74057829 0.00498694],[0.47292879 0.73777324 0.00561525],[0.47124344 0.7331053  0.00554553],[0.48696774 0.72964007 0.00366656],[0.48133421 0.73525763 0.00512996],[0.47739235 0.73366368 0.00645684],[0.47596192 0.72967088 0.00741688]
[ 2.84391582e-01  6.66872621e-01 -6.06888833e-08],[ 0.27484015  0.67912376 -0.00724897],[ 0.26655114  0.69564432 -0.00976152],[ 0.26149267  0.7092523  -0.01196175],[ 0.25776768  0.71966624 -0.01329342],[ 0.26419419  0.71430498 -0.00095755],[ 0.26435345  0.72850257 -0.008584  ],[ 0.26878521  0.72553343 -0.01351624],[ 0.27101231  0.71896911 -0.01559266],[2.72957474e-01 7.13727415e-01 3.86401924e-04],[ 0.27686059  0.72346443 -0.00777395],[ 0.27901822  0.71122795 -0.01073729],[ 0.27770925  0.70259714 -0.01063514],[2.81375021e-01 7.10684478e-01 1.37130803e-04],[ 0.28589606  0.71654558 -0.00822145],[ 0.28643736  0.7043727  -0.00789187],[ 0.28428042  0.69717956 -0.00531289],[ 0.2891421   0.70582247 -0.00078672],[ 0.29274693  0.71025205 -0.00640428],[ 0.29230592  0.70049864 -0.00558529],[ 0.28972599  0.69479507 -0.00316315],[4.81417209e-01 6.98222756e-01 1.94973033e-08],[ 0.46935463  0.70715064 -0.00097726],[ 4.63101089e-01  7.20673263e-01 -4.78801434e-04],[4.60606098e-01 7.33379304e-01 1.64635130e-05],[0.46012354 0.74338555 0.00104111],[0.47200549 0.73618901 0.00210189],[0.46906742 0.75038546 0.00267047],[0.4652648  0.75045097 0.00258796],[0.46291304 0.74673963 0.00265498],[0.47818631 0.73551142 0.00294421],[0.47313687 0.74564081 0.00483643],[0.46909881 0.7431469  0.00480327],[0.4675394  0.73875463 0.0042876 ],[0.48272437 0.73206037 0.00367208],[0.47720137 0.74021143 0.00577727],[0.47350013 0.73813391 0.0066812 ],[0.47208977 0.73399913 0.00659183],[0.48562124 0.7273699  0.0041817 ],[0.48080751 0.73417318 0.00605406],[0.47753835 0.73317915 0.00761995],[0.47643527 0.72971702 0.00857714]
[ 2.81325877e-01  6.60251081e-01 -6.80592933e-08],[ 0.27632013  0.67122453 -0.0108077 ],[ 0.26894179  0.68859112 -0.0138137 ],[ 0.26258257  0.70379579 -0.0155126 ],[ 0.25869471  0.71635735 -0.01614885],[ 0.26218402  0.70827764 -0.00200824],[ 0.26555219  0.7243064  -0.00940209],[ 0.27028158  0.71829647 -0.01447031],[ 0.27157313  0.70845342 -0.01622722],[0.26977977 0.70760715 0.0021003 ],[ 0.27479613  0.72113591 -0.00561948],[ 0.27838567  0.71004385 -0.00933833],[ 0.27830756  0.70018083 -0.00940095],[0.27687365 0.70474869 0.00437144],[ 0.2823993   0.71388078 -0.00375061],[ 0.28471699  0.70295125 -0.00487278],[ 0.28362826  0.69445837 -0.00292069],[0.28292522 0.70069057 0.00578944],[ 2.87971646e-01  7.07779467e-01 -1.39207536e-04],[ 2.88924307e-01  6.98509991e-01 -4.48637904e-04],[0.2871089  0.69112486 0.00157477],[4.80435133e-01 6.97419584e-01 3.04840562e-08],[ 0.46897599  0.70585757 -0.0018132 ],[ 0.46206722  0.71943241 -0.00156639],[ 0.45901722  0.73187727 -0.00120912],[ 4.58944380e-01  7.42225468e-01 -2.84331385e-04],[0.47113681 0.73462433 0.00242284],[0.46798494 0.74820685 0.00280879],[0.4643096  0.74886817 0.00235288],[0.46195525 0.74593335 0.00217838],[0.47688589 0.73416448 0.00350207],[0.47249737 0.7454567  0.00508155],[0.46833503 0.74453413 0.00467793],[0.46610594 0.74142021 0.00405264],[0.48119473 0.73168546 0.00428412],[0.47636411 0.74149215 0.00602786],[0.47231624 0.74073184 0.00653102],[0.4701114  0.7379325  0.00635519],[0.48387507 0.72826833 0.0047681 ],[0.47967917 0.73676163 0.00645932],[0.47622356 0.73707002 0.00785288],[0.47446918 0.73457253 0.00876022]
[ 2.78893560e-01  6.56082988e-01 -6.89340851e-08],[ 0.2788921   0.66711944 -0.01243004],[ 0.2750127   0.68603295 -0.01474127],[ 0.27043229  0.70291185 -0.0148477 ],[ 0.26734868  0.71676892 -0.01391114],[ 0.26397872  0.7014057  -0.00360741],[ 0.26536888  0.71927339 -0.00850549],[ 0.26909715  0.71794754 -0.01168282],[ 0.27030933  0.71168733 -0.01250335],[0.26899782 0.70214176 0.00230517],[ 0.27646077  0.71745259 -0.00370273],[ 0.28181359  0.70887166 -0.00647594],[ 0.28305954  0.698807   -0.00589035],[0.27405539 0.7008068  0.00648722],[ 2.81944573e-01  7.12294042e-01 -6.31242641e-04],[ 0.28642735  0.7027759  -0.00274251],[ 0.28645962  0.69410652 -0.00141544],[0.27770066 0.6982044  0.00984514],[0.28523201 0.70676273 0.00377768],[0.2885673  0.69927233 0.002112  ],[0.28811112 0.6921863  0.00328069],[4.80357677e-01 6.97279453e-01 5.53405677e-08],[ 0.46760476  0.70511687 -0.00093085],[ 4.60495591e-01  7.19867766e-01 -1.32403638e-05],[0.45761737 0.73218381 0.00100009],[0.4573862  0.74092656 0.00248761],[0.47094244 0.7369864  0.00359704],[0.46586329 0.74900222 0.00593246],[0.46105862 0.74919313 0.00679054],[0.45771378 0.74628967 0.0072306 ],[0.4766461  0.73567039 0.00476774],[0.47005203 0.74394923 0.00853948],[0.4646892  0.74329156 0.00906651],[0.46109584 0.74124557 0.00868765],[0.48053586 0.73169559 0.00587311],[0.47362235 0.7383104  0.00967225],[0.46872017 0.73766834 0.01063792],[0.46549767 0.73523217 0.010302  ],[0.48228949 0.72631884 0.00670003],[0.47624123 0.73205066 0.00997301],[0.47224417 0.73191929 0.01182749],[0.46997812 0.72915179 0.01280215]
[ 2.77016670e-01  6.58591568e-01 -4.20214299e-08],[ 0.27912956  0.67182177 -0.01072355],[ 0.27596456  0.69041014 -0.01260972],[ 0.27166668  0.70725369 -0.01258659],[ 0.2692709   0.72073722 -0.01167788],[ 0.26530069  0.70480502 -0.00209396],[ 0.26702791  0.72099882 -0.00570908],[ 0.26999864  0.72113031 -0.00849262],[ 0.26997641  0.71793246 -0.00952023],[0.267977   0.7051273  0.00311257],[ 0.27506453  0.71973604 -0.00131979],[ 0.28132364  0.71380174 -0.00390541],[ 0.28314048  0.70526308 -0.00380048],[0.27179036 0.70408338 0.00688499],[0.27999237 0.71604997 0.00143631],[ 2.85378903e-01  7.08806932e-01 -2.62266858e-05],[0.2859633  0.70075572 0.00110416],[0.27526611 0.70179206 0.00988535],[0.28349882 0.71082884 0.00503173],[0.28743976 0.70459944 0.00401828],[0.28727773 0.69809461 0.00524526],[4.82314259e-01 6.97038412e-01 1.86969551e-08],[ 0.46934336  0.70463508 -0.00176403],[ 0.46179205  0.71915454 -0.00103396],[ 4.58793133e-01  7.31592298e-01 -1.02430196e-04],[0.45907012 0.74032068 0.00149193],[0.47274518 0.73779988 0.00245795],[0.4675948  0.74841589 0.00267334],[0.46238232 0.74542218 0.00180427],[0.45958903 0.74060267 0.0012854 ],[0.47847077 0.73666847 0.00356532],[0.47196108 0.7454136  0.00495337],[0.4667491  0.74225783 0.0043871 ],[0.46440655 0.73758256 0.0036564 ],[0.48209924 0.73278648 0.00438918],[0.47558093 0.74007773 0.005688  ],[0.47093123 0.73795867 0.00591457],[0.46883154 0.7340501  0.00570146],[0.48398569 0.72782648 0.00494207],[0.47833994 0.73494405 0.00623776],[0.47482637 0.73375249 0.00745631],[0.47321811 0.73017389 0.00833596]
[2.75582254e-01 6.67165101e-01 2.11865405e-08],[ 0.28515753  0.67968076 -0.01078144],[ 0.28654015  0.69939137 -0.01174278],[ 0.28268683  0.71785355 -0.01007513],[ 0.28118998  0.73226851 -0.00705799],[ 0.27295953  0.71069372 -0.00206939],[ 0.27041453  0.73081946 -0.00136114],[ 0.27519232  0.73715985 -0.00123369],[ 2.78834909e-01  7.38010466e-01 -6.61058468e-04],[0.2710138  0.70945144 0.00466244],[0.27305502 0.72818959 0.00648599],[0.2788671  0.73170781 0.00681062],[0.28282365 0.72955453 0.0073689 ],[0.27171177 0.70695031 0.01012302],[0.27648368 0.72267735 0.00999025],[0.28235415 0.72364575 0.00872853],[0.28589252 0.72199631 0.00838115],[0.27289572 0.7048592  0.01481802],[0.27854502 0.71723652 0.0133722 ],[0.28393349 0.71737522 0.01228904],[0.28710961 0.71526033 0.01230739],[4.83819932e-01 6.94642603e-01 3.22561000e-08],[ 4.71739084e-01  7.02830672e-01 -6.09712210e-04],[0.4653247  0.71778345 0.00086483],[0.46268716 0.72972673 0.00237423],[0.46307546 0.73783171 0.00446281],[0.47541815 0.73636216 0.00459724],[0.47064233 0.74757886 0.0056234 ],[0.46549976 0.74591583 0.00504631],[0.46228224 0.74165511 0.00467577],[0.48097843 0.73494571 0.00541176],[0.47535503 0.74473119 0.00753041],[0.46970204 0.74301887 0.00689353],[0.46604219 0.73924643 0.0060037 ],[0.48487118 0.73112887 0.00598001],[0.47896114 0.73946452 0.00791391],[0.47376773 0.73882651 0.00785067],[0.47038031 0.73565841 0.00732111],[0.48671249 0.72631097 0.00635451],[0.48176789 0.7344054  0.00822803],[0.47766644 0.73439264 0.00940332],[0.47489622 0.73171228 0.01013224]
