[3.17942530e-01 6.63877964e-01 1.20243389e-08],[ 0.32906446  0.6753425  -0.00929747],[ 0.33329302  0.69357562 -0.01083472],[ 0.3345412   0.71108907 -0.01018363],[ 0.33681589  0.72521138 -0.00846737],[ 0.31953502  0.70684606 -0.00194357],[3.22235644e-01 7.26562023e-01 1.53710178e-04],[0.32881278 0.73077536 0.00090765],[0.33312899 0.72918069 0.00165663],[0.3152979  0.70465773 0.00424453],[0.31939745 0.72252041 0.00848482],[0.32681233 0.72620434 0.00927084],[0.33208561 0.72447556 0.00908457],[0.3139213  0.70154083 0.00954261],[0.31833282 0.71667856 0.0128132 ],[0.32463661 0.71968663 0.0127169 ],[0.32975915 0.71889716 0.01192259],[0.31396833 0.69946074 0.0140774 ],[0.31803352 0.71208239 0.01611352],[0.32286677 0.71517509 0.01646347],[0.32729477 0.71452457 0.01647901]
[ 3.18414837e-01  6.62630260e-01 -9.21748988e-09],[ 0.33012229  0.67494631 -0.00950304],[ 0.33465779  0.69360262 -0.01099937],[ 0.33533043  0.71177071 -0.01014288],[ 0.33677998  0.72592527 -0.00806129],[ 0.32006693  0.70297706 -0.00353478],[ 0.32337487  0.72412407 -0.00241941],[ 0.33018368  0.72791141 -0.00226136],[ 0.33360434  0.72654474 -0.00195702],[0.31552345 0.70138669 0.00249778],[0.31991032 0.72098088 0.00527701],[0.32678509 0.72523862 0.0055938 ],[0.33110794 0.72385299 0.00528734],[0.31409317 0.69902307 0.0076376 ],[0.31892768 0.71587121 0.00923421],[0.32519576 0.71917826 0.00870231],[0.32932562 0.71887994 0.00797242],[0.31387746 0.69762599 0.01213706],[0.31819597 0.71168435 0.01266007],[0.32307482 0.71501303 0.01252859],[0.32656303 0.71486598 0.01246961]
[ 3.19685310e-01  6.63426399e-01 -1.19048336e-08],[ 0.33096921  0.67513019 -0.00829367],[ 0.33501133  0.69359869 -0.00947896],[ 0.33583364  0.71118748 -0.00857889],[ 0.33741239  0.72504735 -0.00660898],[ 0.32109171  0.70343584 -0.00335915],[ 0.32331267  0.7242586  -0.00234443],[ 0.32972556  0.72950494 -0.00225592],[ 0.33360696  0.72963476 -0.00206703],[0.31575605 0.70130622 0.00189892],[0.32026646 0.71967268 0.00471917],[0.32722318 0.72495311 0.00513399],[0.33228225 0.72430694 0.00473932],[0.31391045 0.69828784 0.00643378],[0.3190251  0.71349221 0.00826993],[0.32549259 0.71791828 0.00817366],[0.33033037 0.71839052 0.0075693 ],[0.31330702 0.69590771 0.01037087],[0.31746897 0.70888305 0.01089933],[0.32271826 0.71294445 0.01107755],[0.32696772 0.71329099 0.01121292]
[ 3.19125652e-01  6.62913561e-01 -3.76180083e-08],[ 0.33157507  0.67332554 -0.00752887],[ 0.33583978  0.69139123 -0.00866303],[ 0.33533648  0.70954156 -0.00781933],[ 0.33641648  0.72275418 -0.00595563],[ 0.32300198  0.70109707 -0.0040772 ],[ 0.32903907  0.7203328  -0.00354354],[ 0.33523181  0.7236653  -0.00330731],[ 0.33826023  0.72433913 -0.00305046],[3.16733927e-01 7.01374233e-01 4.42503078e-04],[0.3232989  0.71940762 0.00179283],[0.32991844 0.72239518 0.00204186],[0.33411101 0.72240418 0.00189538],[0.31428677 0.70018512 0.00441046],[0.3204442  0.71559197 0.00467486],[0.32665464 0.71788353 0.0047504 ],[0.3305696  0.71767342 0.00472874],[0.31380305 0.69910687 0.0079053 ],[0.31863397 0.7118364  0.00769208],[0.32365739 0.71442926 0.00807925],[0.32713318 0.71400315 0.008564  ]
[ 3.20467353e-01  6.63190305e-01 -1.51296362e-08],[ 0.33158854  0.67242831 -0.00737813],[ 0.33621636  0.68932694 -0.00845203],[ 0.33688644  0.70578331 -0.0076264 ],[ 0.33801782  0.71854907 -0.00577006],[ 0.32184514  0.70042735 -0.00313156],[ 0.32463935  0.71936113 -0.00220532],[ 0.33023417  0.72529072 -0.00201439],[ 0.3339476   0.72670984 -0.00178603],[0.31727177 0.70017046 0.00132414],[0.32247582 0.71775252 0.00357839],[0.32907289 0.72406906 0.00408204],[0.33441564 0.72493929 0.00397141],[0.315824   0.69876653 0.00508251],[0.32101035 0.71459645 0.00605682],[0.32728437 0.71973008 0.00577455],[0.3324613  0.72123176 0.00535791],[0.31570712 0.69778717 0.00834652],[0.32018515 0.71154147 0.00799223],[0.32526463 0.71646321 0.00771361],[0.32962558 0.71830046 0.00771411]
[ 3.20456445e-01  6.59654558e-01 -2.36415421e-08],[ 0.3316924   0.66754419 -0.00524881],[ 0.33725592  0.68419564 -0.00614029],[ 0.33837089  0.69923681 -0.00573646],[ 0.33955088  0.70934284 -0.00455193],[ 0.32528758  0.69443935 -0.00397506],[ 0.33041349  0.71290147 -0.00448932],[ 0.33497494  0.72018546 -0.00472277],[ 0.3377229   0.72455102 -0.00477472],[ 0.31980979  0.69603652 -0.00155895],[ 0.32411772  0.71457458 -0.00157598],[ 0.32949927  0.72189236 -0.00151598],[ 0.33377519  0.72533047 -0.00145537],[3.17254484e-01 6.96190178e-01 4.21056495e-04],[ 3.21420759e-01  7.12963760e-01 -3.26185138e-04],[ 3.26642454e-01  7.19142497e-01 -4.04708524e-04],[ 3.30529034e-01  7.22224236e-01 -2.34138526e-04],[0.31678656 0.69592631 0.00204282],[0.32023349 0.71007627 0.00097056],[0.32456207 0.71595454 0.00107271],[0.32818356 0.71878272 0.00152799]
[ 3.21504563e-01  6.60239935e-01 -2.07075033e-08],[ 0.33301708  0.66798335 -0.00689444],[ 0.33827326  0.68485808 -0.00826531],[ 0.33876944  0.70181447 -0.00791031],[ 0.33987424  0.71457916 -0.00662083],[ 0.32411873  0.69515061 -0.00472405],[ 0.32865581  0.71377349 -0.00546791],[ 0.33413672  0.71955585 -0.00602279],[ 0.33741209  0.7217657  -0.00624028],[ 0.3187446   0.69641817 -0.00134164],[ 0.32421151  0.71393448 -0.00116426],[ 0.33015421  0.72019261 -0.00100962],[ 0.33465621  0.72221124 -0.0010843 ],[0.31675982 0.6962052  0.00137364],[3.22469443e-01 7.12125003e-01 4.82710399e-04],[3.28184605e-01 7.17069387e-01 5.08999336e-04],[3.32432002e-01 7.19102740e-01 6.51837210e-04],[0.31676748 0.69599271 0.00359854],[0.32146448 0.70961797 0.00205435],[0.32617056 0.71414173 0.00190199],[0.3298105  0.71629268 0.00216859]
[ 3.21978271e-01  6.58967316e-01 -1.65384471e-08],[ 0.33250606  0.66487199 -0.00813986],[ 0.33839941  0.68131906 -0.00963671],[ 0.34002796  0.69832516 -0.00929892],[ 0.34123191  0.71164787 -0.00787972],[ 0.326258    0.69396704 -0.00312917],[ 0.33183244  0.71150529 -0.00320321],[ 0.33770844  0.71573043 -0.00372452],[ 0.34071043  0.71646732 -0.00407024],[0.32201928 0.69553512 0.00098973],[0.32776502 0.71226448 0.00178405],[0.33348888 0.7173847  0.00165308],[0.33733341 0.71835738 0.00129958],[0.3206647  0.69545585 0.0041679 ],[0.32529673 0.71145099 0.00365235],[0.33081779 0.716003   0.00321606],[0.33484143 0.71783    0.00296114],[0.32065219 0.69511569 0.00672599],[0.32466489 0.70892102 0.00535708],[0.32911503 0.71364874 0.0048789 ],[0.33244368 0.71591508 0.00483044]
[ 3.22555244e-01  6.58193469e-01 -3.90019927e-08],[ 0.33287919  0.66245079 -0.00986669],[ 0.33887458  0.67793572 -0.01214227],[ 0.34076321  0.69555545 -0.012278  ],[ 0.34155533  0.70868772 -0.01106952],[ 0.32649451  0.69401848 -0.00504681],[ 0.33414763  0.71279389 -0.00635354],[ 0.34117651  0.71134561 -0.00737866],[ 0.34283623  0.70611769 -0.00777218],[3.23575467e-01 6.96038723e-01 1.17305917e-05],[ 3.31729472e-01  7.13179588e-01 -5.91796765e-04],[ 0.33858794  0.71233946 -0.00134142],[ 0.34107158  0.70786327 -0.00170697],[0.32299387 0.69582999 0.00406253],[0.33058611 0.71149546 0.00237164],[0.33692577 0.71041358 0.00153025],[0.33953187 0.70665532 0.00131151],[0.32335943 0.6952886  0.00742091],[0.33025762 0.70801866 0.00494394],[0.33534548 0.70741236 0.00404502],[0.33726406 0.70440757 0.00406153]
[ 3.22586834e-01  6.50035977e-01 -4.30332285e-08],[ 0.33478791  0.65431482 -0.010745  ],[ 0.34235042  0.66921842 -0.013651  ],[ 0.3466416   0.68539339 -0.01435588],[ 0.34927475  0.69945031 -0.01378586],[ 0.32987952  0.68778157 -0.00579768],[ 0.33591384  0.70692229 -0.00695433],[ 0.34380093  0.70838594 -0.00791541],[ 0.34828103  0.70398128 -0.00818691],[ 3.25184166e-01  6.88607991e-01 -2.22895833e-04],[ 3.33461791e-01  7.04223752e-01 -4.75504377e-04],[ 0.34166491  0.70543408 -0.00149914],[ 0.34648854  0.70081574 -0.0022642 ],[0.3232317  0.68755239 0.00430632],[0.33170548 0.70110804 0.0031767 ],[0.33916613 0.70140272 0.00187351],[0.34370849 0.69806308 0.00117717],[0.32237819 0.68631631 0.00808155],[0.32980597 0.69830644 0.00617851],[0.33649346 0.69964755 0.00503145],[0.34099159 0.69730085 0.00469783]
[ 3.23026687e-01  6.39718473e-01 -7.73813795e-08],[ 0.33698827  0.64330959 -0.00796756],[ 0.34606943  0.65729982 -0.0102739 ],[ 0.35191995  0.67293197 -0.01094336],[ 0.35657528  0.68534809 -0.01054281],[ 0.33439603  0.67755634 -0.00475008],[ 0.34286705  0.69546115 -0.00516844],[ 0.34944701  0.69468331 -0.00545497],[ 0.35272157  0.68966764 -0.00539664],[ 3.28074962e-01  6.79537058e-01 -5.21457638e-04],[ 3.38126838e-01  6.94009066e-01 -2.54922401e-04],[ 0.34524375  0.69240135 -0.00074195],[ 0.34897655  0.68697739 -0.00132667],[0.32486296 0.67870742 0.00312374],[0.33413678 0.69193995 0.00274971],[0.3404313  0.69029278 0.00232212],[0.34419167 0.68577033 0.00194129],[0.32338628 0.6767531  0.00623081],[0.33081707 0.68833929 0.00525731],[0.33671477 0.68841672 0.00492675],[0.3408756  0.68534547 0.00493819]
