[ 3.25976133e-01  5.88179648e-01 -1.02330006e-07],[ 0.33605793  0.57260394 -0.00133394],[ 0.3509492   0.56696534 -0.00304173],[ 0.36475965  0.56781822 -0.00464127],[ 0.37359378  0.56783509 -0.00529908],[ 0.35413587  0.57836461 -0.00708887],[ 0.37378031  0.58055127 -0.01119583],[ 0.36970627  0.57640088 -0.01180217],[ 0.36262888  0.57549709 -0.01109134],[ 0.35391441  0.59269828 -0.00801884],[ 0.37487668  0.5961082  -0.01161446],[ 0.37059832  0.5905925  -0.0100969 ],[ 0.36373112  0.58867872 -0.00807884],[ 0.35275227  0.60427111 -0.00889567],[ 0.37199619  0.60964268 -0.01117206],[ 0.36869109  0.60404295 -0.0077397 ],[ 0.36283267  0.60173434 -0.00469376],[ 0.3507489   0.61285961 -0.00985761],[ 0.36586469  0.61926985 -0.01004163],[ 0.3646647   0.61495727 -0.00694126],[ 0.35998333  0.61229318 -0.00432874]
[ 3.28165323e-01  5.87988138e-01 -5.93624918e-08],[ 3.38433892e-01  5.71622252e-01 -9.85663646e-05],[ 0.35246572  0.56663948 -0.00104013],[ 0.36546528  0.567765   -0.00192519],[ 0.37455136  0.56807345 -0.00213925],[ 0.35735631  0.57843304 -0.00600107],[ 0.37568596  0.57715416 -0.00951863],[ 0.37770823  0.57140195 -0.00965118],[ 0.37409496  0.56894809 -0.00848301],[ 0.35742447  0.59263307 -0.00710487],[ 0.3778837   0.59374619 -0.01075056],[ 0.37736976  0.58699924 -0.00912643],[ 0.37233377  0.5838629  -0.00660896],[ 0.35600737  0.60382795 -0.00798043],[ 0.3743296   0.60739881 -0.01012556],[ 0.37445462  0.60127842 -0.0066461 ],[ 0.37096557  0.59814465 -0.00320214],[ 0.35331815  0.61163872 -0.00882463],[ 0.36782852  0.61738306 -0.00855334],[ 0.36967802  0.6138193  -0.00522206],[ 0.36758351  0.61115617 -0.00217671]
[ 3.30972850e-01  5.86424589e-01 -4.11692263e-08],[ 0.34190035  0.57058585 -0.00103577],[ 0.35628295  0.56466639 -0.00261017],[ 0.36985084  0.56539172 -0.00407471],[ 0.37939736  0.5657739  -0.00480473],[ 0.35975763  0.57675874 -0.00648624],[ 0.37855378  0.577932   -0.01019004],[ 0.38130432  0.57419437 -0.01054506],[ 0.37850025  0.57220745 -0.00960796],[ 0.35967013  0.59153748 -0.00721938],[ 0.38018149  0.5928483  -0.01045943],[ 0.38057607  0.58698684 -0.00907868],[ 0.3761895   0.58394939 -0.00712629],[ 0.35850441  0.60287142 -0.00788299],[ 0.377321    0.6062749  -0.01012502],[ 0.37838051  0.60022396 -0.00731158],[ 0.37519506  0.59632057 -0.00452277],[ 0.35646629  0.61079204 -0.0085894 ],[ 0.3706902   0.61761671 -0.00949438],[ 0.37491781  0.61465001 -0.00760911],[ 0.37528512  0.61140031 -0.00556005]
[ 3.34084034e-01  5.86386025e-01 -3.76614331e-08],[ 0.34433895  0.57021987 -0.00126223],[ 0.35852423  0.56514812 -0.00272443],[ 0.37196076  0.56648391 -0.0039785 ],[ 0.38191992  0.56649804 -0.00445339],[ 0.36271465  0.57584184 -0.00581765],[ 0.38053811  0.57840478 -0.00923551],[ 0.38346699  0.57480007 -0.00951926],[ 0.38079494  0.57276893 -0.00856758],[ 0.36259845  0.59027344 -0.00637388],[ 0.38276669  0.59306908 -0.0096478 ],[ 0.38354936  0.5873332  -0.00841407],[ 0.3792285   0.58395612 -0.00643718],[ 0.36139664  0.60177344 -0.00689658],[ 0.38000137  0.60672855 -0.00893906],[ 0.38120085  0.60130364 -0.00610983],[ 0.37823308  0.59758914 -0.00332174],[ 0.35906711  0.61018085 -0.00749842],[ 0.372924    0.61718965 -0.0077909 ],[ 0.37619814  0.61420184 -0.00551766],[ 0.37585831  0.61100984 -0.00330608]
[ 3.36094737e-01  5.86019278e-01 -4.39085426e-08],[ 0.34624693  0.56980515 -0.00109148],[ 0.36039943  0.56496561 -0.00235626],[ 0.37340266  0.56680393 -0.00339072],[ 0.38254088  0.56756735 -0.00365913],[ 0.36503422  0.57703578 -0.00599175],[ 0.38362169  0.57772404 -0.00963206],[ 0.38626826  0.57296985 -0.01015391],[ 0.38363498  0.5704065  -0.00939648],[ 0.36506566  0.59165835 -0.00661062],[ 0.38534024  0.59255016 -0.01009451],[ 0.38597077  0.58637857 -0.00883161],[ 0.38178694  0.58341092 -0.00672625],[ 0.36373153  0.60283041 -0.00720038],[ 0.38213244  0.60661012 -0.00940696],[ 0.38422877  0.60112369 -0.0065966 ],[ 0.38213614  0.5977574  -0.0037274 ],[ 0.3611666   0.61081105 -0.00785833],[ 0.37450862  0.61725092 -0.0084631 ],[ 0.37893409  0.61422813 -0.00639056],[ 0.37975025  0.61111385 -0.00421207]
[ 3.37714821e-01  5.86157382e-01 -4.29506137e-08],[ 0.34866351  0.56985724 -0.00092679],[ 0.36307368  0.56553984 -0.00198902],[ 0.37661731  0.56716448 -0.00283037],[ 0.38652775  0.56699634 -0.00299091],[ 0.36730018  0.57728374 -0.00522829],[ 0.385842    0.57696581 -0.00815537],[ 0.38902852  0.57304078 -0.00836655],[ 0.38758209  0.57113773 -0.00763241],[ 0.36750826  0.59199864 -0.00556724],[ 0.38688111  0.59168071 -0.00759099],[ 0.38790926  0.58583045 -0.0061544 ],[ 0.38465524  0.58274561 -0.00452126],[ 0.36635849  0.60311526 -0.00585203],[ 0.38390115  0.60459882 -0.00690214],[ 0.38568076  0.59899271 -0.00423946],[ 0.38386881  0.59503901 -0.00205481],[ 0.36437464  0.61061698 -0.00623685],[ 0.37618497  0.61609262 -0.00669469],[ 0.38136411  0.61464411 -0.00536094],[ 0.38419598  0.61240226 -0.00398509]
[ 3.40449959e-01  5.85623980e-01 -3.62878438e-08],[ 0.35105127  0.57000285 -0.00105135],[ 0.36561444  0.56603271 -0.0021981 ],[ 0.37887838  0.56750441 -0.0030551 ],[ 0.38868925  0.56779408 -0.00313471],[ 0.3696551   0.57751894 -0.00685894],[ 0.3881219   0.57731515 -0.01065048],[ 0.39185944  0.57267594 -0.0106952 ],[ 0.39011693  0.56980246 -0.00942795],[ 0.36999562  0.59214675 -0.00723879],[ 0.3904359   0.59227592 -0.01054088],[ 0.39240074  0.58636272 -0.00863053],[ 0.38903174  0.58312142 -0.00607146],[ 0.36893001  0.60329664 -0.00755423],[ 0.38789952  0.60564458 -0.00983679],[ 0.3904447   0.59981692 -0.00651487],[ 0.38844234  0.59553862 -0.00315357],[ 0.36673075  0.61090565 -0.00793286],[ 0.38029352  0.61794984 -0.00939835],[ 0.38671812  0.61581266 -0.00787853],[ 0.38963786  0.61235416 -0.00577326]
[ 3.42671037e-01  5.84502935e-01 -4.60809773e-08],[ 3.52910280e-01  5.69028556e-01 -5.38888853e-04],[ 0.36726138  0.5651204  -0.00122223],[ 0.38007554  0.56614739 -0.00179249],[ 0.38947576  0.56724727 -0.00159326],[ 0.37313434  0.57703716 -0.00572069],[ 0.3919217   0.57866049 -0.00960203],[ 0.39634416  0.57374263 -0.0097824 ],[ 0.39385477  0.57013404 -0.0084514 ],[ 0.37313256  0.59171569 -0.00635749],[ 0.39252198  0.59219581 -0.0095031 ],[ 0.39601269  0.58666724 -0.00776443],[ 0.39284503  0.58253676 -0.00528173],[ 0.37192103  0.60261208 -0.00703515],[ 0.39037284  0.60565197 -0.00970812],[ 0.39515454  0.60053509 -0.00714371],[ 0.39429298  0.59540844 -0.0040804 ],[ 0.36970443  0.61027694 -0.00769297],[ 0.38329965  0.61853957 -0.01021769],[ 0.39057261  0.61643547 -0.00942751],[ 0.39343184  0.61190903 -0.00748837]
[ 3.45342159e-01  5.85950077e-01 -3.25747429e-08],[ 0.35600063  0.57025516 -0.00082446],[ 0.36999178  0.56494987 -0.00190582],[ 0.38256356  0.56615335 -0.0027306 ],[ 0.39157721  0.56838733 -0.00283395],[ 0.37396589  0.57657981 -0.00716464],[ 0.39248627  0.57774818 -0.01122842],[ 0.398067    0.57362598 -0.01153801],[ 0.39694989  0.5702458  -0.01024896],[ 0.37425393  0.59125197 -0.00764828],[ 0.39408064  0.59098768 -0.01100041],[ 0.39933082  0.5860272  -0.00931555],[ 0.39772981  0.58142859 -0.0068952 ],[ 0.37353563  0.60254133 -0.00808476],[ 0.39224234  0.60457718 -0.01093296],[ 0.39843592  0.59930998 -0.00853374],[ 0.39885205  0.59331781 -0.00552662],[ 0.37178555  0.61085159 -0.00848263],[ 0.386473    0.61842233 -0.01067158],[ 0.39388651  0.61628127 -0.00953517],[ 0.39682844  0.61140543 -0.00740759]
[ 3.48019838e-01  5.85334122e-01 -3.80954184e-08],[ 0.35860673  0.57010913 -0.00148363],[ 0.3729001   0.564345   -0.00328252],[ 0.38592792  0.56636834 -0.0046074 ],[ 0.39469689  0.56987053 -0.00506601],[ 0.37544879  0.5787878  -0.00852241],[ 0.39422765  0.582582   -0.01247771],[ 0.39766377  0.5779683  -0.01270227],[ 0.39463553  0.57512337 -0.01152283],[ 0.3749316   0.59319812 -0.00857521],[ 0.3952502   0.59623843 -0.01209811],[ 0.39673662  0.58987737 -0.01022777],[ 0.39244619  0.58632106 -0.00771389],[ 0.37361431  0.60413307 -0.00843193],[ 0.39213201  0.60773057 -0.01052513],[ 0.393913    0.60112959 -0.0069557 ],[ 0.3907966   0.59661651 -0.00346311],[ 0.37155148  0.61176372 -0.0083518 ],[ 0.3862403   0.61859345 -0.00943048],[ 0.39210191  0.61595786 -0.00744042],[ 0.39374012  0.6129604  -0.00504132]
