[0.69239962 0.26777995 0.10411604],[0.69053149 0.25439647 0.05942971],[0.68812484 0.253059   0.05947564],[0.68519652 0.25133973 0.05942114],[0.69882399 0.25688478 0.06557994],[0.69742656 0.25691828 0.06563523],[0.69227803 0.26000622 0.06552846],[ 0.68056691  0.25915787 -0.07895346],[ 0.688411    0.26456332 -0.05358149],[0.68547547 0.27820021 0.06355937],[0.69241452 0.27882445 0.07059121],[ 0.63301736  0.3313202  -0.12648717],[ 0.70812523  0.34774292 -0.07442955],[ 0.57575345  0.36933085 -0.00883712],[ 0.68071651  0.35250059 -0.09387168],[0.59672368 0.3387453  0.19925705],[ 0.68582135  0.29320353 -0.12305621],[0.59608132 0.33105674 0.21662903],[ 0.67686313  0.27011549 -0.12775075],[0.60606772 0.32664591 0.20549364],[ 0.66925943  0.26742616 -0.12951227],[0.60929954 0.33073479 0.20230241],[ 0.66830254  0.27186263 -0.1234007 ],[ 0.60820454  0.58623254 -0.01907739],[0.64045787 0.60350698 0.01892591],[0.58360833 0.72991937 0.13253871],[0.60072708 0.74435019 0.1828569 ],[0.5635221  0.87426573 0.24740657],[0.57343853 0.87164968 0.28947508],[0.55115592 0.89344275 0.25804883],[0.56686008 0.89467537 0.30887017],[0.54568303 0.87888908 0.22980317],[0.55354613 0.88267142 0.30763862]
[ 0.71533382  0.26779729 -0.16501904],[ 0.71670163  0.24908842 -0.205861  ],[ 0.7178002   0.24896464 -0.20583375],[ 0.71899194  0.24899083 -0.2057424 ],[ 0.71113807  0.24755615 -0.22246759],[ 0.70703864  0.24640182 -0.22253692],[ 0.70178568  0.2457801  -0.22269551],[ 0.70945513  0.25570124 -0.14697438],[ 0.68695718  0.2495849  -0.20505305],[ 0.71031153  0.28515774 -0.17412372],[ 0.70285869  0.28290775 -0.19530736],[ 0.71730524  0.3428818  -0.06986094],[ 0.64921844  0.32661381 -0.12527557],[0.69026625 0.41177627 0.04709914],[0.59925139 0.37261009 0.02112103],[0.71688759 0.41939035 0.01750505],[0.57316202 0.41791219 0.14840457],[0.71477574 0.42752376 0.00131449],[0.58107245 0.42980698 0.15389845],[ 0.71518081  0.41465494 -0.02572075],[0.58652461 0.41800281 0.13425238],[0.7137996  0.41125157 0.00479835],[0.58589512 0.41409141 0.14496742],[0.63447547 0.59654331 0.00412747],[ 0.6268239   0.57836944 -0.00405896],[0.62517434 0.74895912 0.09045678],[0.58092415 0.71323943 0.10055239],[0.61059719 0.85331833 0.40307441],[0.54757088 0.82827568 0.38437703],[0.59860122 0.86113131 0.429068  ],[0.5429014  0.84365559 0.41245675],[0.61263698 0.91073674 0.32001242],[0.5265373  0.88501948 0.29604265]
[ 0.720294    0.27086967 -0.30580291],[ 0.72188926  0.25163817 -0.29498118],[ 0.72327638  0.25149864 -0.2949509 ],[ 0.72466952  0.2515001  -0.29512697],[ 0.71437168  0.25036013 -0.30076841],[ 0.70983779  0.24931225 -0.30085552],[ 0.70439088  0.24819513 -0.30064225],[ 0.71355718  0.25461325 -0.15899423],[ 0.68490815  0.25012124 -0.24251859],[ 0.71623981  0.28851944 -0.26246083],[ 0.70693249  0.28678343 -0.26992649],[ 0.73193824  0.34727091 -0.08326891],[ 0.6329006   0.32944983 -0.11958021],[0.7039932  0.41881943 0.16106853],[0.56580991 0.38979977 0.16553041],[0.66959471 0.46602547 0.33438337],[0.517721   0.40937683 0.43683696],[0.65729058 0.47696954 0.36026579],[0.50306821 0.40931371 0.47805929],[0.65618956 0.4602879  0.33421272],[0.51103216 0.4039607  0.44687861],[0.65731752 0.45690519 0.32966536],[0.51837522 0.40504274 0.43194562],[0.64358813 0.58816344 0.00869   ],[ 0.61263263  0.56844211 -0.00862543],[0.63340437 0.75094008 0.0436612 ],[0.57384294 0.71913487 0.0660352 ],[0.61859119 0.85869324 0.34277248],[0.53813505 0.82871532 0.38148683],[0.60433757 0.86967623 0.36725274],[0.53617346 0.84244078 0.40862504],[0.6269871  0.92455631 0.2476743 ],[0.51409602 0.88025051 0.2821213 ]
[ 0.72086012  0.26522127 -0.33461419],[ 0.72167909  0.24642746 -0.31775793],[ 0.7231465   0.2463367  -0.31774846],[ 0.72457385  0.24628329 -0.31789726],[ 0.71367705  0.24576539 -0.32490629],[ 0.70895922  0.24512753 -0.32497919],[ 0.70358145  0.24433759 -0.32478461],[ 0.71360409  0.24971578 -0.16092375],[ 0.68219256  0.24715182 -0.25044456],[ 0.71861398  0.28335312 -0.28519851],[ 0.70859605  0.28218549 -0.29457128],[ 0.73548883  0.34773332 -0.08933835],[ 0.62929708  0.32961845 -0.13003266],[0.7055884  0.42195731 0.14566281],[0.54225928 0.39386329 0.1016411 ],[0.65716374 0.47354412 0.30612892],[0.51891118 0.4074474  0.31968147],[0.64531529 0.48725185 0.32783082],[0.5189262  0.41184556 0.34991512],[0.64588255 0.47772932 0.30419114],[0.52011311 0.40260324 0.32696974],[0.64677924 0.47236246 0.30113977],[0.52395314 0.3996478  0.31668493],[0.6466502  0.58766437 0.01027777],[ 0.60302609  0.56697285 -0.01024962],[0.63351858 0.74757713 0.0712284 ],[0.56735444 0.71494514 0.07971055],[0.61824059 0.85775918 0.35355684],[0.53501457 0.82619703 0.3952266 ],[0.60490358 0.87266952 0.37603533],[0.53594494 0.84024996 0.42174792],[0.62972963 0.92966914 0.25715721],[0.51172251 0.88164288 0.29836833]
[ 0.71901953  0.26339063 -0.32384402],[ 0.71949232  0.24412899 -0.30791894],[ 0.72092146  0.24413389 -0.30791086],[ 0.72230709  0.24420878 -0.30803305],[ 0.71156156  0.24349952 -0.31635708],[ 0.70677507  0.24284752 -0.31644839],[ 0.70141953  0.24208786 -0.31633681],[ 0.71136212  0.24788994 -0.17977136],[ 0.68052685  0.24521679 -0.24283004],[ 0.71671337  0.28225425 -0.27719375],[ 0.70696437  0.28043085 -0.28791693],[ 0.73425555  0.34925491 -0.09094702],[ 0.62834764  0.32586765 -0.12289084],[0.70169604 0.42329618 0.13584746],[0.53959888 0.38747826 0.12463728],[0.63887274 0.47104046 0.2854175 ],[0.50510621 0.39707014 0.37002382],[0.62654972 0.48517609 0.30621621],[0.49311203 0.39538777 0.40645561],[0.62201673 0.46548235 0.2827009 ],[0.50080436 0.39296114 0.37937582],[0.62341654 0.46204844 0.2800552 ],[0.50731909 0.39497778 0.36562583],[0.64775759 0.58953923 0.01011492],[ 0.59602553  0.57005513 -0.01012511],[0.63273591 0.74659878 0.06978352],[0.56401938 0.71324658 0.08458356],[0.61846423 0.85598797 0.36205772],[0.53412259 0.82707268 0.40119487],[0.6056996  0.87063593 0.385912  ],[0.53571546 0.84210533 0.42819506],[0.63222504 0.92833084 0.2720114 ],[0.50977588 0.88174939 0.30674562]
[ 0.71767265  0.26171744 -0.32378167],[ 0.71805751  0.24305996 -0.30742282],[ 0.71944636  0.24297002 -0.30741391],[ 0.72076005  0.24298683 -0.30752826],[ 0.71012938  0.24288155 -0.31717843],[ 0.70534575  0.24236646 -0.3172617 ],[ 0.70003211  0.24169429 -0.31717572],[ 0.71020949  0.24706975 -0.18638395],[ 0.67972195  0.2447219  -0.2449462 ],[ 0.7152971   0.28034881 -0.27686271],[ 0.70563841  0.27888677 -0.2887741 ],[ 0.7314176   0.34823638 -0.09141831],[ 0.62188995  0.32471779 -0.12601063],[0.69718945 0.42461544 0.13903779],[0.53730583 0.38787243 0.12006088],[0.63480723 0.46899912 0.29905209],[0.50755823 0.40522757 0.36917478],[0.62435639 0.48277551 0.32130462],[0.49489132 0.40140608 0.40731072],[0.61873668 0.46510631 0.29782298],[0.50279582 0.40159056 0.38236088],[0.62027282 0.46198499 0.29384324],[0.50704968 0.4035278  0.36594996],[0.64748526 0.58536714 0.01103211],[ 0.59028691  0.56472796 -0.01103799],[0.63243484 0.74613774 0.06907826],[0.5634988  0.7156589  0.08063459],[0.61753637 0.85855854 0.33788323],[0.53306425 0.83050692 0.38675934],[0.60490823 0.8731057  0.35905045],[0.53451347 0.84480089 0.41084203],[0.6329447  0.93017608 0.2450958 ],[0.50830114 0.88344443 0.29062361]
[ 0.71656954  0.26547664 -0.29896292],[ 0.71622074  0.24568936 -0.28539619],[ 0.71715599  0.24531941 -0.28539401],[ 0.71803367  0.24508148 -0.28551808],[ 0.70900273  0.24553312 -0.29605168],[ 0.70448756  0.24494623 -0.29613644],[ 0.69915318  0.24426809 -0.29605728],[ 0.70567626  0.24782634 -0.17493163],[ 0.67826235  0.24613696 -0.22651121],[ 0.71370721  0.2826061  -0.25439662],[ 0.70484275  0.28055584 -0.26810181],[ 0.72966707  0.34713361 -0.08002302],[ 0.61237651  0.3241142  -0.10071184],[0.69641405 0.4223747  0.15596625],[0.53635526 0.38436934 0.16540994],[0.64218748 0.4749051  0.3286154 ],[0.50332415 0.40888157 0.43330616],[0.62771022 0.48785582 0.35448915],[0.49517655 0.40955669 0.47690502],[0.62656909 0.47193944 0.33130217],[0.50344479 0.40909663 0.4520227 ],[0.62718856 0.46461999 0.3242386 ],[0.50676739 0.40958232 0.43076244],[0.64723647 0.58347034 0.01049269],[ 0.58586347  0.56274146 -0.01050672],[0.63112032 0.74558347 0.04000007],[0.55950052 0.71452612 0.05867525],[0.61730129 0.85949957 0.3205753 ],[0.5331012  0.82755959 0.36404696],[0.60554701 0.87362927 0.34350142],[0.53574896 0.84036434 0.38979685],[0.63171369 0.92853349 0.22985208],[0.50830013 0.88222116 0.26821297]
[ 0.71377307  0.26299769 -0.30375814],[ 0.71343815  0.24344036 -0.29046297],[ 0.71435243  0.2431955  -0.29046163],[ 0.71522415  0.24305315 -0.2905696 ],[ 0.70624375  0.24297066 -0.30213243],[ 0.70165908  0.24219377 -0.30221194],[ 0.69615513  0.24146907 -0.30215082],[ 0.70329446  0.24591571 -0.1802655 ],[ 0.67495394  0.24425574 -0.23461917],[ 0.7112754   0.28036609 -0.25899756],[ 0.70249438  0.27795124 -0.27426416],[ 0.72919548  0.34637055 -0.08365472],[ 0.60495889  0.32478029 -0.11356437],[0.69613582 0.42142692 0.15287098],[0.53473121 0.38384727 0.14372805],[0.6443724  0.47788188 0.32631844],[0.50120169 0.40735069 0.40429273],[0.63281667 0.49018663 0.35330027],[0.49117312 0.40716791 0.44544268],[0.6319713  0.48409474 0.32869595],[0.49975696 0.40644252 0.41977939],[0.63255227 0.47499174 0.32152182],[0.50461584 0.40800342 0.40091014],[0.64629501 0.58412093 0.01038749],[ 0.58233678  0.56340444 -0.01042311],[0.63004845 0.74585819 0.05117597],[0.5558852  0.71616769 0.06818942],[0.61736    0.85967672 0.34350544],[0.53338045 0.82642871 0.38007227],[0.60606134 0.87301451 0.36757845],[0.5366143  0.83902687 0.40682572],[0.63212693 0.928675   0.25471675],[0.50862348 0.88185894 0.28561112]
[ 0.70548797  0.26096138 -0.30378982],[ 0.70505106  0.24102274 -0.28949013],[ 0.70628887  0.24075793 -0.28950244],[ 0.7075029   0.240528   -0.28959978],[ 0.69664013  0.24047342 -0.29829174],[ 0.69176215  0.2400113  -0.29838091],[ 0.68619412  0.23979609 -0.2983095 ],[ 0.69689548  0.24285977 -0.17421934],[ 0.66628706  0.24357244 -0.21309726],[ 0.70426583  0.2788308  -0.25817996],[ 0.69496274  0.27646562 -0.26992726],[ 0.72645432  0.34393352 -0.07847469],[ 0.59974051  0.32356313 -0.08074285],[0.69360775 0.42300382 0.13441586],[0.53518432 0.37854797 0.20328021],[0.63772368 0.47906941 0.26100317],[0.49511161 0.40008062 0.46931919],[0.625646   0.49452841 0.27948716],[0.48496047 0.40029678 0.51182228],[0.62532425 0.49326691 0.25198483],[0.4931151  0.39810166 0.48416758],[0.62596071 0.48240092 0.2538662 ],[0.49876422 0.39993194 0.46518046],[0.64321929 0.58026826 0.00818756],[ 0.57885808  0.55962002 -0.00821995],[0.62906063 0.74347228 0.03316274],[0.55296016 0.71241283 0.05273958],[0.61700964 0.85465139 0.33671778],[0.53315568 0.82707953 0.35956621],[0.6053226  0.86798602 0.36187389],[0.53625822 0.83970839 0.38514656],[0.63169199 0.92659169 0.25056252],[0.50895131 0.88157928 0.26013994]
[ 0.69859248  0.25871867 -0.29933178],[ 0.69719923  0.23898466 -0.28457481],[ 0.69838619  0.23869781 -0.28459975],[ 0.69951409  0.23845877 -0.28469187],[ 0.68934953  0.23865551 -0.29167336],[ 0.68436533  0.23817876 -0.29176512],[ 0.67871302  0.23803256 -0.29170519],[ 0.68893284  0.24105667 -0.1697938 ],[ 0.65930313  0.2431521  -0.20339695],[ 0.69722497  0.27647346 -0.25428075],[ 0.68825257  0.27465898 -0.26389399],[ 0.71898973  0.34090671 -0.07581552],[ 0.59492493  0.32166401 -0.06921988],[0.6854499  0.4188014  0.12639813],[0.53580755 0.37537166 0.22530618],[0.62945944 0.48033348 0.23867512],[0.49185854 0.39925426 0.50204724],[0.61916608 0.49549109 0.25561953],[0.48156333 0.4038921  0.54670179],[0.61927664 0.4967939  0.22641592],[0.48897091 0.40201968 0.5197829 ],[0.61896479 0.4855167  0.23056038],[0.49458894 0.40208134 0.49860692],[0.63544595 0.57853758 0.00750763],[ 0.57180214  0.55788475 -0.00755976],[0.62831056 0.74034804 0.0352243 ],[0.54842579 0.71069729 0.05604457],[0.61629504 0.85182983 0.33391044],[0.53284895 0.82769817 0.35978839],[0.60441798 0.86552334 0.35853231],[0.5357092  0.84109038 0.38545039],[0.63158691 0.92449194 0.24505103],[0.50909883 0.8806228  0.26120836]
[ 0.69259834  0.25377616 -0.30142194],[ 0.69010586  0.23326659 -0.28764051],[ 0.69143718  0.23279807 -0.28765789],[ 0.69274634  0.23241712 -0.28774354],[ 0.68165725  0.23348312 -0.29618019],[ 0.67646813  0.23338352 -0.29624611],[ 0.67069256  0.23392601 -0.29619753],[ 0.68031973  0.23557672 -0.18359856],[ 0.65011632  0.24137309 -0.22957686],[ 0.69123912  0.27232584 -0.25603977],[ 0.68140608  0.27129409 -0.26590174],[ 0.7083205   0.33540323 -0.10317632],[ 0.58397245  0.32251227 -0.08070944],[0.66673261 0.41107449 0.096983  ],[0.52299792 0.37858942 0.16456164],[0.59230506 0.45826441 0.2319338 ],[0.49272722 0.39812708 0.47016603],[0.57759941 0.47148275 0.24281108],[0.49121994 0.40244609 0.51545149],[0.58179152 0.44934899 0.21322839],[0.49836445 0.39746103 0.49564919],[0.58401793 0.44557172 0.21980961],[0.50108409 0.39663726 0.47075802],[0.62569273 0.57361358 0.0085689 ],[ 0.56301343  0.55682361 -0.00860257],[0.62782991 0.73694509 0.0567622 ],[0.54395568 0.71236539 0.07333301],[0.61559045 0.85115367 0.37197122],[0.53262317 0.8259204  0.41934896],[0.60420358 0.86535877 0.40227097],[0.5354625  0.83894181 0.44981891],[0.63132066 0.92420924 0.28704542],[0.50932765 0.88083977 0.32893705]
