[ 0.37629944  0.33206192 -0.40914422],[ 0.38600868  0.30939171 -0.39437813],[ 0.39135203  0.30837628 -0.39439148],[ 0.39699221  0.30709031 -0.39436215],[ 0.37265337  0.30796194 -0.38788852],[ 0.36864319  0.30611697 -0.3879815 ],[ 0.36476699  0.30423012 -0.38809094],[ 0.41052151  0.30549037 -0.24796779],[ 0.36508745  0.30278566 -0.21871457],[ 0.38552111  0.3495397  -0.35058075],[ 0.37136942  0.34902847 -0.34193206],[ 0.45928472  0.40804079 -0.10370032],[ 0.32444212  0.39061657 -0.15808517],[ 0.47308907  0.51665211 -0.18291444],[ 0.28528908  0.52884495 -0.24139223],[ 0.45537686  0.49455759 -0.44223619],[ 0.30010357  0.52854347 -0.47648659],[ 0.45100111  0.47851989 -0.50056517],[ 0.30937672  0.54230666 -0.532148  ],[ 0.45424968  0.4649035  -0.50892156],[ 0.31588915  0.51815122 -0.54728979],[ 0.44776726  0.46789083 -0.45338577],[ 0.31493863  0.51416379 -0.48631954],[0.40937209 0.67269313 0.02996134],[ 0.34068847  0.66126758 -0.03000568],[0.38688022 0.78493756 0.25464895],[0.30471152 0.80602646 0.07051996],[0.35790253 0.89927167 0.64668   ],[0.26410192 0.93268561 0.31854293],[0.34304473 0.91545117 0.68370873],[0.2574603  0.9461475  0.33945507],[0.36596659 0.95198083 0.58647549],[0.26688701 0.98518145 0.19437151]
[ 0.37545279  0.33439255 -0.49248201],[ 0.38414294  0.31098416 -0.49055582],[ 0.38997012  0.30941674 -0.49052277],[ 0.39606905  0.30745795 -0.49048743],[ 0.37016073  0.31000254 -0.4791379 ],[ 0.36593726  0.30814248 -0.47923169],[ 0.36194739  0.30620658 -0.47934341],[ 0.41115957  0.30293477 -0.36221614],[ 0.36344156  0.30358183 -0.31077898],[ 0.38624817  0.35171071 -0.43627113],[ 0.37139925  0.35084802 -0.42140785],[ 0.45980209  0.40681046 -0.19406466],[ 0.32506034  0.39100111 -0.20995271],[ 0.47524038  0.52481604 -0.19438161],[ 0.29238635  0.53490072 -0.26292944],[ 0.45275202  0.51086938 -0.46331972],[ 0.31338471  0.53422612 -0.51772487],[ 0.44172272  0.5066275  -0.51083654],[ 0.32360789  0.54319966 -0.5740639 ],[ 0.44590989  0.49088827 -0.51483721],[ 0.32700235  0.52093226 -0.56248742],[ 0.44147396  0.49048346 -0.47382289],[ 0.32652232  0.51642489 -0.52408361],[0.41183487 0.67269272 0.02560303],[ 0.34218743  0.66122478 -0.02566229],[0.38726127 0.78918558 0.32145524],[0.30558768 0.80627275 0.07770407],[0.35906351 0.90001327 0.77390933],[0.26219466 0.94586521 0.3231864 ],[0.34384713 0.91645962 0.81518298],[0.25742584 0.96303374 0.34265453],[0.36618501 0.95309514 0.71068889],[0.26542622 0.99483818 0.18842845]
[ 0.37528202  0.33443671 -0.50620478],[ 0.38404769  0.3108004  -0.50105047],[ 0.390104    0.30902395 -0.50099331],[ 0.39654598  0.30684188 -0.50091916],[ 0.36958033  0.31070441 -0.49057594],[ 0.36526322  0.30908713 -0.49067369],[ 0.36117244  0.30732483 -0.49078184],[ 0.41188174  0.3020955  -0.36297905],[ 0.36231977  0.30418679 -0.31540233],[ 0.387007    0.35184047 -0.44682622],[ 0.37133175  0.35190058 -0.43296963],[ 0.46137252  0.404906   -0.1896265 ],[ 0.32531369  0.39110854 -0.22147377],[ 0.47660249  0.52474791 -0.16142407],[ 0.29338396  0.53455859 -0.28173438],[ 0.45328659  0.5327034  -0.33927953],[ 0.31321025  0.53606814 -0.52596104],[ 0.44164133  0.53680551 -0.37566257],[ 0.32494706  0.54443163 -0.58247876],[ 0.44568047  0.51885182 -0.38881546],[ 0.32815069  0.52155429 -0.58099723],[ 0.44144893  0.51707846 -0.34630629],[ 0.32701275  0.51692945 -0.53260493],[0.41398913 0.67282385 0.0317179 ],[ 0.34457186  0.66138095 -0.03183016],[0.38823423 0.79143268 0.3371895 ],[0.3056733  0.80899817 0.10574953],[0.35991317 0.90143144 0.77097207],[0.26120147 0.94654697 0.3739742 ],[0.34445721 0.91757661 0.81033981],[0.25589609 0.96355724 0.39655763],[0.3685981  0.95474303 0.70835346],[0.2656042  1.00290692 0.24502385]
[ 0.37466127  0.3347913  -0.51052773],[ 0.38318235  0.31140354 -0.50660664],[ 0.38921669  0.30961069 -0.5065285 ],[ 0.3957276   0.30744171 -0.5064404 ],[ 0.36898875  0.31146625 -0.49544817],[ 0.36470965  0.30986214 -0.49554777],[ 0.36069924  0.30807808 -0.4956367 ],[ 0.41153479  0.30228287 -0.37168843],[ 0.3625493   0.30452204 -0.32183889],[ 0.38669592  0.35208702 -0.45236963],[ 0.37104151  0.35254151 -0.4377749 ],[ 0.46176657  0.40339386 -0.19325684],[ 0.32546538  0.39086196 -0.22742841],[ 0.47799319  0.5245505  -0.15586032],[ 0.29305589  0.53072149 -0.28978005],[ 0.44946402  0.55568916 -0.30578509],[ 0.31399748  0.53355199 -0.5322988 ],[ 0.44152731  0.57316196 -0.3403056 ],[ 0.3255423   0.54227322 -0.58672178],[ 0.44396406  0.55651307 -0.35802194],[ 0.32907784  0.52174944 -0.59658879],[ 0.44074216  0.55096012 -0.31386989],[ 0.32798734  0.51688105 -0.53697389],[0.41557914 0.6723057  0.03100622],[ 0.34554514  0.66123039 -0.03114317],[0.38900763 0.79142219 0.35535103],[0.3057577  0.80933064 0.11562898],[0.36082673 0.90140015 0.77120292],[0.26081458 0.94950777 0.36653444],[0.34579843 0.91737747 0.80885774],[0.25641507 0.96661323 0.38741684],[0.36924738 0.95489407 0.70498145],[0.26480192 1.00722587 0.23476997]
[ 0.37489963  0.33438152 -0.50736213],[ 0.3834846   0.31112716 -0.50353664],[ 0.38957578  0.30938634 -0.50346482],[ 0.39611432  0.30724266 -0.50337869],[ 0.36935991  0.31143206 -0.49288726],[ 0.36513433  0.3100054  -0.49299151],[ 0.36123228  0.30844131 -0.49307966],[ 0.41169095  0.30205631 -0.37041953],[ 0.36324611  0.30481151 -0.32335216],[ 0.38699156  0.35161665 -0.44997478],[ 0.37117147  0.35260445 -0.43614131],[ 0.46305728  0.40275425 -0.19446   ],[ 0.3257052   0.39083472 -0.2258133 ],[ 0.47840911  0.52458584 -0.15294424],[ 0.29315084  0.53042561 -0.28650117],[ 0.44825682  0.56445414 -0.31211358],[ 0.31328255  0.53380638 -0.53491944],[ 0.44369578  0.587937   -0.34934875],[ 0.32415301  0.54185474 -0.59146023],[ 0.44491807  0.57138717 -0.37026972],[ 0.32791752  0.5202592  -0.60077906],[ 0.44215041  0.5646677  -0.32204291],[ 0.32707223  0.51556671 -0.54094094],[0.41669083 0.67162746 0.03099967],[ 0.34650996  0.66104287 -0.03113696],[0.38923544 0.79130208 0.34899268],[0.30575496 0.80968779 0.11782448],[0.36098206 0.9018454  0.75277579],[0.26068622 0.94905972 0.36680126],[0.34619495 0.91802669 0.78902376],[0.25685638 0.96648461 0.387243  ],[0.37254658 0.95488894 0.68422371],[0.26420456 1.00556314 0.23505268]
[ 0.37505513  0.33363524 -0.51657236],[ 0.38358417  0.31050348 -0.51353467],[ 0.38963777  0.30878109 -0.51346838],[ 0.39616644  0.30660823 -0.51338255],[ 0.36961874  0.31107548 -0.50322908],[ 0.36543754  0.30985701 -0.50333607],[ 0.36161602  0.308521   -0.50341475],[ 0.41174847  0.30160201 -0.38122311],[ 0.36376482  0.30490956 -0.33592695],[ 0.38706821  0.35035256 -0.45930815],[ 0.37129876  0.35218555 -0.44596767],[ 0.46366858  0.40233687 -0.21027049],[ 0.32590586  0.39069661 -0.23335306],[ 0.47867718  0.52572513 -0.17843318],[ 0.29217589  0.53052366 -0.29079038],[ 0.44698191  0.56640184 -0.36986253],[ 0.31124681  0.53310615 -0.53837669],[ 0.44353852  0.58524996 -0.42690325],[ 0.32299238  0.54073948 -0.59989303],[ 0.44391006  0.56800824 -0.45288759],[ 0.32674515  0.51835167 -0.61344421],[ 0.4415009   0.56236213 -0.38492441],[ 0.3255195   0.51355416 -0.54700267],[0.41739327 0.67102271 0.02955081],[ 0.34698001  0.66100234 -0.02967155],[0.38958135 0.79112267 0.36272469],[0.30587012 0.8097856  0.11692756],[0.3610695  0.9022274  0.76551366],[0.26058787 0.94998044 0.35348928],[0.34636074 0.91837633 0.80157197],[0.2571536  0.96786851 0.37284642],[0.37600547 0.95812571 0.69718891],[0.26404423 1.00450456 0.22139946]
[ 0.37513742  0.33311579 -0.55166924],[ 0.38366899  0.30996698 -0.54802525],[ 0.389768    0.30827096 -0.54794359],[ 0.39638194  0.30607277 -0.54785269],[ 0.36969078  0.31058973 -0.53871155],[ 0.36551559  0.30948484 -0.53882611],[ 0.36172032  0.3082799  -0.53890532],[ 0.41204134  0.30110228 -0.40915331],[ 0.36396882  0.30473712 -0.36836329],[ 0.38725054  0.34964213 -0.49158239],[ 0.3713693   0.35176525 -0.47962552],[ 0.46467012  0.40212637 -0.22636048],[ 0.32580501  0.39091095 -0.26460147],[ 0.47896695  0.52636391 -0.1920896 ],[ 0.29187819  0.53315359 -0.32853979],[ 0.44666204  0.56851375 -0.38606355],[ 0.31419659  0.53142685 -0.58364975],[ 0.44401032  0.58304477 -0.43179837],[ 0.32734501  0.53644866 -0.64833021],[ 0.44423094  0.56643707 -0.452499  ],[ 0.32978886  0.51326573 -0.65710467],[ 0.4419466   0.56106144 -0.39711934],[ 0.32834551  0.509314   -0.5911147 ],[0.4183262  0.66995823 0.02974335],[ 0.34746313  0.66050476 -0.02984868],[0.38979807 0.79102188 0.39479825],[0.30654973 0.80938029 0.11618815],[0.36126262 0.90220577 0.81644249],[0.26064005 0.95128268 0.34754863],[0.34698313 0.91829425 0.85433215],[0.2573778  0.97000217 0.36647588],[0.37528092 0.9574126  0.74789768],[0.26371568 1.00797677 0.21938391]
[ 0.37530747  0.3326489  -0.54665709],[ 0.38386661  0.30947226 -0.5424279 ],[ 0.39000285  0.30775672 -0.54234898],[ 0.39665431  0.30550766 -0.54225475],[ 0.36984009  0.31027153 -0.53292733],[ 0.36565262  0.30927497 -0.53304082],[ 0.36189058  0.30821413 -0.53312033],[ 0.41232952  0.30065677 -0.40278131],[ 0.36425969  0.30472437 -0.36071607],[ 0.38728267  0.34844282 -0.4864344 ],[ 0.37155369  0.3509149  -0.47403249],[ 0.46589345  0.40111828 -0.21936357],[ 0.32570833  0.39144266 -0.25909466],[ 0.47901726  0.52517265 -0.17625836],[ 0.292247    0.53367007 -0.33083683],[ 0.44809589  0.5665136  -0.34990519],[ 0.31843239  0.52920336 -0.59618348],[ 0.44684458  0.58164233 -0.390223  ],[ 0.33151093  0.53471756 -0.66195786],[ 0.44377461  0.56396168 -0.41264883],[ 0.33396396  0.51040351 -0.66737193],[ 0.44194263  0.55697954 -0.36105603],[ 0.33244377  0.50626844 -0.60263896],[0.41915947 0.66903859 0.02980714],[ 0.34773996  0.66047686 -0.02988636],[0.39040464 0.79103392 0.36944821],[0.30699977 0.80964941 0.1316583 ],[0.36150366 0.90202463 0.79079425],[0.2608116  0.95057309 0.39595848],[0.34730524 0.91700137 0.82838649],[0.2577135  0.96898329 0.41765618],[0.37462312 0.95697886 0.71990538],[0.26346546 1.00741243 0.26079682]
[ 0.37523597  0.33234662 -0.52946013],[ 0.38379204  0.30908072 -0.52569753],[ 0.39002252  0.30742729 -0.52562797],[ 0.39677277  0.30522659 -0.52555239],[ 0.36977026  0.30978888 -0.51570588],[ 0.36563998  0.30885002 -0.51581472],[ 0.36193725  0.30785248 -0.51589429],[ 0.41256839  0.30048695 -0.38953492],[ 0.36450028  0.30442116 -0.34531376],[ 0.38750848  0.34833634 -0.47061953],[ 0.37161237  0.35047975 -0.45756117],[ 0.46695313  0.40085697 -0.2153981 ],[ 0.32574284  0.3921704  -0.2430692 ],[ 0.47932982  0.52433378 -0.19363011],[ 0.29239276  0.53541559 -0.31784594],[ 0.45013613  0.56475538 -0.41679835],[ 0.32166809  0.52888817 -0.5824632 ],[ 0.4465313   0.57886761 -0.46812254],[ 0.33538583  0.5334844  -0.646218  ],[ 0.44376087  0.56210428 -0.48619804],[ 0.33771774  0.50893587 -0.65059894],[ 0.44196543  0.55574906 -0.4278895 ],[ 0.33597788  0.50479966 -0.58906174],[0.41942286 0.66898197 0.02966621],[ 0.34776783  0.66050339 -0.02973749],[0.39079136 0.79123318 0.35503596],[0.30777189 0.80962688 0.14140886],[0.36181375 0.90137452 0.77570409],[0.26104373 0.95026082 0.41929427],[0.34764805 0.915712   0.8136301 ],[0.25785321 0.967659   0.44266146],[0.37435502 0.95445037 0.70794344],[0.26497346 1.00674796 0.29126304]
[ 0.37513393  0.33239526 -0.52700448],[ 0.38364804  0.30909252 -0.5227735 ],[ 0.389871    0.30748594 -0.52270728],[ 0.3966164   0.30534649 -0.52261817],[ 0.36979336  0.30980065 -0.51275039],[ 0.36572057  0.30885786 -0.51285857],[ 0.36204857  0.30787489 -0.51292914],[ 0.412433    0.30058306 -0.38561672],[ 0.36461225  0.30427846 -0.34109789],[ 0.38763037  0.34840938 -0.46781477],[ 0.37164921  0.35030115 -0.45469648],[ 0.4672485   0.40038523 -0.21308076],[ 0.32578787  0.39213237 -0.2386601 ],[ 0.47972804  0.52281117 -0.19045642],[ 0.2925764   0.53387994 -0.31227624],[ 0.4503704   0.5640164  -0.40290552],[ 0.32461387  0.52566558 -0.57712817],[ 0.44616643  0.57810032 -0.45339599],[ 0.33830279  0.53283    -0.63956147],[ 0.44253889  0.56337631 -0.47468323],[ 0.34164432  0.50778025 -0.64415222],[ 0.44165391  0.55483192 -0.41442543],[ 0.33963522  0.5030548  -0.58464235],[0.4196077  0.66844052 0.03034234],[ 0.34792215  0.6605072  -0.0304136 ],[0.39106801 0.79117262 0.36768779],[0.30791074 0.80961663 0.1309202 ],[0.36182085 0.90134263 0.77967143],[0.26107574 0.94941646 0.38970095],[0.34760544 0.91556644 0.81655502],[0.25777498 0.96676195 0.41125154],[0.3741439  0.95209914 0.70927507],[0.26476914 1.00641549 0.25996912]
