[0.63454217 0.31464159 0.11156805],[0.63494718 0.29819551 0.06567793],[0.63126713 0.29735896 0.06565371],[0.6247021  0.29552284 0.06553115],[0.64515799 0.30108669 0.08058052],[0.64722437 0.30170158 0.08060566],[0.64838547 0.30197081 0.08050822],[ 0.6203019   0.30173579 -0.09040716],[ 0.65098798  0.30788982 -0.01868311],[0.62862355 0.32829836 0.06551363],[0.63920569 0.33261403 0.08477616],[ 0.574368    0.37994394 -0.12876466],[ 0.69538796  0.41208592 -0.0298821 ],[ 0.55301899  0.4000923  -0.01792645],[0.70381248 0.42335469 0.08301356],[0.57554251 0.3548291  0.09242672],[0.78705353 0.40044269 0.19275326],[0.57477868 0.34722272 0.08436523],[0.8043009  0.42286783 0.19636187],[0.5825724  0.34209904 0.07559459],[0.78571868 0.44123504 0.18523958],[0.58436406 0.3476586  0.0944204 ],[0.77816808 0.40338379 0.19186158],[ 0.55173874  0.66116148 -0.06036551],[0.62379801 0.67052954 0.0598781 ],[0.55584699 0.82397151 0.12827809],[0.60829175 0.7873925  0.31088883],[0.53729922 0.9351685  0.22419879],[0.58267921 0.87134087 0.51926208],[0.54766929 0.95962256 0.23620203],[0.57980281 0.89375591 0.54479492],[0.5136224  0.94877267 0.20652476],[0.55898362 0.89154357 0.56196666]
[ 0.66737711  0.31357569 -0.26010567],[ 0.66581941  0.29625398 -0.22778754],[ 0.66688842  0.29551202 -0.22791722],[ 0.66699803  0.29461989 -0.22811978],[ 0.65746307  0.29899135 -0.22154064],[ 0.65271264  0.29898643 -0.22184856],[ 0.64611042  0.29910395 -0.22227244],[ 0.65584797  0.30830806 -0.11517292],[ 0.63125902  0.30961466 -0.18570104],[ 0.66611683  0.33282837 -0.20659225],[ 0.65608484  0.3336716  -0.20130348],[ 0.63887858  0.43462455 -0.07806075],[ 0.57645899  0.40248233 -0.18891355],[ 0.63067549  0.55715698 -0.01880037],[ 0.49277321  0.32728541 -0.34696069],[ 0.64241654  0.67192662 -0.08206418],[ 0.45404726  0.21788983 -0.55873048],[ 0.63931477  0.72396833 -0.09677727],[ 0.43877751  0.18654218 -0.6117332 ],[ 0.63105351  0.70453775 -0.11982586],[ 0.45213175  0.17417675 -0.61138976],[ 0.63279068  0.69074404 -0.09335092],[ 0.45751351  0.18467852 -0.56757969],[0.59961879 0.69201547 0.00760804],[ 0.55152977  0.68445301 -0.00746122],[0.58522278 0.85862964 0.11126473],[ 0.55422807  0.87510335 -0.00240806],[0.54635096 0.94642723 0.45597249],[0.5118686  0.98357677 0.32069713],[0.53920549 0.95415521 0.44804779],[0.50045061 0.99306023 0.35307303],[0.55452836 0.97569782 0.44538075],[0.52676111 1.06364167 0.20568089]
[ 0.68726528  0.31793541 -0.29309696],[ 0.68183273  0.29765823 -0.26140863],[ 0.68158996  0.29688215 -0.26150092],[ 0.68099159  0.29599512 -0.26162821],[ 0.67587775  0.2993398  -0.2800279 ],[ 0.67115128  0.29912677 -0.28026152],[ 0.66526312  0.29887342 -0.2805109 ],[ 0.66294873  0.30543691 -0.11687491],[ 0.64148813  0.30665728 -0.22656719],[ 0.68411487  0.3381913  -0.23458374],[ 0.67500001  0.33811492 -0.26031145],[ 0.6611253   0.43387005 -0.05667948],[ 0.56565231  0.39830261 -0.230252  ],[0.64991635 0.56693918 0.02457458],[ 0.47410482  0.31098598 -0.42540917],[ 0.65316296  0.68109405 -0.02267973],[ 0.4441669   0.20705599 -0.62144762],[ 0.64332163  0.72119719 -0.03283354],[ 0.43414387  0.17102924 -0.67612714],[ 0.63845158  0.71617216 -0.05303381],[ 0.44607919  0.16085792 -0.6787867 ],[ 0.63944709  0.70425612 -0.03294678],[ 0.449642    0.17526703 -0.63170594],[0.61040825 0.70355415 0.02619473],[ 0.54438496  0.69558132 -0.02587341],[0.58384955 0.85486424 0.18435135],[0.54451394 0.88763791 0.0173102 ],[0.54191869 0.96599209 0.53580701],[0.49088168 1.00468934 0.32165557],[0.52923822 0.97888064 0.57000959],[0.47556281 1.01951003 0.35604724],[0.56192327 0.99853379 0.47662061],[0.51723176 1.08091176 0.21376967]
[ 0.6894412   0.31706876 -0.29142982],[ 0.68327916  0.29670462 -0.26355344],[ 0.6830619   0.29600552 -0.26362088],[ 0.68266475  0.29526427 -0.26370925],[ 0.67750418  0.29813254 -0.28319603],[ 0.67272049  0.29792741 -0.28337488],[ 0.66697711  0.29764071 -0.28352231],[ 0.66534978  0.30407867 -0.12044595],[ 0.64062071  0.30471113 -0.21821344],[ 0.6866613   0.33820584 -0.23700297],[ 0.67701453  0.33771369 -0.2634975 ],[ 0.66397893  0.44014388 -0.04890163],[ 0.56245959  0.39604589 -0.21719404],[0.6575138  0.57343447 0.0210695 ],[ 0.47195357  0.32015404 -0.39858299],[ 0.65507174  0.68087065 -0.03727957],[ 0.44394869  0.21835084 -0.5987125 ],[ 0.64482522  0.7155202  -0.05132958],[ 0.43544054  0.18182752 -0.65323985],[ 0.64095587  0.71091574 -0.07384853],[ 0.44838101  0.17445712 -0.65879279],[ 0.64216769  0.69799197 -0.04855314],[ 0.45095649  0.19030531 -0.61043406],[0.60948592 0.70899415 0.04969685],[ 0.54202378  0.69472545 -0.04957641],[0.57657516 0.85769695 0.18649101],[0.54488027 0.88153911 0.04131924],[0.54174888 0.97648966 0.49826583],[0.4962756  0.99136138 0.33979434],[0.52775961 0.99305224 0.52769107],[0.48017707 1.0085758  0.37021357],[0.56547934 0.99960726 0.43974   ],[0.52238333 1.05803394 0.23547927]
[ 0.69164246  0.31731546 -0.29069927],[ 0.68440902  0.29698029 -0.26318678],[ 0.68399572  0.29647085 -0.26325729],[ 0.68343818  0.29600078 -0.26333329],[ 0.67920828  0.29782763 -0.28129512],[ 0.67489058  0.29754385 -0.28144965],[ 0.66962373  0.29720399 -0.28157628],[ 0.6660434   0.30408105 -0.12088331],[ 0.64293683  0.30372742 -0.20195682],[ 0.68799675  0.33832565 -0.23712985],[ 0.67880666  0.33748084 -0.2614738 ],[ 0.66964483  0.4394334  -0.0519794 ],[ 0.56074131  0.3945483  -0.17992407],[ 0.66403067  0.57574952 -0.00978511],[ 0.47210115  0.32394534 -0.36603135],[ 0.65317076  0.68855739 -0.08554018],[ 0.44936067  0.21737336 -0.54594737],[ 0.64202899  0.72287476 -0.10368808],[ 0.43928289  0.18234895 -0.59750879],[ 0.63751876  0.7171917  -0.12468693],[ 0.45636034  0.17209515 -0.60210252],[ 0.63941109  0.70498466 -0.09651481],[ 0.46025962  0.18607074 -0.55649108],[0.60704631 0.71255779 0.0465879 ],[ 0.54314178  0.69758916 -0.04665161],[0.57285714 0.8561179  0.17770053],[0.54585433 0.88297707 0.05475371],[0.53824049 0.95322496 0.50582707],[0.50194883 0.99339563 0.35011822],[0.51974595 0.98422968 0.53622425],[0.48803228 1.01144373 0.37855527],[0.54373688 0.99688888 0.45293942],[0.52151132 1.05877662 0.24424532]
[ 0.69198966  0.31890282 -0.30937317],[ 0.68625176  0.29842964 -0.28060356],[ 0.68622333  0.29823938 -0.2806769 ],[ 0.6860534   0.29813173 -0.28075597],[ 0.68013722  0.29807472 -0.29656088],[ 0.67576373  0.29743657 -0.2967115 ],[ 0.67051494  0.2968083  -0.29680365],[ 0.66977537  0.30506912 -0.12399217],[ 0.64388162  0.30274907 -0.21081762],[ 0.68774199  0.33994022 -0.25288826],[ 0.67790145  0.33798262 -0.27472383],[ 0.67055112  0.43844163 -0.05887383],[ 0.55888802  0.39401886 -0.18183725],[ 0.66805756  0.57586098 -0.01006193],[ 0.47025752  0.33170536 -0.35672244],[ 0.65199268  0.69381803 -0.07596   ],[ 0.44954315  0.22136995 -0.57276213],[ 0.63968366  0.72608018 -0.09367789],[ 0.43836266  0.18746902 -0.62847048],[ 0.63593972  0.71899343 -0.11437798],[ 0.4580254   0.1781247  -0.63047212],[ 0.63777125  0.70820916 -0.08651935],[ 0.46172374  0.19198576 -0.58257556],[0.60880458 0.71144122 0.0409673 ],[ 0.54241568  0.69857889 -0.04106079],[0.57272035 0.8625589  0.17259243],[0.5448637  0.88415426 0.06135662],[0.53269964 0.97728735 0.51067764],[0.50800925 1.00328469 0.37403771],[0.51864284 0.99342823 0.54195821],[0.49621654 1.02183735 0.40312052],[0.53898323 1.00232279 0.45892754],[0.526052   1.07075834 0.26775348]
[ 0.69191754  0.32206663 -0.30739769],[ 0.68605834  0.30095273 -0.27936557],[ 0.68572295  0.30069691 -0.27943707],[ 0.68523693  0.30054253 -0.27951801],[ 0.68051565  0.30053198 -0.29636377],[ 0.67635262  0.29985735 -0.29650369],[ 0.67134452  0.29914978 -0.29658538],[ 0.66815567  0.30662173 -0.12569921],[ 0.64311236  0.30393317 -0.21111205],[ 0.68655479  0.34296259 -0.25077358],[ 0.67751229  0.34110668 -0.27402216],[ 0.67588508  0.43808427 -0.05504713],[ 0.55824596  0.39328527 -0.17997105],[0.67155492 0.5758847  0.0060452 ],[ 0.46976605  0.33958539 -0.35479209],[ 0.65166551  0.69410998 -0.05153778],[ 0.45161158  0.22345904 -0.57750881],[ 0.63971573  0.72749794 -0.06588943],[ 0.44064492  0.18964317 -0.6333977 ],[ 0.63620889  0.7205925  -0.08740515],[ 0.45804629  0.18160643 -0.63503534],[ 0.63800585  0.70959502 -0.06201049],[ 0.46209231  0.19519432 -0.58715034],[0.60932356 0.70908469 0.04011096],[ 0.5431481   0.69874734 -0.04015623],[0.57003558 0.86209649 0.17074192],[0.54502213 0.88815874 0.06401484],[0.53037471 0.980551   0.49108076],[0.51138943 1.0026232  0.38057002],[0.51727092 0.99540132 0.52154058],[0.50013971 1.02141023 0.40947214],[0.53555399 1.00636876 0.43697032],[0.5288676  1.0686456  0.28140005]
[ 0.69210708  0.32447341 -0.32012594],[ 0.68597567  0.3020919  -0.2915293 ],[ 0.68562448  0.30168536 -0.29160342],[ 0.68511105  0.30139098 -0.2916823 ],[ 0.68012607  0.30164763 -0.30840367],[ 0.67588645  0.30088285 -0.30854651],[ 0.67107522  0.30010661 -0.30863559],[ 0.66774035  0.30648196 -0.13041691],[ 0.64421743  0.30384204 -0.21735168],[ 0.68614459  0.34462991 -0.26040512],[ 0.67682284  0.34261706 -0.28363737],[ 0.67779249  0.43883449 -0.05484085],[ 0.55660033  0.39243704 -0.18237494],[0.67410833 0.58011216 0.0063687 ],[ 0.46813741  0.34239021 -0.35826296],[ 0.64775139  0.70311266 -0.05334097],[ 0.45560151  0.22816007 -0.59038574],[ 0.63534921  0.73820525 -0.06996884],[ 0.44359747  0.19289213 -0.64826411],[ 0.63116682  0.73192585 -0.09212353],[ 0.46429127  0.18559404 -0.64773846],[ 0.63350612  0.71922523 -0.06360133],[ 0.46963328  0.19955377 -0.59862834],[0.60751307 0.71503448 0.04107354],[ 0.54119241  0.70146435 -0.04111642],[0.56528819 0.87251824 0.18206543],[0.54236996 0.89443839 0.06659103],[0.52684134 0.99098796 0.50124103],[0.50874799 1.02248669 0.37346786],[0.51430678 1.00530982 0.53138185],[0.49747196 1.04179621 0.399811  ],[0.53415382 1.02177656 0.45030355],[0.52687413 1.09128964 0.26100251]
[ 0.68991375  0.32756427 -0.32880363],[ 0.68502557  0.30400485 -0.29999447],[ 0.6848315   0.30351052 -0.30006427],[ 0.68444824  0.30311304 -0.30014351],[ 0.67883015  0.30359885 -0.31649363],[ 0.67453945  0.30281088 -0.31663358],[ 0.66960943  0.30197909 -0.31671417],[ 0.66719133  0.30698216 -0.13724178],[ 0.64285171  0.30456841 -0.22068644],[ 0.68422586  0.34748062 -0.26788032],[ 0.6742487   0.34514651 -0.29067147],[ 0.68066013  0.43859932 -0.05604758],[ 0.55588496  0.39096394 -0.18402359],[0.6752218  0.58014029 0.01057733],[ 0.46645364  0.3485058  -0.36628059],[ 0.64655292  0.70440167 -0.04509186],[ 0.45625752  0.23876007 -0.61148316],[ 0.63383162  0.73811322 -0.05974768],[ 0.45229182  0.19984044 -0.67251003],[ 0.62873423  0.73141474 -0.08171298],[ 0.47045773  0.1947948  -0.66981435],[ 0.63133401  0.71911734 -0.05547352],[ 0.47453293  0.20914087 -0.61916333],[0.60682398 0.71517199 0.03729176],[ 0.53967547  0.70074981 -0.03731432],[0.56153828 0.87196946 0.18201837],[0.54112518 0.89494139 0.07031858],[0.51639521 0.98387378 0.50401992],[0.51716858 1.02304411 0.37288731],[0.50470006 0.99687159 0.53474194],[0.50562847 1.04208922 0.40074754],[0.52366674 1.01099265 0.46112067],[0.53472942 1.09189808 0.26987943]
[ 0.68770635  0.32684237 -0.32203606],[ 0.68368375  0.30357334 -0.29439706],[ 0.6836822   0.30312204 -0.29447064],[ 0.68353111  0.30277079 -0.2945514 ],[ 0.67717063  0.30319318 -0.30973229],[ 0.67267168  0.30243006 -0.30986822],[ 0.66745079  0.30161917 -0.3099474 ],[ 0.66742575  0.30686319 -0.13770545],[ 0.64078569  0.304463   -0.20882872],[ 0.68260407  0.34687948 -0.26320475],[ 0.67256832  0.34460875 -0.2848202 ],[ 0.68264115  0.43952286 -0.05994663],[ 0.55733979  0.3907707  -0.16657874],[ 0.67722881  0.58004099 -0.00186109],[ 0.46975532  0.35549587 -0.36071184],[ 0.64622945  0.70531112 -0.05692811],[ 0.45767933  0.24824907 -0.60968047],[ 0.63441551  0.73960716 -0.07216176],[ 0.45276523  0.21102458 -0.66858757],[ 0.62859273  0.73203349 -0.09304993],[ 0.46963009  0.20484598 -0.66406834],[ 0.63052255  0.71993715 -0.06609222],[ 0.47487074  0.2183992  -0.61674964],[0.60546231 0.71605355 0.03164624],[ 0.53800142  0.700728   -0.03170015],[0.56254953 0.8705672  0.1680882 ],[0.53638411 0.89119643 0.07897221],[0.52317631 0.96899211 0.50526249],[0.52094787 1.00310552 0.39239204],[0.50796568 0.98616761 0.54101062],[0.50831354 1.02624249 0.42308488],[0.52734262 1.00055635 0.46314541],[0.53011614 1.07489634 0.304297  ]
[ 0.68521088  0.32865322 -0.32280147],[ 0.68122673  0.30444038 -0.29458469],[ 0.68122584  0.30398071 -0.29466325],[ 0.68112266  0.30362844 -0.29476598],[ 0.67491257  0.30396619 -0.30890653],[ 0.67031026  0.30312464 -0.30904478],[ 0.66484642  0.30226776 -0.30911863],[ 0.66638112  0.30736536 -0.13783771],[ 0.63924992  0.30504835 -0.20709507],[ 0.68087703  0.3485364  -0.26333758],[ 0.67087126  0.34588784 -0.28383976],[ 0.68600482  0.441053   -0.06408413],[ 0.5557934   0.39058152 -0.15544161],[ 0.67849767  0.58572447 -0.00291103],[ 0.46761742  0.36037353 -0.34902057],[ 0.64356691  0.71268338 -0.05331088],[ 0.46058697  0.25217712 -0.59329039],[ 0.63350999  0.74821877 -0.06935956],[ 0.45780811  0.2161402  -0.65160829],[ 0.62702429  0.740511   -0.09127892],[ 0.47418708  0.20668527 -0.64669037],[ 0.62856042  0.72817028 -0.06267553],[ 0.47864008  0.22006507 -0.6001038 ],[0.60413671 0.71660674 0.02037778],[ 0.53794342  0.69885629 -0.02039286],[0.55729991 0.87597287 0.10956403],[0.53331059 0.89082152 0.07054402],[0.52127391 0.96470273 0.48464784],[0.52130616 0.99388987 0.38223165],[0.50370222 0.98547566 0.52175641],[0.50926059 1.02329695 0.41192594],[0.50921345 1.00438261 0.4443818 ],[0.51474607 1.07293534 0.29449648]
