
[ 0.37565538  0.3313905  -0.32345951],[ 0.3818351   0.31167248 -0.30415577],[ 0.38592741  0.31088629 -0.30423543],[ 0.38978034  0.30963644 -0.30428967],[ 0.36997259  0.31072655 -0.30457395],[ 0.36604726  0.30950302 -0.30466437],[ 0.36179352  0.30883133 -0.30487484],[ 0.39767224  0.30865288 -0.16407482],[ 0.3591069   0.31082124 -0.16205303],[ 0.38251877  0.34784725 -0.2688401 ],[ 0.36784708  0.34940475 -0.26846787],[ 0.44137377  0.42317528 -0.05770434],[ 0.32599777  0.41125947 -0.11157615],[ 0.4470427   0.53818631 -0.14608987],[ 0.31563804  0.52323002 -0.17910373],[ 0.40844554  0.53292501 -0.38279623],[ 0.32468075  0.55079252 -0.36495668],[ 0.39710364  0.5381251  -0.43931478],[ 0.32151413  0.55531192 -0.41175261],[ 0.39520037  0.52134609 -0.44392109],[ 0.32920319  0.54966491 -0.43297368],[ 0.39645815  0.51869929 -0.39089185],[ 0.3309586   0.54499346 -0.37629128],[0.40170088 0.64227796 0.03388383],[ 0.34382635  0.63429558 -0.03400271],[ 0.38122433  0.8010807  -0.00395926],[ 0.31055301  0.83391702 -0.03001842],[0.34800678 0.92736924 0.28207389],[0.27931902 0.94810951 0.2141598 ],[0.33650053 0.93991715 0.30205736],[0.2727465  0.97651726 0.23027226],[0.3476567  0.99988192 0.15651692],[0.27950662 1.01503491 0.06426692]
[ 0.37289757  0.34128639 -0.54804349],[ 0.38116583  0.31979445 -0.54275519],[ 0.38586071  0.31846234 -0.54276592],[ 0.38995782  0.31683683 -0.54285198],[ 0.36779585  0.31932837 -0.53286165],[ 0.36391655  0.3176775  -0.53298789],[ 0.35998651  0.31591669 -0.53316879],[ 0.40198827  0.31279066 -0.4093805 ],[ 0.35914674  0.31261057 -0.36384469],[ 0.38220909  0.35631159 -0.49064213],[ 0.36668402  0.35639325 -0.47793064],[ 0.45919266  0.41933212 -0.2343944 ],[ 0.32520148  0.40750048 -0.24698699],[ 0.46325311  0.54200196 -0.24381559],[ 0.31559771  0.54397094 -0.34040931],[ 0.43659616  0.56862253 -0.41309768],[ 0.32566285  0.54925418 -0.6193257 ],[ 0.42738491  0.57598323 -0.44938311],[ 0.33254242  0.54949325 -0.67383772],[ 0.42776108  0.56115401 -0.45894319],[ 0.32977974  0.52433854 -0.68148172],[ 0.42578369  0.55684036 -0.41817635],[ 0.33155435  0.52274859 -0.62626088],[0.41274658 0.64742953 0.0231284 ],[ 0.34404695  0.63559651 -0.02316028],[0.38142508 0.80287439 0.17392573],[ 0.3107937   0.83250082 -0.07126128],[0.350766   0.91895759 0.66079688],[0.27870083 0.97140968 0.12726392],[0.33989096 0.93366611 0.70217299],[0.27464259 0.98294431 0.13810472],[0.34927142 0.99705029 0.56885076],[ 0.28017917  1.04845703 -0.06673789]
[ 0.37236089  0.34291965 -0.52018964],[ 0.38115051  0.32042581 -0.51302153],[ 0.38611805  0.31850988 -0.51300997],[ 0.391159    0.31649309 -0.51306379],[ 0.36727145  0.32132336 -0.50665992],[ 0.36340004  0.32002082 -0.50677341],[ 0.35946745  0.31840739 -0.50695151],[ 0.40518871  0.31255662 -0.3723954 ],[ 0.35918182  0.3131212  -0.34118834],[ 0.38229996  0.35736051 -0.46006221],[ 0.36654377  0.35804859 -0.45145983],[ 0.46387285  0.41307005 -0.18371686],[ 0.3249957   0.40414557 -0.2465287 ],[ 0.47126627  0.53168499 -0.22478691],[ 0.31558987  0.55162317 -0.35662934],[ 0.45186058  0.54429656 -0.31067258],[ 0.32684851  0.54911464 -0.61259693],[ 0.44102877  0.54315507 -0.33194751],[ 0.33516937  0.54626548 -0.66410941],[ 0.44218048  0.53022772 -0.33516604],[ 0.33066478  0.51595074 -0.66713029],[ 0.43963727  0.53057629 -0.31120747],[ 0.33200765  0.51489758 -0.6160351 ],[0.41906014 0.65462846 0.024378  ],[ 0.34545052  0.64293522 -0.02442964],[0.3832266  0.8028205  0.21723969],[ 0.3113094   0.83220726 -0.07954307],[0.35305861 0.91634023 0.71882862],[0.27779487 0.97920334 0.10175566],[0.34249753 0.93041366 0.76302683],[0.27438107 0.98748404 0.11227983],[0.3585133  0.98844057 0.6510042 ],[ 0.28487378  1.05542397 -0.08031838]
[ 0.37050685  0.34335747 -0.52517331],[ 0.37963071  0.32117385 -0.5224117 ],[ 0.38529179  0.31903344 -0.52238744],[ 0.39093974  0.31674707 -0.52245891],[ 0.36585522  0.32242975 -0.51169384],[ 0.36213228  0.32109019 -0.51178813],[ 0.35832423  0.3194724  -0.51198399],[ 0.40530643  0.31244099 -0.39487165],[ 0.35920626  0.31351355 -0.34375575],[ 0.38188714  0.35762328 -0.46964407],[ 0.36600128  0.35861272 -0.45523804],[ 0.466398    0.41197935 -0.19119133],[ 0.32480329  0.40164235 -0.25418001],[ 0.47304615  0.52971017 -0.10712413],[ 0.31555718  0.55268246 -0.37685972],[ 0.45691156  0.52790636 -0.15281855],[ 0.326895    0.548585   -0.65669376],[ 0.44143048  0.52216828 -0.15842578],[ 0.33589834  0.54361862 -0.71219409],[ 0.45268354  0.50951493 -0.16752042],[ 0.33127898  0.51312238 -0.71381867],[ 0.44910568  0.51099491 -0.15338612],[ 0.33220363  0.51179385 -0.66090953],[0.42056829 0.66030103 0.02579799],[ 0.34616557  0.64696205 -0.02589551],[0.38448167 0.80278045 0.25030917],[ 0.31181699  0.83089602 -0.05923236],[0.35347158 0.91719496 0.73992068],[0.27779353 0.98071027 0.15003553],[0.34268993 0.93080699 0.78221262],[0.27467662 0.98838216 0.16601174],[0.35869735 0.98683721 0.66123569],[ 0.28900579  1.05221236 -0.05627939]
[ 0.36905199  0.34395662 -0.5100134 ],[ 0.37787032  0.32207963 -0.50683725],[ 0.38403347  0.31975338 -0.50683671],[ 0.39031443  0.31707224 -0.50688028],[ 0.36418897  0.32285923 -0.49646074],[ 0.3603656   0.32129934 -0.49657726],[ 0.3565833   0.31952295 -0.49677247],[ 0.40503001  0.31238091 -0.37807819],[ 0.35898969  0.31348842 -0.32863012],[ 0.3811931   0.35850632 -0.45393842],[ 0.36522573  0.3597216  -0.43995205],[ 0.46649376  0.41196239 -0.19719534],[ 0.3241998   0.40142265 -0.23756926],[ 0.4729715   0.53063858 -0.23320086],[ 0.31556773  0.55898917 -0.34324998],[ 0.44823217  0.52473181 -0.44208917],[ 0.32550636  0.54859483 -0.62453628],[ 0.4354504   0.5153411  -0.47962561],[ 0.33559427  0.54134238 -0.68328607],[ 0.44137511  0.49978045 -0.47959185],[ 0.328953    0.51143247 -0.68907863],[ 0.43909469  0.5023998  -0.44422799],[ 0.32988364  0.51121598 -0.630853  ],[0.42021489 0.66349697 0.02700093],[ 0.34626809  0.65108734 -0.02708909],[0.38516432 0.79990566 0.27002808],[ 0.31183591  0.83097827 -0.05466738],[0.35402828 0.91446757 0.77332461],[0.27780148 0.98288655 0.15244517],[0.34335175 0.92872649 0.81852847],[0.2746307  0.98994094 0.16600004],[0.36281055 0.97519201 0.70944232],[ 0.29480797  1.05416596 -0.02481388]
[ 0.36676151  0.34525299 -0.52245033],[ 0.37557966  0.32282799 -0.52161074],[ 0.38206142  0.32051021 -0.52158463],[ 0.38908136  0.31758243 -0.52162731],[ 0.36215323  0.32335225 -0.50933707],[ 0.35836455  0.32161891 -0.50944388],[ 0.35476121  0.31967202 -0.5096432 ],[ 0.40486151  0.31226006 -0.39745671],[ 0.35899395  0.31338367 -0.3392545 ],[ 0.37998036  0.36074483 -0.46766934],[ 0.36408228  0.3615565  -0.45109287],[ 0.46707591  0.41081637 -0.20025375],[ 0.32416624  0.400693   -0.25308007],[ 0.47309643  0.52764446 -0.18299738],[ 0.3155615   0.56269222 -0.37563702],[ 0.45071203  0.52373397 -0.27854091],[ 0.32613736  0.5483408  -0.66703069],[ 0.4389379   0.5175007  -0.29657832],[ 0.33576888  0.54006857 -0.72820133],[ 0.43851623  0.50373238 -0.30354413],[ 0.32926071  0.51006275 -0.73076504],[ 0.43789285  0.50502324 -0.27996501],[ 0.33013716  0.51030713 -0.67229229],[0.42111278 0.6637426  0.03142481],[ 0.34647542  0.65217125 -0.03154982],[0.3854706  0.79896742 0.28755748],[ 0.31186977  0.83130479 -0.02552163],[0.35498834 0.91338187 0.78743523],[0.27781245 0.98536289 0.20447318],[0.34447461 0.92841804 0.83185989],[0.27460414 0.99345624 0.22111244],[0.36359638 0.97701144 0.71637398],[0.29590636 1.0567677  0.0334161 ]
[ 0.36719334  0.34484342 -0.55083895],[ 0.37579617  0.32248133 -0.54140264],[ 0.38233793  0.32022205 -0.54134876],[ 0.38970166  0.31739792 -0.54138654],[ 0.36236629  0.32301411 -0.53560913],[ 0.35846493  0.32134578 -0.53571713],[ 0.35477763  0.31953478 -0.53588879],[ 0.40538186  0.31201705 -0.3873907 ],[ 0.35853556  0.31337738 -0.35887828],[ 0.38034022  0.36049449 -0.48576069],[ 0.36413875  0.36159718 -0.47783747],[ 0.46580178  0.40641004 -0.17408293],[ 0.32305953  0.4009462  -0.26955119],[ 0.47360763  0.52158898 -0.0430706 ],[ 0.31526572  0.56268078 -0.36241093],[ 0.44731537  0.52449149 -0.06428783],[ 0.33220965  0.54750699 -0.5866496 ],[ 0.43722948  0.51882398 -0.06609852],[ 0.34809351  0.53637981 -0.63850057],[ 0.44004098  0.50591165 -0.07453512],[ 0.33662012  0.51191491 -0.64547789],[ 0.43812197  0.50654006 -0.06442891],[ 0.33677185  0.51112211 -0.59156722],[0.42182851 0.66418064 0.03428363],[ 0.34689835  0.65414065 -0.03437426],[0.38574636 0.79924136 0.28935531],[ 0.31199375  0.83221549 -0.01152342],[0.35515195 0.91380149 0.77665418],[0.27792746 0.98457968 0.2169162 ],[0.3443566  0.92938095 0.81955701],[0.27483636 0.99394673 0.23327008],[0.36710802 0.97908175 0.7029779 ],[0.29438025 1.04579926 0.04706469]
[ 0.36609426  0.34477553 -0.51449549],[ 0.37529522  0.32226065 -0.50668573],[ 0.38201863  0.32003942 -0.50663412],[ 0.38954598  0.31724492 -0.50664723],[ 0.3614969   0.32272258 -0.4991644 ],[ 0.35750714  0.32105348 -0.49926853],[ 0.35392717  0.31929353 -0.49944568],[ 0.4053418   0.31197691 -0.36225063],[ 0.35833007  0.31314808 -0.32671553],[ 0.3796708   0.36071348 -0.4534595 ],[ 0.36324936  0.36162463 -0.44336519],[ 0.4649201   0.40710321 -0.16361448],[ 0.32281154  0.40113619 -0.24451105],[ 0.47266993  0.52280807 -0.0452433 ],[ 0.31538469  0.56457514 -0.33105183],[ 0.44889623  0.52518308 -0.10183911],[ 0.33195138  0.54751617 -0.55840909],[ 0.44199499  0.52013534 -0.10915931],[ 0.34650624  0.53748453 -0.59964573],[ 0.44136304  0.50807756 -0.12133286],[ 0.33396101  0.51229477 -0.60881829],[ 0.43996501  0.50676745 -0.10449328],[ 0.33571866  0.51212269 -0.56172413],[0.42081457 0.66795605 0.03706446],[ 0.34688035  0.65827668 -0.03716597],[0.38569057 0.80016291 0.28746939],[ 0.31227368  0.83222514 -0.00352678],[0.35520273 0.91366208 0.76850313],[0.27785665 0.98274583 0.23544714],[0.3439939  0.92962331 0.81078541],[0.27469391 0.99378264 0.25282758],[0.36826581 0.98028553 0.69685614],[0.29362184 1.04142177 0.07159646]
[ 0.36579889  0.34451061 -0.55297935],[ 0.3751981   0.32211035 -0.54495806],[ 0.38195339  0.31996402 -0.54488981],[ 0.38949925  0.3171694  -0.54489231],[ 0.36118796  0.32249805 -0.5369181 ],[ 0.3570838   0.32084939 -0.53703201],[ 0.35351002  0.31912199 -0.53721315],[ 0.40538031  0.31158754 -0.39296475],[ 0.35815886  0.31289703 -0.35573322],[ 0.37945062  0.36047542 -0.48887148],[ 0.36289719  0.3614139  -0.4782652 ],[ 0.46464044  0.40739518 -0.1740856 ],[ 0.32254007  0.40101796 -0.26428941],[ 0.47187144  0.52317226 -0.0506411 ],[ 0.31546989  0.56386846 -0.34946305],[ 0.45302573  0.52558154 -0.09745804],[ 0.33151218  0.54475504 -0.56852275],[ 0.44589528  0.52520263 -0.10176095],[ 0.34457773  0.53786218 -0.61552393],[ 0.44974288  0.51167816 -0.11731617],[ 0.33346805  0.51133746 -0.62465405],[ 0.44814625  0.50875735 -0.10102351],[ 0.33529824  0.50986731 -0.57377231],[0.42095518 0.66905409 0.03737095],[ 0.34687096  0.6593343  -0.03747587],[0.38569313 0.8019796  0.31898168],[0.31217441 0.83300179 0.00119703],[0.35639882 0.91251522 0.80613554],[0.27769092 0.98201007 0.23722696],[0.34460592 0.92903173 0.84855115],[0.27478597 0.99317414 0.25399095],[0.36911795 0.98107469 0.72765338],[0.2923249  1.03793156 0.0691341 ]
[ 0.36574063  0.34440306 -0.52917767],[ 0.37520581  0.32140449 -0.52140981],[ 0.38196647  0.3190428  -0.52136791],[ 0.38949272  0.31606007 -0.52135885],[ 0.36107653  0.32218546 -0.51315302],[ 0.35687941  0.3205899  -0.51327455],[ 0.35326299  0.31890717 -0.51344246],[ 0.40557075  0.3105351  -0.37359852],[ 0.35815173  0.3126173  -0.33536658],[ 0.3794305   0.36040166 -0.46676603],[ 0.36285284  0.36122575 -0.45577407],[ 0.46473637  0.40765652 -0.17415261],[ 0.32252282  0.40110335 -0.24628906],[ 0.4715445   0.52783811 -0.14906827],[ 0.31546825  0.56529409 -0.33710465],[ 0.45341772  0.52657992 -0.32141253],[ 0.33155847  0.54385698 -0.53068596],[ 0.44542331  0.52733737 -0.35159078],[ 0.34220251  0.53801727 -0.57853478],[ 0.44783106  0.5128572  -0.35974881],[ 0.33330294  0.50989938 -0.58801496],[ 0.44660997  0.50929838 -0.3261587 ],[ 0.33509976  0.50885713 -0.53611124],[0.42067832 0.67392379 0.03725737],[ 0.34692797  0.66502148 -0.03736267],[0.38574988 0.80434281 0.31892172],[0.31217548 0.83484936 0.0046845 ],[0.35746321 0.91083014 0.81319559],[0.27744764 0.98241395 0.23169434],[0.34540135 0.92783898 0.85736722],[0.27475107 0.99308389 0.24780007],[0.37349132 0.98025072 0.74293649],[0.29226685 1.05509937 0.06554483]
