[ 0.38324404  0.31824014 -0.41716856],[ 0.39310727  0.29613832 -0.39920041],[ 0.398004    0.29459959 -0.39922225],[ 0.4031406   0.29276893 -0.39929652],[ 0.3811596   0.29558727 -0.40823388],[ 0.37750649  0.29400554 -0.40825257],[ 0.37418634  0.29255304 -0.40832448],[ 0.41559482  0.29040191 -0.23703101],[ 0.37425235  0.29152483 -0.26007015],[ 0.39331964  0.3333028  -0.35296598],[ 0.37874287  0.33173221 -0.36242095],[ 0.46551099  0.39121574 -0.09497191],[ 0.32686692  0.3872512  -0.17394331],[ 0.47906837  0.50555253 -0.23266974],[ 0.29665273  0.52270633 -0.22850268],[ 0.48070359  0.45051664 -0.53013289],[ 0.33235174  0.55123651 -0.42761937],[ 0.47835112  0.4344466  -0.59548438],[ 0.34957975  0.55896443 -0.47878689],[ 0.47961277  0.42181835 -0.59648508],[ 0.35309246  0.5360477  -0.49008593],[ 0.4748385   0.42815903 -0.53935033],[ 0.35119531  0.53240019 -0.43508705],[0.43198389 0.65468913 0.02838034],[ 0.37374115  0.65818679 -0.02797541],[0.38692749 0.77527064 0.27271765],[ 0.32249957  0.7905041  -0.00318972],[0.35462433 0.91042906 0.66957116],[0.27866635 0.95602328 0.15308896],[0.3380391  0.92483658 0.70387423],[0.27174437 0.9737981  0.16270807],[0.3563295  0.97607654 0.59602994],[ 2.90434748e-01  1.01175904e+00 -4.36986273e-04]
[ 0.37380701  0.32030451 -0.41986355],[ 0.38312694  0.29822838 -0.41923824],[ 0.3889274   0.29635152 -0.41919702],[ 0.39461768  0.29427463 -0.419144  ],[ 0.36798283  0.29845828 -0.42186046],[ 0.36337095  0.29703897 -0.42190728],[ 0.35940987  0.29567197 -0.42198697],[ 0.40620819  0.29060546 -0.28479257],[ 0.36100799  0.29255995 -0.27120742],[ 0.38527825  0.335237   -0.37079591],[ 0.36812827  0.33447835 -0.37489495],[ 0.45736256  0.38322651 -0.1473169 ],[ 0.31500763  0.38477838 -0.16997811],[ 0.47309297  0.49618003 -0.13083595],[ 0.27956247  0.51186424 -0.22051807],[ 0.45386252  0.46213996 -0.30850571],[ 0.32256773  0.54474032 -0.45560732],[ 0.44866228  0.50265491 -0.35756767],[ 0.34296447  0.55880272 -0.51497084],[ 0.4455677   0.47551432 -0.38299403],[ 0.34863323  0.53852057 -0.52286255],[ 0.44292244  0.46734732 -0.32312259],[ 0.34413388  0.53165591 -0.46194515],[0.41148511 0.65185606 0.02011859],[ 0.34219772  0.64798623 -0.01995209],[0.38302082 0.77416897 0.16634786],[0.30646703 0.79400516 0.00110375],[0.34639174 0.89652079 0.58953112],[0.26423955 0.94401056 0.24415369],[0.33661979 0.9085744  0.62616885],[0.26090035 0.95938867 0.26284629],[0.35079628 0.96686763 0.49940625],[0.27663559 1.0007664  0.09985854]
[ 0.37431151  0.31911552 -0.42981195],[ 0.38342577  0.29685977 -0.43209916],[ 0.38939258  0.29517734 -0.43204379],[ 0.39554226  0.29345602 -0.43196392],[ 0.36902434  0.29728454 -0.42757326],[ 0.36461443  0.29594824 -0.42762953],[ 0.36025244  0.2946063  -0.42771277],[ 0.4082067   0.29019415 -0.29773188],[ 0.36099395  0.29135224 -0.27387351],[ 0.38525909  0.33395568 -0.38132727],[ 0.36976323  0.33319283 -0.37938201],[ 0.4547298   0.37860048 -0.14687386],[ 0.31908071  0.38132867 -0.1730403 ],[ 0.47016472  0.49660209 -0.10969715],[ 0.28108224  0.51090437 -0.21227098],[ 0.44305724  0.49041051 -0.28543577],[ 0.32232654  0.54329723 -0.43110996],[ 0.43434781  0.54202086 -0.33184165],[ 0.34058249  0.55954587 -0.48820156],[ 0.43136883  0.51495999 -0.35373396],[ 0.34787306  0.53978193 -0.49692518],[ 0.42989779  0.5057075  -0.29716098],[ 0.34366843  0.53286844 -0.4369894 ],[0.40831923 0.65404683 0.02066226],[ 0.34061798  0.64376086 -0.02027598],[0.38182217 0.76993197 0.22514744],[0.30662033 0.79457986 0.06221861],[0.3450143  0.88963443 0.62231505],[0.26909795 0.93767256 0.28467327],[0.33275911 0.90295827 0.65820026],[0.26744288 0.95202667 0.31384   ],[0.35077247 0.95638716 0.55455434],[0.27886814 0.99542868 0.16467406]
[ 0.37230104  0.31975582 -0.47579259],[ 0.3812781   0.29737061 -0.46955276],[ 0.38767654  0.29541141 -0.46949306],[ 0.39403003  0.29356915 -0.46942535],[ 0.36653829  0.29807219 -0.46171552],[ 0.36225215  0.29681197 -0.46180096],[ 0.3580932   0.29558453 -0.46187598],[ 0.40704131  0.28980732 -0.32650578],[ 0.35928428  0.29275256 -0.29550263],[ 0.38515112  0.33434197 -0.41696811],[ 0.36737299  0.33394864 -0.40637231],[ 0.45784068  0.37900931 -0.15794264],[ 0.31809789  0.38106039 -0.18033339],[ 0.47562018  0.49707869 -0.14198171],[ 0.28333631  0.51169777 -0.26982948],[ 0.45313287  0.50561792 -0.34255967],[ 0.3174822   0.5405823  -0.49538922],[ 0.43895397  0.54162401 -0.38890451],[ 0.33688486  0.55418205 -0.55177122],[ 0.43773827  0.51860374 -0.40421635],[ 0.34259158  0.53471762 -0.56058824],[ 0.43623757  0.51168835 -0.35219064],[ 0.33743614  0.52806818 -0.50133401],[0.41206998 0.6549291  0.03014529],[ 0.34267518  0.64414424 -0.03015065],[0.38099015 0.77324957 0.28599304],[0.30785841 0.79662293 0.08853675],[0.34392208 0.89176959 0.68050402],[0.26588467 0.93871921 0.30469233],[0.33221719 0.90461224 0.71603191],[0.25992104 0.95364243 0.32026574],[0.36064169 0.95816016 0.6164602 ],[0.28210649 0.99718279 0.18420289]
[ 0.37780955  0.3220886  -0.47047406],[ 0.38594013  0.29962403 -0.46765226],[ 0.39223909  0.29744679 -0.46754438],[ 0.39837     0.29502544 -0.46722722],[ 0.3698405   0.30059186 -0.44541353],[ 0.36538938  0.29953226 -0.44549102],[ 0.36157781  0.2983886  -0.44555658],[ 0.40861496  0.2901859  -0.3106097 ],[ 0.3611961   0.29498121 -0.26807994],[ 0.39162332  0.33733895 -0.40618676],[ 0.37153435  0.33756512 -0.38767537],[ 0.45889321  0.37655529 -0.12218647],[ 0.32053322  0.38065946 -0.1717256 ],[ 0.47111231  0.48902443 -0.08346518],[ 0.28452942  0.50826722 -0.23593339],[ 0.45992732  0.51422405 -0.28617045],[ 0.31669733  0.5369001  -0.47175869],[ 0.45403892  0.54164529 -0.33451146],[ 0.33527952  0.55267006 -0.53133363],[ 0.4520506   0.52092803 -0.35905933],[ 0.34056538  0.53216392 -0.54325581],[ 0.4501864   0.51481569 -0.30018663],[ 0.33580306  0.5251618  -0.47929364],[0.41278419 0.65207934 0.03241178],[ 0.34344837  0.64219004 -0.03244757],[0.38295931 0.77244627 0.26537415],[0.30786961 0.79581898 0.08933788],[0.34656164 0.89138091 0.66062075],[0.2679022  0.93693554 0.3426356 ],[0.33291167 0.90342814 0.69556463],[0.26336747 0.95278364 0.36266771],[0.35615182 0.95852226 0.59043342],[0.27783662 0.99412978 0.20350862]
[ 0.38192892  0.32317427 -0.47266349],[ 0.38919431  0.30039883 -0.46094504],[ 0.39487439  0.29800141 -0.46090537],[ 0.40041137  0.29531828 -0.46078506],[ 0.37396193  0.30183181 -0.45389795],[ 0.36910486  0.30083635 -0.453973  ],[ 0.36504582  0.29985493 -0.45401707],[ 0.40807763  0.29003963 -0.30226529],[ 0.3627587   0.29629624 -0.28465447],[ 0.39481327  0.33886135 -0.40475121],[ 0.37574562  0.33962718 -0.39602089],[ 0.45582205  0.3714177  -0.11475168],[ 0.32033247  0.38206801 -0.18342713],[ 0.46982098  0.47232893 -0.0766422 ],[ 0.28566191  0.50995195 -0.23780429],[ 0.46655306  0.51358014 -0.32256952],[ 0.31695136  0.53695256 -0.47956133],[ 0.46115437  0.53786027 -0.37954897],[ 0.33456329  0.55217355 -0.54028028],[ 0.45786223  0.5209924  -0.40779653],[ 0.33989137  0.53201276 -0.55359876],[ 0.45636782  0.5137974  -0.3391158 ],[ 0.33549747  0.52535719 -0.48704141],[0.41431174 0.64530873 0.03703525],[ 0.34488988  0.63767797 -0.03705948],[0.38360673 0.77081925 0.26314908],[0.30909142 0.79525936 0.08484077],[0.34650835 0.89008546 0.65484297],[0.26640701 0.93715513 0.34312436],[0.33299822 0.90143353 0.68932736],[0.26023787 0.95359766 0.36393365],[0.35847002 0.95884037 0.58530343],[0.28108591 0.99372005 0.20747896]
[ 0.37736034  0.32219139 -0.48920888],[ 0.38609216  0.29943195 -0.47740692],[ 0.39223495  0.29722139 -0.47733751],[ 0.39819124  0.29468718 -0.47723502],[ 0.37060374  0.30031326 -0.47262964],[ 0.3663094   0.29914907 -0.47272891],[ 0.3627449   0.29797232 -0.47278628],[ 0.40810627  0.29015788 -0.32423192],[ 0.36254939  0.29381427 -0.29934487],[ 0.3906939   0.33859682 -0.42505416],[ 0.37154496  0.33867988 -0.41840857],[ 0.45853096  0.37298042 -0.14515935],[ 0.31833929  0.38353568 -0.2091345 ],[ 0.47175568  0.47601923 -0.11456458],[ 0.28540102  0.5122425  -0.28389269],[ 0.46178451  0.51600713 -0.32554585],[ 0.31861895  0.53770292 -0.52552539],[ 0.45456228  0.53906024 -0.37412149],[ 0.33747926  0.55251473 -0.58577991],[ 0.45051727  0.52269256 -0.39846838],[ 0.34244901  0.5309571  -0.59313828],[ 0.45014992  0.51394439 -0.33924896],[ 0.33776221  0.52461118 -0.53065348],[0.41462135 0.64498705 0.03866651],[ 0.3447656   0.63654143 -0.03874182],[0.3838962  0.77133209 0.3024767 ],[0.30975574 0.79306215 0.08386007],[0.34625751 0.89166963 0.68257898],[0.26744062 0.93782276 0.32008603],[0.33378443 0.90349752 0.71563113],[0.26091588 0.95626283 0.33806551],[0.36383182 0.95936912 0.61166537],[0.27976388 0.99595416 0.1787208 ]
[ 0.37868151  0.32213786 -0.48961729],[ 0.38743764  0.29947332 -0.47684622],[ 0.39367479  0.29738572 -0.47678074],[ 0.39956844  0.29495972 -0.47668916],[ 0.37128553  0.30028677 -0.47355103],[ 0.36659339  0.29910198 -0.47364187],[ 0.36288714  0.29797658 -0.47370824],[ 0.40913647  0.29064435 -0.31824774],[ 0.36204869  0.29385194 -0.30092126],[ 0.39229083  0.33899218 -0.42328912],[ 0.37278122  0.33921576 -0.4187662 ],[ 0.458992    0.37404123 -0.14239289],[ 0.31977776  0.38311785 -0.20946524],[ 0.47062221  0.47819498 -0.08768587],[ 0.28761274  0.51382226 -0.27728683],[ 0.46220717  0.51793247 -0.27226585],[ 0.32062665  0.53802967 -0.51955742],[ 0.45625457  0.53936702 -0.3159014 ],[ 0.33947366  0.55273527 -0.57901704],[ 0.45207444  0.52334756 -0.34132934],[ 0.3445147   0.53159451 -0.58838892],[ 0.45081702  0.51510006 -0.28590387],[ 0.33995661  0.52565497 -0.52530932],[0.41517013 0.64480841 0.04120038],[ 0.34636623  0.6366967  -0.04128428],[0.38529214 0.77255899 0.29879627],[0.31064278 0.7922861  0.08213409],[0.34598544 0.89009124 0.6938175 ],[0.26774561 0.93828785 0.31994954],[0.33390844 0.90014189 0.72838312],[0.26196635 0.95648772 0.33938816],[0.35978967 0.95940822 0.62379175],[0.28036708 0.9972989  0.17786744]
[ 0.37982705  0.3217009  -0.5020541 ],[ 0.38886181  0.29889962 -0.48915562],[ 0.39543155  0.2967394  -0.48910373],[ 0.40133715  0.29426095 -0.48902735],[ 0.37203768  0.2999     -0.48667216],[ 0.36718103  0.29874671 -0.48675102],[ 0.36339468  0.29770917 -0.48681313],[ 0.41145834  0.29023248 -0.32555547],[ 0.36259305  0.29376826 -0.31225348],[ 0.39406878  0.3388027  -0.43345016],[ 0.3742494   0.33950871 -0.42994699],[ 0.46034974  0.37461945 -0.13939117],[ 0.31986353  0.38307586 -0.21124561],[ 0.46950388  0.47957468 -0.08893271],[ 0.28799552  0.51402116 -0.27704453],[ 0.46346456  0.51919335 -0.31499919],[ 0.32373515  0.53804147 -0.53561509],[ 0.4570325   0.53955787 -0.36515173],[ 0.34091854  0.55227834 -0.59775472],[ 0.45340958  0.52388203 -0.39290494],[ 0.34673288  0.53100163 -0.60720927],[ 0.4525606   0.51500785 -0.33017913],[ 0.34312373  0.52507967 -0.54163527],[0.4148016  0.64559805 0.0432729 ],[ 0.34611467  0.63731903 -0.04334708],[0.38434306 0.77283895 0.31245747],[0.31048813 0.79385585 0.08126626],[0.34475178 0.89017504 0.70977861],[0.26837575 0.93864769 0.31406718],[0.33288616 0.90023416 0.74452031],[0.26168245 0.95658886 0.33298582],[0.36021462 0.95917493 0.64028686],[0.28086564 0.99868757 0.17030641]
[ 0.38130921  0.32131776 -0.49281913],[ 0.39041084  0.29871264 -0.47892141],[ 0.3971687   0.29655647 -0.47888002],[ 0.40304357  0.29399881 -0.47881776],[ 0.37310725  0.29976082 -0.4779757 ],[ 0.36797991  0.29866588 -0.47805208],[ 0.36400694  0.29772609 -0.47811589],[ 0.41337261  0.29007912 -0.32105255],[ 0.36275181  0.29406551 -0.30443016],[ 0.3955602   0.33865604 -0.4248406 ],[ 0.37521559  0.33973634 -0.42361078],[ 0.46137705  0.37509993 -0.12482002],[ 0.32001236  0.38380486 -0.20084822],[ 0.46980006  0.48064506 -0.08108499],[ 0.28668982  0.51660502 -0.26804808],[ 0.46483645  0.51985872 -0.29835531],[ 0.32576242  0.53625387 -0.52877617],[ 0.45750707  0.5405401  -0.34806353],[ 0.34262499  0.54997361 -0.59040618],[ 0.45371073  0.52409548 -0.37530157],[ 0.34807101  0.52733582 -0.59884465],[ 0.4529829   0.51561034 -0.31311628],[ 0.34458429  0.52082229 -0.53437585],[0.41461191 0.6471464  0.04399887],[ 0.34627658  0.63949871 -0.04405632],[0.38478002 0.77274168 0.31373852],[0.31081313 0.79484147 0.08022785],[0.34541303 0.88968718 0.7045632 ],[0.26992407 0.93836552 0.31513089],[0.33329207 0.9001165  0.73856795],[0.26317737 0.95636094 0.33404347],[0.36213678 0.95731646 0.6351105 ],[0.27946904 0.99857008 0.17327933]
