[ 0.4529368   0.32582691 -0.5433225 ],[ 0.45127329  0.30349213 -0.52177453],[ 0.45308185  0.30178043 -0.52177894],[ 0.45469055  0.2998805  -0.52182204],[ 0.44094911  0.30564591 -0.54920322],[ 0.43441373  0.30530789 -0.54927099],[ 0.42794958  0.30483013 -0.54941565],[ 0.4428677   0.2973159  -0.35263354],[ 0.40669233  0.30547082 -0.48209181],[ 0.45362583  0.34111795 -0.47505116],[ 0.44034618  0.34430954 -0.51196814],[ 0.46488613  0.36868343 -0.16666481],[ 0.32618338  0.42542359 -0.40981531],[0.47483143 0.48032814 0.05098521],[ 0.28823394  0.58781046 -0.40898341],[0.47164172 0.53834045 0.07650734],[ 0.33876839  0.67424834 -0.4475522 ],[0.47363529 0.56635702 0.077728  ],[ 0.35145909  0.71246922 -0.48480034],[0.47343606 0.58622956 0.04512338],[ 0.36745855  0.69351    -0.49717933],[0.47074133 0.57879084 0.06384642],[ 0.3666397   0.68137753 -0.45159197],[0.44408363 0.65101975 0.07120164],[ 0.38385934  0.66428703 -0.07120517],[0.43352669 0.79306513 0.33415458],[0.3554852  0.81473714 0.14605798],[0.39727649 0.88990253 0.65367085],[0.34499365 0.94018716 0.44593602],[0.37883621 0.90533662 0.68067974],[0.33828768 0.9528634  0.47110161],[0.43605843 0.94300818 0.59256572],[0.3832294  1.02555251 0.33482617]
[ 0.44287944  0.33328077 -0.47926015],[ 0.44285545  0.31085673 -0.45779094],[ 0.44480151  0.30936652 -0.45775253],[ 0.44646835  0.30755159 -0.45776162],[ 0.43181142  0.31311581 -0.48609203],[ 0.4253757   0.31299362 -0.48620278],[ 0.41771001  0.31249192 -0.48619992],[ 0.43722716  0.30422795 -0.29975203],[ 0.39521393  0.31024638 -0.43194714],[ 0.44422239  0.34867689 -0.4153572 ],[ 0.43034744  0.35140234 -0.45307788],[ 0.45495757  0.38035277 -0.12935366],[ 0.31431276  0.43302497 -0.36272171],[0.4585236  0.47363368 0.12434454],[ 0.27837291  0.59332281 -0.28062472],[0.46242732 0.52773529 0.18885601],[ 0.33047423  0.68085945 -0.19348733],[0.46530953 0.55224413 0.20113763],[ 0.34137022  0.71694094 -0.19786826],[0.46514219 0.58333957 0.17602032],[ 0.35792771  0.70259082 -0.20700124],[0.46131316 0.5720349  0.17994152],[ 0.35832757  0.69091433 -0.19153932],[0.42533597 0.66425312 0.07057794],[ 0.35843429  0.67754328 -0.07058172],[0.42082    0.80114949 0.26190835],[0.34256434 0.83517379 0.09900364],[0.39482909 0.89890003 0.57859892],[0.33662841 0.94275719 0.38354373],[0.37929583 0.91476661 0.60732168],[0.33031413 0.95501924 0.40776244],[0.42481333 0.95895237 0.54178554],[0.35832769 0.99539781 0.28442055]
[ 0.44368181  0.33640239 -0.50678581],[ 0.44276506  0.31405914 -0.4848446 ],[ 0.44519153  0.31214955 -0.4848544 ],[ 0.44735894  0.31011871 -0.4848938 ],[ 0.43143171  0.31728017 -0.51346695],[ 0.42486352  0.31736031 -0.51358294],[ 0.41782126  0.31682834 -0.51363027],[ 0.43934488  0.30800864 -0.32020181],[ 0.39567214  0.31455258 -0.45200402],[ 0.44552216  0.35219127 -0.4397046 ],[ 0.43219215  0.3563529  -0.47710705],[ 0.45668611  0.37980548 -0.13616486],[ 0.31818101  0.43705592 -0.37901682],[0.45775557 0.4760586  0.09610049],[ 0.28210658  0.59444577 -0.28553897],[0.45466742 0.53439641 0.11506258],[ 0.3289929   0.68522233 -0.28318876],[0.45503792 0.56157482 0.11773235],[ 0.34290129  0.72272336 -0.30329633],[0.45259508 0.56745332 0.09104387],[ 0.35664076  0.71067393 -0.3115451 ],[0.44940764 0.55932289 0.10427447],[ 0.35477167  0.69829243 -0.28336793],[0.42318806 0.66912121 0.07118782],[ 0.35546133  0.68087131 -0.07117555],[0.41791448 0.80248702 0.27678666],[0.34255439 0.83701646 0.12255231],[0.39801455 0.90319663 0.58211064],[0.33338729 0.93154919 0.44854695],[0.38187003 0.92042834 0.61082232],[0.32764229 0.94387335 0.47727996],[0.42939395 0.95865136 0.5417847 ],[0.35024065 0.9828856  0.35815841]
[ 0.44476089  0.33835164 -0.46562284],[ 0.44373941  0.31515926 -0.4481402 ],[ 0.44576389  0.31331757 -0.4481414 ],[ 0.44765359  0.31128758 -0.44818258],[ 0.43244243  0.31796122 -0.47661614],[ 0.42628473  0.31794804 -0.47671065],[ 0.41954342  0.31764555 -0.47674876],[ 0.43894824  0.30911282 -0.30437964],[ 0.39856949  0.31601831 -0.43563062],[ 0.44567299  0.3545137  -0.40610981],[ 0.43231034  0.35817158 -0.44319025],[ 0.45661458  0.37646753 -0.14219049],[ 0.31694269  0.43861774 -0.36693409],[0.45121306 0.47376236 0.10508522],[ 0.28162503  0.59864348 -0.30275625],[0.4645226  0.5334608  0.19272949],[ 0.33022159  0.69495219 -0.27892038],[0.46649346 0.5490647  0.20612562],[ 0.34147933  0.73189014 -0.29235217],[0.46690941 0.54350066 0.17975441],[ 0.35512549  0.7194519  -0.30566907],[0.4624455  0.5382033  0.18404631],[ 0.35437724  0.70693046 -0.28019613],[0.4244605  0.67150551 0.06307015],[ 0.35817379  0.68420005 -0.06303952],[0.41946974 0.80842912 0.25609544],[0.34602436 0.83624417 0.15141615],[0.40392065 0.91238213 0.5018869 ],[0.34176904 0.93405813 0.45614219],[0.38780811 0.92736977 0.52281767],[0.33505765 0.93682605 0.48366833],[0.43333626 0.96953702 0.44527465],[0.36994049 1.0035671  0.37780979]
[ 0.44862667  0.33908075 -0.42433414],[ 0.44675535  0.31630215 -0.4141624 ],[ 0.44841599  0.31481212 -0.41417462],[ 0.4499498   0.31308037 -0.41429406],[ 0.43677139  0.31837317 -0.45042792],[ 0.43044582  0.31832418 -0.45055923],[ 0.42409396  0.31804436 -0.45066413],[ 0.43925929  0.31209806 -0.28805989],[ 0.40299529  0.31718254 -0.42029127],[ 0.44790792  0.35737997 -0.37776601],[ 0.43576646  0.36024326 -0.42741552],[ 0.45759735  0.38167912 -0.13746387],[ 0.31878352  0.43671781 -0.3585591 ],[0.45007831 0.47770172 0.09648396],[ 0.28209779  0.59910965 -0.30419689],[0.46184745 0.52873063 0.16723686],[ 0.32853103  0.70133787 -0.26331544],[0.46160388 0.54609263 0.17703208],[ 0.33842194  0.73841369 -0.27283734],[0.46232384 0.5399065  0.15313958],[ 0.35187468  0.72748154 -0.28641099],[0.45986944 0.53487414 0.15882109],[ 0.35169476  0.71517199 -0.26438114],[0.4263795  0.67321074 0.05806841],[ 0.35927212  0.68559986 -0.05809245],[0.41968074 0.81321406 0.25712425],[0.3477073  0.83820724 0.14889686],[0.40525985 0.91744137 0.49947602],[0.33938378 0.93603158 0.44726315],[0.38846126 0.92785877 0.52016079],[0.33352983 0.94186509 0.47335735],[0.43211961 0.99144024 0.44890326],[0.37422124 1.02001715 0.35876673]
[ 0.4494721   0.33967462 -0.43123484],[ 0.44761404  0.31683627 -0.4185226 ],[ 0.4492926   0.31507006 -0.41853294],[ 0.45075053  0.31311756 -0.41861424],[ 0.43720421  0.31924996 -0.45098615],[ 0.43050417  0.31926143 -0.45109668],[ 0.42388773  0.31895521 -0.45119137],[ 0.44038281  0.31132418 -0.291017  ],[ 0.40362602  0.31763139 -0.43028721],[ 0.44930881  0.3569065  -0.37962919],[ 0.43631572  0.3603802  -0.42215627],[ 0.458947    0.37792489 -0.1405457 ],[ 0.32131001  0.43750963 -0.37285653],[0.45723924 0.47766429 0.09297527],[ 0.28219217  0.60201824 -0.32884783],[0.46363315 0.52692837 0.1668286 ],[ 0.32672766  0.71173084 -0.28603858],[0.46227336 0.54656851 0.17896914],[ 0.33636039  0.74674875 -0.3043099 ],[0.4630096  0.53816599 0.15636051],[ 0.34995532  0.73655862 -0.31334743],[0.46113929 0.53211075 0.15911028],[ 0.34989402  0.72510445 -0.28621116],[0.42757025 0.67471403 0.05872244],[ 0.36269203  0.68695134 -0.05875083],[0.41951004 0.81709421 0.2724227 ],[0.34485906 0.83404142 0.16079168],[0.40210867 0.91573966 0.52524245],[0.34308508 0.93802458 0.45104885],[0.38430703 0.92690521 0.54782623],[0.3363443  0.94091517 0.47792855],[0.43605548 0.98857671 0.47272024],[0.38087678 1.01922166 0.37802833]
[ 0.44908851  0.34069631 -0.430363  ],[ 0.44813982  0.31751224 -0.4176012 ],[ 0.45002446  0.31575787 -0.4176015 ],[ 0.45164299  0.31381184 -0.41761327],[ 0.43728462  0.31963021 -0.44796047],[ 0.43035954  0.31951025 -0.44809332],[ 0.42358452  0.31907669 -0.44814935],[ 0.44218478  0.31153277 -0.29069024],[ 0.40337986  0.31778035 -0.41905713],[ 0.44897357  0.35822266 -0.37862188],[ 0.43559861  0.36115944 -0.41792369],[ 0.45775741  0.37535107 -0.12686333],[ 0.32397681  0.43526971 -0.36259517],[0.45768028 0.47573933 0.14289454],[ 0.28127152  0.60099339 -0.33374089],[0.4714199  0.5216313  0.25403452],[ 0.32479993  0.71848601 -0.31955284],[0.47278386 0.53671819 0.27291161],[ 0.33224368  0.75534779 -0.33694112],[0.47339121 0.52221239 0.24779959],[ 0.34764212  0.74742037 -0.35201141],[0.46925387 0.51719028 0.24652418],[ 0.3480261   0.73617536 -0.32210308],[0.42859894 0.67635536 0.06062831],[ 0.36508524  0.69089001 -0.06063397],[0.42075801 0.81359226 0.2857478 ],[0.3449614  0.83218586 0.15866819],[0.39832836 0.90992743 0.54601896],[0.34338021 0.93037456 0.45648971],[0.37921691 0.9200893  0.56992257],[0.3362841  0.93491399 0.48494333],[0.42664847 0.97415286 0.50576413],[0.36527973 1.01220024 0.38678682]
[ 0.45003098  0.34178549 -0.44679436],[ 0.45149189  0.31781623 -0.42917317],[ 0.45408329  0.31594026 -0.42918077],[ 0.45642835  0.31393674 -0.42922211],[ 0.43849415  0.31988451 -0.45563149],[ 0.43084151  0.31957924 -0.45570898],[ 0.42346296  0.31898227 -0.45579544],[ 0.44940186  0.31089208 -0.28447846],[ 0.40456119  0.31722191 -0.41323298],[ 0.45127231  0.35900328 -0.38550457],[ 0.4357872   0.36199525 -0.42025822],[ 0.46503147  0.37548855 -0.11634946],[ 0.32647744  0.43353096 -0.34858149],[0.46581835 0.47747529 0.12950951],[ 0.28274396  0.5978505  -0.33129886],[0.47092718 0.52460778 0.18581077],[ 0.31415159  0.7214697  -0.34122738],[0.46985707 0.54608047 0.19552779],[ 0.32237053  0.75843966 -0.36402392],[0.4692007  0.5359844  0.17039277],[ 0.33644113  0.75366241 -0.38158906],[0.46903372 0.52072537 0.1766741 ],[ 0.33704507  0.74207044 -0.34609014],[0.43184215 0.67746103 0.06161541],[ 0.36735785  0.69421506 -0.06159016],[0.41997734 0.80876595 0.29204524],[0.34865299 0.83803445 0.14561369],[0.39315516 0.90522945 0.59047884],[0.34334272 0.93529063 0.44679388],[0.37477335 0.91772836 0.61706686],[0.33555481 0.94235986 0.47421592],[0.4203054  0.96793747 0.54917657],[0.36313993 1.00205219 0.37237749]
[ 0.45921832  0.33967632 -0.4048171 ],[ 0.45877281  0.31713074 -0.38803309],[ 0.4604519   0.31566581 -0.3880102 ],[ 0.46177173  0.3137081  -0.38805103],[ 0.44783324  0.31737119 -0.4205423 ],[ 0.4411931   0.31624287 -0.42060614],[ 0.43420616  0.3151544  -0.4207305 ],[ 0.45155683  0.31053787 -0.24852939],[ 0.41356778  0.3156971  -0.4006927 ],[ 0.45862317  0.35853061 -0.34661433],[ 0.44527125  0.36118615 -0.3894242 ],[ 0.47190434  0.37521344 -0.09063068],[ 0.33079591  0.42932561 -0.34821585],[0.473591   0.47659335 0.17027238],[ 0.28681448  0.59148419 -0.32775789],[0.47801787 0.52037305 0.27863461],[ 0.30076572  0.71717185 -0.3219066 ],[0.4772664  0.5382489  0.30354962],[ 0.30209118  0.75856292 -0.33385244],[0.47616774 0.52651507 0.28360769],[ 0.316012    0.75579011 -0.35398164],[0.47450051 0.51588798 0.27357781],[ 0.31885782  0.7425769  -0.32712275],[0.4353109  0.67861247 0.06689675],[ 0.36907378  0.69588846 -0.06692256],[0.41959438 0.80743843 0.27219748],[0.35052848 0.8734262  0.09734596],[0.39335191 0.90784228 0.5969708 ],[0.34620839 0.94937873 0.41311914],[0.37518525 0.91922092 0.62692368],[0.33954251 0.9513455  0.4420417 ],[0.42104778 0.97105372 0.56472361],[0.37255234 1.04561853 0.32580405]
[ 0.46540037  0.33018538 -0.40665212],[ 0.46462899  0.30978242 -0.38853896],[ 0.46618995  0.3085734  -0.38853046],[ 0.46737209  0.3069627  -0.38856941],[ 0.45413971  0.30916792 -0.42214999],[ 0.44762206  0.30774128 -0.42221624],[ 0.44091496  0.30635673 -0.42241445],[ 0.45663828  0.30515784 -0.25141454],[ 0.41995883  0.30890313 -0.40145826],[ 0.46478778  0.34975114 -0.34957525],[ 0.45183945  0.3514311  -0.39005682],[ 0.47344452  0.3779031  -0.10054638],[ 0.33423471  0.42750806 -0.34972888],[0.4820208  0.48591933 0.13178876],[ 0.29144314  0.59069139 -0.33026078],[0.47773156 0.5269109  0.21156228],[ 0.29235664  0.70857984 -0.32617179],[0.46941453 0.55236447 0.23331805],[ 0.28561223  0.75186908 -0.33882517],[0.47386757 0.53950971 0.24430196],[ 0.30075771  0.7515679  -0.3628552 ],[0.47203326 0.53326625 0.21350551],[ 0.30567491  0.73735392 -0.33329135],[0.44046101 0.67944348 0.06623111],[ 0.37300816  0.69396794 -0.06623267],[0.41964993 0.80806363 0.26162308],[0.35542864 0.86538005 0.10667225],[0.39163432 0.90776831 0.58746237],[0.34619829 0.94177574 0.45774674],[0.3740328  0.91960943 0.61577141],[0.34046322 0.94669563 0.48917145],[0.42106444 0.97192568 0.5496909 ],[0.3754189  1.0246222  0.38016629]
