[0.1305968  0.29541839 0.82934321],[0.21283835 0.10854983 0.70744405],[0.3321087  0.03053165 0.61490553],[0.43737111 0.0220045  0.55035004],[0.49413542 0.00621728 0.48123737],[0.30054207 0.26072759 0.51337863],[0.50351537 0.31440831 0.40263297],[0.64016536 0.34573262 0.34396179],[0.75585965 0.37247694 0.31016506],[0.28561844 0.4500864  0.53533034],[0.54009265 0.5838445  0.4412302 ],[0.70644288 0.63137963 0.40441923],[0.82960606 0.66093209 0.37915915],[0.28672658 0.594142   0.56063681],[0.51859758 0.73393328 0.48207618],[0.68197067 0.79546667 0.44377876],[0.80285131 0.83567547 0.42238761],[0.30775896 0.6810551  0.58188728],[0.47657488 0.84281717 0.52082877],[0.5857893  0.93460058 0.49491972],[0.67083788 1.         0.47992731]
[0.07826894 0.25377185 0.74955335],[0.16728102 0.09202892 0.65170805],[0.30033613 0.045235   0.58422914],[0.41928167 0.04319277 0.53677642],[0.49344419 0.02259462 0.48672295],[0.31409703 0.30339818 0.52985924],[0.52684627 0.32616685 0.44701272],[0.66542845 0.34048661 0.40475282],[0.77672393 0.35592258 0.38187156],[0.3115133  0.48121556 0.54024124],[0.56213963 0.57886975 0.45588821],[0.72750061 0.61396124 0.41915409],[0.85677692 0.63762423 0.40037976],[0.30828354 0.60263992 0.55153669],[0.52637986 0.73969119 0.47379944],[0.67765806 0.79840944 0.43791561],[0.79405345 0.83663295 0.42428046],[0.3131661  0.66382907 0.56008502],[0.46460392 0.83464883 0.50266249],[0.56692068 0.92968043 0.48377641],[0.64929627 1.         0.47779435]
[0.08208973 0.24199077 0.73814832],[0.19222648 0.0853544  0.66246475],[0.33909368 0.03904876 0.60944337],[0.45617337 0.05848956 0.57390454],[0.5204885  0.05797133 0.53645494],[0.31339849 0.27827614 0.52869534],[0.50546137 0.32017321 0.44716592],[0.64138174 0.35307336 0.40483805],[0.75074334 0.37850507 0.38190415],[0.30196765 0.46677911 0.53293525],[0.53964508 0.56804013 0.45896917],[0.71149672 0.60656436 0.42640769],[0.8447732  0.63056658 0.40623374],[0.29916471 0.60447398 0.53988069],[0.52499897 0.73610443 0.47171791],[0.68423957 0.79539268 0.43125841],[0.80515429 0.83241608 0.41021825],[0.30405403 0.67810373 0.54549758],[0.46288485 0.83839899 0.48806709],[0.56850349 0.93027733 0.46006715],[0.65206072 1.         0.44572769]
[0.06832659 0.23354487 0.74477014],[0.18279473 0.082063   0.6689869 ],[0.33296037 0.03692281 0.61375171],[0.448411   0.04199681 0.57538644],[0.50411846 0.04356527 0.53463351],[0.31954035 0.2847533  0.53227176],[0.51363422 0.33204278 0.44801442],[0.6414383  0.36500905 0.40551947],[0.74485123 0.39171398 0.38374088],[0.30503541 0.46500126 0.53577785],[0.54191862 0.56821409 0.45601065],[0.71065023 0.61188569 0.42256834],[0.84297354 0.64213139 0.40360685],[0.29888677 0.60083745 0.54203027],[0.53089241 0.73607959 0.46806896],[0.68929503 0.79735891 0.42731566],[0.81377788 0.84122363 0.40741386],[0.30134483 0.67398815 0.54714472],[0.46673502 0.82919143 0.48507815],[0.57666961 0.92247656 0.45594392],[0.66574538 1.         0.44196554]
[0.04760026 0.23635247 0.78276295],[0.14783123 0.06944115 0.68436164],[0.30045703 0.01836136 0.61093091],[0.41478983 0.03145492 0.55664436],[0.4747599  0.04566188 0.49940719],[0.30388924 0.31225383 0.54409038],[0.51289802 0.34833427 0.44773074],[0.6426432  0.3681628  0.39676642],[0.75073711 0.38456062 0.36869472],[0.30479162 0.48251505 0.54954367],[0.55883474 0.56303983 0.45393375],[0.72271154 0.59639141 0.41319756],[0.84961151 0.62723338 0.38999598],[0.30594841 0.60741982 0.55543835],[0.54622155 0.73932518 0.467342  ],[0.70495566 0.8005669  0.42427415],[0.82853266 0.85090218 0.40390116],[0.31104247 0.6720698  0.55844659],[0.48459036 0.82658193 0.4886428 ],[0.59865379 0.91937122 0.45918595],[0.68849985 1.         0.44470872]
[0.04529821 0.23035959 0.76793814],[0.13964573 0.08249218 0.67563158],[0.27933843 0.04034127 0.60551665],[0.39294085 0.04126555 0.55308576],[0.46080732 0.01881152 0.49773831],[0.30155299 0.31774958 0.54379461],[0.51018026 0.35560784 0.45026558],[0.64266176 0.37817769 0.40097277],[0.7483084  0.39375601 0.37507616],[0.3028079  0.48559631 0.54865959],[0.56216467 0.56463487 0.45736776],[0.7326094  0.59262041 0.41714177],[0.86206288 0.61202438 0.39442771],[0.3064206  0.61022289 0.55407713],[0.55428921 0.73449006 0.47034233],[0.71631041 0.78694931 0.42644709],[0.84131096 0.82682949 0.40555519],[0.31446344 0.67556532 0.55685574],[0.49270817 0.83056099 0.49100732],[0.60336589 0.92194475 0.46135472],[0.69075252 1.         0.44674408]
[0.04807163 0.2403294  0.7287636 ],[0.15901473 0.09325899 0.65586335],[0.32050533 0.05640659 0.60470741],[0.44676188 0.07071562 0.56950756],[0.51868618 0.07082396 0.53180357],[0.30639705 0.31843    0.53156692],[0.50933802 0.35808784 0.45541398],[0.63577583 0.37994861 0.41890525],[0.73748087 0.39575949 0.40019049],[0.30411312 0.48694129 0.53570483],[0.5514646  0.55105858 0.45890414],[0.7140538  0.56979527 0.4294113 ],[0.83643322 0.58594745 0.41333433],[0.306174   0.61163048 0.54170356],[0.5487243  0.72118289 0.46744232],[0.70135603 0.76641054 0.42829044],[0.81874874 0.80360565 0.4099757 ],[0.31494331 0.67498729 0.54670045],[0.48263286 0.82618939 0.48279452],[0.58146873 0.91849067 0.4520798 ],[0.65785576 1.         0.43693649]
[0.08378189 0.26562849 0.70289712],[0.19102473 0.13748333 0.63702803],[0.34364245 0.09763522 0.58962643],[0.47046516 0.10437757 0.55757964],[0.55039899 0.09809347 0.52395327],[0.32252439 0.31875734 0.52252849],[0.50481231 0.35177027 0.4580168 ],[0.6225537  0.37031598 0.42625297],[0.72056584 0.38386147 0.40876238],[0.3243721  0.47968206 0.52832736],[0.55319262 0.53096352 0.46515828],[0.70347137 0.54546278 0.44033403],[0.81638349 0.55648626 0.42454382],[0.32599493 0.60118423 0.536491  ],[0.54499086 0.70535072 0.47268847],[0.68078376 0.75828999 0.43691479],[0.78328819 0.79999528 0.41802578],[0.33224994 0.664928   0.54411107],[0.47391674 0.81556596 0.49079336],[0.54799171 0.91416808 0.46509267],[0.60359485 1.         0.45087426]
[0.08308942 0.24355874 0.65154613],[0.22161851 0.12976137 0.62515284],[0.38459272 0.12575634 0.60728363],[0.51102566 0.17113881 0.59758437],[0.579145   0.18039494 0.58485265],[0.35449403 0.28934209 0.52679218],[0.53535459 0.31519158 0.48030458],[0.65683741 0.33347339 0.4597707 ],[0.75636981 0.35007951 0.44774492],[0.34139119 0.45331596 0.51720792],[0.56198574 0.50666253 0.46772177],[0.71161102 0.53175812 0.44563063],[0.82690564 0.55209159 0.43105084],[0.32251188 0.5821606  0.51248972],[0.5044653  0.71273517 0.45767227],[0.63184523 0.78793896 0.42274171],[0.73167766 0.84189005 0.40446561],[0.30794146 0.66092831 0.51064301],[0.42755296 0.81550115 0.46606786],[0.49795409 0.91632079 0.4466808 ],[0.55163069 1.         0.43659585]
[0.03564894 0.22622572 0.66897507],[0.19478066 0.10085544 0.64249093],[0.37777881 0.08001457 0.62061036],[0.51919451 0.10914801 0.60644653],[0.59509981 0.09519305 0.58814267],[0.33639212 0.26553664 0.5319526 ],[0.53193715 0.31304785 0.47658231],[0.66361059 0.35187426 0.45287606],[0.76411292 0.38203684 0.44189823],[0.310767   0.4504896  0.51886826],[0.5529944  0.54284128 0.46463852],[0.72028132 0.58703993 0.44300373],[0.84202233 0.61413047 0.43036766],[0.28482236 0.59392093 0.51051692],[0.5117867  0.72722723 0.45384944],[0.66823894 0.78613103 0.41944684],[0.78211071 0.81879587 0.40270433],[0.26425137 0.67998519 0.50485912],[0.41909418 0.84191874 0.45812376],[0.5218586  0.93358736 0.43694963],[0.60321655 1.         0.42669703]
