[0.         0.62318093 0.67598127],[0.07779251 0.33612405 0.64603527],[0.25940335 0.14524268 0.59644169],[0.45970554 0.10760917 0.5471754 ],[0.60654698 0.10326567 0.50872165],[0.35330122 0.17857661 0.51986149],[0.68929289 0.22044626 0.44186622],[0.64540615 0.31310872 0.41915804],[0.54972931 0.34965904 0.41995222],[0.38862881 0.3876419  0.50214441],[0.69039949 0.47506211 0.45815868],[0.65716998 0.55262627 0.46126812],[0.57578148 0.56516394 0.46103396],[0.40261366 0.60343858 0.48543623],[0.67429413 0.67089005 0.45655472],[0.6507616  0.7239068  0.48605498],[0.57742675 0.72587118 0.50137345],[0.40745874 0.80024725 0.46829246],[0.63963597 0.85169386 0.45272231],[0.62737349 0.88504926 0.48431918],[0.56727795 0.88119565 0.50744826]
[0.         0.59170599 0.64640268],[0.12171295 0.33816359 0.64951008],[0.29676198 0.18229464 0.60870165],[0.46685704 0.16132391 0.56514159],[0.5795963  0.18467663 0.53281684],[0.38765279 0.19860429 0.51730631],[0.70784072 0.24107036 0.44186139],[0.68005398 0.30477688 0.42119279],[0.58666441 0.31370608 0.42541799],[0.39815113 0.39872904 0.48629713],[0.71126818 0.49245228 0.44201996],[0.65798308 0.53745512 0.46544318],[0.55746794 0.52017599 0.4866557 ],[0.39051766 0.60684318 0.45942836],[0.67133332 0.68025096 0.4400754 ],[0.62933901 0.70729993 0.49845115],[0.54042238 0.68712535 0.53812968],[0.36454475 0.79783946 0.43310292],[0.59509311 0.84949332 0.43394448],[0.59745285 0.86273975 0.48450543],[0.55928641 0.84327328 0.52359529]
[0.         0.55921138 0.60815608],[0.13616685 0.33143935 0.62442556],[0.31220524 0.20749825 0.60117474],[0.46927399 0.19696673 0.57701649],[0.57183632 0.21405948 0.55536982],[0.37896469 0.24433917 0.5019983 ],[0.65224221 0.22975719 0.4630102 ],[0.76477077 0.27788336 0.45933145],[0.82357806 0.32302437 0.46363973],[0.38168372 0.4284322  0.47293386],[0.66546798 0.51354557 0.43276103],[0.6565125  0.54969557 0.45301897],[0.59723083 0.54450543 0.47727813],[0.36707116 0.61775255 0.4535123 ],[0.61127893 0.68157395 0.44001182],[0.60481769 0.69624519 0.48888524],[0.5565378  0.68204172 0.52542224],[0.33709313 0.78763219 0.43656824],[0.52803251 0.8167755  0.44466782],[0.54924433 0.80976881 0.49151429],[0.53599128 0.78785203 0.5293037 ]
[0.01174797 0.56958946 0.62548189],[0.13978485 0.35984894 0.61793273],[0.28523259 0.19759087 0.58488422],[0.40654489 0.09176307 0.55600135],[0.48174266 0.         0.52934795],[0.35845365 0.29749079 0.50848534],[0.60099482 0.30343521 0.45710302],[0.72245519 0.34198938 0.43952125],[0.7883376  0.3693522  0.43856626],[0.35262272 0.46727314 0.49137241],[0.61182465 0.51383789 0.45218668],[0.72270547 0.53802819 0.45975098],[0.75761061 0.53985684 0.47256983],[0.33531258 0.63242864 0.47953287],[0.56453236 0.6826627  0.4596973 ],[0.66988965 0.6990634  0.48306499],[0.70574482 0.68849288 0.50356064],[0.30894262 0.77699851 0.46888867],[0.48667317 0.81470186 0.4638875 ],[0.57257224 0.81695216 0.49095915],[0.61627489 0.79864389 0.517205  ]
[0.01957982 0.56047305 0.62382607],[0.1444558  0.35676443 0.63093035],[0.28699387 0.2023457  0.60212741],[0.39399366 0.09575993 0.57457061],[0.47031903 0.         0.54639194],[0.36126627 0.30727983 0.50701728],[0.60305104 0.30767819 0.45943797],[0.72293485 0.34287257 0.44483743],[0.79164961 0.36935825 0.44560113],[0.35130281 0.46300106 0.48344711],[0.61110178 0.51729134 0.44736332],[0.71924592 0.54556963 0.45591335],[0.75944665 0.54688854 0.46928971],[0.33128413 0.6227141  0.46815453],[0.56812148 0.67959221 0.45229704],[0.67090418 0.69624647 0.47864409],[0.7109408  0.68317372 0.5003577 ],[0.30282754 0.76990119 0.45569124],[0.48565959 0.81031676 0.45414874],[0.57278319 0.81851372 0.48548498],[0.62213798 0.80425931 0.51446802]
[0.         0.54691847 0.60459261],[0.13435826 0.34066627 0.61192882],[0.29683859 0.21947231 0.59077529],[0.44865906 0.18355491 0.57142012],[0.55786665 0.16842888 0.5538608 ],[0.34799194 0.27654418 0.50742112],[0.58864477 0.28409317 0.46754031],[0.71375005 0.31810722 0.45689898],[0.79111982 0.3429456  0.45758896],[0.34197943 0.43744027 0.48510858],[0.60426427 0.49939067 0.45459391],[0.71837237 0.53038255 0.46069519],[0.76973569 0.53441666 0.4695858 ],[0.32375315 0.60088933 0.4700406 ],[0.55787044 0.67102772 0.45863433],[0.65928724 0.69306147 0.48029361],[0.70492533 0.6824903  0.49566523],[0.29229964 0.74970734 0.4571302 ],[0.47199962 0.8066223  0.45783016],[0.56106544 0.81487244 0.48323783],[0.61521823 0.79896794 0.50515756]
[0.         0.55596264 0.62056131],[0.13268345 0.35746146 0.62893826],[0.28818303 0.21779632 0.60162039],[0.42280409 0.15047929 0.57555584],[0.50917447 0.10758325 0.54973202],[0.34648514 0.2761015  0.5138436 ],[0.59294785 0.28259974 0.46464373],[0.72166657 0.32605419 0.44771347],[0.7993762  0.36340052 0.44541626],[0.3383239  0.43741851 0.48821748],[0.60681561 0.49764523 0.4519979 ],[0.72624784 0.53388316 0.45714542],[0.77767918 0.54577888 0.46579484],[0.32005768 0.60139678 0.46981916],[0.563046   0.66757175 0.45459171],[0.67159072 0.69434419 0.47818703],[0.71925698 0.68995492 0.49548124],[0.28924936 0.75306473 0.45359451],[0.4764316  0.80820837 0.45250154],[0.57006058 0.82116048 0.48033516],[0.62791978 0.81213409 0.50430911]
[0.         0.53801237 0.60658315],[0.13359232 0.33939639 0.61578814],[0.28997538 0.22408224 0.59477377],[0.43215547 0.19754087 0.57444861],[0.53526243 0.18741387 0.55549367],[0.34506311 0.26997755 0.51332572],[0.59042842 0.27243909 0.46636703],[0.71657243 0.31602479 0.44981792],[0.79157578 0.35647371 0.44858509],[0.34142067 0.43398157 0.48958977],[0.6037298  0.49241938 0.45552825],[0.72211781 0.52994024 0.46013674],[0.77076854 0.54740659 0.46901322],[0.32650333 0.59635274 0.47196749],[0.56385713 0.6650035  0.45603063],[0.6668912  0.69490033 0.47848945],[0.70698792 0.69190857 0.49656219],[0.2985386  0.73844996 0.45630028],[0.47907822 0.79942758 0.45386772],[0.56773513 0.81076541 0.48107008],[0.61774631 0.79808325 0.50626109]
[1.82363313e-04 5.66062056e-01 6.28395428e-01],[0.1228989  0.37074544 0.62731764],[0.28017573 0.20656001 0.59664082],[0.40344857 0.1030884  0.56858192],[0.47045096 0.         0.54000966],[0.35259563 0.27148588 0.51276762],[0.59874945 0.28057092 0.46155884],[0.72666553 0.32683571 0.44233348],[0.80557778 0.36427197 0.43810698],[0.34322417 0.43725211 0.49042629],[0.61028713 0.50257141 0.45520102],[0.72915593 0.54738524 0.45960214],[0.78861237 0.56685835 0.46544526],[0.32368574 0.60629008 0.47434802],[0.567778   0.68312503 0.45802469],[0.6740036  0.71255267 0.47931107],[0.72578898 0.70906847 0.49315749],[0.29523301 0.76015668 0.45972825],[0.47752952 0.81791666 0.45837563],[0.57050131 0.83591993 0.48485043],[0.63345532 0.83128299 0.50581731]
[0.01915458 0.55186141 0.62114191],[0.14795086 0.36303896 0.61988357],[0.30005751 0.20127354 0.59135684],[0.41751963 0.09664622 0.56453072],[0.49425337 0.         0.53853107],[0.36343674 0.27223496 0.51525315],[0.59991936 0.29745323 0.46869374],[0.71612246 0.34366899 0.45160709],[0.78548751 0.37754915 0.44751076],[0.34876471 0.42434313 0.49388004],[0.59810796 0.5134725  0.45944467],[0.70875909 0.56156349 0.46278807],[0.76411771 0.57667089 0.4671343 ],[0.32785156 0.58596039 0.47789324],[0.56339504 0.68553798 0.46024634],[0.66542835 0.71890527 0.47777965],[0.71500173 0.71465106 0.48937524],[0.29906444 0.73605886 0.4634284 ],[0.4742406  0.81742747 0.45799799],[0.56490479 0.83507494 0.47759612],[0.62646198 0.82660756 0.4939271 ]
[0.         0.52869527 0.62388434],[0.14049167 0.33848751 0.62782103],[0.30385106 0.22270798 0.60117919],[0.45179278 0.20497162 0.57509001],[0.55915245 0.21687347 0.55090298],[0.35692958 0.24383274 0.52702263],[0.59962518 0.26494885 0.47658378],[0.72316938 0.31572912 0.45611142],[0.80223031 0.3609832  0.44878561],[0.34219464 0.40333653 0.50006129],[0.59077194 0.48397839 0.46089212],[0.71417693 0.54223154 0.45835645],[0.7881002  0.57492937 0.45829881],[0.31624449 0.56954475 0.47808216],[0.5437458  0.6538967  0.45465357],[0.65858542 0.70037384 0.46789534],[0.72865389 0.7153589  0.4760178 ],[0.28002062 0.72365055 0.45771852],[0.44742987 0.79999793 0.44890429],[0.54122968 0.81831083 0.46812816],[0.61160411 0.81716091 0.48361049]
