[0.         0.54103365 0.6379366 ],[0.14474286 0.37182174 0.66177007],[0.3269694  0.29859998 0.63401892],[0.48827216 0.32014201 0.59793057],[0.60359765 0.38367693 0.5640656 ],[0.38992478 0.17846837 0.54848335],[0.64514273 0.21961582 0.48275076],[0.74093633 0.33494374 0.45190975],[0.76440484 0.45144018 0.44180337],[0.35683634 0.28687757 0.50749839],[0.61874196 0.44036493 0.45855363],[0.69702564 0.57490273 0.45532853],[0.71824426 0.67362371 0.4551885 ],[0.31783389 0.42668536 0.47115702],[0.55739037 0.59945055 0.4428596 ],[0.63853592 0.70677767 0.45340779],[0.66267006 0.78174087 0.45985789],[0.27851362 0.57378057 0.43644688],[0.45332762 0.72050986 0.43166728],[0.52646888 0.78642014 0.44749316],[0.57042069 0.82912363 0.45987235]
[0.         0.53289664 0.64457228],[0.14986502 0.36875311 0.66496651],[0.33701859 0.30087602 0.63647594],[0.49763951 0.32636551 0.5986907 ],[0.61184788 0.39847912 0.56149433],[0.41277861 0.1696971  0.55875006],[0.65846043 0.23318531 0.48891915],[0.75145765 0.36273948 0.45111782],[0.77852223 0.4849226  0.4354292 ],[0.37179093 0.2601067  0.51642634],[0.61830061 0.43701114 0.46117561],[0.69567143 0.58870736 0.44961363],[0.71548809 0.70060462 0.44426675],[0.32193161 0.38957278 0.47808515],[0.54519827 0.58628197 0.44079623],[0.61855365 0.7141546  0.445353  ],[0.64061578 0.80552367 0.45047925],[0.27301306 0.5323715  0.44132951],[0.44739178 0.68600912 0.42899932],[0.51050415 0.77699726 0.44430433],[0.54395072 0.84474443 0.45875488]
[0.         0.50971924 0.65438627],[0.16553893 0.35943734 0.67287706],[0.3556181  0.30230877 0.64446409],[0.5125422  0.33464268 0.60595947],[0.6236129  0.40229334 0.56776357],[0.43875411 0.15315598 0.56853864],[0.67720372 0.25260224 0.49208261],[0.75864048 0.40440453 0.45108966],[0.77607476 0.53139962 0.43425866],[0.38409482 0.22806471 0.52406598],[0.6222978  0.43476241 0.46052043],[0.69487379 0.61193594 0.44374616],[0.7119754  0.73916478 0.43673405],[0.32029492 0.3460293  0.48266763],[0.53168115 0.57894686 0.43682899],[0.60502884 0.72829817 0.43603644],[0.63088825 0.83262233 0.43992631],[0.25868955 0.4843226  0.44260087],[0.41670109 0.66544038 0.42497212],[0.485552   0.76427415 0.43467467],[0.52993718 0.83617463 0.44580632]
[0.         0.48882802 0.64426918],[0.18678774 0.36996049 0.67187644],[0.3788122  0.31540077 0.64818168],[0.52762752 0.33574094 0.61051147],[0.63076984 0.3877804  0.57267918],[0.46845115 0.15485443 0.57915907],[0.6961503  0.27120171 0.50365925],[0.76747232 0.43679404 0.46046137],[0.77800662 0.5733721  0.44256709],[0.40343917 0.20572246 0.52990654],[0.62745484 0.46140597 0.4638198 ],[0.68514839 0.65018038 0.44372585],[0.69430582 0.78210213 0.43599157],[0.32710056 0.30113377 0.48313386],[0.52635389 0.56652436 0.43242935],[0.58529509 0.72798986 0.42706619],[0.60485762 0.84348634 0.43057319],[0.25378229 0.42647441 0.43840433],[0.40253608 0.62812016 0.41791151],[0.46018861 0.74283933 0.42601156],[0.49545994 0.83008791 0.43766153]
[0.         0.47122793 0.66267873],[0.23129903 0.4245747  0.68683816],[0.4299498  0.39292537 0.6609559 ],[0.56942185 0.41463567 0.62063907],[0.66617597 0.46936286 0.58014587],[0.51068098 0.14523018 0.59359294],[0.72004125 0.26902675 0.50650158],[0.77646862 0.45081421 0.45122533],[0.78000173 0.60077649 0.42615185],[0.41958351 0.17010107 0.54190381],[0.61809446 0.44397892 0.46265374],[0.66993577 0.65142821 0.4317117 ],[0.67678095 0.80248898 0.41735087],[0.32084003 0.24823274 0.49178365],[0.49804992 0.5354821  0.42648522],[0.55329864 0.71748    0.41462623],[0.57574657 0.85282998 0.41676565],[0.23174464 0.35846677 0.44360013],[0.37249915 0.57555779 0.41295011],[0.42328752 0.70349092 0.41943124],[0.45609962 0.80188836 0.43200822]
[0.         0.48086081 0.6421781 ],[0.23310994 0.44188171 0.6670308 ],[0.43480775 0.40805425 0.64553001],[0.57595551 0.42617423 0.6079887 ],[0.67115658 0.48140665 0.57011779],[0.53174176 0.15310771 0.59667093],[0.72694832 0.2919022  0.51561826],[0.7747684  0.46332073 0.46434019],[0.77600976 0.60833834 0.44130386],[0.44290498 0.16240444 0.54596115],[0.61813555 0.44390229 0.46938425],[0.65270285 0.64951039 0.44032835],[0.6530398  0.80320157 0.42908858],[0.34204117 0.22875272 0.49488758],[0.49324324 0.52475109 0.42943467],[0.54154639 0.71117804 0.41614627],[0.56475204 0.85581224 0.41874617],[0.24551291 0.33078873 0.44523288],[0.36760187 0.55399225 0.41388573],[0.41158862 0.68775426 0.41748681],[0.44243255 0.79290537 0.42863891]
[0.         0.46826397 0.6512151 ],[0.2448895  0.46097981 0.66425911],[0.44876673 0.44456991 0.63734194],[0.59280339 0.47027974 0.59504246],[0.6923507  0.5203993  0.55331446],[0.56032192 0.16999398 0.60134854],[0.74394964 0.30456082 0.51282713],[0.78292481 0.47336322 0.45630618],[0.780167   0.61678976 0.43078034],[0.46301483 0.16287246 0.55376131],[0.61526566 0.44315125 0.47091189],[0.64291608 0.64907064 0.44063248],[0.63856647 0.80817262 0.43081775],[0.35001822 0.21218563 0.50391846],[0.48266507 0.5078948  0.43003177],[0.52182963 0.69513443 0.42134398],[0.53992277 0.84583394 0.43084583],[0.24266373 0.29618617 0.45391144],[0.34982231 0.51686221 0.41214576],[0.3885358  0.65800407 0.41646989],[0.41860572 0.77543126 0.43277418]
[0.        0.4308017 0.6585728],[0.2638559  0.44737883 0.67151486],[0.46979483 0.44830241 0.64028434],[0.61120196 0.48386898 0.59294332],[0.70313236 0.54492745 0.54649279],[0.59090806 0.14225911 0.60533969],[0.77027683 0.31421158 0.51347409],[0.79496538 0.50661937 0.45278606],[0.77882195 0.66412162 0.42435942],[0.48207694 0.13535666 0.55522927],[0.61323337 0.45257609 0.46966266],[0.62905172 0.67539064 0.43566245],[0.61881152 0.84110693 0.42166953],[0.35551066 0.18447646 0.50320309],[0.47257978 0.50557295 0.4297912 ],[0.50405245 0.70079041 0.4195016 ],[0.51813226 0.85015166 0.4258202 ],[0.23699587 0.26672732 0.45099278],[0.3337681  0.50781485 0.41545148],[0.36473815 0.64507825 0.42487657],[0.3880919  0.75246672 0.44237182]
[0.         0.44154442 0.67201667],[0.28380499 0.52294214 0.6753741 ],[0.48940189 0.55594935 0.63878539],[0.63031439 0.58439801 0.58426725],[0.71755203 0.61710453 0.53087554],[0.62647838 0.16632809 0.62864948],[0.78809702 0.31580168 0.52573851],[0.80589111 0.50677509 0.44947054],[0.7777561  0.66801199 0.41103505],[0.51125649 0.12238183 0.57628575],[0.61713517 0.43248892 0.47605274],[0.62279799 0.67149584 0.42594274],[0.60260569 0.8482506  0.4023972 ],[0.37040154 0.1436934  0.51973654],[0.46305319 0.45904025 0.42995444],[0.48227615 0.67714124 0.41131742],[0.48587549 0.84444985 0.41464257],[0.23052241 0.20626449 0.46191895],[0.30289666 0.43455646 0.41268369],[0.3327053  0.58212826 0.41827476],[0.35917801 0.69925357 0.43458066]
[0.         0.55935585 0.70495157],[0.29779833 0.61183205 0.6999969 ],[0.51289126 0.60075949 0.65498259],[0.66338911 0.58042335 0.5923483 ],[0.74505614 0.58730222 0.53195398],[0.64020281 0.15522467 0.63958668],[0.81717686 0.25144997 0.51944502],[0.83420956 0.46943558 0.43498431],[0.80235643 0.66203944 0.39334938],[0.51206505 0.09148385 0.58524812],[0.61656135 0.40124451 0.46980107],[0.62975926 0.67367418 0.41948219],[0.61523604 0.87529722 0.39521257],[0.35605849 0.10574069 0.52520523],[0.44300898 0.4378834  0.42279437],[0.47134883 0.68226016 0.40474141],[0.48307002 0.87216715 0.40761394],[0.19776302 0.16775993 0.46282583],[0.25613346 0.41281616 0.40495138],[0.28933713 0.58187389 0.40802196],[0.31657785 0.71997622 0.4225032 ]
