[0.         0.5505785  0.70198353],[0.13778965 0.3584192  0.66847262],[0.30502279 0.26623268 0.62990243],[0.45637569 0.25151911 0.60155691],[0.57562369 0.24273079 0.5721126 ],[0.27848779 0.29985196 0.52178792],[0.47908261 0.21704526 0.44284876],[0.61023306 0.19951804 0.41200244],[0.70684935 0.1882714  0.40197906],[0.28733824 0.4881294  0.5126679 ],[0.5797984  0.47900754 0.44866165],[0.7235569  0.4610741  0.44758532],[0.80615068 0.43377392 0.4527911 ],[0.2951521  0.65692633 0.50723109],[0.57648479 0.68609768 0.44382504],[0.70384494 0.6601847  0.44218656],[0.78017958 0.61932345 0.45292882],[0.30095854 0.78980189 0.50366824],[0.51373449 0.89232671 0.44951267],[0.64284845 0.89566139 0.44130196],[0.74048826 0.86352596 0.44499341]
[0.         0.54506217 0.72636196],[0.12412539 0.3216111  0.68228711],[0.30635755 0.18731415 0.63448357],[0.48810494 0.14160385 0.59970882],[0.61931772 0.15520523 0.56475034],[0.26435699 0.26877057 0.52859886],[0.46774444 0.18080737 0.44778798],[0.61536921 0.16856316 0.41094389],[0.73439547 0.18011437 0.39259218],[0.28374033 0.47897568 0.51712991],[0.53910353 0.47083521 0.45143577],[0.70877806 0.46045965 0.43538568],[0.82934894 0.45760451 0.42322017],[0.29436399 0.6732807  0.51019939],[0.54347997 0.72477762 0.45195067],[0.71136855 0.7238539  0.43831459],[0.82975567 0.70560931 0.43084433],[0.28933568 0.83607819 0.50431931],[0.49028616 0.93989398 0.45748622],[0.62550641 0.95020677 0.44804523],[0.73516099 0.92937253 0.44415402]
[0.         0.53465113 0.76875198],[0.12065635 0.3077174  0.72135243],[0.3055239  0.17496443 0.66445808],[0.48617571 0.15720019 0.62571767],[0.61860389 0.20549688 0.58580259],[0.26913634 0.26281037 0.52941592],[0.46687816 0.16627243 0.4346144 ],[0.6203819  0.15103877 0.38752463],[0.74592866 0.16394518 0.36187634],[0.27575194 0.46869142 0.51755517],[0.5402945  0.47080654 0.43900859],[0.71647621 0.46528151 0.41481277],[0.84214268 0.46281167 0.39723755],[0.27710833 0.66410334 0.51320546],[0.54722566 0.72839947 0.44724187],[0.71905388 0.73168175 0.42931581],[0.84246263 0.71178125 0.41815509],[0.26796567 0.82904707 0.51143969],[0.47797003 0.94588951 0.45556247],[0.61963681 0.95967171 0.44168314],[0.74062676 0.93773796 0.43526834]
[0.         0.55670235 0.74663753],[0.1215938  0.32234254 0.69896203],[0.29705684 0.18004946 0.64674395],[0.4727513  0.14699522 0.61140859],[0.59899789 0.16947277 0.577085  ],[0.26896922 0.25738597 0.53300305],[0.46904574 0.1692466  0.44953221],[0.61874908 0.14853066 0.41161885],[0.74278915 0.15388563 0.39135603],[0.27734466 0.4760758  0.52057159],[0.53928846 0.46623549 0.44765907],[0.72071836 0.45493557 0.42280634],[0.85998527 0.45128348 0.40522169],[0.28054966 0.67831281 0.51417067],[0.54059509 0.72181005 0.44914572],[0.71356277 0.7218872  0.42618605],[0.84476676 0.70451828 0.41305811],[0.27485105 0.84925807 0.51000987],[0.48142743 0.95240469 0.45563695],[0.62480317 0.96702971 0.43880413],[0.75215432 0.95163762 0.43038256]
[0.         0.55350578 0.75321306],[0.11053595 0.3263601  0.7076578 ],[0.29395642 0.19479536 0.65442318],[0.48361075 0.17276198 0.61948069],[0.62295835 0.21512665 0.58393837],[0.24522788 0.25838032 0.52372585],[0.449408   0.15066272 0.43814777],[0.60595359 0.12836718 0.40433692],[0.73520206 0.13921659 0.38904641],[0.26095803 0.46654652 0.51262241],[0.53841831 0.47543909 0.44065268],[0.7256386  0.48460647 0.42316656],[0.86430178 0.49576559 0.41118827],[0.27170624 0.66151826 0.50845257],[0.54672112 0.7159956  0.44464345],[0.72313999 0.71749616 0.42605727],[0.85465718 0.69878364 0.41590021],[0.27493811 0.82517625 0.5073178 ],[0.49406015 0.92926546 0.45601928],[0.63763244 0.95025935 0.44301971],[0.76097506 0.93997091 0.43698974]
[0.         0.58565424 0.76875317],[0.10362111 0.3416243  0.71604643],[0.28094567 0.1949138  0.6566759 ],[0.46695751 0.16789423 0.61611521],[0.60222382 0.21725054 0.57645123],[0.23466343 0.27332513 0.53041126],[0.4438672  0.14839841 0.43966816],[0.59826113 0.12304081 0.40336982],[0.72279589 0.13327218 0.38710509],[0.25663329 0.47888427 0.52012902],[0.54244698 0.46282676 0.43938857],[0.73175813 0.45710444 0.41673083],[0.86639713 0.45847607 0.40292411],[0.27540943 0.67819232 0.51618063],[0.55116067 0.71917675 0.44618314],[0.73438878 0.71120299 0.42039878],[0.86981345 0.68195617 0.40637626],[0.28370961 0.85151855 0.51487449],[0.50552157 0.94610309 0.4573398 ],[0.65247271 0.95127376 0.43750923],[0.77695248 0.91791117 0.42736887]
[0.         0.56936576 0.74869105],[0.10626059 0.32002121 0.69762363],[0.3033391  0.17222023 0.64566505],[0.5099443  0.12860797 0.61231159],[0.66335816 0.15404582 0.57875371],[0.24102201 0.28982261 0.52314415],[0.44178312 0.17875408 0.44636667],[0.59146069 0.14239833 0.4222649 ],[0.71011005 0.13720329 0.41310341],[0.25436986 0.49269326 0.51366233],[0.5351505  0.48473573 0.44239316],[0.72260966 0.47464355 0.42407957],[0.85340012 0.46756673 0.4123867 ],[0.26799266 0.69075683 0.51104135],[0.53832737 0.73145895 0.44536427],[0.72183028 0.71486063 0.42065003],[0.85783959 0.67736611 0.40716013],[0.27199004 0.86219571 0.51175892],[0.49616606 0.94857157 0.45588352],[0.64507031 0.94916217 0.43816047],[0.76797554 0.91354944 0.42953538]
[0.         0.63065506 0.77059461],[0.09355971 0.39061338 0.73336317],[0.25907339 0.2357524  0.67542203],[0.42680367 0.19597082 0.62974253],[0.55486057 0.21933135 0.58053542],[0.23071689 0.28938526 0.54837704],[0.44379175 0.17670266 0.45693476],[0.5963062  0.13558593 0.42003032],[0.71795146 0.12520418 0.40380162],[0.25085541 0.49491994 0.52654049],[0.54879912 0.46065067 0.44069748],[0.74244862 0.43933846 0.41241977],[0.8797924  0.42516809 0.39632173],[0.2714353  0.69188646 0.51194495],[0.56764807 0.69566187 0.43451922],[0.75017923 0.67162822 0.40363167],[0.88488721 0.63430096 0.38844382],[0.2864232  0.8611845  0.50209288],[0.52293315 0.92145394 0.43853619],[0.6729822  0.91845559 0.4178109 ],[0.79855242 0.88615028 0.4082394 ]
[0.         0.57403224 0.79563031],[0.11211122 0.33024673 0.75718445],[0.27826617 0.20795978 0.69536043],[0.44331214 0.22704309 0.65178318],[0.55571078 0.31573638 0.60659967],[0.26140832 0.21857326 0.54321693],[0.45392341 0.09092408 0.4387626 ],[0.61785688 0.09695134 0.38076203],[0.7501029  0.14105192 0.35062222],[0.25567156 0.43575145 0.52239295],[0.55786858 0.43939761 0.43216118],[0.75627077 0.44470899 0.39651597],[0.8991117  0.44716217 0.37339253],[0.25360308 0.65383122 0.51085088],[0.55293084 0.72385287 0.43800494],[0.74398897 0.72773161 0.40754424],[0.88190674 0.70868014 0.38965836],[0.25424954 0.84616061 0.5037686 ],[0.48841336 0.95309133 0.44695328],[0.62982076 0.96813141 0.43242504],[0.75347226 0.94898177 0.42641022]
[0.         0.58768709 0.78610587],[0.14305992 0.3589802  0.76154222],[0.31211631 0.23769326 0.70435749],[0.477724   0.24499634 0.65898817],[0.59172567 0.32443251 0.6134348 ],[0.30179333 0.19424749 0.55524529],[0.49997833 0.04513263 0.44992031],[0.65668037 0.06143175 0.39211588],[0.7839519  0.11676878 0.36134711],[0.27382291 0.38216161 0.52459653],[0.56760873 0.40911767 0.43289096],[0.7574006  0.47102485 0.39945637],[0.88675783 0.52891425 0.37949805],[0.24458165 0.59883607 0.50293804],[0.53483994 0.69816078 0.42681277],[0.71542159 0.75790434 0.40550837],[0.84004102 0.79096211 0.39574591],[0.22054174 0.80801109 0.48562858],[0.4372024  0.9378991  0.42584681],[0.5707689  0.97275938 0.41802456],[0.68398286 0.97287871 0.41999591]
