[0.52033592 0.         0.51742558],[0.58042287 0.13551792 0.49687716],[0.5995802  0.27093237 0.48516086],[0.60069975 0.37581299 0.46949172],[0.61369851 0.4303115  0.4580951 ],[0.42268402 0.45405921 0.54231186],[0.41705619 0.64130445 0.51619742],[0.48122015 0.71977098 0.48434406],[0.54845772 0.73609703 0.46722842],[0.40486322 0.44588784 0.53656518],[0.40066004 0.63612191 0.52480858],[0.46851447 0.7064658  0.50181012],[0.53699644 0.707807   0.48637465],[0.40852766 0.42654893 0.52290175],[0.42636849 0.58990826 0.51135591],[0.49639594 0.64004203 0.49472185],[0.55981753 0.6284499  0.48465887],[0.43226536 0.3992703  0.50608723],[0.47877809 0.51538388 0.49782872],[0.52997333 0.53417403 0.49658655],[0.5726841  0.50613368 0.4991684 ]
[0.56850971 0.         0.70808326],[0.62674564 0.02708388 0.55640395],[0.66594797 0.10075104 0.46332448],[0.6848616  0.19750094 0.39250757],[0.69000865 0.27699525 0.33294103],[0.43253431 0.32033857 0.52050766],[0.38297002 0.53609372 0.42295605],[0.45023584 0.64943399 0.35953064],[0.52457566 0.68828552 0.32871129],[0.41168796 0.39226577 0.56650169],[0.36783002 0.62241299 0.48509943],[0.45477892 0.71078827 0.45376678],[0.53882955 0.71167107 0.44393879],[0.4133973  0.45608644 0.59875653],[0.39017309 0.66520445 0.5296808 ],[0.47118397 0.73565067 0.51043219],[0.5451283  0.74243177 0.5096627 ],[0.4273583  0.50055166 0.61950963],[0.42502016 0.66987411 0.57309713],[0.48351754 0.73947559 0.56179927],[0.54470551 0.75710431 0.56278911]
[0.59703554 0.         0.72667975],[0.65035128 0.00470764 0.58277733],[0.68482862 0.05427451 0.48934688],[0.69112572 0.15120572 0.41445318],[0.68352023 0.23899391 0.35030503],[0.40178148 0.29485101 0.54758953],[0.34316168 0.47792024 0.44175713],[0.40305755 0.58900475 0.36757797],[0.47205237 0.65502045 0.32690187],[0.39376076 0.40796567 0.57853249],[0.34083871 0.64765588 0.47946012],[0.43949942 0.73847314 0.43183593],[0.53724446 0.75107027 0.41584848],[0.41305945 0.48857144 0.59765881],[0.38922842 0.70891596 0.51754203],[0.48422643 0.76679636 0.49431772],[0.56558237 0.76628417 0.49505586],[0.44944746 0.52848211 0.60526992],[0.45028871 0.70036052 0.55089938],[0.52173872 0.76206717 0.54027785],[0.58817064 0.76737906 0.54591275]
[0.60075044 0.         0.54753272],[0.57337974 0.13797995 0.50153444],[0.53874539 0.30736451 0.48182876],[0.53840923 0.43418493 0.4640469 ],[0.5516713  0.50059628 0.45335597],[0.37110716 0.44888416 0.53411417],[0.39180018 0.65711892 0.49142275],[0.47942729 0.64901103 0.4534777 ],[0.53664131 0.60659492 0.43333059],[0.3835296  0.46635515 0.54200247],[0.42492567 0.65796703 0.50641055],[0.5147247  0.6325408  0.47593684],[0.56294109 0.57159588 0.46018048],[0.40711389 0.46844149 0.54119958],[0.46257927 0.63692012 0.50888798],[0.54225115 0.60019249 0.49337438],[0.58575206 0.53194383 0.48965713],[0.43536971 0.46324722 0.53672693],[0.48148973 0.59924723 0.52279559],[0.54111083 0.5901964  0.52655123],[0.57628026 0.53961765 0.53563282]
[0.62075549 0.         0.74787751],[0.68478709 0.01095191 0.59355773],[0.72313877 0.10579703 0.49900718],[0.7309733  0.24871047 0.4235581 ],[0.71876558 0.39380672 0.35990508],[0.42606468 0.26673541 0.54958008],[0.34308115 0.49389578 0.42550744],[0.42291378 0.61706226 0.3434923 ],[0.52024242 0.67909277 0.30362703],[0.399964   0.3544837  0.58736955],[0.33979504 0.60856682 0.47343471],[0.4491486  0.72643204 0.42052128],[0.56285912 0.75899354 0.40326256],[0.39697859 0.42414539 0.61082153],[0.34911579 0.65576548 0.51964011],[0.45680249 0.75084749 0.49104871],[0.56357735 0.78088654 0.49062324],[0.41022904 0.46759065 0.62250356],[0.38393798 0.64917487 0.55649927],[0.45750125 0.73837259 0.53771454],[0.5393685  0.76868855 0.54044848]
[0.64400381 0.         0.65030444],[0.67197571 0.05517224 0.54384685],[0.66801765 0.20878066 0.48898345],[0.66406165 0.3857739  0.44832701],[0.6595892  0.5158932  0.41915523],[0.41587593 0.28861437 0.53471317],[0.36598697 0.51488406 0.44668434],[0.46255052 0.63458865 0.38429399],[0.55718462 0.68327842 0.35395038],[0.39339595 0.3389041  0.56219794],[0.35696151 0.58471311 0.48716161],[0.45749242 0.70222796 0.45020817],[0.55415823 0.74087073 0.43825517],[0.39938056 0.37870475 0.57804248],[0.37373061 0.6068729  0.51684904],[0.46092784 0.712088   0.49955945],[0.54750636 0.75691267 0.50173952],[0.42815399 0.39941331 0.58546592],[0.41162349 0.5847441  0.54000062],[0.46941619 0.68121262 0.531689  ],[0.5380068  0.72635026 0.53857221]
[0.61087988 0.05056762 0.76988499],[0.65698182 0.         0.60476991],[0.69444627 0.01626544 0.49421191],[0.72252185 0.09667762 0.40167039],[0.72585699 0.19827844 0.31875433],[0.39291097 0.27289849 0.55546894],[0.32847727 0.51649983 0.42425549],[0.42518025 0.6297091  0.33469284],[0.53097938 0.66931823 0.2885998 ],[0.38154106 0.37827814 0.59291528],[0.3367552  0.63283681 0.47978624],[0.44343594 0.74117936 0.42041475],[0.55526691 0.76918118 0.39433587],[0.40009523 0.45846559 0.61533161],[0.36333377 0.69058524 0.52711433],[0.46347676 0.78025606 0.49840938],[0.56763021 0.80784301 0.49401724],[0.43556137 0.51125395 0.6249875 ],[0.41163685 0.6920857  0.56142819],[0.48454785 0.77758472 0.54761059],[0.56848417 0.81023546 0.55134045]
[0.51214629 0.         0.7663342 ],[0.59432185 0.00852573 0.58876933],[0.66201593 0.10631386 0.48142667],[0.70784417 0.21983618 0.40304757],[0.72601455 0.31786569 0.33214509],[0.40704117 0.27117205 0.51534116],[0.38867526 0.54435555 0.40045824],[0.47452007 0.68573781 0.32575009],[0.56676128 0.75721154 0.28803792],[0.382146   0.33607723 0.57144103],[0.39111332 0.61316013 0.4755904 ],[0.48668885 0.73932369 0.42960493],[0.58252167 0.79177007 0.4073009 ],[0.38160151 0.3927411  0.61530397],[0.39151373 0.63784573 0.53679169],[0.48327969 0.74069803 0.5075606 ],[0.56809819 0.79095894 0.49882589],[0.39094585 0.42910431 0.64660813],[0.39891679 0.62249511 0.58543429],[0.46684944 0.72028511 0.56437911],[0.53698438 0.77452214 0.55984878]
[0.4737537  0.         0.78168167],[0.57157147 0.02941761 0.63245841],[0.647861   0.1136406  0.53480009],[0.70238798 0.2025704  0.4625547 ],[0.74278499 0.29385967 0.39595247],[0.37642615 0.25549357 0.52957665],[0.38675192 0.50876083 0.41132399],[0.45502585 0.65862594 0.33658591],[0.54343086 0.74988581 0.29933124],[0.34459028 0.32506611 0.57131068],[0.41083416 0.60136514 0.46752197],[0.51104252 0.75056538 0.41656296],[0.62239282 0.83072134 0.38933565],[0.34626845 0.3830281  0.60527187],[0.41200309 0.63744613 0.51700105],[0.50741903 0.76394661 0.47518314],[0.61059898 0.83891937 0.45732291],[0.36980167 0.42048811 0.63028408],[0.41765576 0.62193109 0.55589498],[0.48524926 0.72495023 0.52178971],[0.56215005 0.78931795 0.50825588]
[0.42033518 0.         0.76695638],[0.53843975 0.03891734 0.62480761],[0.64006862 0.12841555 0.52705318],[0.71456791 0.23352144 0.45691293],[0.77753288 0.32946183 0.39109389],[0.41644651 0.25658427 0.50639278],[0.43284105 0.49298805 0.40366402],[0.48504447 0.64472733 0.34401557],[0.54569446 0.74995663 0.31328333],[0.35088081 0.3218137  0.55059179],[0.42761391 0.60080152 0.46247887],[0.5279946  0.75342952 0.42793139],[0.62170449 0.83855784 0.40879647],[0.32792897 0.3750657  0.59101302],[0.40878099 0.6290567  0.5144069 ],[0.50818267 0.75577018 0.48401665],[0.59991055 0.83395024 0.47104459],[0.33526402 0.41721656 0.62374536],[0.40201744 0.61427313 0.56291728],[0.47550791 0.7113325  0.5389686 ],[0.54324282 0.77415998 0.5299094 ]
