[0.48202429 1.         0.5785149 ],[0.58041714 0.91642907 0.52985151],[0.64133921 0.76511878 0.50517671],[0.67417826 0.62453382 0.49454124],[0.68324693 0.5094759  0.48805546],[0.53104044 0.68654479 0.47939742],[0.56215627 0.44651434 0.45709984],[0.58805992 0.32137863 0.45762691],[0.61065464 0.24426833 0.46358504],[0.45513793 0.66464086 0.49969874],[0.45200876 0.41356908 0.47826937],[0.47051622 0.27423827 0.47569968],[0.49220802 0.18580147 0.47742356],[0.4100653  0.65279969 0.5210358 ],[0.40379039 0.42294183 0.50442861],[0.42456008 0.29434152 0.49665769],[0.4482059  0.20850162 0.49304642],[0.39376259 0.65191956 0.54123372],[0.38292045 0.49309677 0.52475984],[0.39581503 0.39652792 0.51750518],[0.41789224 0.32735775 0.51639235]
[0.4737949 1.        0.6913764],[0.60900734 0.91264104 0.61452023],[0.68640547 0.7430088  0.56264385],[0.70436072 0.56483862 0.53485391],[0.68894975 0.43941108 0.51185344],[0.55464442 0.79856461 0.46580293],[0.58674479 0.49421797 0.40825806],[0.6183311  0.34871372 0.40176462],[0.63934497 0.23777601 0.40672034],[0.45611142 0.77385877 0.49307624],[0.46671962 0.44844505 0.4370933 ],[0.49006893 0.28521098 0.43558075],[0.50901511 0.17973142 0.43929543],[0.38293505 0.72728945 0.52637574],[0.38583834 0.44382623 0.48376529],[0.42455228 0.29166406 0.48037381],[0.45778462 0.19598686 0.48221605],[0.3362822 0.6666302 0.5580896],[0.32205726 0.43426245 0.52719693],[0.34077802 0.30259466 0.52018802],[0.36627369 0.21132803 0.51895506]
[0.45114694 1.         0.70491117],[0.59567831 0.93376392 0.62481451],[0.68885696 0.76130769 0.57013812],[0.70929137 0.57642815 0.53926359],[0.71189819 0.44130291 0.51032661],[0.56336141 0.80085056 0.48111044],[0.60488075 0.50724427 0.41551558],[0.63656937 0.34809313 0.40347224],[0.66007759 0.23851514 0.40503152],[0.44762187 0.76974012 0.5054321 ],[0.4720261  0.44627994 0.44240851],[0.50808838 0.27062093 0.43516421],[0.53764161 0.15861668 0.43499452],[0.36418855 0.73149353 0.53394459],[0.3769469  0.43165306 0.48431206],[0.41251966 0.26249093 0.46870309],[0.44148553 0.15159944 0.46156811],[0.31258588 0.68580838 0.56127206],[0.31175924 0.45058748 0.52092436],[0.33444615 0.31473048 0.50300824],[0.35892925 0.21887327 0.49368435]
[0.47853949 1.         0.67693432],[0.52846253 0.88754146 0.5922575 ],[0.55004857 0.69777832 0.54185488],[0.56302727 0.52063434 0.51500296],[0.57945749 0.40821656 0.49297928],[0.45007414 0.76034911 0.48483565],[0.41259323 0.44521626 0.42418347],[0.41716474 0.26809114 0.40551269],[0.43159984 0.13067048 0.40098613],[0.45866293 0.77366971 0.51007304],[0.49654688 0.47003481 0.44785856],[0.53333152 0.29091915 0.42899092],[0.56666039 0.15234139 0.42177825],[0.47000332 0.76574159 0.53766767],[0.50422404 0.50625885 0.48965108],[0.54462689 0.33643038 0.48114235],[0.57701798 0.20846724 0.4840576 ],[0.47074643 0.73005777 0.56196739],[0.47315462 0.50402497 0.53305779],[0.49101538 0.370193   0.53230329],[0.50304231 0.27336347 0.53690519]
[0.51452812 1.         0.70373988],[0.5512037  0.90953333 0.61693912],[0.5536407  0.71187682 0.55793192],[0.55744844 0.52420312 0.5232661 ],[0.57084191 0.3860297  0.4933924 ],[0.45541981 0.79905524 0.476134  ],[0.41872007 0.45420677 0.4087992 ],[0.43275418 0.2688398  0.39265129],[0.45025358 0.12950501 0.392809  ],[0.44927709 0.80723571 0.50162058],[0.47115518 0.4576821  0.43643997],[0.50472424 0.25954661 0.42489442],[0.53490051 0.12149435 0.42379188],[0.46061367 0.79108444 0.53175663],[0.5038824  0.49624789 0.48504111],[0.54146887 0.31875913 0.48286334],[0.57010962 0.19215143 0.48900303],[0.47278048 0.75021662 0.55909527],[0.47541272 0.50818933 0.53014725],[0.49722113 0.36066214 0.53163553],[0.51364359 0.25348047 0.53804809]
[0.49608132 1.         0.72455425],[0.59843662 0.91878032 0.60658138],[0.64050589 0.71847957 0.53430574],[0.64695625 0.52144459 0.49321198],[0.64240114 0.37636612 0.45735962],[0.49213179 0.78969256 0.46989155],[0.47514398 0.48337383 0.388169  ],[0.49828356 0.2965059  0.35736689],[0.52289229 0.16200515 0.34760584],[0.43045041 0.780479   0.51227869],[0.46011517 0.45721339 0.43887642],[0.50068441 0.26507909 0.42210211],[0.53907926 0.12361734 0.41570369],[0.39539313 0.74781519 0.55651357],[0.4446757  0.46430859 0.5006946 ],[0.49102027 0.31460557 0.49805403],[0.5256055  0.21041272 0.50185474],[0.37568574 0.70760662 0.59469095],[0.40810967 0.48436826 0.55834459],[0.44328135 0.37452489 0.55855779],[0.47306655 0.30332129 0.56328258]
[0.46500852 1.         0.68579653],[0.60670755 0.92564838 0.59323914],[0.68564916 0.73140638 0.53628146],[0.69584224 0.53520503 0.50247719],[0.68653373 0.38860381 0.47035657],[0.58024447 0.76620071 0.48406951],[0.57805699 0.47234768 0.41418992],[0.58535686 0.27473831 0.38902661],[0.5986282  0.1389949  0.38172943],[0.471215   0.76072373 0.51314461],[0.47734188 0.45272513 0.45216995],[0.48935614 0.25428908 0.4366807 ],[0.50520159 0.11650154 0.42994927],[0.39086952 0.74373457 0.54358423],[0.40899205 0.47440973 0.49816518],[0.42423343 0.31377941 0.491589  ],[0.43711572 0.20527545 0.49062965],[0.33609702 0.72070537 0.56981436],[0.3471416  0.50991667 0.53955693],[0.35973237 0.39479203 0.53775997],[0.37067598 0.32000208 0.53978979]
[0.44728629 1.         0.64796061],[0.59674219 0.9374563  0.56654238],[0.68924866 0.74811237 0.52696216],[0.70645793 0.55352723 0.50876504],[0.69352022 0.41300978 0.49056665],[0.56993066 0.76751685 0.47026719],[0.6127829  0.47587368 0.41827853],[0.64915231 0.2969304  0.40470026],[0.67967646 0.17122778 0.40370445],[0.44250298 0.74022782 0.50062697],[0.46874894 0.45007725 0.45771714],[0.50296124 0.27079455 0.44802137],[0.53388109 0.14994025 0.44428797],[0.35457882 0.7113651  0.53364185],[0.37546611 0.46408949 0.50412356],[0.41066975 0.3130973  0.49785387],[0.43910287 0.21446908 0.49587046],[0.30736903 0.68230313 0.56293878],[0.31951291 0.48177416 0.54088797],[0.34180505 0.3674034  0.53758364],[0.35860359 0.2908041  0.53869915]
[0.4350828 1.        0.7497694],[0.59690156 0.9546706  0.6468866 ],[0.68876964 0.77715647 0.58278326],[0.70900694 0.58262535 0.54718216],[0.69467881 0.4470947  0.51180487],[0.54724402 0.84228842 0.48092137],[0.60572497 0.5188014  0.39809531],[0.64908658 0.31853712 0.37413867],[0.685055   0.17084019 0.36765009],[0.4188359  0.79504229 0.51230245],[0.4675875  0.47671784 0.43386997],[0.51606742 0.26122188 0.41353326],[0.56129707 0.1059697  0.4021941 ],[0.32820603 0.74139232 0.54856173],[0.38206538 0.45600901 0.48817229],[0.44436004 0.27651995 0.46597228],[0.4932856  0.15718615 0.45445077],[0.27520597 0.68224614 0.58193598],[0.29662804 0.44431732 0.53303798],[0.33470861 0.29791682 0.5099218 ],[0.3702021  0.19344634 0.49681567]
[0.45252073 1.         0.74235845],[0.61728212 0.93039861 0.6498004 ],[0.70454687 0.73546055 0.58771219],[0.72735816 0.54242164 0.55264599],[0.73328864 0.39331812 0.51798505],[0.55771483 0.84441085 0.47572066],[0.62220898 0.5394964  0.39751819],[0.66999287 0.35392639 0.37890231],[0.70598176 0.20772775 0.37520035],[0.42681262 0.81640354 0.50427035],[0.47506743 0.4912293  0.43321453],[0.52213019 0.28728673 0.42277769],[0.56192617 0.13644267 0.41630349],[0.33031527 0.76525402 0.53822321],[0.35827486 0.45557413 0.48356931],[0.40266468 0.26175829 0.4660129 ],[0.4381816  0.12647665 0.45577172],[0.27212988 0.69789569 0.57009382],[0.2780737  0.44290396 0.52866643],[0.30681969 0.29033268 0.50853401],[0.33670896 0.18128202 0.49471895]
