[0.3487359  0.         0.61085351],[0.39609635 0.04689428 0.50221266],[0.41341278 0.15811684 0.45012077],[0.42245981 0.27556191 0.41205268],[0.46670214 0.3519694  0.38076042],[0.38975902 0.45703479 0.52823831],[0.44488351 0.64096091 0.47631103],[0.51246055 0.7254501  0.42999901],[0.57087712 0.7695996  0.40043373],[0.41139133 0.47753879 0.55824958],[0.48475977 0.65543149 0.50649311],[0.56440778 0.7049626  0.46432772],[0.63635502 0.70451912 0.44117204],[0.43541499 0.4744901  0.57693192],[0.51825814 0.62849184 0.53491447],[0.59086475 0.65248045 0.50864791],[0.6521863  0.6408839  0.49681559],[0.46032081 0.45095186 0.58511801],[0.53891547 0.55019834 0.5565224 ],[0.59700818 0.57073053 0.54239948],[0.6447303  0.56373314 0.53742567]
[0.41321773 0.         0.57950694],[0.44717083 0.05619943 0.50558671],[0.4555756  0.17495723 0.47211225],[0.46040831 0.28412064 0.4464092 ],[0.4887     0.36919538 0.426646  ],[0.41463644 0.43105687 0.53147736],[0.4408727  0.61798964 0.48937541],[0.49133201 0.72674798 0.45167999],[0.54024399 0.79529732 0.42645032],[0.43268039 0.44567466 0.54673139],[0.47549964 0.61899689 0.50765374],[0.53145015 0.70224464 0.47357168],[0.58836118 0.75218882 0.45242213],[0.45238622 0.44065957 0.55335331],[0.50391868 0.59216422 0.52032655],[0.56213388 0.65019384 0.50443005],[0.61840307 0.68363628 0.4971269 ],[0.47231474 0.41919779 0.55182483],[0.52254496 0.53556867 0.5264534 ],[0.57099299 0.58666087 0.51889227],[0.61715649 0.61724925 0.51796958]
[0.41428707 0.         0.62147328],[0.46655702 0.19588027 0.60850877],[0.47943141 0.40718232 0.59449526],[0.48970399 0.57010841 0.57834084],[0.51779155 0.68932144 0.55802038],[0.40348282 0.48914459 0.55779105],[0.44423475 0.67895187 0.49884411],[0.50634121 0.79747554 0.45470778],[0.56326428 0.86980993 0.4272356 ],[0.41294605 0.43484845 0.53373219],[0.46187181 0.61610583 0.48793319],[0.53033522 0.7161489  0.45712642],[0.59465625 0.77003129 0.43472084],[0.42918486 0.34679366 0.50874596],[0.49045474 0.49595227 0.46591937],[0.5610804  0.56992631 0.450678  ],[0.61974778 0.6146434  0.44006411],[0.45812643 0.22926982 0.48330141],[0.51229279 0.30458767 0.44881968],[0.55471298 0.34144003 0.44512328],[0.58949658 0.36237801 0.4444185 ]
[0.44190714 0.         0.56338833],[0.5135094  0.07354289 0.51351939],[0.54466264 0.19680639 0.48862881],[0.55352298 0.31684397 0.46778991],[0.57299042 0.41537938 0.45120978],[0.46551077 0.39512119 0.53291328],[0.48744326 0.56826993 0.49895601],[0.52309247 0.67802585 0.46745064],[0.55513181 0.7573093  0.44618434],[0.44617618 0.41924731 0.53739858],[0.4772131  0.59325037 0.50654837],[0.51652429 0.69566516 0.479328  ],[0.554964   0.76614294 0.46256102],[0.43484506 0.42525739 0.53513613],[0.47009826 0.58057931 0.50914672],[0.51032542 0.66600315 0.49904966],[0.55085261 0.72060238 0.49495686],[0.42945665 0.41497892 0.52664884],[0.45312384 0.53953533 0.50744255],[0.4833128  0.61349521 0.50484313],[0.51533689 0.66394364 0.50689965]
[0.46216358 0.         0.62167279],[0.42744951 0.05285312 0.51121318],[0.39338207 0.15070444 0.45449153],[0.39700918 0.25625894 0.41025951],[0.43304088 0.34130226 0.37053499],[0.38656983 0.4421459  0.53264663],[0.40126831 0.61785104 0.47672711],[0.43790765 0.7341783  0.4288794 ],[0.47227718 0.80315332 0.39929256],[0.44247583 0.46046522 0.56137957],[0.47836552 0.64614545 0.50391369],[0.51839254 0.72195567 0.45775349],[0.55558873 0.74365849 0.43486153],[0.49619135 0.45451818 0.57988768],[0.54775956 0.61677286 0.53181332],[0.59130441 0.65764419 0.50618416],[0.62595723 0.64899717 0.49834486],[0.54869714 0.42701448 0.58803229],[0.59843822 0.54506724 0.55403943],[0.63059988 0.58729587 0.5401844 ],[0.65516138 0.59201786 0.53788788]
[0.46624229 0.         0.57875845],[0.41326807 0.06742659 0.4960863 ],[0.37702516 0.1710961  0.45438315],[0.3830308  0.26962461 0.42039732],[0.42047398 0.35555094 0.38999226],[0.38294476 0.44975334 0.52722577],[0.38907769 0.61614575 0.48751789],[0.41670535 0.7123498  0.4504274 ],[0.44282626 0.76116146 0.42805623],[0.45524143 0.46458542 0.54676172],[0.48126636 0.64212517 0.51096104],[0.51009714 0.7020408  0.47680985],[0.53742259 0.71952087 0.4595694 ],[0.52208211 0.45826833 0.55673571],[0.55948903 0.62132158 0.52638607],[0.59185877 0.66185718 0.51058757],[0.61919205 0.66487778 0.50585441],[0.58447864 0.42763927 0.55850897],[0.62721356 0.55298696 0.53892466],[0.65166063 0.58880963 0.53635784],[0.66840333 0.59285842 0.539698  ]
[0.53110219 0.         0.60582689],[0.56627286 0.0600371  0.49002206],[0.5463731  0.16442726 0.44142159],[0.51614588 0.28243653 0.40691284],[0.50606333 0.37960296 0.38129118],[0.42003444 0.39589367 0.52917366],[0.39311047 0.57003398 0.47846265],[0.40275244 0.67395331 0.43608535],[0.41489076 0.74883341 0.40767488],[0.4351857  0.43765114 0.56224395],[0.43770176 0.6244161  0.50814485],[0.49255754 0.7070499  0.46765944],[0.54874981 0.74000503 0.44679509],[0.46086924 0.45690411 0.58250693],[0.48515222 0.6236356  0.53305964],[0.54718739 0.67244578 0.50750827],[0.60389555 0.68394295 0.4998159 ],[0.48978248 0.45882195 0.5913301 ],[0.51871191 0.58071616 0.55457278],[0.56778391 0.61755904 0.53729737],[0.61567705 0.62163401 0.53219457]
[0.44716434 0.         0.51601312],[0.47884668 0.29358728 0.52399596],[0.48158272 0.49434385 0.52929083],[0.48643737 0.63207536 0.52373996],[0.50389078 0.73547855 0.51580327],[0.45220521 0.50744478 0.5589572 ],[0.44558301 0.67353188 0.54265697],[0.46496805 0.77942231 0.52078515],[0.48719293 0.87303911 0.50136026],[0.46653794 0.43596433 0.53597344],[0.47442933 0.55353387 0.52342925],[0.49804245 0.64260129 0.49263568],[0.52644536 0.73277151 0.46346186],[0.48600159 0.34392658 0.50894254],[0.50248041 0.42596119 0.4911016 ],[0.53510605 0.51964973 0.46551935],[0.57179263 0.61085179 0.44136738],[0.51487539 0.23754771 0.48141852],[0.54144358 0.27604076 0.46675189],[0.55775755 0.33398983 0.45493938],[0.57721663 0.39823829 0.4418564 ]
[0.36284495 0.         0.61628405],[0.42059197 0.02784962 0.51788864],[0.46233226 0.13101872 0.47160663],[0.50747984 0.25210373 0.44028478],[0.57133267 0.33937534 0.41467937],[0.39214693 0.38222932 0.52024779],[0.46955107 0.57589773 0.46994459],[0.52711578 0.69335012 0.4310506 ],[0.57155254 0.7820263  0.40560772],[0.40046576 0.42003586 0.54722017],[0.47937621 0.60717103 0.5016718 ],[0.54217954 0.72196929 0.47170528],[0.5978699  0.80578308 0.45297882],[0.4193943  0.43260185 0.56506207],[0.49727232 0.60201162 0.52402362],[0.56061098 0.68869327 0.50332076],[0.6186844  0.75537777 0.49320814],[0.43866152 0.4236159  0.57382399],[0.50261131 0.5557285  0.53845688],[0.55401696 0.62465198 0.52345527],[0.60390879 0.67850896 0.51747901]
[0.35214237 0.         0.58126199],[0.45197864 0.03277395 0.51454755],[0.51714793 0.15011174 0.48838686],[0.57368692 0.26865081 0.47448869],[0.63442836 0.34250709 0.46601751],[0.40741463 0.36828596 0.51495073],[0.50064791 0.52864297 0.48019699],[0.56332084 0.62246003 0.45376932],[0.61332974 0.70044384 0.43740151],[0.38067338 0.41891507 0.53308866],[0.47239765 0.60659305 0.49885066],[0.54580919 0.72224095 0.4774807 ],[0.60851181 0.81073864 0.46572074],[0.37698249 0.43625531 0.54578972],[0.46074189 0.6088343  0.50965082],[0.52857693 0.71448056 0.48821841],[0.58925628 0.79484601 0.47947672],[0.39147206 0.42989056 0.55352992],[0.45623642 0.57133218 0.52322083],[0.51170439 0.65448486 0.50930713],[0.56354017 0.7175121  0.50464454]
