[0.         0.57028998 0.52204378],[0.12637604 0.39068545 0.45146824],[0.28700482 0.27541691 0.42946512],[0.42228035 0.22108759 0.41801021],[0.53000874 0.18079743 0.41333297],[0.40898215 0.51499156 0.50377041],[0.59290593 0.45841539 0.48621522],[0.69049414 0.4106324  0.45884772],[0.76269378 0.37284055 0.43942552],[0.40455412 0.61702688 0.52929533],[0.57807921 0.54084632 0.52308187],[0.66977799 0.47509765 0.5055746 ],[0.7301931  0.41943901 0.48957681],[0.38508606 0.68270491 0.54482232],[0.54519922 0.62181372 0.53711631],[0.62672251 0.55843128 0.53102672],[0.68282897 0.50128156 0.52636263],[0.35487179 0.73368831 0.55270736],[0.49679325 0.70059925 0.54386482],[0.5740432  0.65049241 0.5453354 ],[0.63110463 0.60342142 0.54865664]
[0.         0.63846284 0.53066398],[0.11672052 0.48422297 0.47131997],[0.27115078 0.36816297 0.45404308],[0.39909395 0.29365202 0.4463623 ],[0.50688623 0.23023299 0.44699384],[0.40938222 0.58528931 0.51742273],[0.56951401 0.50678349 0.49872788],[0.6637461  0.45046567 0.47385234],[0.74353571 0.40644838 0.45553495],[0.41213813 0.64720241 0.53329388],[0.56651251 0.5412189  0.51785115],[0.66385992 0.47236532 0.49986741],[0.73689531 0.41545355 0.48749557],[0.39658156 0.6775119  0.53979432],[0.54883123 0.56620351 0.51776628],[0.64021981 0.49594818 0.5083175 ],[0.70662998 0.43988146 0.50679666],[0.3736913  0.69128179 0.54040278],[0.51432684 0.59193798 0.51913619],[0.5985121  0.52494214 0.51554997],[0.66177178 0.47233221 0.51880722]
[0.         0.66284885 0.54716543],[0.10212175 0.48344634 0.48776763],[0.26164598 0.3605033  0.4694356 ],[0.3950002  0.28479109 0.45985394],[0.49963457 0.20983926 0.45750962],[0.40484345 0.56802332 0.52052066],[0.57215701 0.47560504 0.4938807 ],[0.67182514 0.41732943 0.46723403],[0.75653417 0.37560359 0.44888661],[0.41200691 0.65010453 0.533747  ],[0.57148197 0.53954861 0.50949423],[0.66103219 0.46202833 0.48998045],[0.73555869 0.4055046  0.4787162 ],[0.39913193 0.70007311 0.53903889],[0.55207994 0.58353243 0.50933693],[0.64099938 0.50277602 0.5008632 ],[0.7057346  0.44506165 0.50251762],[0.37617417 0.72716752 0.53869498],[0.51868607 0.62195646 0.51397028],[0.60250441 0.54287746 0.51247585],[0.66084745 0.48137907 0.51891012]
[0.         0.70177137 0.57078045],[0.08746566 0.50885234 0.48957217],[0.24609232 0.36588534 0.46246503],[0.3833933  0.27337011 0.45152156],[0.49001088 0.18857287 0.44937021],[0.38682232 0.59853945 0.49765267],[0.57135995 0.47913947 0.46702224],[0.68136969 0.40297765 0.44448282],[0.77174116 0.35057616 0.43084665],[0.40280972 0.68659769 0.52509743],[0.57789713 0.55368831 0.49758951],[0.66592357 0.44599758 0.48525493],[0.72911364 0.37250202 0.48053872],[0.39928748 0.72995654 0.54587579],[0.56321124 0.5948351  0.51142104],[0.64219793 0.48890332 0.5071345 ],[0.69236785 0.41944454 0.51439905],[0.38802266 0.7382187  0.56068046],[0.54048721 0.61869009 0.53274243],[0.61780745 0.52491273 0.53303411],[0.66261884 0.45656864 0.54251824]
[0.         0.74950321 0.58280407],[0.0845895  0.54900088 0.51036936],[0.23643852 0.38322855 0.48145322],[0.36667257 0.27754155 0.4648892 ],[0.47610582 0.1954943  0.45677807],[0.39641672 0.59898178 0.51823655],[0.56883917 0.46559376 0.4798706 ],[0.68054914 0.38480516 0.44890886],[0.77403064 0.32255972 0.42802059],[0.41616718 0.6777445  0.53452931],[0.57872797 0.54141742 0.49969643],[0.66740442 0.43352668 0.4818904 ],[0.73185765 0.35307402 0.47176101],[0.41364033 0.72278614 0.54332679],[0.56930933 0.59070151 0.50392454],[0.64714053 0.48204538 0.49774927],[0.69529286 0.40202731 0.50199582],[0.39494242 0.74306837 0.54591628],[0.53916324 0.63072907 0.51452794],[0.61183072 0.53560311 0.5132137 ],[0.65088128 0.46056758 0.52013796]
[0.         0.824288   0.59828984],[0.06783422 0.60590679 0.5129893 ],[0.21413085 0.41657033 0.47890277],[0.34423252 0.29029178 0.46118976],[0.45106774 0.18568959 0.45291609],[0.38878658 0.62963897 0.51102291],[0.56164566 0.46571929 0.46691092],[0.67703191 0.3647165  0.43485645],[0.77383198 0.28938888 0.41419922],[0.42156373 0.7102075  0.53383019],[0.57932016 0.5341778  0.49529788],[0.66565595 0.40949504 0.4787627 ],[0.72767947 0.32186265 0.47012071],[0.42972829 0.75140915 0.54902518],[0.57854266 0.57913014 0.50480876],[0.65328829 0.4556426  0.49997218],[0.70166051 0.37013692 0.50622882],[0.41991572 0.75985422 0.55746302],[0.55734194 0.60819967 0.52204827],[0.62532785 0.50232032 0.52138248],[0.66141397 0.42535385 0.52978254]
[0.         0.90072484 0.59925063],[0.06009502 0.66224894 0.52220024],[0.19121656 0.45935243 0.48503135],[0.31505528 0.3188116  0.4608609 ],[0.4202748  0.19769407 0.44525192],[0.41596962 0.65915111 0.52708721],[0.5713979  0.46242807 0.482146  ],[0.67647628 0.34954747 0.4423806 ],[0.7710369  0.26497836 0.41439461],[0.44051831 0.72562083 0.54107879],[0.58390775 0.51867562 0.50141799],[0.66752397 0.38974699 0.47752865],[0.73298796 0.30289221 0.46125097],[0.43634944 0.75476585 0.54730417],[0.57737418 0.55390095 0.50468837],[0.65958867 0.42689908 0.4987824 ],[0.72242745 0.34620649 0.50149195],[0.4116959  0.75265843 0.54648901],[0.54543378 0.58412146 0.51234479],[0.6234673  0.47206028 0.51137588],[0.67720295 0.39751493 0.51764357]
[0.02490339 1.         0.60080583],[0.04968509 0.74179888 0.49875323],[0.16774904 0.4874776  0.45730183],[0.2792545  0.30124655 0.43338102],[0.36974049 0.14505962 0.4189342 ],[0.41436653 0.65958368 0.50824763],[0.572246   0.42533898 0.46178487],[0.67522154 0.27288825 0.42423187],[0.76383439 0.15357148 0.39877428],[0.4643667  0.74404203 0.53822448],[0.6167074  0.52483871 0.49572442],[0.6659768  0.36215082 0.47733437],[0.68855357 0.2534513  0.4695426 ],[0.47296634 0.79146979 0.55921314],[0.60909641 0.57869142 0.51283   ],[0.65052216 0.42959512 0.51059631],[0.6666639  0.33438429 0.52145084],[0.45782332 0.8111243  0.5720255 ],[0.59109749 0.61681524 0.53908922],[0.64181837 0.47979185 0.54407937],[0.65740657 0.38668011 0.55767497]
[0.16916269 1.         0.58504049],[0.14838751 0.76536587 0.51274283],[0.21621509 0.53310101 0.47989348],[0.29410496 0.36431346 0.46036308],[0.34246747 0.22224855 0.44826991],[0.43024065 0.62023772 0.49972927],[0.54530788 0.37928849 0.45938162],[0.62053554 0.23880563 0.43620664],[0.68232202 0.13316457 0.42383996],[0.49447661 0.70020945 0.52266848],[0.62726921 0.50106392 0.47732506],[0.62334577 0.37555919 0.46832269],[0.5953261  0.30193216 0.47488696],[0.51740455 0.74998362 0.54157386],[0.62425383 0.55470267 0.50003734],[0.62249072 0.42606207 0.50081036],[0.60155101 0.3505463  0.5160005 ],[0.51548517 0.77992405 0.55601684],[0.60809192 0.60342936 0.5341413 ],[0.61879998 0.48728127 0.54310987],[0.60276129 0.41278061 0.55963946]
[0.18426087 1.         0.54013171],[0.1485422  0.77025673 0.45717635],[0.19617423 0.52700256 0.42998036],[0.25530809 0.34533003 0.42285524],[0.30013381 0.20057645 0.42474075],[0.44142081 0.59246504 0.45579438],[0.53089419 0.3245706  0.44047885],[0.58575267 0.18361868 0.43358752],[0.63284471 0.08367484 0.43227925],[0.51484138 0.69326625 0.49827705],[0.63823439 0.48564172 0.49213119],[0.63784086 0.3711913  0.50139964],[0.612472   0.30978535 0.51326478],[0.53670254 0.76111059 0.53649156],[0.637325   0.57652675 0.5267553 ],[0.63812428 0.4515736  0.53170839],[0.6165914  0.37646985 0.54260873],[0.53382351 0.80237933 0.56977351],[0.62022824 0.63702094 0.56948913],[0.62841811 0.5361052  0.58279567],[0.6100667  0.47143418 0.59828064]
