[0.01515369 0.64781078 0.6561759 ],[0.18088712 0.76282997 0.65741592],[0.37661932 0.79805654 0.64330396],[0.54610144 0.77937343 0.63476161],[0.66642625 0.74791337 0.6195498 ],[0.3743566  0.75181906 0.532951  ],[0.60432163 0.70367501 0.49359176],[0.72885788 0.67009587 0.48470021],[0.82036893 0.64031546 0.48073428],[0.33182428 0.62605769 0.50729153],[0.5771169  0.54875642 0.46843884],[0.71720082 0.48518503 0.45193149],[0.82112889 0.43562597 0.43829097],[0.27871912 0.47802358 0.4902096 ],[0.51183947 0.36439061 0.44710091],[0.65694141 0.28539461 0.41538229],[0.77190507 0.23097967 0.39041335],[0.22206682 0.32356021 0.48051448],[0.3504738  0.15676963 0.4269449 ],[0.4340559  0.06336709 0.39885009],[0.51363463 0.         0.3814471 ]
[0.         0.66779246 0.65409002],[0.17682801 0.77420824 0.66997951],[0.36728731 0.77068204 0.65726732],[0.51958383 0.69460495 0.64457482],[0.61411616 0.61084078 0.62382948],[0.37975503 0.7753285  0.54908738],[0.60620581 0.69923651 0.50659531],[0.72867408 0.65687309 0.49408459],[0.8210674  0.62592032 0.48747948],[0.33967332 0.64851016 0.51271564],[0.58684151 0.56526779 0.47321531],[0.72906454 0.50716461 0.45521126],[0.83897812 0.46537836 0.44076504],[0.28324485 0.49596481 0.48479123],[0.52331201 0.38317248 0.44021833],[0.67060994 0.30545049 0.40419691],[0.78977031 0.25694764 0.376823  ],[0.21739673 0.33307726 0.46546068],[0.35373518 0.17079386 0.41218808],[0.43803286 0.07742652 0.38299417],[0.515823   0.01535911 0.36443242]
[0.         0.66160574 0.64927143],[0.1728473  0.77131275 0.66780783],[0.36256664 0.76856673 0.65546108],[0.50706543 0.68538592 0.64201484],[0.59317841 0.59284026 0.61993688],[0.38173893 0.77500612 0.55027852],[0.61286183 0.69026191 0.50920409],[0.7329637  0.64651785 0.49735563],[0.82014591 0.61733396 0.49146734],[0.34350739 0.64809538 0.51139158],[0.59883964 0.5632784  0.47514605],[0.74149386 0.50677708 0.45739692],[0.84920193 0.46666635 0.44337723],[0.28473833 0.49529992 0.48107085],[0.52729776 0.38699029 0.44148157],[0.672562   0.31370628 0.40704934],[0.79039932 0.2704949  0.37978213],[0.21485558 0.33208345 0.45928026],[0.34868186 0.182111   0.41023152],[0.4333632  0.09281153 0.38398772],[0.51169098 0.0328542  0.36700718]
[0.         0.66180803 0.647929  ],[0.17872868 0.77314574 0.67368074],[0.36478338 0.77603946 0.6642853 ],[0.50526285 0.68842324 0.65271597],[0.58628849 0.59360532 0.63139081],[0.37886546 0.77397681 0.55393744],[0.60536742 0.6948562  0.51232134],[0.7304659  0.65033989 0.49775739],[0.82611059 0.6120939  0.48958403],[0.33770892 0.64958762 0.51202314],[0.59313412 0.57109318 0.47520238],[0.74183803 0.51398177 0.45563114],[0.85790284 0.46651585 0.43944794],[0.27933799 0.49703139 0.47931241],[0.52266638 0.38676477 0.43768746],[0.67353108 0.31013738 0.40043364],[0.79668046 0.26030576 0.37148301],[0.21292568 0.33119012 0.45591501],[0.35291905 0.1762861  0.40642126],[0.43867179 0.08720547 0.38012161],[0.51681087 0.02561197 0.36271896]
[0.         0.65084003 0.65028523],[0.16686672 0.76097548 0.66180369],[0.35242189 0.77736168 0.64900051],[0.50125964 0.72025786 0.63696252],[0.60049388 0.65507342 0.61643737],[0.37936542 0.76567741 0.54757991],[0.60755717 0.69348342 0.50379006],[0.7365985  0.65252006 0.48673942],[0.83347282 0.61620204 0.47813541],[0.33951683 0.64377101 0.51356144],[0.5906014  0.56622958 0.47577087],[0.7398511  0.50396746 0.45355761],[0.85453014 0.4519768  0.43631884],[0.28321541 0.4920962  0.48780456],[0.52189033 0.38658388 0.44695087],[0.67237981 0.30731012 0.40954517],[0.79248582 0.25438595 0.38099004],[0.21743741 0.32258657 0.46987164],[0.35495519 0.17424244 0.42071209],[0.43937436 0.08386615 0.39494647],[0.51572616 0.02059243 0.37923629]
[0.         0.64799523 0.65359243],[0.17299555 0.76314059 0.67412657],[0.35491983 0.77897551 0.66225423],[0.49686665 0.70504487 0.64835896],[0.58124399 0.61520539 0.62509816],[0.38354698 0.77089389 0.55855964],[0.60756648 0.68987228 0.51342563],[0.73353944 0.64539066 0.49567831],[0.82949877 0.60788062 0.48551891],[0.34761211 0.64573036 0.51722626],[0.59431907 0.56778733 0.47644524],[0.74179163 0.51041079 0.45262148],[0.85585252 0.46329476 0.43419036],[0.29088157 0.49372379 0.48416124],[0.51787055 0.38723285 0.43998613],[0.66766022 0.31251764 0.39902163],[0.78931096 0.26670851 0.36795996],[0.22289808 0.32931905 0.45970778],[0.35457622 0.1818202  0.40897047],[0.43959138 0.09013656 0.38074922],[0.51745802 0.02691911 0.36234739]
[0.         0.6662488  0.64899139],[0.17497778 0.77153729 0.66974957],[0.36138168 0.78137227 0.65837703],[0.50791397 0.7008588  0.64530937],[0.59484692 0.60931075 0.62271756],[0.381517   0.77178976 0.55241171],[0.61291076 0.68769176 0.51045565],[0.73794196 0.64455621 0.49770977],[0.8300734  0.61064514 0.49202612],[0.34256006 0.64881542 0.51223977],[0.60206055 0.55594225 0.4767727 ],[0.74925825 0.49725902 0.45856996],[0.85688317 0.45357858 0.44414404],[0.28216195 0.50011038 0.48054771],[0.51784487 0.38485995 0.44024582],[0.66881218 0.30673783 0.40188225],[0.78697565 0.2596255  0.37217092],[0.21037551 0.33530849 0.45774325],[0.3456696  0.18779305 0.40954144],[0.43046903 0.09610165 0.38291423],[0.50536572 0.02985711 0.36547974]
[0.         0.65869204 0.64971335],[0.17470175 0.76479942 0.67361573],[0.36159847 0.76823292 0.6608081 ],[0.50203428 0.67510374 0.64584383],[0.5766369  0.57167119 0.6208417 ],[0.38788001 0.78852536 0.54974478],[0.62049271 0.66877648 0.50608459],[0.74588856 0.60567231 0.49100838],[0.83871608 0.55500371 0.48376355],[0.34323593 0.66949324 0.50821839],[0.60412906 0.551964   0.47286598],[0.75096835 0.47977827 0.45658058],[0.85869638 0.42377301 0.44297514],[0.27971449 0.52010448 0.47597863],[0.52252867 0.39978408 0.44037367],[0.66713822 0.32088815 0.40986811],[0.78081309 0.27205046 0.38468243],[0.20515233 0.35331631 0.45212914],[0.34472471 0.22463616 0.40939189],[0.43001076 0.1443349  0.3894152 ],[0.50493924 0.08339978 0.3760968 ]
[0.         0.59925511 0.65508848],[0.17471208 0.69570184 0.66460464],[0.3689778  0.72090969 0.649934  ],[0.52687564 0.65571603 0.63532566],[0.63100408 0.57961961 0.61246796],[0.37798791 0.76562293 0.55129325],[0.61000948 0.65999396 0.50250724],[0.74212353 0.59682635 0.48168917],[0.84349796 0.54206256 0.47007639],[0.3311379  0.66370033 0.51452788],[0.59593098 0.55871089 0.47276599],[0.7458321  0.48977725 0.45157336],[0.85926483 0.43424164 0.43503654],[0.27244921 0.52153464 0.48553797],[0.51631128 0.41730607 0.44302956],[0.66054942 0.34853176 0.41501013],[0.77488335 0.30278211 0.39282161],[0.20919645 0.35162345 0.46277506],[0.34629264 0.25505465 0.41586559],[0.42386182 0.195437   0.39910014],[0.48910152 0.14559214 0.38896938]
[0.         0.49812483 0.70336953],[0.21905649 0.36225649 0.68782618],[0.40436746 0.33769637 0.65903559],[0.54456205 0.31910099 0.63126918],[0.65261017 0.30869367 0.59906342],[0.39607839 0.67681782 0.57726993],[0.60658942 0.64976957 0.50880673],[0.75487507 0.59416859 0.46607263],[0.86792118 0.5290546  0.43676445],[0.34114955 0.68776447 0.54007833],[0.58044957 0.64430872 0.47759847],[0.74068564 0.57320985 0.44144106],[0.86185139 0.49345848 0.41203687],[0.27826972 0.63454295 0.50633136],[0.49135623 0.57300137 0.44164899],[0.64143291 0.50303025 0.40463265],[0.75646486 0.43315653 0.37703237],[0.2079078  0.51803067 0.47490082],[0.31462854 0.44786637 0.40896806],[0.3912933  0.38692851 0.38195965],[0.44845027 0.3290189  0.36389376]
[0.         0.36450457 0.78141209],[0.26272619 0.30004003 0.78100566],[0.48675958 0.35321053 0.74667154],[0.64710653 0.39571537 0.71083248],[0.77615215 0.42005686 0.6655289 ],[0.4177188  0.67795716 0.60722228],[0.6490948  0.64584994 0.51176759],[0.803576   0.59226709 0.45289573],[0.93030436 0.51160506 0.4129706 ],[0.32899971 0.67031514 0.54542834],[0.58426721 0.63841589 0.45945716],[0.75162509 0.57109535 0.41711188],[0.8815111  0.47168372 0.38281621],[0.22076369 0.60011976 0.49028143],[0.44782609 0.57414319 0.40563645],[0.60323957 0.5221999  0.36876191],[0.72980478 0.44062711 0.33898517],[0.10668521 0.4731404  0.43981586],[0.21018543 0.46086388 0.35309743],[0.29429421 0.43315183 0.32404839],[0.36735949 0.38303724 0.30425291]
[0.0063524  0.23121519 0.83174942],[0.18807592 0.14694867 0.76496598],[0.34856699 0.14209138 0.69757563],[0.4539333  0.17368571 0.63312952],[0.54919504 0.22986472 0.56099327],[0.45139145 0.6114084  0.65014003],[0.67998134 0.61181733 0.52461994],[0.85209001 0.5860707  0.4239467 ],[1.         0.53032655 0.3537149 ],[0.37100977 0.69427458 0.60567858],[0.61098237 0.6877307  0.49130511],[0.80630182 0.61700675 0.40580579],[0.97338464 0.51623642 0.34444961],[0.24932316 0.69898127 0.55827865],[0.44248625 0.69734754 0.43946232],[0.62607538 0.62304595 0.37003965],[0.77807816 0.51801676 0.32584323],[0.10441532 0.62858346 0.50824709],[0.20972677 0.60191624 0.38084597],[0.34207149 0.52871078 0.32778409],[0.45655843 0.42472087 0.30142447]
[0.         0.24421228 0.7358615 ],[0.09333712 0.1288978  0.59972318],[0.25356373 0.17176018 0.5365547 ],[0.39412977 0.27518183 0.49197903],[0.52873312 0.36796395 0.44705833],[0.38162798 0.43359596 0.57561383],[0.58091149 0.51033178 0.48189358],[0.73868594 0.52004274 0.41219528],[0.86638544 0.49948383 0.36515248],[0.38390847 0.55159753 0.59521097],[0.61090548 0.58854421 0.50516507],[0.77835087 0.56412492 0.43958385],[0.90715481 0.52675025 0.39652012],[0.3459146  0.62873158 0.60287163],[0.55904811 0.67536781 0.49261473],[0.71365628 0.63249892 0.43069531],[0.83355409 0.57204944 0.3961209 ],[0.2750461  0.67176331 0.60368334],[0.38199689 0.69472274 0.49721247],[0.42631727 0.65012695 0.45624028],[0.44677243 0.59225199 0.43804942]
[0.12042504 0.22116912 0.77564569],[0.25508842 0.01088062 0.59845055],[0.44875687 0.         0.50606649],[0.6090678  0.18345819 0.43578234],[0.75858447 0.33839463 0.38210462],[0.64068543 0.29982219 0.595168  ],[0.70099858 0.49535428 0.4363772 ],[0.54827702 0.5129301  0.33691079],[0.40194681 0.4776447  0.29231381],[0.62045343 0.48107498 0.62889065],[0.67185334 0.68559193 0.4675566 ],[0.49520462 0.62533196 0.40380609],[0.34527457 0.53422794 0.39179881],[0.57356807 0.60894836 0.64018379],[0.63468218 0.77012608 0.47735838],[0.4717651  0.70721204 0.46483661],[0.3332091  0.61964257 0.49560322],[0.5080916  0.68831866 0.63994056],[0.56794977 0.79172934 0.50653173],[0.44924924 0.75444391 0.49832146],[0.34486856 0.69369842 0.52635265]
