[0.20135132 0.95516533 0.70937404],[0.39243637 0.95297783 0.67962389],[0.5431449  0.82830673 0.64243453],[0.64518657 0.68509481 0.61478377],[0.70674957 0.57187235 0.58182279],[0.48982571 0.84991543 0.53221197],[0.64602003 0.65897717 0.47147866],[0.73327921 0.53432461 0.4541978 ],[0.80132754 0.428654   0.44573378],[0.38748857 0.74905642 0.51900136],[0.55627031 0.50350281 0.45748237],[0.66587366 0.34393228 0.44138771],[0.74696946 0.23158301 0.42803398],[0.28023616 0.64472926 0.51101973],[0.42482559 0.36753705 0.45027345],[0.53175792 0.18769332 0.416448  ],[0.61274098 0.06190463 0.39350718],[0.18171751 0.54060753 0.50726327],[0.25281367 0.28183621 0.44714892],[0.31747708 0.12232924 0.41113545],[0.38250786 0.         0.38563735]
[0.19056272 0.95483857 0.71503559],[0.37766176 0.96981957 0.6876978 ],[0.5257301  0.85443625 0.65030203],[0.60842684 0.69411265 0.6240512 ],[0.64169857 0.54593843 0.59142739],[0.48842622 0.86236326 0.52982734],[0.66076545 0.66475226 0.47104393],[0.75418594 0.52825207 0.45379443],[0.82335396 0.41490109 0.44568777],[0.3878988  0.75302678 0.51490864],[0.56333988 0.51885158 0.45708138],[0.68256199 0.35359694 0.43765185],[0.77044079 0.23796143 0.42254955],[0.28242777 0.6374305  0.50815965],[0.4379619  0.36552786 0.45106334],[0.5456198  0.17938891 0.41358126],[0.62611516 0.05553381 0.38774145],[0.1845453  0.53152924 0.50698489],[0.25136644 0.26725829 0.44358375],[0.31627015 0.11048051 0.40566626],[0.38064047 0.         0.38216049]
[0.21522213 1.         0.69275636],[0.38381445 0.99196606 0.67707254],[0.5369527  0.87200098 0.64861261],[0.63746083 0.71835653 0.62956792],[0.67778048 0.57219428 0.60441298],[0.46968343 0.87436433 0.53504421],[0.58275553 0.58719455 0.48940475],[0.63693972 0.41411653 0.47880298],[0.68100591 0.27617806 0.47281274],[0.3857905  0.78336885 0.51220221],[0.53839352 0.47483661 0.46411345],[0.6327571  0.27805213 0.44407468],[0.70535883 0.14703041 0.42727865],[0.2980144  0.68288732 0.49769739],[0.47012676 0.3965115  0.44331971],[0.59449894 0.21426784 0.40397771],[0.68899512 0.09495325 0.37703033],[0.21338433 0.57642325 0.49061497],[0.31070451 0.31878609 0.43043256],[0.38674487 0.16815588 0.39987794],[0.45361594 0.05835556 0.38089332]
[0.1840588  0.96350215 0.75324219],[0.37812074 0.97931609 0.70556978],[0.54004774 0.85888703 0.65688915],[0.63742079 0.69597048 0.62565096],[0.67693021 0.54610253 0.5887304 ],[0.48177378 0.8829002  0.52714388],[0.6594688  0.67345474 0.45823154],[0.75621304 0.53158313 0.43800258],[0.82994512 0.41492575 0.42804855],[0.37050769 0.76808624 0.51840777],[0.54622853 0.50076936 0.44625211],[0.67243912 0.32338711 0.42292996],[0.76863528 0.20190045 0.4063915 ],[0.25999544 0.64585435 0.5177725 ],[0.41578428 0.36266779 0.44730167],[0.5482933  0.17811601 0.4067542 ],[0.64886579 0.05542583 0.38120723],[0.16231208 0.53199633 0.52213797],[0.24634015 0.27064257 0.45086193],[0.32237886 0.11451185 0.41147224],[0.39424047 0.         0.3870019 ]
[0.19146059 0.95133497 0.71519967],[0.36769748 0.9646295  0.68552955],[0.51611259 0.85425847 0.64678043],[0.60854765 0.70178613 0.61965763],[0.6437789  0.5585332  0.58534564],[0.48191152 0.85698405 0.52783428],[0.65568883 0.65642293 0.46895543],[0.75154119 0.52251402 0.44917069],[0.82094236 0.40742093 0.43921376],[0.38677074 0.75011601 0.51341738],[0.56668627 0.51350105 0.45687028],[0.68664047 0.35549653 0.43650293],[0.77441812 0.24144374 0.42067582],[0.28554315 0.63807255 0.50719418],[0.43388894 0.36663529 0.45346722],[0.54090109 0.1851151  0.41795771],[0.62001591 0.06243414 0.39303925],[0.19217178 0.53482706 0.50596031],[0.26371354 0.26766514 0.44806108],[0.32657105 0.1108092  0.41491275],[0.38499782 0.         0.39425401]
[0.18909763 0.9481261  0.71902479],[0.36780044 0.96190558 0.68893413],[0.5133884  0.8459049  0.65013852],[0.60426238 0.68890162 0.62353038],[0.64265188 0.54491183 0.59008344],[0.48972905 0.86215666 0.52947902],[0.65892826 0.66109719 0.4698845 ],[0.74926554 0.5240914  0.44997278],[0.81448149 0.407766   0.43930619],[0.39377125 0.75343968 0.51466483],[0.56604638 0.51714972 0.45697109],[0.6794463  0.35285504 0.43555318],[0.76331126 0.23347566 0.41788515],[0.29069595 0.63992396 0.50780329],[0.43752274 0.3755441  0.4531696 ],[0.54452151 0.19367843 0.41586053],[0.62291908 0.0701605  0.38880173],[0.19404333 0.53439755 0.50585235],[0.26294577 0.2714762  0.44638582],[0.32715257 0.11303788 0.41009872],[0.38801877 0.         0.38659995]
[0.19159418 0.97147776 0.72250215],[0.37740908 0.97612877 0.69697158],[0.52850316 0.85583502 0.65899703],[0.61836648 0.68883029 0.63134887],[0.64803613 0.54147234 0.59587807],[0.49478959 0.87240036 0.53722527],[0.65860236 0.65671775 0.47830153],[0.74742575 0.5116962  0.45875952],[0.81336118 0.39070056 0.44716266],[0.39580537 0.77002087 0.51715488],[0.57063292 0.51402977 0.45860016],[0.68703644 0.34193676 0.43559294],[0.77523702 0.22221702 0.41665349],[0.28630011 0.66093633 0.50563695],[0.43536639 0.36783356 0.44541631],[0.54001693 0.16790912 0.40549152],[0.62258789 0.03428597 0.37730876],[0.17940474 0.55657017 0.50017635],[0.25045224 0.28200529 0.43510207],[0.31070924 0.11699609 0.39923603],[0.3683628  0.         0.37648385]
[0.20148971 0.98732708 0.74213865],[0.37980574 0.98596805 0.70458362],[0.52438918 0.85989684 0.65966592],[0.61290066 0.69245226 0.62799697],[0.64793943 0.54230275 0.58854213],[0.50950699 0.86759881 0.53769373],[0.66717886 0.64760304 0.46998467],[0.75632297 0.49581474 0.44274794],[0.82195782 0.36915661 0.42634064],[0.40464263 0.76495062 0.52166454],[0.56793302 0.50779965 0.45590176],[0.67544153 0.32610631 0.42658126],[0.76148649 0.18965639 0.40332704],[0.29288098 0.66117746 0.51383913],[0.43321169 0.38039325 0.45016221],[0.53643052 0.18606251 0.40875465],[0.61745898 0.04707414 0.37948618],[0.18459798 0.56712534 0.51070864],[0.24852888 0.29509099 0.44288553],[0.30181324 0.12644316 0.40521531],[0.35408269 0.         0.38177947]
[0.19716229 0.95373561 0.73023274],[0.37327678 0.96883387 0.69532786],[0.51334168 0.85389177 0.65377185],[0.59710569 0.69518967 0.62478553],[0.63127597 0.55448278 0.58892221],[0.49143494 0.85616455 0.5337918 ],[0.65437716 0.66151909 0.46975857],[0.74655198 0.5317485  0.44718611],[0.81584264 0.41981602 0.43464087],[0.39675551 0.74521935 0.51979219],[0.56538993 0.51455123 0.45653018],[0.68193475 0.35281635 0.43271259],[0.76850274 0.23429736 0.41435714],[0.29288705 0.63409582 0.51312514],[0.43521259 0.36527948 0.45110543],[0.54236045 0.18046276 0.40998668],[0.62206077 0.05356634 0.3818442 ],[0.1931483  0.53759816 0.51119422],[0.26229554 0.27301549 0.4454649 ],[0.32837699 0.11371579 0.40547004],[0.39070626 0.         0.37999977]
[0.17601184 0.94567189 0.7056123 ],[0.35323701 0.97428405 0.66935777],[0.51302654 0.86909509 0.63345844],[0.6171314  0.721807   0.61084625],[0.65663289 0.58460277 0.58304896],[0.46201223 0.86096394 0.52205182],[0.63687318 0.65957564 0.46703794],[0.73506186 0.52644399 0.45107507],[0.80640443 0.41540003 0.44365273],[0.37286227 0.74070863 0.51208445],[0.54937549 0.49476463 0.45866299],[0.66945466 0.33527554 0.44115198],[0.7590929  0.22619754 0.42808381],[0.27941761 0.62023548 0.50939889],[0.44286199 0.36550996 0.45615448],[0.56451393 0.19661818 0.42195634],[0.65317717 0.08349837 0.39944374],[0.19309559 0.51203192 0.5108404 ],[0.28413395 0.25963515 0.45300997],[0.3568334  0.10768021 0.42097602],[0.41878965 0.         0.40209564]
[0.14747437 0.99078232 0.718685  ],[0.31177304 1.         0.68609998],[0.47861055 0.8885775  0.6461036 ],[0.59993951 0.74038834 0.61934351],[0.65169397 0.59751679 0.58767267],[0.42501704 0.87005319 0.52878561],[0.58947893 0.59904286 0.46684701],[0.68984716 0.43814522 0.44715042],[0.76661258 0.30746639 0.43870522],[0.35588283 0.76373775 0.51370044],[0.56185895 0.48798556 0.45329523],[0.69943738 0.32048375 0.4303406 ],[0.8023779  0.20375425 0.41668526],[0.2773665  0.6512172  0.50789183],[0.4633412  0.37059381 0.44913162],[0.60027859 0.19545263 0.41228937],[0.70092102 0.07278734 0.3903853 ],[0.19873592 0.54844683 0.50785959],[0.31746034 0.29764277 0.44883704],[0.3979928  0.13977647 0.4219091 ],[0.4638994  0.01614902 0.40828163]
