[0.3869745  0.         0.53712064],[0.55292323 0.07107615 0.44495914],[0.61905636 0.26044784 0.41905155],[0.61378608 0.46946551 0.41620217],[0.61004008 0.61625968 0.42573134],[0.45449437 0.4606857  0.44206131],[0.51990369 0.73564297 0.43285081],[0.59057404 0.70522324 0.43410759],[0.6107185  0.63690046 0.43930419],[0.37704551 0.47085714 0.49363122],[0.47572986 0.6751052  0.49966145],[0.55503705 0.6421354  0.50572756],[0.58003457 0.57171701 0.50538387],[0.34119133 0.44856597 0.54104089],[0.44747586 0.61719468 0.54020868],[0.51452415 0.58258916 0.54414672],[0.53671774 0.51604996 0.54360507],[0.33287332 0.4290934  0.58318496],[0.42150283 0.56463761 0.57814817],[0.47268647 0.54210508 0.58406017],[0.48671046 0.48424783 0.58981248]
[0.38188368 0.         0.52042921],[0.53380672 0.07372534 0.44166658],[0.5879847  0.24766242 0.42530366],[0.58298429 0.43604188 0.42983362],[0.58813779 0.57527879 0.4434961 ],[0.4389516  0.43275797 0.45170116],[0.50661917 0.66247146 0.45119325],[0.57186433 0.71221837 0.45279322],[0.60108981 0.72365251 0.45469051],[0.37822631 0.4484586  0.49645041],[0.47990589 0.63325248 0.5047839 ],[0.55419531 0.65268877 0.50996808],[0.59213111 0.63617468 0.51013268],[0.3538559  0.43992464 0.53654513],[0.45846469 0.59895005 0.53591831],[0.5267301  0.60457281 0.53884993],[0.56120914 0.58403238 0.53823629],[0.35234427 0.4307408  0.57107156],[0.43749325 0.54855676 0.56158852],[0.49257551 0.5444974  0.56144992],[0.51954643 0.51434188 0.56389795]
[0.39517618 0.         0.53056937],[0.54591787 0.0732238  0.45829304],[0.59785331 0.23662781 0.4387459 ],[0.58927395 0.42322409 0.43745959],[0.58919926 0.55977691 0.44599944],[0.44465712 0.42672223 0.45895248],[0.50151323 0.66203409 0.44994416],[0.57197468 0.69276779 0.44708975],[0.60942299 0.67426771 0.44868048],[0.37716473 0.446018   0.49811459],[0.46765357 0.64217813 0.50184421],[0.54467169 0.66593526 0.50468398],[0.59361498 0.64404131 0.50334422],[0.35112348 0.4371741  0.53332615],[0.44555447 0.60099152 0.53256188],[0.5169501  0.6182991  0.53592887],[0.56395915 0.60289413 0.53518742],[0.35340396 0.42346581 0.56351009],[0.42729274 0.54962173 0.55698822],[0.4862535  0.56708077 0.55811158],[0.52736904 0.55365569 0.56066457]
[0.39006734 0.         0.53308825],[0.54246971 0.06841233 0.45127241],[0.59777318 0.24889804 0.4333096 ],[0.59404565 0.44511122 0.43750416],[0.60177386 0.58976903 0.45186169],[0.43762071 0.42289576 0.45165074],[0.49364448 0.65889745 0.44245432],[0.57001045 0.69613115 0.44171445],[0.60774298 0.6828314  0.44452524],[0.37242205 0.43945796 0.49658263],[0.46551289 0.63540221 0.50105863],[0.54707442 0.65866438 0.5087365 ],[0.59301476 0.63977306 0.51130343],[0.34686821 0.43390805 0.53620012],[0.44882256 0.59423111 0.53409943],[0.52514292 0.61245116 0.53904   ],[0.57007794 0.60384919 0.53973547],[0.34462636 0.42403316 0.57004787],[0.4263242  0.54125728 0.55880886],[0.4916009  0.55644795 0.55757771],[0.53336443 0.54757811 0.55942848]
[0.38076666 0.         0.54207775],[0.53125144 0.06163605 0.46067743],[0.58607252 0.22127572 0.4390479 ],[0.58405167 0.41107697 0.43933565],[0.59436426 0.55245377 0.45076854],[0.42469427 0.4172666  0.44988825],[0.49718997 0.66893189 0.44092949],[0.57840967 0.67720072 0.44275531],[0.61622756 0.63245087 0.4478843 ],[0.36083393 0.44585078 0.4956809 ],[0.46826025 0.66134595 0.4973259 ],[0.55451297 0.66334934 0.50398442],[0.60078678 0.61782879 0.50614   ],[0.33917543 0.44543843 0.53779355],[0.45247012 0.63146199 0.53259143],[0.5319976  0.62894971 0.53538124],[0.57703299 0.5932612  0.53540745],[0.34383756 0.43877264 0.57492514],[0.43226139 0.57822295 0.55907767],[0.50098294 0.58690304 0.55417784],[0.54482001 0.5663226  0.55414984]
[0.38958147 0.         0.51699996],[0.5455507  0.07051832 0.42478409],[0.5988329  0.24608558 0.40328626],[0.59673682 0.44173221 0.40609013],[0.6099045  0.60119204 0.42044903],[0.44030933 0.44754552 0.43820949],[0.50052603 0.67932779 0.43921314],[0.57631821 0.69809245 0.44423675],[0.620668   0.66153192 0.45144453],[0.36699809 0.45728906 0.49292284],[0.46565366 0.6461547  0.50911323],[0.54857386 0.65447397 0.5177997 ],[0.59978056 0.61512386 0.51922903],[0.33802051 0.44195355 0.54223701],[0.44430602 0.60146844 0.5479127 ],[0.52018857 0.60064147 0.5507533 ],[0.56768361 0.56984087 0.54904706],[0.33617107 0.4261431  0.58555081],[0.42053834 0.55284584 0.58006287],[0.48549584 0.55596967 0.57954608],[0.52816192 0.53206963 0.58111198]
[0.39683847 0.         0.51863403],[0.55249723 0.07689292 0.44252102],[0.60781751 0.25830817 0.42558142],[0.60796933 0.45574228 0.42758515],[0.62382599 0.61437768 0.44045886],[0.45104848 0.42890747 0.45761427],[0.49582258 0.66750391 0.4506519 ],[0.57296453 0.68977477 0.44798125],[0.61968256 0.66019297 0.45056997],[0.37677066 0.44169219 0.50006653],[0.46128062 0.64667863 0.50756677],[0.54299225 0.65522708 0.51282809],[0.59028917 0.61665392 0.5138357 ],[0.34733358 0.4300931  0.53677578],[0.44040182 0.60184855 0.53577482],[0.51197715 0.60078361 0.53924884],[0.55366621 0.56958965 0.54019531],[0.34485037 0.41967364 0.56824702],[0.41448614 0.55640298 0.56014188],[0.47463277 0.56559313 0.5604687 ],[0.51285258 0.54406335 0.56325268]
[0.40382648 0.         0.50794484],[0.55551423 0.07892974 0.41612139],[0.6045708  0.26779864 0.39814003],[0.60672633 0.46069779 0.40585002],[0.61913998 0.61269964 0.42478745],[0.44570559 0.43493963 0.42873453],[0.50098433 0.66279784 0.43703578],[0.5763711  0.69179059 0.44674327],[0.61672912 0.67089003 0.4558481 ],[0.37451781 0.43963499 0.4867079 ],[0.45871026 0.63177385 0.50798961],[0.53933425 0.658064   0.51861237],[0.58974889 0.63311708 0.52056846],[0.34630796 0.42138295 0.54042992],[0.436461   0.58082904 0.55071716],[0.50948449 0.59847056 0.55293658],[0.5553187  0.5863502  0.54986739],[0.3438347  0.40912323 0.58872868],[0.41799445 0.54333327 0.58701821],[0.48004608 0.56177407 0.58717663],[0.51867344 0.55560287 0.58804168]
[0.41567767 0.         0.46777658],[0.55834077 0.09593048 0.39363593],[0.60256131 0.28133262 0.38651098],[0.6028788  0.45971107 0.40050534],[0.61828424 0.6087674  0.42420866],[0.45139728 0.44869381 0.43226432],[0.50600563 0.65171125 0.45750528],[0.56785675 0.68668948 0.47097367],[0.60262741 0.68290772 0.47983383],[0.38149415 0.44959968 0.48410353],[0.46556684 0.62285684 0.52095464],[0.53776746 0.65504482 0.53120113],[0.58677779 0.64210513 0.53132729],[0.35284631 0.42578544 0.53168832],[0.4411592  0.5720375  0.55484453],[0.50779034 0.59430189 0.55500119],[0.55272673 0.58986163 0.54899563],[0.34729636 0.40681107 0.57449317],[0.41452291 0.52765947 0.58404449],[0.47327181 0.55007458 0.58521137],[0.51315025 0.54811811 0.58492014]
[0.38920478 0.         0.50551382],[0.54558909 0.08578573 0.42503513],[0.60018479 0.26614186 0.40702624],[0.60363793 0.46385519 0.40897389],[0.61725501 0.62046721 0.42222065],[0.44386027 0.45103043 0.45077633],[0.507159   0.67963486 0.45505474],[0.57779292 0.68291384 0.4589793 ],[0.60823327 0.64075714 0.46343978],[0.37432592 0.45865209 0.49828154],[0.47144224 0.64781575 0.51398245],[0.54862501 0.64784642 0.51891522],[0.58728152 0.60717351 0.51738099],[0.34841125 0.44006689 0.54065493],[0.44850605 0.60108658 0.54378673],[0.51397352 0.59718425 0.54408333],[0.54714565 0.56254991 0.5409363 ],[0.34824437 0.42440871 0.57779448],[0.42786181 0.55226951 0.57002675],[0.4816683  0.55098797 0.56829047],[0.5095973  0.51937214 0.56884696]
