[1.         0.08813129 0.60259603],[0.67634757 0.01816833 0.60073243],[0.39711405 0.03191135 0.57390027],[0.17269053 0.12990942 0.54725673],[0.04041859 0.29287134 0.51702721],[0.47612863 0.14064463 0.51992978],[0.29296706 0.37333345 0.46818881],[0.20161412 0.46903603 0.44092849],[0.17913307 0.49036493 0.43695503],[0.62177657 0.30154478 0.50135935],[0.43859973 0.58385422 0.46956146],[0.32851875 0.68783972 0.46150978],[0.28922227 0.68554599 0.45471346],[0.76899595 0.47086644 0.48644627],[0.60112299 0.72585016 0.46788581],[0.50301276 0.81671746 0.49258761],[0.45966379 0.80846096 0.50847218],[0.90796411 0.62867774 0.47364874],[0.78503329 0.86041348 0.46250475],[0.70440029 0.94261146 0.49302012],[0.65527588 0.95324684 0.5207757 ]
[0.96393664 0.12667618 0.72966345],[0.68640395 0.05012253 0.68705683],[0.39769581 0.08389371 0.64253531],[0.16981253 0.2035545  0.60912086],[0.         0.3228468  0.56470266],[0.45644894 0.06112333 0.53022604],[0.2720377  0.29474707 0.45304188],[0.17889944 0.48832203 0.41327246],[0.12745317 0.63689157 0.39132313],[0.60656627 0.21913746 0.51346283],[0.44345684 0.51854811 0.44944571],[0.34108344 0.70088402 0.42973856],[0.28374547 0.80997733 0.40845703],[0.76271213 0.3909329  0.50216114],[0.62602741 0.68593243 0.44212537],[0.54039406 0.80052313 0.454687  ],[0.48855169 0.83934819 0.46211219],[0.9118032  0.56784583 0.49215161],[0.80920954 0.82897216 0.43230414],[0.74342083 0.92385146 0.44035112],[0.69034095 0.94586925 0.45206067]
[1.         0.44948066 0.69881702],[0.83657258 0.53137433 0.63451497],[0.63786981 0.56339879 0.5874767 ],[0.47886816 0.61593466 0.55672843],[0.35494166 0.65439544 0.52205557],[0.59574614 0.3709864  0.52004123],[0.41224515 0.43270877 0.44289237],[0.28795615 0.50301405 0.39271081],[0.18790387 0.57546118 0.36369014],[0.64777916 0.36201214 0.52389358],[0.4428252  0.42957628 0.45854393],[0.2893067  0.50162734 0.42628809],[0.1781973  0.56778237 0.4016439 ],[0.7094714  0.37992406 0.53120451],[0.51387615 0.44649498 0.47802354],[0.36873562 0.51168909 0.47217486],[0.27038521 0.57715572 0.47117096],[0.77925445 0.4294609  0.5362887 ],[0.61545334 0.49159701 0.49220439],[0.49133654 0.53085426 0.49233753],[0.40127542 0.57507156 0.49729877]
[1.         0.42875423 0.61813491],[0.87007336 0.48542143 0.57828521],[0.68421375 0.54047837 0.55509991],[0.54388508 0.61673612 0.53930419],[0.42396536 0.66366173 0.52399006],[0.63740754 0.42371366 0.53165306],[0.45308771 0.5104974  0.46771726],[0.32581195 0.58750887 0.42044567],[0.22896573 0.65295747 0.39357193],[0.64645262 0.38242936 0.52982737],[0.45026188 0.47809938 0.48327102],[0.31204802 0.54429009 0.45582553],[0.2130219  0.59934993 0.43649842],[0.6672691  0.36661902 0.52671491],[0.48033488 0.44411971 0.48733515],[0.34091209 0.49477828 0.4802655 ],[0.23928567 0.54661676 0.47961105],[0.70019697 0.375968   0.52125456],[0.53802197 0.41656201 0.48683933],[0.41754587 0.44907487 0.48817263],[0.32723855 0.4923633  0.49618232]
[1.         0.52813936 0.64864   ],[0.82408573 0.4709359  0.61882634],[0.65065602 0.45976454 0.58820661],[0.52070297 0.51252491 0.56249159],[0.40900691 0.5640385  0.53192793],[0.62532662 0.34330345 0.54098232],[0.43450753 0.3623559  0.46967478],[0.29465764 0.40637012 0.4165592 ],[0.17473251 0.46166372 0.38492484],[0.65867801 0.38251208 0.52788183],[0.45639124 0.4355884  0.47591785],[0.30394348 0.49068218 0.44725052],[0.19171541 0.54498136 0.42577188],[0.70057956 0.46042806 0.5161256 ],[0.50523155 0.51594753 0.47443981],[0.34923008 0.55575776 0.46956741],[0.23809721 0.59221753 0.46929703],[0.75239674 0.56906741 0.50319771],[0.5855245  0.60348922 0.46938037],[0.45916914 0.61260726 0.47459821],[0.36536715 0.6276248  0.48433819]
[1.         0.39071478 0.71546887],[0.75993257 0.31974227 0.69278161],[0.521231   0.35637082 0.64990258],[0.36911958 0.4680542  0.60703465],[0.26064153 0.58226023 0.55144428],[0.48735962 0.14726245 0.57141374],[0.2930916  0.1944318  0.48772234],[0.14521614 0.27558139 0.42796904],[0.01335969 0.3434676  0.38200976],[0.58916249 0.20129316 0.53580096],[0.3989829  0.49880775 0.46199616],[0.33159827 0.65541914 0.43688164],[0.2934019  0.72063467 0.41360178],[0.71945163 0.32350056 0.50366881],[0.54569343 0.64431673 0.4353592 ],[0.49580304 0.76161719 0.44932938],[0.47020366 0.78059837 0.46126045],[0.85827983 0.46984635 0.47159978],[0.69659058 0.72726356 0.40224985],[0.6401003  0.81091647 0.4122678 ],[0.61078027 0.82790049 0.43023734]
[1.         0.33964379 0.65301779],[0.7672748  0.28947928 0.63693347],[0.54981374 0.33355956 0.60879046],[0.40318873 0.43794616 0.57891065],[0.29728032 0.53120472 0.53826454],[0.50080402 0.2251747  0.56673605],[0.34670613 0.33146719 0.49622934],[0.22088708 0.41303141 0.43455906],[0.11199097 0.47133284 0.38937977],[0.58249371 0.25952115 0.53970793],[0.42101553 0.48833515 0.49533811],[0.3093357  0.62584938 0.46523725],[0.22913538 0.71166706 0.4317722 ],[0.68820624 0.33754075 0.51292279],[0.54211467 0.58206314 0.46740256],[0.45412311 0.71062493 0.46121468],[0.39351208 0.77138062 0.4511738 ],[0.81223547 0.43899086 0.48538212],[0.68501668 0.65218011 0.4317668 ],[0.61539218 0.74803461 0.42743602],[0.56947345 0.8009726  0.4278246 ]
[1.         0.48910117 0.52061864],[0.81170474 0.34452302 0.52386901],[0.64213598 0.30229118 0.52505004],[0.50604878 0.33049796 0.52079228],[0.39899419 0.35781084 0.51438712],[0.62983065 0.39325524 0.53318353],[0.47192758 0.4367595  0.50023025],[0.36129091 0.42722806 0.46976356],[0.27273987 0.41237574 0.45366528],[0.63633212 0.49255251 0.52113975],[0.46645146 0.53053094 0.49641617],[0.35512114 0.50465976 0.47787172],[0.27445456 0.46417718 0.46914688],[0.64252746 0.5951088  0.50799729],[0.47709072 0.61706513 0.4859408 ],[0.36019677 0.57743504 0.48948929],[0.27798945 0.52869993 0.49875325],[0.66117832 0.700314   0.49476155],[0.50884356 0.70220481 0.48348214],[0.41092316 0.66459733 0.49798339],[0.33421861 0.62881186 0.51545806]
[1.         0.49210263 0.56060605],[0.77306813 0.27312674 0.52694338],[0.54141937 0.16932933 0.51570078],[0.34957147 0.16860347 0.48841501],[0.18966498 0.14160928 0.46035215],[0.39943457 0.42745063 0.62350812],[0.27521669 0.43894405 0.53717722],[0.27149417 0.37855814 0.46282189],[0.31117756 0.31789019 0.42516473],[0.44276589 0.60001882 0.60565461],[0.3094205  0.59512616 0.50697487],[0.40057253 0.48530047 0.44606402],[0.50506643 0.39746396 0.4300945 ],[0.51977795 0.74779135 0.57205882],[0.43441877 0.72217428 0.46054873],[0.55233332 0.59041486 0.45172771],[0.65715214 0.49392076 0.47996802],[0.62902697 0.88309194 0.53576297],[0.56788771 0.84975198 0.45606005],[0.65031782 0.71394092 0.46237807],[0.72021304 0.61339004 0.4920183 ]
[0.93081189 0.66858297 0.66945564],[0.80867061 0.37008898 0.58216011],[0.62115938 0.1369531  0.53265878],[0.44446209 0.05877097 0.48228539],[0.30081474 0.         0.43697501],[0.35539303 0.28216975 0.61307158],[0.24670378 0.24301801 0.47654882],[0.33354285 0.27436168 0.38408499],[0.45942037 0.30434601 0.34432259],[0.35535748 0.51006786 0.60970505],[0.26969005 0.4987335  0.47899923],[0.4245599  0.50404331 0.43031706],[0.57744717 0.48985522 0.42794897],[0.40056315 0.71830977 0.58674929],[0.38022159 0.70754464 0.46448409],[0.53729253 0.67939217 0.46440975],[0.66948657 0.64144052 0.49558717],[0.48249812 0.8962422  0.55549587],[0.51166771 0.89192013 0.47117867],[0.64833217 0.83977043 0.48083452],[0.74190483 0.78438877 0.5127274 ]
