[0.05977632 0.14607398 0.80026838],[0.31186594 0.05440523 0.75354584],[0.60334529 0.07273056 0.68672557],[0.8140718  0.1863426  0.62771073],[0.91958779 0.32020387 0.58217204],[0.46054209 0.0399584  0.53902841],[0.70373242 0.30959913 0.39901107],[0.77603084 0.46004842 0.34976559],[0.72491572 0.46264243 0.3549134 ],[0.30687531 0.21937416 0.51834335],[0.58525377 0.57764364 0.39208354],[0.67247515 0.71417628 0.39450117],[0.63322137 0.66210035 0.42674492],[0.17343558 0.41487507 0.50182664],[0.44690987 0.77800831 0.39554457],[0.54212718 0.86099622 0.44097964],[0.53371257 0.76744113 0.5089766 ],[0.07217354 0.59835705 0.48521647],[0.30278918 0.92320473 0.40953204],[0.41619813 1.         0.44003341],[0.44096014 0.93181844 0.49307662]
[0.04083539 0.11430311 0.84269319],[0.30965104 0.02376536 0.78477492],[0.63423562 0.06729821 0.70565133],[0.85811135 0.19019433 0.64478511],[0.93564609 0.36293889 0.60048546],[0.49840572 0.01109007 0.51301853],[0.72973212 0.28324239 0.37232341],[0.81022312 0.4663504  0.3342729 ],[0.7567256  0.50988203 0.3425324 ],[0.32481275 0.18075831 0.49757704],[0.55755113 0.55061666 0.37263498],[0.67666585 0.72769209 0.398038  ],[0.65446021 0.72141938 0.43861946],[0.15578954 0.37425672 0.49052124],[0.40617727 0.76585271 0.38037173],[0.53083514 0.89769969 0.44480396],[0.53303181 0.83174312 0.52134684],[0.02552238 0.56911503 0.48502852],[0.2506845  0.91068984 0.39906103],[0.38517227 1.         0.4361173 ],[0.4257311  0.94109165 0.49534265]
[0.05271095 0.11600513 0.83450988],[0.30966748 0.03244472 0.77911487],[0.63044017 0.06282739 0.69797658],[0.86070425 0.17681596 0.6320665 ],[0.95795153 0.36079902 0.57636202],[0.51374679 0.02464641 0.54436426],[0.72850584 0.27623283 0.40748091],[0.79550695 0.4588569  0.34189323],[0.77300462 0.52668777 0.31619802],[0.34470662 0.18403716 0.52350954],[0.55630108 0.54127863 0.41123246],[0.65164518 0.71721552 0.40861996],[0.66117605 0.72931231 0.40992174],[0.18127423 0.37052147 0.50788054],[0.39700671 0.73433158 0.41016551],[0.50425303 0.89823633 0.43214265],[0.52961403 0.87242154 0.45762192],[0.05091194 0.55950224 0.49381946],[0.24756112 0.88058625 0.42016739],[0.35301381 1.         0.43586378],[0.40029762 0.97724084 0.45908878]
[0.03315442 0.08448815 0.82650028],[0.29340381 0.01826771 0.79482585],[0.59032956 0.07470899 0.72399307],[0.81261288 0.18786022 0.66152187],[0.9745858  0.29543455 0.6043074 ],[0.54657094 0.03447193 0.56596692],[0.76000941 0.2865903  0.43570377],[0.81901927 0.49192847 0.37011053],[0.79530991 0.61035661 0.3425233 ],[0.38540944 0.1696127  0.52880638],[0.5805263  0.54268201 0.41527727],[0.6524905  0.72910884 0.40186978],[0.65292422 0.77084343 0.39690321],[0.21251043 0.335668   0.49853175],[0.41053983 0.73013771 0.39935978],[0.49475418 0.89441235 0.41253625],[0.5190587  0.8943762  0.43058483],[0.05523493 0.51003382 0.47190337],[0.22199381 0.8516296  0.39408566],[0.31748786 0.98738842 0.40308216],[0.37207379 1.         0.42160659]
[0.06708646 0.05737894 0.79828776],[0.31928276 0.01921526 0.76741997],[0.60420691 0.09908605 0.70653695],[0.81791653 0.22796095 0.6565587 ],[0.99228874 0.31603532 0.61162885],[0.5746983  0.03484673 0.55841541],[0.77303522 0.28929204 0.44088504],[0.81598691 0.5143188  0.38246278],[0.78784176 0.65160982 0.35649584],[0.40868937 0.15609562 0.52405669],[0.57801479 0.53338443 0.42830327],[0.63730039 0.74131481 0.42114537],[0.64639072 0.81204183 0.41401073],[0.22694511 0.30109669 0.495282  ],[0.3966938  0.70333605 0.40315979],[0.47446386 0.89445582 0.41585258],[0.50587988 0.93652195 0.42789427],[0.0608035  0.46230679 0.47052288],[0.20222572 0.79612819 0.39455617],[0.27961694 0.95357391 0.40531747],[0.33063232 1.         0.42120747]
[0.09539371 0.04258115 0.83498336],[0.33337482 0.0378195  0.79379713],[0.62040118 0.13493389 0.72123054],[0.83511312 0.27444691 0.66107417],[1.         0.38382082 0.60793639],[0.60154247 0.03249596 0.56483178],[0.80453217 0.31367951 0.42896704],[0.82438019 0.5442354  0.36218255],[0.78194194 0.65849462 0.33251685],[0.42907609 0.13091422 0.52893041],[0.59117093 0.54532916 0.41291834],[0.62672124 0.75543973 0.40661728],[0.62699498 0.80385345 0.40309552],[0.23744304 0.25573168 0.49739961],[0.38734981 0.6914708  0.39282135],[0.44234412 0.88355648 0.41954917],[0.464253   0.9144664  0.44326821],[0.0604071  0.39832429 0.46820647],[0.18427486 0.76843162 0.38640108],[0.25147226 0.93782802 0.40550081],[0.30181297 0.99214639 0.42777194]
[0.11965943 0.         0.82365357],[0.35342034 0.00960514 0.80293544],[0.61192093 0.14623854 0.73844885],[0.80112781 0.30980253 0.68073389],[0.9660302  0.42173257 0.6269991 ],[0.61555052 0.06973407 0.57389911],[0.81643297 0.33305913 0.44337885],[0.81543061 0.56541881 0.3826007 ],[0.75433736 0.6719768  0.35865519],[0.46411112 0.16220022 0.52541118],[0.62069489 0.56400893 0.41215906],[0.6211393  0.77408151 0.40492718],[0.58128121 0.81031058 0.40475386],[0.27768363 0.26689298 0.48338518],[0.42501272 0.68888838 0.37993936],[0.44028734 0.8789299  0.4069609 ],[0.41779562 0.89934715 0.43456014],[0.08923875 0.38622169 0.44599178],[0.20046788 0.73569671 0.36628926],[0.24459306 0.88806469 0.3885426 ],[0.26378431 0.91778966 0.41577482]
[0.1322399  0.00688656 0.91153858],[0.37327198 0.08054307 0.87567557],[0.63680344 0.22634952 0.78756617],[0.83091435 0.38895471 0.70888442],[1.         0.52781704 0.63618511],[0.6714798  0.0894055  0.58869978],[0.86574761 0.41741073 0.42602318],[0.83406964 0.666211   0.36240924],[0.74986836 0.75151301 0.34208503],[0.50633693 0.11405323 0.53617739],[0.61905382 0.57396606 0.38806962],[0.58776517 0.80722642 0.38234899],[0.54504456 0.84113769 0.38721885],[0.30134502 0.16601851 0.490053  ],[0.39530063 0.60319837 0.35492346],[0.39112071 0.83072623 0.38324587],[0.38860013 0.8895672  0.41439022],[0.09755764 0.23929985 0.44854117],[0.17013643 0.60165051 0.33809925],[0.19132213 0.79883    0.35537195],[0.21202177 0.87923479 0.38249314]
[0.10794986 0.02977717 0.84546129],[0.36872872 0.18100452 0.81696721],[0.64198719 0.3427004  0.74413651],[0.83861457 0.49639827 0.67344496],[1.         0.63359438 0.60845776],[0.70473543 0.10428202 0.60226908],[0.85966143 0.41200067 0.45636896],[0.81604514 0.66025482 0.38426985],[0.73340516 0.76411856 0.35231594],[0.55141805 0.08119737 0.54896407],[0.61206558 0.57048643 0.4129221 ],[0.55640657 0.79609873 0.39075124],[0.49972599 0.83273976 0.38106239],[0.34807837 0.10283485 0.4993103 ],[0.40135116 0.58448918 0.37564712],[0.37017589 0.78861239 0.39199521],[0.34356354 0.82997483 0.41442989],[0.14307843 0.16052335 0.4519813 ],[0.18669175 0.57162731 0.3631739 ],[0.20262485 0.7501538  0.3809147 ],[0.21369231 0.80713117 0.40515622]
[0.15061734 0.         0.80504662],[0.36397445 0.21974603 0.76968966],[0.6097026  0.44209957 0.70646885],[0.7828363  0.62771124 0.64404498],[0.93306256 0.72891595 0.58652623],[0.71978476 0.16736895 0.59690309],[0.85064055 0.50412658 0.45977133],[0.76552249 0.72329679 0.39816285],[0.65792561 0.78546504 0.37698906],[0.58850579 0.09263689 0.55207978],[0.6265188  0.53972765 0.43386568],[0.54749361 0.75628058 0.42047956],[0.47256056 0.79824179 0.4155724 ],[0.40959648 0.07764159 0.50504807],[0.42271927 0.52372629 0.39283183],[0.37367761 0.71845444 0.40526859],[0.33465093 0.77771859 0.42310695],[0.22080962 0.10668046 0.45802651],[0.23440014 0.47900874 0.37283936],[0.22354044 0.66855992 0.3805304 ],[0.21146011 0.76259291 0.39674821]
[0.22567406 0.         0.74270742],[0.39920727 0.21545446 0.72073307],[0.58736455 0.43754153 0.66383735],[0.71637586 0.64340326 0.60476164],[0.83536626 0.80398565 0.55141881],[0.73462134 0.23203459 0.5687289 ],[0.7955497  0.59241825 0.46831864],[0.68928116 0.74001778 0.43929037],[0.60082018 0.74825537 0.43444736],[0.62501746 0.15825016 0.52530477],[0.61494594 0.60602528 0.43520115],[0.50682629 0.73435484 0.43811781],[0.43557703 0.71561151 0.44375979],[0.47384992 0.12554686 0.48210997],[0.44241863 0.55547588 0.40555067],[0.36636929 0.66931234 0.43428056],[0.3214898  0.66725689 0.45832093],[0.31464867 0.12916177 0.43865515],[0.29522685 0.47829294 0.39248087],[0.26739282 0.60589896 0.41538975],[0.25197694 0.64170169 0.43658504]
