[0.12621748 0.03053671 0.42109614],[0.43127408 0.         0.50362037],[0.60221953 0.1238711  0.52735274],[0.67651247 0.2910478  0.53273066],[0.65574771 0.43290929 0.53857536],[0.65379078 0.43094992 0.46455392],[0.75540978 0.59916091 0.50699849],[0.69375975 0.49414824 0.54718645],[0.62037467 0.39514373 0.57279414],[0.53894027 0.58897876 0.42936554],[0.62757474 0.69902442 0.49849321],[0.59256443 0.58528748 0.53399339],[0.5276122  0.48849343 0.53900835],[0.39878853 0.68210379 0.40756541],[0.49964885 0.75507806 0.48050524],[0.46843616 0.64646036 0.51652738],[0.40792935 0.547885   0.51365781],[0.27137291 0.71592558 0.39296812],[0.33698609 0.756369   0.47657304],[0.32703095 0.6619892  0.53523214],[0.28780927 0.57463723 0.5612021 ]
[0.20183883 0.01087131 0.42821052],[0.46667819 0.         0.48312943],[0.62345387 0.13210831 0.51891152],[0.66688655 0.30471189 0.54316706],[0.64328997 0.42422198 0.56984714],[0.65171959 0.40864323 0.48232246],[0.74196712 0.59738001 0.50151194],[0.70457745 0.55040982 0.5222212 ],[0.65169406 0.45754115 0.54202424],[0.53772013 0.54606346 0.46048224],[0.60658382 0.71563514 0.50504762],[0.57827254 0.64627658 0.52999379],[0.53899571 0.55434373 0.5424666 ],[0.40755553 0.62143917 0.44324678],[0.46287445 0.7424652  0.48740666],[0.44236438 0.66481624 0.50563031],[0.4081967  0.57368734 0.50737389],[0.28102225 0.64182339 0.43022463],[0.30301895 0.70155003 0.4749457 ],[0.29977008 0.63921273 0.50272315],[0.28151982 0.56679928 0.51911308]
[0.36220215 0.         0.52517804],[0.47708078 0.14869621 0.52880932],[0.55488403 0.31768703 0.52488038],[0.57321087 0.4743221  0.51554094],[0.55521634 0.59119633 0.51103057],[0.63000149 0.33384173 0.52554594],[0.66989411 0.5555306  0.50500844],[0.63929868 0.66635425 0.49144817],[0.59386274 0.72801846 0.48598339],[0.56642164 0.34962991 0.51325224],[0.57908155 0.57169874 0.50237795],[0.53441863 0.6753025  0.48873542],[0.47928283 0.7325185  0.47776578],[0.48478297 0.36095836 0.50014357],[0.48292987 0.56090953 0.49271625],[0.44041526 0.6502085  0.48042092],[0.39134491 0.69005442 0.46987226],[0.39853089 0.36531702 0.48715049],[0.39025172 0.51172132 0.48965707],[0.36502914 0.5863835  0.49163712],[0.33185939 0.62965099 0.49284573]
[0.36311093 0.         0.35444703],[0.57335004 0.0510252  0.42467348],[0.66664459 0.21851914 0.48144507],[0.68415747 0.37494155 0.5293069 ],[0.66478978 0.46168784 0.581452  ],[0.62716317 0.46815688 0.45953623],[0.6540389  0.65305396 0.51395007],[0.64972103 0.59979715 0.55179484],[0.62686953 0.52021494 0.57849927],[0.5026141  0.53323294 0.44428528],[0.53033251 0.68901662 0.51257573],[0.53127002 0.61803881 0.54390035],[0.51281653 0.54095401 0.55786808],[0.39127176 0.54587375 0.4345542 ],[0.41696365 0.69540453 0.49487352],[0.42539746 0.63384966 0.51794105],[0.41075123 0.56071954 0.52119027],[0.2930555  0.52852449 0.43131758],[0.3223307  0.6503386  0.49177019],[0.33294113 0.60954823 0.52793622],[0.32040997 0.54710217 0.54668265]
[0.4339518  0.         0.55351242],[0.53303548 0.16574745 0.57091137],[0.58132667 0.33256289 0.56450575],[0.57572152 0.47100417 0.54972944],[0.54215498 0.57646262 0.53596298],[0.64198813 0.36941335 0.54179052],[0.66837484 0.57907377 0.50980052],[0.63322939 0.68872552 0.49024069],[0.58528011 0.75446886 0.48036956],[0.57623666 0.37421247 0.5157039 ],[0.56946992 0.59449037 0.49190843],[0.51345158 0.69723172 0.47542322],[0.45234128 0.75209628 0.46536006],[0.4952142  0.36354884 0.4909779 ],[0.46877679 0.55359156 0.47317212],[0.41877961 0.64607555 0.46416438],[0.36970286 0.69486369 0.45768145],[0.4080487  0.3371202  0.46767314],[0.37248171 0.45889684 0.46238591],[0.34363401 0.52441462 0.46718682],[0.31679975 0.5659992  0.4715394 ]
[0.49844597 0.         0.4545738 ],[0.67322031 0.0662985  0.45982574],[0.75079734 0.23710361 0.46674649],[0.75045927 0.39463751 0.48252649],[0.70270012 0.49475501 0.51043505],[0.59390431 0.43952782 0.42248913],[0.59208969 0.70782568 0.44974168],[0.62929778 0.68359103 0.50358658],[0.63724494 0.58806033 0.55119666],[0.4515308  0.45008449 0.43593275],[0.44791371 0.75481339 0.44926591],[0.5003126  0.73951982 0.50145542],[0.52846722 0.65553685 0.55172403],[0.34575653 0.42351926 0.45540744],[0.34782787 0.65231638 0.48091599],[0.39878438 0.64633712 0.53606567],[0.42655319 0.58829553 0.58156288],[0.27344753 0.36643992 0.47804231],[0.28046317 0.53971635 0.52496755],[0.3221676  0.55803004 0.57942065],[0.34861565 0.51359137 0.62411778]
[0.51593666 0.         0.43122564],[0.64768666 0.14205032 0.43660852],[0.69685795 0.31507748 0.45687009],[0.69980461 0.45770045 0.47894814],[0.6721312  0.54893107 0.50419827],[0.58517475 0.40057795 0.47448772],[0.57007648 0.56957435 0.50069732],[0.56849787 0.66321262 0.51794625],[0.57141777 0.72963146 0.53117534],[0.49928109 0.39455909 0.48240202],[0.46245636 0.57633696 0.51029916],[0.45591968 0.67848968 0.52145428],[0.45578076 0.75658284 0.52966131],[0.43689176 0.37198438 0.4897323 ],[0.40097824 0.53866743 0.50956415],[0.39409372 0.63865776 0.51150685],[0.39095669 0.71611789 0.51333986],[0.39910747 0.34251305 0.49878002],[0.36830014 0.47376575 0.52153345],[0.35818814 0.55938753 0.53467762],[0.35046201 0.62618195 0.54489169]
[0.51110609 0.         0.48208612],[0.65451637 0.10771865 0.46903602],[0.70466317 0.2720774  0.47264265],[0.70477039 0.42133649 0.4834525 ],[0.6874643  0.51899287 0.50438726],[0.57323538 0.43911597 0.45522929],[0.57051312 0.65696623 0.46960474],[0.60312094 0.69291652 0.50264588],[0.62074942 0.64950932 0.53297288],[0.4623458  0.43414589 0.46601857],[0.45897831 0.6757595  0.47595851],[0.50095149 0.71302498 0.50872797],[0.52789887 0.67186158 0.54085917],[0.38334867 0.40100705 0.47834346],[0.37619763 0.59799893 0.49016372],[0.41181183 0.64362671 0.52055887],[0.43354342 0.63014959 0.54865917],[0.33064758 0.34655893 0.48984666],[0.3067319  0.50347625 0.50909593],[0.32932569 0.56213203 0.53650341],[0.34807965 0.56162513 0.56320718]
[0.48153685 0.         0.51046544],[0.62446075 0.11798355 0.50560206],[0.68498486 0.28268867 0.50200448],[0.6901261  0.436295   0.50098416],[0.67333166 0.54109697 0.50878768],[0.55466792 0.46922862 0.4701725 ],[0.56928082 0.69967397 0.4725871 ],[0.61362931 0.70280243 0.49966358],[0.63128228 0.63745105 0.52520192],[0.44787033 0.4624115  0.46958338],[0.46638136 0.7113457  0.46698836],[0.52362648 0.69683654 0.49631151],[0.54406174 0.62457022 0.52541299],[0.36707122 0.42319666 0.47225065],[0.38407802 0.6233994  0.47734421],[0.43970772 0.61197556 0.50948729],[0.45820933 0.55917813 0.53579892],[0.30713602 0.35890065 0.47486997],[0.30901756 0.51835866 0.49466139],[0.35367577 0.53161437 0.52708505],[0.37586391 0.49099236 0.55473738]
[0.47540116 0.         0.50180675],[0.63375713 0.11256215 0.49541917],[0.69585304 0.28857035 0.49879511],[0.68826764 0.44885909 0.5051256 ],[0.66326645 0.53479364 0.51962714],[0.56932652 0.45335174 0.47369487],[0.57688201 0.68602312 0.47356692],[0.61594933 0.67510235 0.48699904],[0.62309641 0.61220466 0.50083688],[0.45621661 0.45609712 0.47511035],[0.46725703 0.71598113 0.47352309],[0.51778581 0.68778783 0.49247894],[0.52825623 0.61190222 0.51259203],[0.37330026 0.42759777 0.47894312],[0.38672845 0.63995964 0.48665616],[0.43314804 0.61993211 0.51128272],[0.44174297 0.56247286 0.53034164],[0.31480262 0.37631531 0.48215242],[0.31656042 0.53997113 0.50644494],[0.35365003 0.54656941 0.5360547 ],[0.36875184 0.50394636 0.55854841]
[0.48389857 0.         0.44301494],[0.6438838  0.11204412 0.44754878],[0.69277227 0.28097263 0.46811952],[0.67797219 0.42716939 0.49367906],[0.66189459 0.51322217 0.52919793],[0.55886092 0.47765341 0.45425074],[0.56188781 0.67575148 0.48325504],[0.60528243 0.68305515 0.51949377],[0.62295397 0.63683121 0.5486905 ],[0.45168878 0.46427604 0.46160627],[0.45716653 0.6899256  0.47919156],[0.50847715 0.68972129 0.51090923],[0.53258506 0.64225392 0.54023423],[0.3768422  0.42154002 0.47086573],[0.38489841 0.60971177 0.48941661],[0.4312327  0.62505145 0.51730779],[0.45421558 0.60098203 0.54001886],[0.3253738  0.36018423 0.4809821 ],[0.32420194 0.51369051 0.51252932],[0.35990579 0.54645161 0.54308979],[0.3840055  0.52951198 0.56659821]
