[0.28361768 0.07908237 0.59912579],[0.4777359  0.         0.58365206],[0.61022777 0.04428152 0.54412349],[0.64469826 0.15808845 0.50074589],[0.62245929 0.25337642 0.46137493],[0.73669845 0.42338956 0.52453383],[0.76610433 0.61662465 0.4942696 ],[0.67839927 0.55722927 0.47804649],[0.62436841 0.46068559 0.46674637],[0.61739428 0.56874243 0.50055782],[0.5986724  0.74988236 0.49746819],[0.53571284 0.66133637 0.50175458],[0.49900733 0.54972672 0.49505913],[0.47654189 0.65398074 0.47798997],[0.44052917 0.7644045  0.48069175],[0.3957379  0.68250228 0.49553394],[0.36814616 0.57401361 0.49283915],[0.33854019 0.69481983 0.45223655],[0.28643429 0.75915117 0.46181496],[0.25705519 0.67502327 0.48793238],[0.241919   0.5736589  0.50350314]
[0.29392751 0.01317299 0.55417861],[0.51440325 0.         0.58954935],[0.62932826 0.09078068 0.5799544 ],[0.65223348 0.20042949 0.5565409 ],[0.63136746 0.28458433 0.53363092],[0.71304057 0.39716921 0.53551004],[0.75927271 0.62859976 0.50250633],[0.67805629 0.60804489 0.48278256],[0.6266164  0.50858344 0.47446748],[0.59685168 0.52963238 0.49319593],[0.58811938 0.7534647  0.49361447],[0.52238068 0.69920792 0.49909353],[0.49861714 0.59426533 0.49559732],[0.46307311 0.60561154 0.45365652],[0.42651852 0.76831107 0.4657375 ],[0.38549492 0.70035183 0.4855973 ],[0.37910943 0.59690638 0.48613679],[0.32969851 0.63394323 0.41482753],[0.28525933 0.70961635 0.43856701],[0.2632494  0.63576293 0.47282696],[0.26338196 0.54156155 0.49202854]
[0.35545743 0.         0.51842101],[0.54869164 0.08506037 0.5571158 ],[0.6220334  0.22830501 0.55240908],[0.61635409 0.35561816 0.53590408],[0.57464842 0.44775075 0.52108486],[0.68698147 0.4403175  0.52814057],[0.72468719 0.63313178 0.51116468],[0.66306438 0.6404807  0.50217287],[0.61988706 0.57462342 0.50296646],[0.58599764 0.52759983 0.48753499],[0.56358706 0.71615837 0.49278373],[0.50238245 0.65487256 0.49815754],[0.49288684 0.54876211 0.50194074],[0.4704801  0.56684446 0.45005566],[0.41807551 0.70667601 0.47279476],[0.38602854 0.62887883 0.49602922],[0.3940713  0.5292642  0.50370594],[0.35459457 0.56282988 0.41287936],[0.31118654 0.63380088 0.44993122],[0.29823951 0.5545728  0.48970255],[0.31066486 0.46445239 0.51510487]
[0.38915194 0.         0.51310572],[0.57767634 0.08292504 0.546418  ],[0.65379543 0.24491223 0.54525759],[0.63574491 0.39899145 0.53697857],[0.57759904 0.49232019 0.53186724],[0.68921053 0.46032605 0.49644847],[0.69861203 0.68581218 0.49205931],[0.62896886 0.67154223 0.49805838],[0.59609957 0.59193496 0.50561912],[0.56910294 0.5268477  0.46660337],[0.54450827 0.70559654 0.49258626],[0.50371186 0.64366036 0.51384796],[0.50576867 0.54763223 0.51843618],[0.44221225 0.54477421 0.4418576 ],[0.41476124 0.6743169  0.47977328],[0.39705688 0.61214681 0.51050782],[0.40482302 0.52213653 0.51453188],[0.3259837  0.52512092 0.41747489],[0.31598935 0.58961064 0.45986775],[0.30982161 0.52804818 0.49913787],[0.31940157 0.45134465 0.51956272]
[0.44586263 0.         0.54838305],[0.61982891 0.1284805  0.57427544],[0.67471643 0.2959366  0.56448938],[0.63487761 0.43038501 0.54749373],[0.56162761 0.50326933 0.53264896],[0.69177635 0.49481007 0.50655147],[0.68406094 0.7376938  0.48385905],[0.62574388 0.73320569 0.48114554],[0.59618087 0.6528868  0.48585267],[0.5763126  0.53912286 0.47625051],[0.50829488 0.71717177 0.48489258],[0.47618429 0.64303849 0.50618194],[0.49039377 0.54993008 0.514768  ],[0.45331562 0.52983096 0.45001586],[0.38981067 0.64625593 0.47089819],[0.38371549 0.5746357  0.49739567],[0.40788114 0.48805095 0.5032333 ],[0.34135639 0.48659022 0.42425813],[0.30254226 0.51499602 0.45334374],[0.30544334 0.45081759 0.48692476],[0.33007431 0.38289162 0.50713807]
[0.37940671 0.         0.57046396],[0.57001523 0.05322915 0.58275887],[0.67529273 0.22504983 0.57141724],[0.68480829 0.37512965 0.55707072],[0.64646399 0.46853554 0.54350262],[0.65053517 0.47655469 0.49425992],[0.69222424 0.79193315 0.46398636],[0.65830861 0.82352734 0.45956168],[0.62628738 0.80289875 0.46209347],[0.51605622 0.53201877 0.47416902],[0.52480696 0.769478   0.4607931 ],[0.51526406 0.68217334 0.48019171],[0.51125795 0.56878325 0.49486159],[0.38366684 0.5237103  0.46009918],[0.39414725 0.62849499 0.46539442],[0.40868845 0.55109903 0.49452226],[0.41511083 0.45650958 0.5075722 ],[0.2796255  0.47765174 0.4475861 ],[0.30427751 0.49732448 0.47092737],[0.32590624 0.43420809 0.50746587],[0.33784984 0.36169034 0.53130234]
[0.33137215 0.         0.46520208],[0.50011262 0.03855861 0.4687264 ],[0.62450223 0.19714392 0.47907381],[0.67942492 0.35858609 0.49164325],[0.68136208 0.46850005 0.51043282],[0.56133779 0.41294408 0.46339929],[0.62239208 0.64620672 0.47563623],[0.64084705 0.68418409 0.49099911],[0.64434533 0.69017219 0.50466686],[0.45416185 0.46302641 0.46658935],[0.51882873 0.69435158 0.49008895],[0.55047353 0.71008718 0.51140453],[0.56388778 0.69046281 0.52604986],[0.36033699 0.47108013 0.47297236],[0.42645878 0.64273071 0.49742288],[0.46060032 0.62459433 0.52466203],[0.46988783 0.58077267 0.54176421],[0.2892181  0.44901828 0.48017634],[0.35097186 0.57827382 0.51350914],[0.38152789 0.56974415 0.54991171],[0.38795011 0.52956216 0.5756688 ]
[0.37689019 0.         0.51202019],[0.53101555 0.06853603 0.48349481],[0.63642682 0.20690795 0.46910191],[0.70076985 0.34679603 0.46367531],[0.71233538 0.47130249 0.4624424 ],[0.53744691 0.37613412 0.47434235],[0.56804177 0.58928123 0.46805972],[0.59142765 0.69701037 0.46674397],[0.61088234 0.77052798 0.46986725],[0.45144669 0.39786786 0.48951012],[0.47081893 0.61374266 0.49643537],[0.50259588 0.71334976 0.50498762],[0.53499841 0.77235894 0.51108681],[0.38381248 0.39084974 0.50461846],[0.41139056 0.57944119 0.51164561],[0.44656254 0.6731705  0.5231962 ],[0.47915699 0.72061468 0.53264734],[0.33889121 0.36815501 0.51862902],[0.37361241 0.51570847 0.52882598],[0.40537571 0.59321778 0.54637182],[0.43610174 0.63502723 0.56229775]
[0.38006461 0.         0.51035292],[0.53315739 0.09248359 0.47853917],[0.63499808 0.23639352 0.46774153],[0.69218092 0.37891715 0.4666887 ],[0.70928782 0.50028738 0.47094821],[0.53841835 0.348633   0.47686577],[0.56464238 0.54742434 0.46985999],[0.57935391 0.66111243 0.46553056],[0.59444999 0.74778063 0.46564662],[0.45974821 0.3783082  0.49384154],[0.47594827 0.5767588  0.50015189],[0.5015541  0.69457418 0.50327143],[0.52599511 0.77779316 0.50488125],[0.3987024  0.38965326 0.50958489],[0.41638953 0.56447137 0.51786603],[0.44710836 0.67203886 0.51963181],[0.47748888 0.74473639 0.52116315],[0.35432321 0.38881943 0.52347224],[0.37838162 0.52848914 0.53496378],[0.40489309 0.60866047 0.54497428],[0.43291377 0.66266472 0.55402425]
[0.38863375 0.         0.58596603],[0.53296627 0.12139894 0.55005691],[0.633309   0.29266444 0.52839575],[0.68724805 0.44623208 0.5148629 ],[0.72631801 0.57085617 0.50345968],[0.54218984 0.29924933 0.50482294],[0.55249709 0.50858252 0.46735762],[0.55623332 0.64627741 0.44223059],[0.56347962 0.75934544 0.42771765],[0.48353262 0.31999195 0.51286271],[0.48406036 0.52205664 0.48519978],[0.49858949 0.67471173 0.46734629],[0.51081944 0.79315055 0.45262912],[0.42646694 0.34269519 0.52116717],[0.42759318 0.52587705 0.5019112 ],[0.44854162 0.6689751  0.48937186],[0.46457024 0.78175406 0.4803502 ],[0.37562677 0.36001008 0.52804623],[0.38511907 0.52037677 0.51624698],[0.40004874 0.63020346 0.51158972],[0.41215658 0.71559108 0.50840868]
[0.48920071 0.         0.43009925],[0.48872504 0.18565438 0.34660874],[0.49758339 0.38477465 0.34855234],[0.50100848 0.55702293 0.36764656],[0.50149624 0.69186864 0.39638174],[0.62625412 0.43972394 0.45621301],[0.59897297 0.65205883 0.470782  ],[0.52882173 0.72192184 0.46754849],[0.46704309 0.7393315  0.46829295],[0.59433385 0.41048098 0.51569034],[0.56340522 0.59755095 0.54332447],[0.49879876 0.65565793 0.52653907],[0.43679976 0.66939525 0.5098854 ],[0.55021747 0.37478894 0.56473424],[0.505137   0.51482066 0.58255811],[0.45069496 0.5607638  0.5507668 ],[0.39667753 0.567573   0.52487876],[0.5053278  0.34199325 0.60702965],[0.47968463 0.44962835 0.61972843],[0.43378718 0.48891748 0.60622718],[0.38603005 0.49607268 0.59651245]
