[0.25686042 0.         0.41017196],[0.45456846 0.09181294 0.5059326 ],[0.56516235 0.24906123 0.53764677],[0.58636203 0.39636087 0.53997916],[0.56430639 0.51585716 0.54337992],[0.68093077 0.3542089  0.54343926],[0.64503479 0.58174485 0.55665856],[0.57874162 0.57032865 0.55197547],[0.54917545 0.50570292 0.54720308],[0.62125627 0.44702695 0.48758501],[0.58005565 0.66747252 0.52288665],[0.52443513 0.63738256 0.52578675],[0.50035595 0.55382825 0.51790886],[0.53231389 0.51695867 0.43358555],[0.48929333 0.71783322 0.48022394],[0.44153404 0.66277593 0.49878101],[0.42364276 0.57083828 0.49455396],[0.42857445 0.56177206 0.38325766],[0.38286836 0.69831682 0.44381657],[0.35093991 0.6423616  0.48055225],[0.34358797 0.55835563 0.494675  ]
[0.11222768 0.03119949 0.3222137 ],[0.36496082 0.         0.46204098],[0.5294174  0.11292188 0.52706372],[0.60532892 0.24484306 0.55624347],[0.61797377 0.36839181 0.58269914],[0.72515591 0.34562034 0.53459499],[0.69659382 0.53658005 0.5908147 ],[0.60504016 0.49674621 0.60035272],[0.54506614 0.41438321 0.60059207],[0.6653915  0.50485674 0.46646258],[0.61638586 0.69109936 0.55172135],[0.53859721 0.63443116 0.54934259],[0.48141557 0.53242256 0.52845561],[0.5612872  0.62539455 0.40497534],[0.51016796 0.78798106 0.49736334],[0.44296144 0.71029557 0.49836675],[0.40055286 0.60066256 0.46954908],[0.44909733 0.70923288 0.35103352],[0.38910776 0.81286849 0.4450087 ],[0.33744305 0.72548786 0.47811549],[0.30582762 0.61458114 0.48299016]
[0.39552918 0.         0.52890047],[0.5613274  0.10538012 0.57135193],[0.64462924 0.25216084 0.56565733],[0.63973237 0.37981181 0.54104003],[0.58171007 0.47481941 0.51794703],[0.69080053 0.41437196 0.54527799],[0.6607789  0.61341654 0.51500058],[0.58948616 0.59740222 0.49717568],[0.55725982 0.52506818 0.48937906],[0.6070879  0.49393375 0.50183075],[0.54728452 0.68559359 0.49489795],[0.48808046 0.64709569 0.49397144],[0.47577464 0.56212097 0.48876276],[0.50692888 0.54609345 0.45979403],[0.42827157 0.69505723 0.46863097],[0.38754292 0.63310159 0.48909479],[0.38925761 0.54202366 0.49368724],[0.40412502 0.56391819 0.4175925 ],[0.3254314  0.66362497 0.44546796],[0.30522515 0.59675448 0.47833114],[0.31373627 0.50825135 0.49620839]
[0.51104385 0.         0.50348875],[0.62821644 0.14512222 0.55596039],[0.66493891 0.32335593 0.56089861],[0.63055685 0.44767876 0.54815119],[0.5656732  0.52088335 0.53613782],[0.69767841 0.47453433 0.54396625],[0.61955232 0.6385527  0.52395223],[0.54763534 0.62861081 0.5092179 ],[0.51784633 0.56603908 0.50320869],[0.6172702  0.51342889 0.49921217],[0.5153042  0.66764094 0.4980485 ],[0.45603792 0.62818641 0.49770605],[0.44412958 0.54957207 0.49715419],[0.523465   0.52430145 0.45634689],[0.4159003  0.64206118 0.46624252],[0.37294776 0.59122259 0.48411777],[0.37321989 0.51615079 0.493188  ],[0.42461026 0.50609036 0.41446822],[0.34044241 0.59129202 0.4420334 ],[0.31418415 0.54566474 0.47296259],[0.31934666 0.47961138 0.49353787]
[0.4485027 0.        0.5600822],[0.60087219 0.10451322 0.56678086],[0.64961018 0.28893876 0.55523512],[0.60477511 0.445796   0.53790134],[0.54549188 0.53348056 0.52412021],[0.67173837 0.45659391 0.53076627],[0.67240926 0.6734639  0.49077705],[0.63942728 0.67840931 0.46759331],[0.62003404 0.63375594 0.45923424],[0.55778307 0.49900597 0.50516238],[0.5382671  0.71254245 0.49739955],[0.51534187 0.7769761  0.4918988 ],[0.50371641 0.80773186 0.48438329],[0.44297657 0.48823687 0.47955278],[0.39562972 0.62902718 0.47221108],[0.39317415 0.56400252 0.48575594],[0.40554488 0.48567743 0.49365672],[0.33072333 0.43845776 0.45341516],[0.31032153 0.48848026 0.45773009],[0.3195281  0.42978392 0.48312675],[0.33413225 0.36512607 0.50321689]
[0.43199163 0.         0.42388052],[0.55784689 0.07107009 0.46783596],[0.62215462 0.22119083 0.49525907],[0.65286126 0.35035007 0.5191139 ],[0.63007632 0.45063489 0.54904874],[0.60562364 0.39630313 0.46125941],[0.59000825 0.64087122 0.47890849],[0.56509416 0.69401008 0.50523984],[0.54012172 0.6959652  0.53079544],[0.54268594 0.41756311 0.45744476],[0.51548391 0.6598523  0.47631845],[0.49481391 0.70718209 0.50455668],[0.48570009 0.72648748 0.52944219],[0.47214517 0.412209   0.45826833],[0.43435626 0.61826186 0.48412938],[0.41832025 0.66106224 0.51603692],[0.40657508 0.67139814 0.54028982],[0.40473047 0.38162217 0.46408647],[0.38956667 0.54225439 0.50870013],[0.37591415 0.58503154 0.54958913],[0.36392962 0.59668015 0.57979638]
[0.46747069 0.         0.48968266],[0.62717469 0.06881575 0.49936455],[0.69225867 0.22462605 0.51232467],[0.68816061 0.3618148  0.52744381],[0.66281554 0.43150412 0.54728573],[0.6056809  0.42254319 0.47441311],[0.6051261  0.64734968 0.47774555],[0.60946705 0.6855942  0.49206775],[0.6111846  0.66394446 0.50972494],[0.48280411 0.44141748 0.47186718],[0.47026856 0.6684055  0.48158433],[0.48478846 0.72878674 0.50299783],[0.50333471 0.73552611 0.5217035 ],[0.38899701 0.42258322 0.47197192],[0.37119825 0.61512991 0.47753598],[0.40012901 0.66039403 0.49882758],[0.42976245 0.65501878 0.51838868],[0.32546777 0.38017642 0.47448353],[0.32765587 0.53604168 0.48924381],[0.35803769 0.57846761 0.51798701],[0.38821726 0.57186029 0.54335588]
[0.4279537 0.        0.4988131],[0.59438213 0.07876677 0.5186113 ],[0.67474877 0.25148287 0.53159564],[0.68095548 0.39210439 0.54343084],[0.65169499 0.45518269 0.5589157 ],[0.59025125 0.44404502 0.48239894],[0.60815136 0.68069703 0.47766621],[0.6183985  0.7110924  0.48554441],[0.61650536 0.67279349 0.49844216],[0.47165509 0.46232293 0.4724789 ],[0.47402271 0.70267168 0.47528556],[0.50908127 0.71646937 0.49312735],[0.53424676 0.6705943  0.51096368],[0.37487078 0.44036725 0.46707978],[0.37769627 0.63762847 0.47365997],[0.42439841 0.64432744 0.49580286],[0.45296587 0.59968541 0.51365391],[0.30595438 0.38991588 0.46466955],[0.33224674 0.51834996 0.48410716],[0.37590365 0.53136062 0.5145946 ],[0.40391657 0.50014203 0.53915839]
[0.31574951 0.         0.49997412],[0.5205181  0.01975452 0.50360004],[0.63954457 0.19902962 0.50973328],[0.67070561 0.37978049 0.51781294],[0.65680569 0.49608232 0.53394032],[0.55977863 0.43757492 0.47432696],[0.62895932 0.71896421 0.46608699],[0.66667863 0.68709916 0.47332709],[0.65979245 0.59913208 0.48684983],[0.44532434 0.47608793 0.47271851],[0.51076941 0.73019764 0.4740956 ],[0.55975338 0.67600793 0.49423701],[0.56588107 0.58635443 0.51244706],[0.34830892 0.46901936 0.47387077],[0.41126092 0.67517668 0.47990757],[0.46517056 0.63842583 0.51009406],[0.4756568  0.56285565 0.53192461],[0.27419657 0.43707125 0.47674593],[0.33536781 0.59547619 0.50031324],[0.38765682 0.58694315 0.53940168],[0.40212088 0.52896665 0.5685924 ]
[0.43227018 0.         0.44797013],[0.46982748 0.19771155 0.3788636 ],[0.50795507 0.39146472 0.38444367],[0.53378146 0.55438956 0.40055518],[0.55683336 0.67959675 0.42469294],[0.63083327 0.43296229 0.49764212],[0.63873772 0.62794074 0.49727003],[0.58497968 0.71563006 0.47974175],[0.52621969 0.7483962  0.47206912],[0.58027451 0.42319504 0.54154934],[0.55475849 0.60316699 0.53256464],[0.48417188 0.62098482 0.49160166],[0.42810296 0.5897388  0.47101902],[0.5217835  0.40630893 0.57545057],[0.49311539 0.55253258 0.5600059 ],[0.44077078 0.56625756 0.51575472],[0.3977421  0.52547511 0.49516977],[0.47244355 0.37970342 0.60492541],[0.45555873 0.48784991 0.59312439],[0.41538794 0.51041365 0.57094169],[0.37445225 0.48628131 0.56464434]
